Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR04	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2040s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
