Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single Family Attached	Option=Single Family Detached	sample_count	sample_weight
AL, 01600	0.054596	0.015769	0.042530	0.039466	0.066244	0.055470	0.109015	0.034210	0.582700	0.000000	0.000000
AL, 01700	0.005962	0.023926	0.014759	0.039602	0.024220	0.012160	0.324444	0.005954	0.548974	0.000000	0.000000
AL, 01800	0.006246	0.023983	0.002695	0.008824	0.029675	0.016129	0.277115	0.019547	0.615785	0.000000	0.000000
AL, 01900	0.069958	0.054181	0.040011	0.029327	0.048131	0.024742	0.177300	0.021771	0.534579	0.000000	0.000000
AL, 02000	0.046961	0.020491	0.016125	0.041901	0.062670	0.030055	0.046762	0.027216	0.707818	0.000000	0.000000
AL, 02100	0.016403	0.011917	0.016167	0.027624	0.035835	0.001919	0.172232	0.006771	0.711132	0.000000	0.000000
AL, 02200	0.003604	0.010741	0.005131	0.022670	0.035234	0.003534	0.288415	0.004459	0.626211	0.000000	0.000000
AL, 02300	0.002288	0.019929	0.006953	0.024581	0.034571	0.002633	0.208726	0.021734	0.678586	0.000000	0.000000
AL, 02400	0.029668	0.025439	0.021862	0.031063	0.092201	0.005873	0.210487	0.007111	0.576295	0.000000	0.000000
AL, 02500	0.014114	0.015512	0.029729	0.033226	0.025235	0.012075	0.178752	0.015131	0.676226	0.000000	0.000000
AL, 02600	0.041706	0.006346	0.041443	0.026610	0.039018	0.031846	0.124369	0.015230	0.673432	0.000000	0.000000
AL, 02701	0.038528	0.034602	0.023124	0.016179	0.031169	0.026253	0.090493	0.124561	0.615091	0.000000	0.000000
AL, 02702	0.046105	0.007841	0.033707	0.013386	0.049088	0.019728	0.090493	0.009615	0.730037	0.000000	0.000000
AL, 02703	0.029676	0.009849	0.013446	0.022063	0.050289	0.044531	0.090493	0.002855	0.736798	0.000000	0.000000
AR, 00100	0.056702	0.022729	0.029492	0.019188	0.064810	0.013229	0.046840	0.057012	0.689998	0.000000	0.000000
AR, 00200	0.100288	0.027016	0.060823	0.039978	0.042016	0.074838	0.049626	0.020411	0.585003	0.000000	0.000000
AR, 00300	0.008405	0.025634	0.008068	0.023676	0.010284	0.006167	0.157350	0.022289	0.738127	0.000000	0.000000
AR, 00400	0.004010	0.015334	0.007890	0.022519	0.008157	0.003407	0.227903	0.005924	0.704856	0.000000	0.000000
AR, 00500	0.042849	0.039513	0.009713	0.102941	0.028888	0.011693	0.090742	0.011673	0.661988	0.000000	0.000000
AR, 00600	0.015848	0.051723	0.006980	0.054372	0.072792	0.015046	0.081917	0.010145	0.691177	0.000000	0.000000
AR, 00700	0.010301	0.057799	0.004377	0.044836	0.028495	0.001588	0.160276	0.009733	0.682595	0.000000	0.000000
AR, 00800	0.038596	0.027094	0.011745	0.037146	0.023268	0.014778	0.192339	0.008716	0.646318	0.000000	0.000000
AR, 00900	0.110715	0.031600	0.040131	0.035436	0.050555	0.019166	0.054767	0.015756	0.641874	0.000000	0.000000
AR, 01000	0.071405	0.021252	0.035885	0.015959	0.046236	0.096865	0.054767	0.018920	0.638710	0.000000	0.000000
AR, 01100	0.083228	0.026647	0.023573	0.024766	0.049581	0.008764	0.132271	0.013225	0.637945	0.000000	0.000000
AR, 01200	0.065780	0.019187	0.007145	0.011775	0.040647	0.003166	0.154558	0.001624	0.696117	0.000000	0.000000
AR, 01300	0.045365	0.047198	0.004227	0.042189	0.014933	0.003290	0.147292	0.003804	0.691702	0.000000	0.000000
AR, 01400	0.023686	0.077185	0.008266	0.041110	0.050786	0.018666	0.063666	0.020855	0.695780	0.000000	0.000000
AR, 01500	0.015344	0.018564	0.006405	0.014503	0.013192	0.000966	0.194798	0.009640	0.726589	0.000000	0.000000
AR, 01600	0.037029	0.012933	0.015583	0.025801	0.026591	0.019821	0.185429	0.009098	0.667714	0.000000	0.000000
AR, 01700	0.033445	0.017353	0.012177	0.016486	0.038623	0.013782	0.186497	0.007510	0.674126	0.000000	0.000000
AR, 01800	0.017830	0.030951	0.009260	0.018934	0.016686	0.001110	0.245280	0.006149	0.653800	0.000000	0.000000
AR, 01900	0.008159	0.009094	0.010290	0.035280	0.026593	0.004632	0.222495	0.004028	0.679428	0.000000	0.000000
AR, 02000	0.022287	0.020641	0.020916	0.016304	0.033985	0.006571	0.196879	0.003880	0.678537	0.000000	0.000000
AZ, 00100	0.136535	0.000106	0.054472	0.013657	0.032142	0.064351	0.052345	0.008968	0.637423	0.000000	0.000000
AZ, 00101	0.074407	0.004163	0.055144	0.045639	0.067037	0.054873	0.052345	0.040621	0.605771	0.000000	0.000000
AZ, 00102	0.152257	0.013173	0.013646	0.046362	0.017050	0.058775	0.052345	0.037786	0.608606	0.000000	0.000000
AZ, 00103	0.077187	0.004828	0.069953	0.028018	0.043046	0.078232	0.052345	0.045583	0.600809	0.000000	0.000000
AZ, 00104	0.026185	0.002854	0.084431	0.081484	0.058549	0.047761	0.052345	0.056146	0.590246	0.000000	0.000000
AZ, 00105	0.039525	0.012055	0.044268	0.023809	0.076233	0.105374	0.052345	0.012490	0.633902	0.000000	0.000000
AZ, 00106	0.090715	0.005236	0.012005	0.019446	0.099200	0.074660	0.052345	0.059735	0.586657	0.000000	0.000000
AZ, 00107	0.089900	0.004370	0.044963	0.040537	0.061972	0.059522	0.052345	0.014420	0.631972	0.000000	0.000000
AZ, 00108	0.074591	0.001308	0.031649	0.019070	0.069339	0.105306	0.052345	0.094947	0.551445	0.000000	0.000000
AZ, 00109	0.064798	0.003501	0.042166	0.015530	0.030552	0.144716	0.052345	0.153855	0.492537	0.000000	0.000000
AZ, 00110	0.021891	0.005604	0.038299	0.014958	0.032302	0.188209	0.052345	0.084031	0.562361	0.000000	0.000000
AZ, 00111	0.019997	0.044925	0.006114	0.021280	0.020907	0.188040	0.052345	0.050413	0.595978	0.000000	0.000000
AZ, 00112	0.043751	0.010217	0.055147	0.043658	0.050764	0.097725	0.052345	0.053846	0.592546	0.000000	0.000000
AZ, 00113	0.114293	0.001537	0.025224	0.045077	0.020887	0.094246	0.052345	0.020748	0.625644	0.000000	0.000000
AZ, 00114	0.043257	0.004239	0.072722	0.078982	0.018233	0.083831	0.052345	0.104828	0.541564	0.000000	0.000000
AZ, 00115	0.046150	0.003427	0.085193	0.052904	0.053372	0.060217	0.052345	0.027796	0.618595	0.000000	0.000000
AZ, 00116	0.026890	0.008376	0.047300	0.059721	0.060055	0.098922	0.052345	0.113487	0.532904	0.000000	0.000000
AZ, 00117	0.025468	0.003678	0.015754	0.057831	0.013682	0.184850	0.052345	0.078629	0.567762	0.000000	0.000000
AZ, 00118	0.036908	0.006107	0.047837	0.032781	0.052339	0.125291	0.052345	0.091998	0.554393	0.000000	0.000000
AZ, 00119	0.040890	0.038325	0.080822	0.042154	0.037989	0.061082	0.052345	0.056896	0.589496	0.000000	0.000000
AZ, 00120	0.100576	0.003730	0.020502	0.016136	0.079511	0.080808	0.052345	0.026845	0.619547	0.000000	0.000000
AZ, 00121	0.147810	0.057549	0.004312	0.016555	0.026208	0.048830	0.052345	0.009264	0.637128	0.000000	0.000000
AZ, 00122	0.112678	0.017034	0.043041	0.013048	0.099225	0.016237	0.052345	0.012368	0.634023	0.000000	0.000000
AZ, 00123	0.044770	0.006193	0.057021	0.094250	0.068599	0.030430	0.052345	0.071376	0.575016	0.000000	0.000000
AZ, 00124	0.113563	0.006763	0.045814	0.016013	0.058227	0.060882	0.052345	0.019665	0.626727	0.000000	0.000000
AZ, 00125	0.031171	0.004171	0.011453	0.016908	0.018046	0.219513	0.052345	0.016254	0.630137	0.000000	0.000000
AZ, 00126	0.066114	0.002473	0.083027	0.013209	0.075467	0.060973	0.052345	0.008637	0.637755	0.000000	0.000000
AZ, 00127	0.051896	0.007366	0.015472	0.016593	0.043344	0.166593	0.052345	0.029935	0.616457	0.000000	0.000000
AZ, 00128	0.037327	0.001784	0.007056	0.217572	0.025095	0.012429	0.052345	0.013098	0.633294	0.000000	0.000000
AZ, 00129	0.101772	0.000765	0.045815	0.016739	0.066306	0.069865	0.052345	0.016099	0.630293	0.000000	0.000000
AZ, 00130	0.079338	0.006294	0.067259	0.012556	0.018203	0.117612	0.052345	0.055931	0.590461	0.000000	0.000000
AZ, 00131	0.069085	0.005806	0.101762	0.019971	0.037620	0.067019	0.052345	0.014164	0.632228	0.000000	0.000000
AZ, 00132	0.010819	0.003906	0.014986	0.020797	0.027947	0.222809	0.052345	0.023431	0.622960	0.000000	0.000000
AZ, 00133	0.089569	0.010425	0.016747	0.022420	0.048622	0.113480	0.052345	0.007901	0.638491	0.000000	0.000000
AZ, 00134	0.047303	0.172899	0.018024	0.032243	0.027684	0.003110	0.052345	0.021465	0.624926	0.000000	0.000000
AZ, 00201	0.082645	0.016456	0.097710	0.015155	0.023112	0.046230	0.110303	0.030313	0.578076	0.000000	0.000000
AZ, 00202	0.091711	0.010295	0.052496	0.018157	0.045273	0.063376	0.110303	0.031377	0.577012	0.000000	0.000000
AZ, 00203	0.088060	0.028120	0.017858	0.011911	0.066495	0.068866	0.110303	0.027929	0.580459	0.000000	0.000000
AZ, 00204	0.047421	0.003687	0.042895	0.043613	0.062002	0.081690	0.110303	0.064863	0.543525	0.000000	0.000000
AZ, 00205	0.011646	0.011981	0.004831	0.207386	0.007197	0.038269	0.110303	0.055233	0.553155	0.000000	0.000000
AZ, 00206	0.052142	0.022720	0.017327	0.035166	0.020210	0.133744	0.110303	0.104065	0.504323	0.000000	0.000000
AZ, 00207	0.037984	0.029298	0.060153	0.050134	0.033762	0.069979	0.110303	0.120702	0.487686	0.000000	0.000000
AZ, 00208	0.031076	0.021428	0.021483	0.014038	0.017087	0.176198	0.110303	0.086714	0.521674	0.000000	0.000000
AZ, 00209	0.087407	0.054409	0.086614	0.011848	0.016648	0.024382	0.110303	0.145406	0.462982	0.000000	0.000000
AZ, 00300	0.005281	0.021118	0.003401	0.020520	0.017308	0.007428	0.265357	0.025588	0.633999	0.000000	0.000000
AZ, 00400	0.084463	0.020903	0.019783	0.020066	0.082906	0.031555	0.150234	0.069582	0.520509	0.000000	0.000000
AZ, 00500	0.010314	0.025806	0.019452	0.046507	0.017647	0.024278	0.209746	0.036740	0.609509	0.000000	0.000000
AZ, 00600	0.007868	0.016689	0.005772	0.025657	0.025557	0.012303	0.319212	0.023527	0.563415	0.000000	0.000000
AZ, 00700	0.032524	0.007415	0.004652	0.029607	0.044494	0.007305	0.264485	0.029045	0.580474	0.000000	0.000000
AZ, 00800	0.002730	0.005256	0.005118	0.036535	0.017796	0.004681	0.265254	0.015182	0.647449	0.000000	0.000000
AZ, 00803	0.006445	0.001495	0.002278	0.031720	0.006020	0.002342	0.188521	0.016525	0.744655	0.000000	0.000000
AZ, 00805	0.008618	0.010104	0.005611	0.011058	0.010362	0.004546	0.188521	0.013944	0.747236	0.000000	0.000000
AZ, 00807	0.006615	0.004323	0.002427	0.008376	0.003491	0.025067	0.188521	0.027060	0.734120	0.000000	0.000000
AZ, 00900	0.019374	0.012080	0.012936	0.026559	0.024416	0.021474	0.204860	0.026434	0.651867	0.000000	0.000000
CA, 00101	0.044348	0.053721	0.078383	0.048538	0.028852	0.178780	0.014501	0.088029	0.464848	0.000000	0.000000
CA, 00102	0.035444	0.016553	0.067376	0.042745	0.022713	0.247790	0.014501	0.272943	0.279934	0.000000	0.000000
CA, 00103	0.144135	0.017624	0.030590	0.027121	0.026121	0.187030	0.014501	0.117019	0.435858	0.000000	0.000000
CA, 00104	0.048439	0.039093	0.080542	0.080662	0.095181	0.088704	0.014501	0.054058	0.498819	0.000000	0.000000
CA, 00105	0.141732	0.029891	0.037099	0.050722	0.056046	0.117131	0.014501	0.128011	0.424866	0.000000	0.000000
CA, 00106	0.020923	0.018441	0.029565	0.022606	0.304217	0.036869	0.014501	0.078484	0.474393	0.000000	0.000000
CA, 00107	0.026243	0.007977	0.041790	0.039037	0.250682	0.066893	0.014501	0.178153	0.374724	0.000000	0.000000
CA, 00108	0.019670	0.006481	0.025113	0.044288	0.026384	0.310685	0.014501	0.177792	0.375085	0.000000	0.000000
CA, 00109	0.025535	0.008258	0.050834	0.041702	0.036999	0.269295	0.014501	0.156658	0.396219	0.000000	0.000000
CA, 00110	0.027130	0.020485	0.045704	0.031919	0.040182	0.267202	0.014501	0.089279	0.463598	0.000000	0.000000
CA, 00300	0.007295	0.010920	0.022917	0.029199	0.013919	0.005590	0.160006	0.017751	0.732403	0.000000	0.000000
CA, 00701	0.050226	0.019716	0.010040	0.062961	0.066416	0.048043	0.139908	0.043224	0.559466	0.000000	0.000000
CA, 00702	0.010305	0.018096	0.020376	0.050367	0.040962	0.117295	0.139908	0.019989	0.582701	0.000000	0.000000
CA, 01100	0.006129	0.019300	0.007313	0.026835	0.049593	0.008969	0.208872	0.039034	0.633955	0.000000	0.000000
CA, 01301	0.101552	0.011939	0.011957	0.036643	0.059481	0.076928	0.020472	0.206403	0.474626	0.000000	0.000000
CA, 01302	0.024617	0.053730	0.094901	0.015166	0.018332	0.091753	0.020472	0.097016	0.584013	0.000000	0.000000
CA, 01303	0.014578	0.156650	0.019222	0.018222	0.063854	0.025974	0.020472	0.087645	0.593383	0.000000	0.000000
CA, 01304	0.014005	0.033127	0.052579	0.035338	0.034443	0.129007	0.020472	0.112760	0.568269	0.000000	0.000000
CA, 01305	0.057893	0.010417	0.037442	0.041874	0.031575	0.119299	0.020472	0.079266	0.601763	0.000000	0.000000
CA, 01306	0.018900	0.006248	0.013101	0.048086	0.018490	0.193675	0.020472	0.086943	0.594086	0.000000	0.000000
CA, 01307	0.055606	0.041264	0.076402	0.023445	0.021589	0.080194	0.020472	0.046397	0.634632	0.000000	0.000000
CA, 01308	0.013272	0.007443	0.014349	0.025131	0.019620	0.218685	0.020472	0.029869	0.651160	0.000000	0.000000
CA, 01309	0.041287	0.077907	0.072038	0.017563	0.056831	0.032874	0.020472	0.033272	0.647756	0.000000	0.000000
CA, 01500	0.016810	0.024442	0.010486	0.018930	0.012998	0.015623	0.179528	0.014897	0.706286	0.000000	0.000000
CA, 01700	0.009638	0.006917	0.008778	0.019290	0.061040	0.009516	0.081994	0.021593	0.781235	0.000000	0.000000
CA, 01901	0.045616	0.020646	0.007549	0.115807	0.092019	0.009815	0.047173	0.024637	0.636737	0.000000	0.000000
CA, 01902	0.019139	0.010902	0.020789	0.098122	0.071038	0.071463	0.047173	0.020747	0.640627	0.000000	0.000000
CA, 01903	0.091444	0.010429	0.026563	0.071505	0.062621	0.028890	0.047173	0.025564	0.635810	0.000000	0.000000
CA, 01904	0.044682	0.042652	0.017358	0.100494	0.058520	0.027746	0.047173	0.046476	0.614899	0.000000	0.000000
CA, 01905	0.055220	0.022225	0.008510	0.077339	0.107622	0.020536	0.047173	0.020750	0.640625	0.000000	0.000000
CA, 01906	0.014671	0.016156	0.024134	0.091976	0.077601	0.066915	0.047173	0.014979	0.646395	0.000000	0.000000
CA, 01907	0.030952	0.035437	0.006594	0.091332	0.119533	0.007605	0.047173	0.011116	0.650259	0.000000	0.000000
CA, 02300	0.013137	0.025487	0.014033	0.075518	0.056211	0.005807	0.105050	0.067142	0.637616	0.000000	0.000000
CA, 02500	0.023679	0.013492	0.009694	0.051706	0.086226	0.031761	0.087120	0.039633	0.656687	0.000000	0.000000
CA, 02901	0.008129	0.037830	0.015314	0.067635	0.023531	0.070651	0.079298	0.010822	0.686789	0.000000	0.000000
CA, 02902	0.012995	0.037273	0.019240	0.061793	0.031248	0.060541	0.079298	0.026234	0.671377	0.000000	0.000000
CA, 02903	0.006552	0.082962	0.031498	0.046664	0.026537	0.028876	0.079298	0.023453	0.674158	0.000000	0.000000
CA, 02904	0.009409	0.009836	0.005899	0.080535	0.107063	0.010349	0.079298	0.010557	0.687055	0.000000	0.000000
CA, 02905	0.032315	0.060155	0.015428	0.033623	0.049930	0.031639	0.079298	0.022292	0.675320	0.000000	0.000000
CA, 03100	0.022228	0.019431	0.019800	0.057584	0.064129	0.024218	0.048610	0.035201	0.708799	0.000000	0.000000
CA, 03300	0.021611	0.020724	0.012624	0.031457	0.020153	0.007867	0.183654	0.020770	0.681141	0.000000	0.000000
CA, 03701	0.019061	0.034245	0.153734	0.060466	0.030688	0.178919	0.020931	0.025936	0.476020	0.000000	0.000000
CA, 03702	0.039206	0.005187	0.086593	0.082710	0.089783	0.173633	0.020931	0.059506	0.442451	0.000000	0.000000
CA, 03703	0.041321	0.012073	0.169111	0.039868	0.070477	0.144263	0.020931	0.012448	0.489509	0.000000	0.000000
CA, 03704	0.043903	0.015763	0.068610	0.037067	0.116931	0.194839	0.020931	0.012583	0.489374	0.000000	0.000000
CA, 03705	0.019992	0.007304	0.134566	0.011151	0.018608	0.285492	0.020931	0.073743	0.428214	0.000000	0.000000
CA, 03706	0.125848	0.009173	0.088665	0.014605	0.047379	0.191443	0.020931	0.052359	0.449598	0.000000	0.000000
CA, 03707	0.046722	0.016222	0.126036	0.084224	0.039560	0.164348	0.020931	0.041156	0.460801	0.000000	0.000000
CA, 03708	0.084061	0.012825	0.220205	0.020702	0.028101	0.111219	0.020931	0.066394	0.435563	0.000000	0.000000
CA, 03709	0.048458	0.029663	0.040817	0.036867	0.035904	0.285402	0.020931	0.031104	0.470853	0.000000	0.000000
CA, 03710	0.030304	0.009093	0.253431	0.031211	0.043322	0.109752	0.020931	0.087610	0.414347	0.000000	0.000000
CA, 03711	0.085171	0.021350	0.070979	0.067779	0.065298	0.166536	0.020931	0.106260	0.395697	0.000000	0.000000
CA, 03712	0.075075	0.012278	0.097325	0.056515	0.037910	0.198008	0.020931	0.063345	0.438611	0.000000	0.000000
CA, 03713	0.024771	0.004006	0.026578	0.030254	0.043711	0.347793	0.020931	0.081398	0.420559	0.000000	0.000000
CA, 03714	0.037775	0.015511	0.007784	0.044512	0.047521	0.324009	0.020931	0.178636	0.323321	0.000000	0.000000
CA, 03715	0.018531	0.035535	0.079056	0.029384	0.017750	0.296856	0.020931	0.049631	0.452326	0.000000	0.000000
CA, 03716	0.012040	0.021109	0.035003	0.033673	0.048268	0.327019	0.020931	0.026317	0.475640	0.000000	0.000000
CA, 03717	0.156337	0.015876	0.108272	0.028574	0.147523	0.020530	0.020931	0.057188	0.444769	0.000000	0.000000
CA, 03718	0.046677	0.025706	0.117104	0.031044	0.051263	0.205318	0.020931	0.123989	0.377968	0.000000	0.000000
CA, 03719	0.050624	0.016938	0.065852	0.061027	0.070261	0.212410	0.020931	0.125342	0.376615	0.000000	0.000000
CA, 03720	0.155443	0.016611	0.054041	0.030089	0.050460	0.170468	0.020931	0.041085	0.460872	0.000000	0.000000
CA, 03721	0.064973	0.007118	0.101107	0.024345	0.058495	0.221075	0.020931	0.073867	0.428090	0.000000	0.000000
CA, 03722	0.101457	0.003116	0.155895	0.015038	0.051456	0.150150	0.020931	0.053648	0.448309	0.000000	0.000000
CA, 03723	0.065563	0.002467	0.211660	0.006599	0.020981	0.169841	0.020931	0.046301	0.455655	0.000000	0.000000
CA, 03724	0.032527	0.001406	0.116595	0.023394	0.029946	0.273243	0.020931	0.058403	0.443554	0.000000	0.000000
CA, 03725	0.037589	0.007870	0.086415	0.007889	0.013246	0.324103	0.020931	0.074725	0.427232	0.000000	0.000000
CA, 03726	0.218350	0.048053	0.027233	0.062464	0.044251	0.076760	0.020931	0.032554	0.469403	0.000000	0.000000
CA, 03727	0.149453	0.006360	0.131633	0.015481	0.064869	0.109316	0.020931	0.017632	0.484325	0.000000	0.000000
CA, 03728	0.048377	0.013437	0.137843	0.045141	0.105817	0.126496	0.020931	0.087408	0.414549	0.000000	0.000000
CA, 03729	0.114605	0.005494	0.100601	0.017963	0.078666	0.159782	0.020931	0.075496	0.426461	0.000000	0.000000
CA, 03730	0.088382	0.019147	0.099733	0.023034	0.071396	0.175420	0.020931	0.088028	0.413929	0.000000	0.000000
CA, 03731	0.071076	0.008536	0.135296	0.011722	0.086080	0.164401	0.020931	0.072875	0.429082	0.000000	0.000000
CA, 03732	0.073019	0.011954	0.097565	0.029068	0.045489	0.220017	0.020931	0.079459	0.422498	0.000000	0.000000
CA, 03733	0.049916	0.009957	0.135997	0.012416	0.039877	0.228949	0.020931	0.231446	0.270511	0.000000	0.000000
CA, 03734	0.046601	0.019584	0.122830	0.026264	0.035761	0.226072	0.020931	0.178723	0.323234	0.000000	0.000000
CA, 03735	0.051344	0.057690	0.163720	0.029230	0.040206	0.134923	0.020931	0.064041	0.437916	0.000000	0.000000
CA, 03736	0.094300	0.015846	0.105434	0.049481	0.102173	0.109879	0.020931	0.104155	0.397802	0.000000	0.000000
CA, 03737	0.073798	0.075012	0.110908	0.071039	0.057962	0.088393	0.020931	0.052365	0.449592	0.000000	0.000000
CA, 03738	0.079081	0.047979	0.086644	0.039472	0.039545	0.184392	0.020931	0.129744	0.372213	0.000000	0.000000
CA, 03739	0.031257	0.108742	0.200464	0.042381	0.048755	0.045514	0.020931	0.131939	0.370018	0.000000	0.000000
CA, 03740	0.024042	0.013862	0.040601	0.051356	0.028139	0.319112	0.020931	0.081620	0.420337	0.000000	0.000000
CA, 03741	0.038736	0.093597	0.039231	0.047371	0.191747	0.066430	0.020931	0.069841	0.432116	0.000000	0.000000
CA, 03742	0.106866	0.140878	0.067003	0.055486	0.081810	0.025069	0.020931	0.073967	0.427989	0.000000	0.000000
CA, 03743	0.018608	0.170985	0.013296	0.201931	0.041688	0.030604	0.020931	0.131124	0.370833	0.000000	0.000000
CA, 03744	0.025335	0.013365	0.043042	0.022688	0.020569	0.352113	0.020931	0.188540	0.313417	0.000000	0.000000
CA, 03745	0.060501	0.088880	0.076777	0.097947	0.078769	0.074238	0.020931	0.196068	0.305889	0.000000	0.000000
CA, 03746	0.065166	0.016226	0.113931	0.065520	0.042704	0.173564	0.020931	0.223379	0.278578	0.000000	0.000000
CA, 03747	0.048483	0.018721	0.030262	0.310767	0.051787	0.017091	0.020931	0.094020	0.407937	0.000000	0.000000
CA, 03748	0.040426	0.015734	0.046596	0.035682	0.044374	0.294300	0.020931	0.084072	0.417885	0.000000	0.000000
CA, 03749	0.088051	0.014970	0.053845	0.109325	0.060214	0.150707	0.020931	0.054610	0.447346	0.000000	0.000000
CA, 03750	0.077289	0.035531	0.089183	0.049052	0.077445	0.148612	0.020931	0.143992	0.357965	0.000000	0.000000
CA, 03751	0.026251	0.065271	0.026565	0.194375	0.057057	0.107593	0.020931	0.165532	0.336425	0.000000	0.000000
CA, 03752	0.023157	0.029988	0.050030	0.133787	0.110755	0.129395	0.020931	0.169230	0.332726	0.000000	0.000000
CA, 03753	0.053397	0.010563	0.099254	0.013817	0.076587	0.223494	0.020931	0.050389	0.451568	0.000000	0.000000
CA, 03754	0.085121	0.066814	0.031424	0.018078	0.128824	0.146850	0.020931	0.098432	0.403525	0.000000	0.000000
CA, 03755	0.039608	0.006887	0.031597	0.155126	0.037196	0.206698	0.020931	0.059827	0.442130	0.000000	0.000000
CA, 03756	0.038000	0.010587	0.312919	0.023489	0.033690	0.058427	0.020931	0.149817	0.352140	0.000000	0.000000
CA, 03757	0.052317	0.028765	0.033242	0.131317	0.070672	0.160799	0.020931	0.033010	0.468947	0.000000	0.000000
CA, 03758	0.078776	0.025332	0.144691	0.055214	0.057436	0.115663	0.020931	0.108357	0.393600	0.000000	0.000000
CA, 03759	0.149524	0.014477	0.060751	0.041768	0.120389	0.090204	0.020931	0.173644	0.328313	0.000000	0.000000
CA, 03760	0.024807	0.031119	0.173230	0.166798	0.049234	0.031925	0.020931	0.071266	0.430691	0.000000	0.000000
CA, 03761	0.025316	0.009872	0.313118	0.031887	0.018463	0.078456	0.020931	0.049460	0.452497	0.000000	0.000000
CA, 03762	0.055899	0.015932	0.128598	0.038781	0.078614	0.159287	0.020931	0.037129	0.464828	0.000000	0.000000
CA, 03763	0.099562	0.020075	0.145202	0.035983	0.040235	0.136056	0.020931	0.038947	0.463010	0.000000	0.000000
CA, 03764	0.143298	0.017717	0.036281	0.032630	0.028460	0.218727	0.020931	0.112056	0.389901	0.000000	0.000000
CA, 03765	0.039474	0.020532	0.020177	0.304736	0.039674	0.052520	0.020931	0.061270	0.440687	0.000000	0.000000
CA, 03766	0.067799	0.025401	0.061206	0.045017	0.058926	0.218763	0.020931	0.142896	0.359061	0.000000	0.000000
CA, 03767	0.088746	0.026023	0.107270	0.093872	0.060756	0.100444	0.020931	0.090970	0.410986	0.000000	0.000000
CA, 03768	0.029554	0.012512	0.180975	0.024930	0.031746	0.197395	0.020931	0.065261	0.436696	0.000000	0.000000
CA, 03769	0.103406	0.059154	0.073158	0.079270	0.098356	0.063768	0.020931	0.114124	0.387833	0.000000	0.000000
CA, 03900	0.015265	0.019378	0.014405	0.038573	0.021202	0.012560	0.065084	0.015583	0.797950	0.000000	0.000000
CA, 04101	0.019025	0.013918	0.036789	0.063360	0.029854	0.160415	0.016570	0.064201	0.595867	0.000000	0.000000
