Dependency=Geometry Building Type FPL	Dependency=Vintage FPL	Dependency=Location EPW	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Counts
Single-Family Detached	1940-59s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.421471831	0.319084601	0.145212461	0.114231107	36454.36803
Single-Family Detached	1960-79s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.308741699	0.364991199	0.216389751	0.109877351	81515.95496
Single-Family Detached	1980-99s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.225113051	0.369402951	0.17033663	0.235147368	69193.50415
Single-Family Detached	2000-09s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.191835199	0.387801627	0.222286091	0.198077082	39184.78315
Single-Family Detached	<1940	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.332717711	0.374773433	0.159422293	0.133086562	16417.65743
Single-Family Detached	2010s	USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0.204350138	0.305876854	0.272545544	0.217227464	5797.730642
Single-Family Detached	1940-59s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.536346831	0.340490575	0.068105276	0.055057318	28802.85436
Single-Family Detached	1960-79s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.373674462	0.451050771	0.119567092	0.055707676	67804.79477
Single-Family Detached	1980-99s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.238086359	0.485504717	0.199011256	0.077397667	67397.94071
Single-Family Detached	2000-09s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.175095335	0.484046265	0.203137905	0.137720495	35155.17966
Single-Family Detached	<1940	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.510574273	0.334928516	0.107670395	0.046826816	15248.02019
Single-Family Detached	2010s	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0.152544304	0.412299341	0.259910302	0.175246052	5051.140041
Single-Family Detached	1940-59s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.459430176	0.304319879	0.114579594	0.121670351	56468.62571
Single-Family Detached	1960-79s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.302586868	0.491395208	0.120928658	0.085089266	130701.5674
Single-Family Detached	1980-99s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.220495835	0.3235028	0.258886482	0.197114883	107372.924
Single-Family Detached	2000-09s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.34194906	0.30773337	0.230594948	0.119722622	62145.58512
Single-Family Detached	<1940	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.409744575	0.313414403	0.157091249	0.119749773	21923.92313
Single-Family Detached	2010s	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0.213460889	0.28721974	0.269706001	0.229613369	8973.212524
Single-Family Detached	1940-59s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.52724131	0.334541604	0.088812391	0.049404695	5898.185619
Single-Family Detached	1960-79s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.387170378	0.414028157	0.14975638	0.049045086	19602.16098
Single-Family Detached	1980-99s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.315870833	0.424405908	0.167727887	0.091995372	25043.82019
Single-Family Detached	2000-09s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.149857007	0.451174385	0.245407341	0.153561267	12581.66134
Single-Family Detached	<1940	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.456759975	0.370335905	0.092928571	0.079975549	2432.815576
Single-Family Detached	2010s	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0.130636462	0.415343888	0.21274717	0.241272479	730.2175773
Single-Family Detached	1940-59s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.554301904	0.243610493	0.116645949	0.085441653	88822.31584
Single-Family Detached	1960-79s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.341488585	0.446931616	0.159298768	0.052281032	230514.823
Single-Family Detached	1980-99s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.168282605	0.596034045	0.167226005	0.068457345	378520.0479
Single-Family Detached	2000-09s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.148075756	0.398618698	0.245470542	0.207835004	330933.6113
Single-Family Detached	<1940	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.294752626	0.270175976	0.218781122	0.216290276	12526.69582
Single-Family Detached	2010s	USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0.097410413	0.564693084	0.240356041	0.097540462	20069.87945
Single-Family Detached	1940-59s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.551739088	0.329795299	0.076579865	0.041885748	4020.887697
Single-Family Detached	1960-79s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.345588662	0.45603405	0.152464398	0.04591289	15516.35558
Single-Family Detached	1980-99s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.225043831	0.504415722	0.188171252	0.082369195	35535.39892
Single-Family Detached	2000-09s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.180941282	0.433559807	0.230872017	0.154626894	23067.94156
Single-Family Detached	<1940	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.48756663	0.352316402	0.087288773	0.072828196	2462.662709
Single-Family Detached	2010s	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0.183798678	0.428262742	0.231215483	0.156723097	1277.676546
Single-Family Detached	1940-59s	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.379096714	0.389134189	0.120177866	0.111591231	42538.63405
Single-Family Detached	1960-79s	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.264043186	0.440584427	0.2161836	0.079188787	73627.74295
Single-Family Detached	1980-99s	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.28090411	0.428467705	0.174958057	0.115670128	89950.6821
Single-Family Detached	2000-09s	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.18077869	0.474834466	0.229821244	0.1145656	70949.31346
Single-Family Detached	<1940	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.360869175	0.274578726	0.184419686	0.180132413	9547.609832
Single-Family Detached	2010s	USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0.226514196	0.289270124	0.236940466	0.247275214	5202.362913
Single-Family Detached	1940-59s	USA_CA_Arcata.AP.725945_TMY3.epw	0.531798176	0.331958271	0.083004253	0.0532393	22749.4445
Single-Family Detached	1960-79s	USA_CA_Arcata.AP.725945_TMY3.epw	0.367181868	0.417426849	0.16076287	0.054628414	27837.16004
Single-Family Detached	1980-99s	USA_CA_Arcata.AP.725945_TMY3.epw	0.248169967	0.472274485	0.183096032	0.096459517	32419.49447
Single-Family Detached	2000-09s	USA_CA_Arcata.AP.725945_TMY3.epw	0.163469575	0.433433709	0.235579989	0.167516728	13762.42067
Single-Family Detached	<1940	USA_CA_Arcata.AP.725945_TMY3.epw	0.477889016	0.3587793	0.089591088	0.073740596	10324.62732
Single-Family Detached	2010s	USA_CA_Arcata.AP.725945_TMY3.epw	0.138828949	0.397595258	0.236049625	0.227526167	985.4378796
Single-Family Detached	1940-59s	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.370829605	0.379587144	0.126698387	0.122884864	43121.62109
Single-Family Detached	1960-79s	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.312414137	0.443224347	0.131786903	0.112574613	49492.73607
Single-Family Detached	1980-99s	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.230307053	0.446480444	0.197352057	0.125860446	57662.03766
Single-Family Detached	2000-09s	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.146808494	0.626383335	0.117206185	0.109601986	44385.74124
Single-Family Detached	<1940	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.348730623	0.300517093	0.177280559	0.173471725	13788.48154
Single-Family Detached	2010s	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0.125288796	0.617715426	0.131993471	0.125002307	3265.761485
Single-Family Detached	1940-59s	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.522572218	0.314169766	0.081738976	0.08151904	53849.7999
Single-Family Detached	1960-79s	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.221826294	0.541619096	0.132791721	0.103762889	81804.34299
Single-Family Detached	1980-99s	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.269979189	0.410815274	0.174766149	0.144439388	140396.6673
Single-Family Detached	2000-09s	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.127566679	0.29875269	0.369436464	0.204244166	89586.56581
Single-Family Detached	<1940	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.600171732	0.133307069	0.10210605	0.164415149	12717.42378
Single-Family Detached	2010s	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0.147067293	0.166920807	0.538936141	0.147075759	3447.959938
Single-Family Detached	1940-59s	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.358179842	0.379847857	0.136352729	0.125619573	74865.252
Single-Family Detached	1960-79s	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.345458315	0.371542055	0.183334489	0.099665141	107754.2961
Single-Family Detached	1980-99s	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.189619498	0.527061552	0.163481339	0.119837611	122490.8726
Single-Family Detached	2000-09s	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.150875955	0.44878925	0.249793094	0.150541701	83010.61904
Single-Family Detached	<1940	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.37990702	0.279898894	0.171826561	0.168367525	27751.40234
Single-Family Detached	2010s	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0.211962701	0.325463382	0.246503652	0.216070265	6823.095211
Single-Family Detached	1940-59s	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.384226922	0.316068181	0.154685079	0.145019818	542252.6812
Single-Family Detached	1960-79s	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.2341661	0.427492968	0.185974442	0.15236649	508967.5141
Single-Family Detached	1980-99s	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.217566876	0.399500761	0.265048318	0.117884046	357642.3635
Single-Family Detached	2000-09s	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.088793721	0.332488071	0.334302813	0.244415395	173448.1746
Single-Family Detached	<1940	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.382168064	0.263544176	0.171674667	0.182613093	116052.316
Single-Family Detached	2010s	USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0.124687844	0.126614689	0.621935959	0.126761508	12609.9235
Single-Family Detached	1940-59s	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.372739959	0.334349719	0.152980554	0.139929769	385179.5626
Single-Family Detached	1960-79s	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.271355686	0.423286222	0.172377597	0.132980495	242258.8229
Single-Family Detached	1980-99s	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.168467867	0.417394851	0.295348476	0.118788806	177823.6871
Single-Family Detached	2000-09s	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.119889658	0.371882996	0.19990842	0.308318926	72904.12113
Single-Family Detached	<1940	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.350871868	0.295450413	0.174172383	0.179505336	201705.9574
Single-Family Detached	2010s	USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0.128081532	0.128081785	0.615755151	0.128081532	4823.78849
Single-Family Detached	1940-59s	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.422747128	0.403716936	0.101927398	0.071608538	195166.3966
Single-Family Detached	1960-79s	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.324809929	0.456212477	0.139862919	0.079114676	290478.964
Single-Family Detached	1980-99s	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.176670955	0.501349612	0.226389818	0.095589615	371031.5303
Single-Family Detached	2000-09s	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.13470356	0.500879238	0.230545839	0.133871362	237376.5857
Single-Family Detached	<1940	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.46426345	0.297903212	0.134269395	0.103563943	67533.43653
Single-Family Detached	2010s	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0.204344195	0.324766521	0.252769234	0.21812005	12710.50191
Single-Family Detached	1940-59s	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.538799398	0.339624079	0.07849493	0.043081593	131136.8859
Single-Family Detached	1960-79s	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.32412984	0.478977845	0.146818779	0.050073535	212849.0297
Single-Family Detached	1980-99s	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.217963913	0.499691982	0.184814914	0.097529191	218661.7057
Single-Family Detached	2000-09s	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.134260706	0.384678922	0.300756844	0.180303527	122925.0054
Single-Family Detached	<1940	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.502830378	0.323643771	0.09538675	0.0781391	36279.19094
Single-Family Detached	2010s	USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0.138227669	0.383885916	0.324213244	0.153673171	7777.033897
Single-Family Detached	1940-59s	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.509798082	0.331440155	0.100352313	0.058409451	421765.422
Single-Family Detached	1960-79s	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.344889147	0.42797619	0.163705751	0.063428912	455493.9567
Single-Family Detached	1980-99s	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.210562847	0.505230039	0.160993433	0.123213681	257759.6095
Single-Family Detached	2000-09s	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.144656599	0.520423378	0.186920682	0.14799934	95324.40732
Single-Family Detached	<1940	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.373563415	0.383798544	0.14158267	0.101055372	199357.5233
Single-Family Detached	2010s	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0.205330022	0.331638353	0.25085402	0.212177606	9097.837759
Single-Family Detached	1940-59s	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.543770105	0.329763439	0.077304935	0.049161521	26463.87166
Single-Family Detached	1960-79s	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.327324745	0.475290823	0.146640569	0.050743863	50198.17846
Single-Family Detached	1980-99s	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.208205388	0.515954369	0.176985331	0.098854911	43227.80249
Single-Family Detached	2000-09s	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.156123068	0.423530282	0.25383879	0.166507861	21076.22923
Single-Family Detached	<1940	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.508411261	0.317342742	0.094977153	0.079268845	10682.08955
Single-Family Detached	2010s	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0.159934236	0.466064002	0.219925311	0.154076451	889.0171539
Single-Family Detached	1940-59s	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.492859861	0.355832574	0.094175578	0.057131987	7817.27744
Single-Family Detached	1960-79s	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.354015774	0.439476846	0.154843452	0.051663928	12855.86508
Single-Family Detached	1980-99s	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.242357812	0.444637318	0.20441601	0.108588861	18009.95954
Single-Family Detached	2000-09s	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.15801051	0.43476529	0.250739064	0.156485137	10195.12941
Single-Family Detached	<1940	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.470010919	0.358164214	0.089936579	0.081888288	10355.10677
Single-Family Detached	2010s	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0.101672207	0.470041892	0.206437024	0.221848877	788.5419659
Single-Family Detached	1940-59s	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.477338739	0.37615337	0.066822881	0.07968501	121799.154
Single-Family Detached	1960-79s	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.214793721	0.449583424	0.251229502	0.084393353	217976.8832
Single-Family Detached	1980-99s	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.181901867	0.392800409	0.240155056	0.185142668	204131.726
Single-Family Detached	2000-09s	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.121027691	0.537817372	0.202550707	0.13860423	127796.1408
Single-Family Detached	<1940	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.434493212	0.362638007	0.132911521	0.069957259	68074.97676
Single-Family Detached	2010s	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0.219113766	0.321173634	0.244200839	0.215511761	12921.64523
Single-Family Detached	1940-59s	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.250839132	0.445817201	0.152166513	0.151177154	19801.70549
Single-Family Detached	1960-79s	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.162397513	0.423062285	0.265574968	0.148965234	66778.6259
Single-Family Detached	1980-99s	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.190698448	0.299913509	0.324861878	0.184526165	112629.0985
Single-Family Detached	2000-09s	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.100758334	0.504846629	0.245036935	0.149358102	72900.64728
Single-Family Detached	<1940	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.31201593	0.302376565	0.197632658	0.187974846	13782.12374
Single-Family Detached	2010s	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0.247121931	0.255133702	0.248369194	0.249375174	6801.658278
Single-Family Detached	1940-59s	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.544484715	0.32947804	0.074540584	0.051496661	4865.332891
Single-Family Detached	1960-79s	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.335691922	0.468201642	0.148063978	0.048042458	12108.19175
Single-Family Detached	1980-99s	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.212334361	0.497480792	0.191947068	0.098237779	16279.24106
Single-Family Detached	2000-09s	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.14540999	0.414949296	0.269292939	0.170347775	11452.09641
Single-Family Detached	<1940	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.505783299	0.333639745	0.088306704	0.072270252	6151.701182
Single-Family Detached	2010s	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0.124499266	0.48784543	0.226120123	0.16153518	669.6097992
Single-Family Detached	1940-59s	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.529694877	0.348384582	0.081073082	0.040847459	9593.259583
Single-Family Detached	1960-79s	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.332868941	0.471711759	0.152211525	0.043207775	18590.55822
Single-Family Detached	1980-99s	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.216437942	0.507183157	0.187612993	0.088765908	23991.98077
Single-Family Detached	2000-09s	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.155220379	0.431829219	0.255623316	0.157327086	20462.45897
Single-Family Detached	<1940	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.497848623	0.345288152	0.084740024	0.0721232	9227.050867
Single-Family Detached	2010s	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0.136613025	0.491605626	0.211844353	0.159936997	1173.320841
Single-Family Detached	1940-59s	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.549358321	0.346185972	0.06871799	0.035737716	13788.55772
Single-Family Detached	1960-79s	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.322716889	0.481009298	0.15254547	0.043728342	14916.58258
Single-Family Detached	1980-99s	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.182032306	0.517542237	0.198703873	0.101721583	11093.63426
Single-Family Detached	2000-09s	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.127606565	0.423748991	0.269331994	0.17931245	9781.302913
Single-Family Detached	<1940	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.538616951	0.325877354	0.072678318	0.062827377	13174.49329
Single-Family Detached	2010s	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0.111837533	0.533826507	0.187375787	0.166960173	373.8403925
Single-Family Detached	1940-59s	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.331840201	0.427608355	0.148129683	0.092421761	210872.2692
Single-Family Detached	1960-79s	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.247310058	0.427147188	0.210477829	0.115064926	282066.1841
Single-Family Detached	1980-99s	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.127214636	0.368712114	0.264803463	0.239269786	145721.6518
Single-Family Detached	2000-09s	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.182165595	0.344478356	0.246981327	0.226374722	50963.59454
Single-Family Detached	<1940	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.264273199	0.319369275	0.233067573	0.183289954	110341.3975
Single-Family Detached	2010s	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0.182086948	0.199011144	0.315401449	0.30350046	4019.591427
Single-Family Detached	1940-59s	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.328512323	0.341281845	0.201481479	0.128724353	158150.0168
Single-Family Detached	1960-79s	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.20513757	0.486110727	0.189795303	0.1189564	142459.8883
Single-Family Detached	1980-99s	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.187119171	0.535321106	0.153754837	0.123804886	103695.8038
Single-Family Detached	2000-09s	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.205285652	0.300682541	0.276004007	0.2180278	41439.22755
Single-Family Detached	<1940	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.277867595	0.293921567	0.263941112	0.164269726	102420.9744
Single-Family Detached	2010s	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0.181971185	0.202767595	0.317752477	0.297508743	3339.748742
Single-Family Detached	1940-59s	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.406712507	0.38414698	0.131267712	0.077872801	66907.9062
Single-Family Detached	1960-79s	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.212950488	0.477421393	0.210639592	0.098988526	81853.71155
Single-Family Detached	1980-99s	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.111654169	0.375986881	0.32496282	0.18739613	94643.20875
Single-Family Detached	2000-09s	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.087315825	0.29914337	0.328366913	0.285173892	51608.49568
Single-Family Detached	<1940	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.252299877	0.409451274	0.187435279	0.150813569	35974.10199
Single-Family Detached	2010s	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0.156394609	0.296774762	0.238952108	0.307878521	5791.524566
Single-Family Detached	1940-59s	USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.347074648	0.305319798	0.184477478	0.163128076	28406.58587
Single-Family Detached	1960-79s	USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.376705844	0.431487814	0.119428196	0.072378146	63415.04918
Single-Family Detached	1980-99s	USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.301594173	0.35001851	0.279573777	0.06881354	124364.044
Single-Family Detached	2000-09s	USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.144669748	0.360574268	0.196968667	0.297787317	79335.30309
Single-Family Detached	<1940	USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.284761176	0.355281188	0.142334296	0.21762334	8783.243213
Single-Family Detached	2010s	USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0.206802966	0.288847263	0.265897777	0.238451993	4437.952422
