Dependency=Location EPW	Option=East North Central	Option=Middle Atlantic	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Option=West South Central	Count	Weight
USA_LA_Shreveport.Rgnl.AP.722480_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	448546.925223
USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	806019.042896
USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	277317.279347
USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	846772.412129
USA_ME_Caribou.Muni.AP.727120_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	53957.7968795
USA_ME_Portland.Intl.Jetport.726060_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	453119.553221
USA_MI_Alpena.County.Rgnl.AP.726390_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	74098.0161275
USA_MI_Detroit.Metro.AP.725370_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1189574.82921
USA_MI_Flint-Bishop.Intl.AP.726370_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	569447.185413
USA_MI_Grand.Rapids-Kent.County.Intl.AP.726350_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	362176.418327
USA_MI_Houghton-Lake.Roscommon.County.AP.726380_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	169292.726242
USA_MI_Lansing-Capital.City.AP.725390_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	267194.404372
USA_MI_Muskegon.County.AP.726360_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	159033.91711
USA_MI_Sault.Ste.Marie-Sanderson.Field.727340_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	45672.2347173
USA_MI_Traverse.City-Cherry.Capital.AP.726387_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	146452.147336
USA_MN_Duluth.Intl.AP.727450_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	243592.958098
USA_MN_International.Falls.Intl.AP.727470_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	41846.6080309
USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	829437.764464
USA_MN_Rochester.Intl.AP.726440_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	102039.127109
USA_MN_St.Cloud.Muni.AP.726550_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	320425.278524
USA_MO_Columbia.Rgnl.AP.724450_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	307275.856923
USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	692695.080256
USA_MO_Springfield.Rgnl.AP.724400_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	494294.611403
USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	1003408.8955
USA_MS_Jackson.Intl.AP.722350_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	306498.776627
USA_MS_Meridian-Key.Field.722340_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	176717.802467
USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	64912.9135544
USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	8802.94462996
USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	16996.9517073
USA_MT_Great.Falls.Intl.AP.727750_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	29380.4962515
USA_MT_Helena.Rgnl.AP.727720_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	80992.3264473
USA_MT_Kalispell-Glacier.Park.Intl.AP.727790_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	50934.2528594
USA_MT_Lewistown.Muni.AP.726776_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	16766.5960449
USA_MT_Miles.City.Muni.AP.742300_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	17099.1730773
USA_MT_Missoula.Intl.AP.727730_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	67035.6521248
USA_NC_Asheville.Rgnl.AP.723150_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	259619.978479
USA_NC_Cape.Hatteras.723040_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	69686.9355345
USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	787994.225442
USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	531877.22978
USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	766799.437824
USA_NC_Wilmington.Intl.AP.723013_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	469424.637817
USA_ND_Bismarck.Muni.AP.727640_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	64118.2527239
USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	168366.570777
USA_ND_Minot.Intl.AP.727676_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	57640.7317115
USA_NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	109183.203131
USA_NE_Norfolk-Karl.Stefan.Mem.AP.725560_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	62690.8753087
USA_NE_North.Platte.Rgnl.AP.725620_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	49981.98776
USA_NE_Omaha-Eppley.Airfield.725500_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	423023.301914
USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	47772.5612566
USA_NH_Concord.Muni.AP.726050_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	356240.677529
USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	366014.936067
USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	1229388.86597
USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	375043.513256
USA_NM_Tucumcari.AP.723676_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	53069.3026796
USA_NV_Elko.Muni.AP.725825_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	13016.2613265
USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	4685.90673428
USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	549231.124173
USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	246022.81599
USA_NV_Tonopah.AP.724855_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	5000.64410625
USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	7443.9057889
USA_NY_Albany.County.AP.725180_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	469523.400464
USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	247246.075976
USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	345289.495548
USA_NY_Massena.AP.726223_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	59114.3590578
USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	916871.388524
USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	321048.893372
USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	349999.531959
USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	403628.488296
USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	650015.297409
USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	627299.432184
USA_OH_Dayton.Intl.AP.724290_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	535940.513364
USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	144940.998083
USA_OH_Toledo.Express.AP.725360_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	371242.655365
USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	304419.149704
USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	542263.468339
USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	456096.995667
USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	46220.586477
USA_OR_Burns.Muni.AP.726830_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	11073.0950777
USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	117621.875648
USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	142166.1733
USA_OR_North.Bend.Muni.AP.726917_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	48864.7021586
USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	119778.68092
USA_OR_Portland.Intl.AP.726980_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	573386.054677
USA_OR_Redmond-Roberts.Field.726835_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	75720.8434851
USA_OR_Salem-McNary.Field.726940_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	191075.301455
USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	499803.005045
USA_PA_Bradford.Rgnl.AP.725266_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	203953.137783
USA_PA_Erie.Intl.AP.725260_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	139704.018846
USA_PA_Harrisburg-Capital.City.AP.725118_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	518731.172977
USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	801426.785265
USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	1036217.89573
USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	343052.000229
USA_PA_Williamsport.Rgnl.AP.725140_TMY3.epw	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	186648.25079
USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	575250.177173
USA_SC_Charleston.Intl.AP.722080_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	263397.535662
USA_SC_Columbia.Metro.AP.723100_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	363811.158345
USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	393414.633219
USA_SD_Huron.Rgnl.AP.726540_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	62269.1278658
USA_SD_Pierre.Muni.AP.726686_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	26729.3869506
USA_SD_Rapid.City.Rgnl.AP.726620_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	61759.7404342
USA_SD_Sioux.Falls-Foss.Field.726510_TMY3.epw	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	163385.380676
USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	408471.271421
USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	415274.336391
USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	459999.713377
USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	818576.851943
USA_TN_Nashville.Intl.AP.723270_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	760956.369201
USA_TX_Abilene.Rgnl.AP.722660_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	113013.712167
USA_TX_Amarillo.Intl.AP.723630_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	125267.440343
USA_TX_Austin-Mueller.Muni.AP.722540_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	508473.486069
USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	279077.680302
USA_TX_Corpus.Christi.Intl.AP.722510_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	212669.259561
USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	1806793.84639
USA_TX_El.Paso.Intl.AP.722700_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	284017.523269
USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	1502914.28338
USA_TX_Lubbock.Intl.AP.722670_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	142723.560738
USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	186817.750251
USA_TX_Midland.Intl.AP.722650_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	125229.623789
USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	132471.455875
USA_TX_San.Angelo-Mathis.AP.722630_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	58048.4473194
USA_TX_San.Antonio.Intl.AP.722530_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	657582.033207
USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	92849.5467272
USA_TX_Waco.Rgnl.AP.722560_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	229241.704133
USA_TX_Wichita.Falls.Muni.AP.723510_TMY3.epw	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	178950.128453
USA_UT_Cedar.City.Muni.AP.724755_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	82674.6939048
USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	572052.011842
USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	175216.047222
USA_VA_Norfolk.Intl.AP.723080_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	524404.344086
USA_VA_Richmond.Intl.AP.724010_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	498772.101671
USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	259466.579188
USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	908427.592045
USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1	221994.129671
USA_WA_Olympia.AP.727920_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	172974.943749
USA_WA_Quillayute.State.AP.727970_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	58820.2324005
USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1	1031090.47722
