Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Central	Option=No	Option=Yes	Count	Weight
CR02	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	1980s	Other Fuel	Only Heating Shared	1	0	1	8080.94237
CR02	1980s	Propane	Both Shared	1	0	0	0
CR02	1980s	Propane	Neither Shared	1	0	13	90714.62427
CR02	1980s	Propane	Only Cooling Shared	1	0	0	0
CR02	1980s	Propane	Only Heating Shared	1	0	1	6534.735311
CR02	1990s	Electricity	Both Shared	1	0	0	0
CR02	1990s	Electricity	Neither Shared	0.940837026	0.059162974	12	74184.56018
CR02	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR02	1990s	Electricity	Only Heating Shared	1	0	2	24610.96857
CR02	1990s	Fuel Oil	Both Shared	1	0	0	0
CR02	1990s	Fuel Oil	Neither Shared	1	0	0	0
CR02	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR02	1990s	Natural Gas	Both Shared	1	0	0	0
CR02	1990s	Natural Gas	Neither Shared	0.990002588	0.009997412	72	411848.8005
CR02	1990s	Natural Gas	Only Cooling Shared	1	0	0	0
CR02	1990s	Natural Gas	Only Heating Shared	1	0	5	40563.31806
CR02	1990s	None	Both Shared	1	0	0	0
CR02	1990s	None	Neither Shared	1	0	0	0
CR02	1990s	None	Only Cooling Shared	1	0	0	0
CR02	1990s	None	Only Heating Shared	1	0	0	0
CR02	1990s	Other Fuel	Both Shared	1	0	0	0
CR02	1990s	Other Fuel	Neither Shared	1	0	2	13518.88852
CR02	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	1990s	Other Fuel	Only Heating Shared	1	0	1	6374.842753
CR02	1990s	Propane	Both Shared	1	0	0	0
CR02	1990s	Propane	Neither Shared	1	0	23	192616.0019
CR02	1990s	Propane	Only Cooling Shared	1	0	0	0
CR02	1990s	Propane	Only Heating Shared	1	0	0	0
CR02	2000s	Electricity	Both Shared	1	0	2	11289.35153
CR02	2000s	Electricity	Neither Shared	0.570691511	0.429308489	18	101706.1488
CR02	2000s	Electricity	Only Cooling Shared	1	0	0	0
CR02	2000s	Electricity	Only Heating Shared	1	0	1	6273.485517
CR02	2000s	Fuel Oil	Both Shared	1	0	0	0
CR02	2000s	Fuel Oil	Neither Shared	1	0	0	0
CR02	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR02	2000s	Fuel Oil	Only Heating Shared	1	0	0	0
CR02	2000s	Natural Gas	Both Shared	1	0	0	0
CR02	2000s	Natural Gas	Neither Shared	0.976553254	0.023446746	68	397559.9696
CR02	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR02	2000s	Natural Gas	Only Heating Shared	1	0	2	16720.39746
CR02	2000s	None	Both Shared	1	0	0	0
CR02	2000s	None	Neither Shared	1	0	0	0
CR02	2000s	None	Only Cooling Shared	1	0	0	0
CR02	2000s	None	Only Heating Shared	1	0	0	0
CR02	2000s	Other Fuel	Both Shared	1	0	0	0
CR02	2000s	Other Fuel	Neither Shared	1	0	1	4500.823397
CR02	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR02	2000s	Other Fuel	Only Heating Shared	1	0	2	13329.17065
CR02	2000s	Propane	Both Shared	1	0	0	0
CR02	2000s	Propane	Neither Shared	1	0	14	121819.3249
CR02	2000s	Propane	Only Cooling Shared	1	0	0	0
CR02	2000s	Propane	Only Heating Shared	1	0	0	0
CR03	<1950	Electricity	Both Shared	1	0	1	4294.151879
CR03	<1950	Electricity	Neither Shared	0.947963367	0.052036633	15	78133.94812
CR03	<1950	Electricity	Only Cooling Shared	1	0	0	0
CR03	<1950	Electricity	Only Heating Shared	1	0	6	44709.45904
CR03	<1950	Fuel Oil	Both Shared	1	0	1	4739.70291
CR03	<1950	Fuel Oil	Neither Shared	1	0	125	706130.671
CR03	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	<1950	Fuel Oil	Only Heating Shared	1	0	20	141183.5386
CR03	<1950	Natural Gas	Both Shared	1	0	1	8067.488595
CR03	<1950	Natural Gas	Neither Shared	1	0	132	746518.5374
CR03	<1950	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	<1950	Natural Gas	Only Heating Shared	1	0	27	180409.1757
CR03	<1950	None	Both Shared	1	0	0	0
CR03	<1950	None	Neither Shared	1	0	0	0
CR03	<1950	None	Only Cooling Shared	1	0	1	4269.741819
CR03	<1950	None	Only Heating Shared	1	0	0	0
CR03	<1950	Other Fuel	Both Shared	1	0	0	0
CR03	<1950	Other Fuel	Neither Shared	1	0	8	48126.23846
CR03	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	<1950	Other Fuel	Only Heating Shared	1	0	1	11638.25311
CR03	<1950	Propane	Both Shared	1	0	0	0
CR03	<1950	Propane	Neither Shared	1	0	6	40965.12781
CR03	<1950	Propane	Only Cooling Shared	1	0	0	0
CR03	<1950	Propane	Only Heating Shared	1	0	2	13805.52906
CR03	1950s	Electricity	Both Shared	1	0	0	0
CR03	1950s	Electricity	Neither Shared	1	0	7	38873.01746
CR03	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR03	1950s	Electricity	Only Heating Shared	1	0	0	0
CR03	1950s	Fuel Oil	Both Shared	1	0	0	0
CR03	1950s	Fuel Oil	Neither Shared	1	0	65	377981.3401
CR03	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	1950s	Fuel Oil	Only Heating Shared	1	0	7	52483.32713
CR03	1950s	Natural Gas	Both Shared	1	0	1	7420.936806
CR03	1950s	Natural Gas	Neither Shared	1	0	35	191384.5828
CR03	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	1950s	Natural Gas	Only Heating Shared	1	0	4	28813.86545
CR03	1950s	None	Both Shared	1	0	0	0
CR03	1950s	None	Neither Shared	1	0	0	0
CR03	1950s	None	Only Cooling Shared	1	0	0	0
CR03	1950s	None	Only Heating Shared	1	0	0	0
CR03	1950s	Other Fuel	Both Shared	1	0	0	0
CR03	1950s	Other Fuel	Neither Shared	1	0	6	43014.2559
CR03	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR03	1950s	Propane	Both Shared	1	0	0	0
CR03	1950s	Propane	Neither Shared	1	0	0	0
CR03	1950s	Propane	Only Cooling Shared	1	0	0	0
CR03	1950s	Propane	Only Heating Shared	1	0	0	0
CR03	1960s	Electricity	Both Shared	1	0	0	0
CR03	1960s	Electricity	Neither Shared	1	0	4	22298.24533
CR03	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR03	1960s	Electricity	Only Heating Shared	1	0	1	6469.69616
CR03	1960s	Fuel Oil	Both Shared	1	0	0	0
CR03	1960s	Fuel Oil	Neither Shared	0.967888062	0.032111938	30	175296.1552
CR03	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	1960s	Fuel Oil	Only Heating Shared	1	0	7	53558.37676
CR03	1960s	Natural Gas	Both Shared	1	0	0	0
CR03	1960s	Natural Gas	Neither Shared	1	0	31	163235.7442
CR03	1960s	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	1960s	Natural Gas	Only Heating Shared	1	0	11	80331.96347
CR03	1960s	None	Both Shared	1	0	0	0
CR03	1960s	None	Neither Shared	1	0	1	5795.557167
CR03	1960s	None	Only Cooling Shared	1	0	0	0
CR03	1960s	None	Only Heating Shared	1	0	0	0
CR03	1960s	Other Fuel	Both Shared	1	0	0	0
CR03	1960s	Other Fuel	Neither Shared	1	0	6	31397.4815
CR03	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR03	1960s	Propane	Both Shared	1	0	0	0
CR03	1960s	Propane	Neither Shared	1	0	2	12081.80587
CR03	1960s	Propane	Only Cooling Shared	1	0	0	0
CR03	1960s	Propane	Only Heating Shared	1	0	0	0
CR03	1970s	Electricity	Both Shared	1	0	0	0
CR03	1970s	Electricity	Neither Shared	1	0	10	57850.76398
CR03	1970s	Electricity	Only Cooling Shared	1	0	0	0
CR03	1970s	Electricity	Only Heating Shared	1	0	3	19121.69495
CR03	1970s	Fuel Oil	Both Shared	1	0	0	0
CR03	1970s	Fuel Oil	Neither Shared	1	0	31	191261.7187
CR03	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	1970s	Fuel Oil	Only Heating Shared	1	0	7	39477.41638
CR03	1970s	Natural Gas	Both Shared	1	0	1	5506.848253
CR03	1970s	Natural Gas	Neither Shared	1	0	19	107123.4316
CR03	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	1970s	Natural Gas	Only Heating Shared	1	0	20	104307.3455
CR03	1970s	None	Both Shared	1	0	0	0
CR03	1970s	None	Neither Shared	1	0	0	0
CR03	1970s	None	Only Cooling Shared	1	0	0	0
CR03	1970s	None	Only Heating Shared	1	0	0	0
CR03	1970s	Other Fuel	Both Shared	1	0	0	0
CR03	1970s	Other Fuel	Neither Shared	1	0	15	101853.2764
CR03	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR03	1970s	Propane	Both Shared	1	0	0	0
CR03	1970s	Propane	Neither Shared	1	0	2	16666.02537
CR03	1970s	Propane	Only Cooling Shared	1	0	0	0
CR03	1970s	Propane	Only Heating Shared	1	0	1	9718.807889
CR03	1980s	Electricity	Both Shared	1	0	1	4294.151879
CR03	1980s	Electricity	Neither Shared	0.957138823	0.042861177	17	92342.78606
CR03	1980s	Electricity	Only Cooling Shared	1	0	1	4406.747113
CR03	1980s	Electricity	Only Heating Shared	1	0	3	17544.46075
CR03	1980s	Fuel Oil	Both Shared	1	0	0	0
CR03	1980s	Fuel Oil	Neither Shared	1	0	32	200283.1634
CR03	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	1980s	Fuel Oil	Only Heating Shared	1	0	2	15196.75995
CR03	1980s	Natural Gas	Both Shared	1	0	0	0
CR03	1980s	Natural Gas	Neither Shared	0.972524137	0.027475863	47	244185.1948
CR03	1980s	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	1980s	Natural Gas	Only Heating Shared	1	0	23	158279.2357
CR03	1980s	None	Both Shared	1	0	0	0
CR03	1980s	None	Neither Shared	1	0	0	0
CR03	1980s	None	Only Cooling Shared	1	0	0	0
CR03	1980s	None	Only Heating Shared	1	0	0	0
CR03	1980s	Other Fuel	Both Shared	1	0	0	0
CR03	1980s	Other Fuel	Neither Shared	1	0	7	43141.29464
CR03	1980s	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	1980s	Other Fuel	Only Heating Shared	1	0	1	8833.604979
CR03	1980s	Propane	Both Shared	1	0	0	0
CR03	1980s	Propane	Neither Shared	1	0	3	17770.67271
CR03	1980s	Propane	Only Cooling Shared	1	0	0	0
CR03	1980s	Propane	Only Heating Shared	1	0	0	0
CR03	1990s	Electricity	Both Shared	1	0	0	0
CR03	1990s	Electricity	Neither Shared	1	0	6	25737.05035
CR03	1990s	Electricity	Only Cooling Shared	1	0	0	0
CR03	1990s	Electricity	Only Heating Shared	1	0	0	0
CR03	1990s	Fuel Oil	Both Shared	1	0	1	5531.585402
CR03	1990s	Fuel Oil	Neither Shared	1	0	24	142999.8941
CR03	1990s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	1990s	Fuel Oil	Only Heating Shared	1	0	0	0
CR03	1990s	Natural Gas	Both Shared	1	0	0	0
CR03	1990s	Natural Gas	Neither Shared	1	0	21	104632.1809
CR03	1990s	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	1990s	Natural Gas	Only Heating Shared	1	0	1	6653.389598
CR03	1990s	None	Both Shared	1	0	0	0
CR03	1990s	None	Neither Shared	1	0	0	0
CR03	1990s	None	Only Cooling Shared	1	0	0	0
CR03	1990s	None	Only Heating Shared	1	0	0	0
CR03	1990s	Other Fuel	Both Shared	1	0	0	0
CR03	1990s	Other Fuel	Neither Shared	1	0	5	33363.35544
CR03	1990s	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	1990s	Other Fuel	Only Heating Shared	1	0	1	5639.385226
CR03	1990s	Propane	Both Shared	1	0	0	0
CR03	1990s	Propane	Neither Shared	1	0	2	16050.14645
CR03	1990s	Propane	Only Cooling Shared	1	0	0	0
CR03	1990s	Propane	Only Heating Shared	1	0	0	0
CR03	2000s	Electricity	Both Shared	1	0	0	0
CR03	2000s	Electricity	Neither Shared	1	0	3	15791.82641
CR03	2000s	Electricity	Only Cooling Shared	1	0	0	0
CR03	2000s	Electricity	Only Heating Shared	1	0	0	0
CR03	2000s	Fuel Oil	Both Shared	1	0	0	0
CR03	2000s	Fuel Oil	Neither Shared	1	0	33	187434.0267
CR03	2000s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR03	2000s	Fuel Oil	Only Heating Shared	1	0	0	0
CR03	2000s	Natural Gas	Both Shared	1	0	0	0
CR03	2000s	Natural Gas	Neither Shared	0.951420146	0.048579854	16	79774.35698
CR03	2000s	Natural Gas	Only Cooling Shared	1	0	0	0
CR03	2000s	Natural Gas	Only Heating Shared	1	0	2	15240.48306
CR03	2000s	None	Both Shared	1	0	0	0
CR03	2000s	None	Neither Shared	1	0	0	0
CR03	2000s	None	Only Cooling Shared	1	0	0	0
CR03	2000s	None	Only Heating Shared	1	0	0	0
CR03	2000s	Other Fuel	Both Shared	1	0	0	0
CR03	2000s	Other Fuel	Neither Shared	1	0	8	49652.38549
CR03	2000s	Other Fuel	Only Cooling Shared	1	0	0	0
CR03	2000s	Other Fuel	Only Heating Shared	1	0	0	0
CR03	2000s	Propane	Both Shared	1	0	0	0
CR03	2000s	Propane	Neither Shared	1	0	5	40003.61814
CR03	2000s	Propane	Only Cooling Shared	1	0	0	0
CR03	2000s	Propane	Only Heating Shared	1	0	0	0
CR04	<1950	Electricity	Both Shared	1	0	0	0
CR04	<1950	Electricity	Neither Shared	0.819122982	0.180877018	20	310943.8199
CR04	<1950	Electricity	Only Cooling Shared	1	0	0	0
CR04	<1950	Electricity	Only Heating Shared	1	0	0	0
CR04	<1950	Fuel Oil	Both Shared	1	0	0	0
CR04	<1950	Fuel Oil	Neither Shared	1	0	4	57881.80925
CR04	<1950	Fuel Oil	Only Cooling Shared	1	0	0	0
CR04	<1950	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	<1950	Natural Gas	Both Shared	1	0	1	95779.14457
CR04	<1950	Natural Gas	Neither Shared	0.989384995	0.010615005	175	2766093.821
CR04	<1950	Natural Gas	Only Cooling Shared	1	0	1	17888.36445
CR04	<1950	Natural Gas	Only Heating Shared	1	0	18	373330.0754
CR04	<1950	None	Both Shared	1	0	0	0
CR04	<1950	None	Neither Shared	1	0	2	34488.78435
CR04	<1950	None	Only Cooling Shared	1	0	0	0
CR04	<1950	None	Only Heating Shared	1	0	0	0
CR04	<1950	Other Fuel	Both Shared	1	0	0	0
CR04	<1950	Other Fuel	Neither Shared	1	0	7	123333.7762
CR04	<1950	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	<1950	Other Fuel	Only Heating Shared	1	0	0	0
CR04	<1950	Propane	Both Shared	1	0	0	0
CR04	<1950	Propane	Neither Shared	1	0	7	160540.166
CR04	<1950	Propane	Only Cooling Shared	1	0	0	0
CR04	<1950	Propane	Only Heating Shared	1	0	1	14639.67274
CR04	1950s	Electricity	Both Shared	1	0	0	0
CR04	1950s	Electricity	Neither Shared	0.80015748	0.19984252	6	86409.40319
CR04	1950s	Electricity	Only Cooling Shared	1	0	0	0
CR04	1950s	Electricity	Only Heating Shared	1	0	2	39000.17502
CR04	1950s	Fuel Oil	Both Shared	1	0	0	0
CR04	1950s	Fuel Oil	Neither Shared	1	0	5	100655.9521
CR04	1950s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR04	1950s	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	1950s	Natural Gas	Both Shared	1	0	1	13789.30898
CR04	1950s	Natural Gas	Neither Shared	1	0	113	1852186.105
CR04	1950s	Natural Gas	Only Cooling Shared	1	0	0	0
CR04	1950s	Natural Gas	Only Heating Shared	1	0	7	133766.8939
CR04	1950s	None	Both Shared	1	0	0	0
CR04	1950s	None	Neither Shared	1	0	0	0
CR04	1950s	None	Only Cooling Shared	1	0	0	0
CR04	1950s	None	Only Heating Shared	1	0	0	0
CR04	1950s	Other Fuel	Both Shared	1	0	0	0
CR04	1950s	Other Fuel	Neither Shared	1	0	3	57792.68088
CR04	1950s	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	1950s	Other Fuel	Only Heating Shared	1	0	0	0
CR04	1950s	Propane	Both Shared	1	0	0	0
CR04	1950s	Propane	Neither Shared	1	0	2	43093.26238
CR04	1950s	Propane	Only Cooling Shared	1	0	0	0
CR04	1950s	Propane	Only Heating Shared	1	0	0	0
CR04	1960s	Electricity	Both Shared	1	0	0	0
CR04	1960s	Electricity	Neither Shared	0.96510729	0.03489271	24	402875.9439
CR04	1960s	Electricity	Only Cooling Shared	1	0	0	0
CR04	1960s	Electricity	Only Heating Shared	1	0	1	31063.28278
CR04	1960s	Fuel Oil	Both Shared	1	0	0	0
CR04	1960s	Fuel Oil	Neither Shared	1	0	1	12581.55885
CR04	1960s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR04	1960s	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	1960s	Natural Gas	Both Shared	1	0	0	0
CR04	1960s	Natural Gas	Neither Shared	0.955392979	0.044607021	83	1386303.84
CR04	1960s	Natural Gas	Only Cooling Shared	1	0	2	35979.96124
CR04	1960s	Natural Gas	Only Heating Shared	1	0	10	189266.2563
CR04	1960s	None	Both Shared	1	0	0	0
CR04	1960s	None	Neither Shared	1	0	0	0
CR04	1960s	None	Only Cooling Shared	1	0	0	0
CR04	1960s	None	Only Heating Shared	1	0	0	0
CR04	1960s	Other Fuel	Both Shared	1	0	0	0
CR04	1960s	Other Fuel	Neither Shared	1	0	1	13948.80208
CR04	1960s	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	1960s	Other Fuel	Only Heating Shared	1	0	0	0
CR04	1960s	Propane	Both Shared	1	0	0	0
CR04	1960s	Propane	Neither Shared	1	0	1	21668.2812
CR04	1960s	Propane	Only Cooling Shared	1	0	0	0
CR04	1960s	Propane	Only Heating Shared	1	0	0	0
CR04	1970s	Electricity	Both Shared	1	0	0	0
CR04	1970s	Electricity	Neither Shared	0.862234141	0.137765859	38	638112.3274
CR04	1970s	Electricity	Only Cooling Shared	1	0	0	0
CR04	1970s	Electricity	Only Heating Shared	1	0	2	35375.0412
CR04	1970s	Fuel Oil	Both Shared	1	0	0	0
CR04	1970s	Fuel Oil	Neither Shared	0.67514764	0.32485236	3	41245.16742
CR04	1970s	Fuel Oil	Only Cooling Shared	1	0	0	0
CR04	1970s	Fuel Oil	Only Heating Shared	1	0	0	0
CR04	1970s	Natural Gas	Both Shared	1	0	4	72167.31881
CR04	1970s	Natural Gas	Neither Shared	0.990398924	0.009601076	69	1129581.497
CR04	1970s	Natural Gas	Only Cooling Shared	1	0	0	0
CR04	1970s	Natural Gas	Only Heating Shared	1	0	9	197830.0548
CR04	1970s	None	Both Shared	1	0	0	0
CR04	1970s	None	Neither Shared	1	0	0	0
CR04	1970s	None	Only Cooling Shared	1	0	0	0
CR04	1970s	None	Only Heating Shared	1	0	0	0
CR04	1970s	Other Fuel	Both Shared	1	0	1	20120.8937
CR04	1970s	Other Fuel	Neither Shared	1	0	2	31919.63241
CR04	1970s	Other Fuel	Only Cooling Shared	1	0	0	0
CR04	1970s	Other Fuel	Only Heating Shared	1	0	0	0
CR04	1970s	Propane	Both Shared	1	0	0	0
CR04	1970s	Propane	Neither Shared	1	0	5	122357.5167
CR04	1970s	Propane	Only Cooling Shared	1	0	0	0
CR04	1970s	Propane	Only Heating Shared	1	0	0	0
CR04	1980s	Electricity	Both Shared	1	0	0	0
CR04	1980s	Electricity	Neither Shared	0.731394511	0.268605489	25	479833.5181
CR04	1980s	Electricity	Only Cooling Shared	1	0	0	0
CR04	1980s	Electricity	Only Heating Shared	1	0	1	19823.3603
CR04	1980s	Fuel Oil	Both Shared	1	0	0	0
CR04	1980s	Fuel Oil	Neither Shared	1	0	0	0
CR04	1980s	Fuel Oil	Only Cooling Shared	1	0	0	0
