,,,Interzonal Floor,Interzonal Floor,Interzonal Floor,Interzonal Floor,Interzonal Floor,,
CR06,Pacific Northwest,1980s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,1980s,0.469560050943224,0.198536411757728,0.331903537299048,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,1980s,0.407656415207098,0.117366953217181,0.474976631575721,0,0,1,Same as PierBeam worksheet
CR09,Southeast,1980s,0.572895030410201,0.196682335144246,0.230422634445553,0,0,1,Same as PierBeam worksheet
CR10,Southwest,1980s,0.410096818810512,0.508397549891326,8.15056312981624E-02,0,0,1,Same as PierBeam worksheet
CR11,California,1980s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,1980s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR01,Alaska,1990s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR02,Upper Midwest,1990s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR03,Mountain North,1990s,0.620364985587907,0.141082709654744,0.23855230475735,0,0,1,Same as PierBeam worksheet
CR04,New England,1990s,0.769959146779153,6.27420398252439E-02,0.167298813395603,0,0,1,Same as PierBeam worksheet
CR05,Great Lakes,1990s,0.412169523661292,0.260818965822185,0.327011510516523,0,0,1,Same as PierBeam worksheet
CR06,Pacific Northwest,1990s,0.558987082538017,0.19785393563559,0.243158981826393,0,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,1990s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,1990s,0.469560050943224,0.198536411757728,0.331903537299048,0,0,1,Same as PierBeam worksheet
CR09,Southeast,1990s,0.407656415207098,0.117366953217181,0.474976631575721,0,0,1,Same as PierBeam worksheet
CR10,Southwest,1990s,0.572895030410201,0.196682335144246,0.230422634445553,0,0,1,Same as PierBeam worksheet
CR11,California,1990s,0.410096818810512,0.508397549891326,8.15056312981624E-02,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,1990s,0.231694220201373,0.171695475889143,0.596610303909485,0,0,1,Same as PierBeam worksheet
CR01,Alaska,2000s,0,0,0,0,1,1,Same as PierBeam worksheet
CR02,Upper Midwest,2000s,0,0,0,1,0,1,Same as PierBeam worksheet
CR03,Mountain North,2000s,0,0,0,1,0,1,Same as PierBeam worksheet
CR04,New England,2000s,0,0,0,1,0,1,Same as PierBeam worksheet
CR05,Great Lakes,2000s,0,0,0,1,0,1,Same as PierBeam worksheet
CR06,Pacific Northwest,2000s,0,0,0,1,0,1,Same as PierBeam worksheet
CR07,Mid Atlantic,2000s,0,0,1,0,0,1,Same as PierBeam worksheet
CR08,Zone 4A,2000s,0,0,1,0,0,1,Same as PierBeam worksheet
CR09,Southeast,2000s,0,1,0,0,0,1,Same as PierBeam worksheet
CR10,Southwest,2000s,0,1,0,0,0,1,Same as PierBeam worksheet
CR11,California,2000s,0,0,1,0,0,1,Same as PierBeam worksheet
CR12,Hawaii,2000s,0,1,0,0,0,1,Same as PierBeam worksheet
