,,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,Ducts,,
Crawl,1980s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Crawl,1990s,0.259,0.47,0.271,0,0,0,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Crawl,2000s,0,0,0,0,0,0,0.259,0.47,0.271,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,pre-1950,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,1950s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,1960s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,1970s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,1980s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,1990s,0,0,0,0.259,0.47,0.271,0,0,0,0,0,0,0,1,PNNL 2009 normal distribution; insul. values rom IECC
Slab,2000s,0,0,0,0,0,0,0,0,0,0.259,0.47,0.271,0,1,PNNL 2009 normal distribution; insul. values rom IECC
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
