Building,Location Weather Year,Usage Level,Geometry Single Unit Level,Geometry Single Unit Horizontal Location,Geometry Single Unit Has Rear Units,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Geometry Nearest Neighbor LeftRight,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Insulation Unfinished Attic,Insulation Finished Roof,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Is Heatpump,HVAC System Heatpump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,HVAC System Shared,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
11,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,NJ_Newark.Intl.AP.725020,CR07,USA_NJ_Newark.Intl.AP.725020_TMY3.epw,1980-99s,1980s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,15,None,None,N/a,1,True,LeftRight,None,27,Auto,Southwest,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,R-19,"Wood Stud, R-11",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 13",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour6,None,Day56,0.13
12,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,WI_Madison-Dane.County.Rgnl.AP.726410,CR02,USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-38, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-19",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,67F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",7 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour17,None,Day7,0.13
13,TMY3,High,Top,Right,TRUE,10 to 19 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,1,16,None,None,N/a,1,True,Left,LeftRight,12,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-7, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,None,69F,72F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour15,None,Day0,0.13
14,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,KY_Louisville-Standiford.Field.724230,CR08,USA_KY_Louisville-Standiford.Field.724230_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,16,None,None,N/a,1,True,LeftRight,None,4,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,None,68F,73F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour20,None,Day53,0.13
15,TMY3,High,Top,Right,TRUE,10 to 19 Unit,TX_Houston-Bush.Intercontinental.AP.722430,CR09,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,LeftRight,None,27,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-19",2+ Pane,Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 15",Central,None,69F,75F,National Average,None,EF 15.9,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour11,None,Day88,0.13
16,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,OH_Dayton.Intl.AP.724290,CR04,USA_OH_Dayton.Intl.AP.724290_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,LeftRight,None,27,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,None,68F,73F,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,Day74,0.13
17,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,MI_Flint-Bishop.Intl.AP.726370,CR04,USA_MI_Flint-Bishop.Intl.AP.726370_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,3,12,None,None,N/a,1,True,LeftRight,None,12,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-13, Vented",Uninsulated,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,None,67F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour12,Hour16,None,Day20,0.13
18,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,VA_Sterling-Washington.Dulles.Intl.AP.724030,CR08,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Crawl,0-1499,3,12,None,None,N/a,1,True,Left,None,12,Auto,Southwest,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,Yes,"ASHP, SEER 10, 6.2 HSPF",None,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,68F,73F,National Average,None,EF 10.2,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour19,None,Day60,0.13
19,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,CA_Long.Beach-Daugherty.Field.722970,CR11,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,2,16,None,None,N/a,1,True,Left,None,12,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,No,None,Electric Furnace,None,None,None,None,None,None,None,Fan coil with chiller/Boiler,70F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour12,None,Day34,0.13
20,TMY3,Medium,Top,Right,TRUE,10 to 19 Unit,TX_Houston-Bush.Intercontinental.AP.722430,CR09,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,10 to 19 Units low,Slab,0-1499,3,12,None,None,N/a,1,True,LeftRight,None,12,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Only Cooling Shared,No,None,Electric Furnace,None,None,None,None,None,None,Central,None,69F,75F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour14,None,Day67,0.13
21,TMY3,Low,Top,Right,TRUE,10 to 19 Unit,CA_Long.Beach-Daugherty.Field.722970,CR11,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Slab,1500-2499,3,12,None,None,N/a,2,True,LeftRight,None,27,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-30, Vented",Uninsulated,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Both Shared,No,None,None,None,None,None,None,None,None,Central,None,70F,73F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",60% CFL,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour8,Hour17,None,Day23,0.13
22,TMY3,High,Top,Right,TRUE,10 to 19 Unit,NJ_Newark.Intl.AP.725020,CR07,USA_NJ_Newark.Intl.AP.725020_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,12,None,None,N/a,1,True,Left,None,27,Auto,Southeast,2 ft,20 ft^2,F15 B15 L15 R15,None,"Ceiling R-19, Vented",R-30,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,No,None,None,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,None,68F,73F,National Average,None,EF 15.9,"Gas, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour12,None,Day30,0.13
