Parameter Name	Option Name	Measure Dir	Measure Arg 1	Measure Arg 2	...																								
Location Region	CR02																												
Location Region	CR03																												
Location Region	CR04																												
Location Region	CR05																												
Location Region	CR06																												
Location Region	CR07																												
Location Region	CR08																												
Location Region	CR09																												
Location Region	CR10																												
Location Region	CR11																												
Location Heating Region	H1																												
Location Heating Region	H2																												
Location Heating Region	H3																												
Location Cooling Region	C1																												
Location Cooling Region	C2																												
Location Cooling Region	C3																												
Location	OR_Eugene-Mahlon.Sweet.AP.726930	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Eugene-Mahlon.Sweet.AP.726930.epw																										
Location	OR_Medford-Rogue.Valley.Intl.AP.725970	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Medford-Rogue.Valley.Intl.AP.725970.epw																										
Location	OR_North.Bend.Muni.AP.726917	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_North.Bend.Muni.AP.726917.epw																										
Location	OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880.epw																										
Location	OR_Portland.Intl.AP.726980	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Portland.Intl.AP.726980.epw																										
Location	OR_Redmond-Roberts.Field.726835	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Redmond-Roberts.Field.726835.epw																										
Location	OR_Salem-McNary.Field.726940	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_OR_Salem-McNary.Field.726940.epw																										
Location	PA_Allentown-Lehigh.Valley.Intl.AP.725170	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170.epw																										
Location	PA_Bradford.Rgnl.AP.725266	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_PA_Bradford.Rgnl.AP.725266.epw																										
Location	PA_Erie.Intl.AP.725260	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_PA_Erie.Intl.AP.725260.epw																										
Location	PA_Harrisburg-Capital.City.AP.725118	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_PA_Harrisburg-Capital.City.AP.725118.epw																										
Location	PA_Philadelphia.Intl.AP.724080	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_PA_Philadelphia.Intl.AP.724080.epw																										
Location	PA_Pittsburgh.Intl.AP.725200	BuildResidentialHPXML	weather_station_epw_filepath=../../../weather/USA_PA_Pittsburgh.Intl.AP.725200.epw																										
