Building,Location Weather Year,Usage Level,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Lighting Use,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Pump,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
50,TMY3,High,50 or more Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,50 or more Units high,Unheated Basement,0-1499,2,54,None,None,N/a,1,TRUE,LeftRight,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,68F,73F,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",60% CFL,100% Usage,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour20,None,Day0,0.13
2,TMY3,Low,Single-Family Detached,CA_Long.Beach-Daugherty.Field.722970,CR11,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,1940-59s,1950s,Natural Gas,Single-Family Detached,<5,Slab,0-1499,2,None,None,None,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,4,"Ceiling R-30, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,None,None,70F,73F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour19,None,Day34,0.13
3,TMY3,Medium,Single-Family Detached,PA_Pittsburgh.Intl.AP.725200,CR07,USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw,1940-59s,1950s,Natural Gas,Single-Family Detached,<5,Heated Basement,1500-2499,2,None,None,1 Car,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",60% CFL,100% Usage,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day8,0.13
5,TMY3,Low,Single-Family Detached,VA_Sterling-Washington.Dulles.Intl.AP.724030,CR08,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw,1980-99s,1990s,Electricity,Single-Family Detached,<5,Heated Basement,1500-2499,1,None,None,3 Car,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-30, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,None,Wall R-10,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,68F,73F,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,In Finished Space,8 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour12,None,Day9,0.13
6,TMY3,Low,Single-Family Detached,GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190,CR09,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,1980-99s,1990s,Natural Gas,Single-Family Detached,<5,Slab,0-1499,1,None,None,None,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,69F,74F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"30% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour20,None,Day19,0.13
7,TMY3,Medium,Single-Family Detached,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,<1940,<1940,Natural Gas,Single-Family Detached,<5,Unheated Basement,1500-2499,2,None,None,None,2,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-19, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day21,0.13
8,TMY3,Medium,Single-Family Detached,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,1940-59s,1950s,Natural Gas,Single-Family Detached,<5,Unheated Basement,1500-2499,2,None,None,None,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-38, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour16,None,Day5,0.13
9,TMY3,Medium,Single-Family Detached,IN_Indianapolis.Intl.AP.724380,CR04,USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw,1960-79s,1970s,Natural Gas,Single-Family Detached,<5,Heated Basement,1500-2499,2,None,None,1 Car,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-19, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,68F,73F,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100% Usage,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour17,None,Day2,0.13
10,TMY3,Low,Single-Family Attached,PA_Philadelphia.Intl.AP.724080,CR07,USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw,<1940,<1940,Natural Gas,Single-Family Attached,<5,Heated Basement,0-1499,2,None,5,None,2,N/a,TRUE,LeftRight,Left,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-38, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,None,None,68F,73F,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,100% Usage,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,In Finished Space,20 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour5,None,Day26,0.13
11,TMY3,Low,Single-Family Detached,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1980-99s,1980s,Natural Gas,Single-Family Detached,<5,Slab,1500-2499,1,None,None,2 Car,1,N/a,FALSE,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,70F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,100% Usage,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"30% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour10,None,Day13,0.13
