Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC
4B	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Single-Family Attached	Non-Ducted Heating	2050s	0.957656	0.000000	0.029568	0.012776
4B	Single-Family Attached	None	2050s	0.957656	0.000000	0.029568	0.012776
4B	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Single-Family Detached	Ducted Heating	2050s	0.940622	0.000000	0.017181	0.042198
4B	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4B	Single-Family Detached	Non-Ducted Heating	2050s	0.957656	0.000000	0.029568	0.012776
4B	Single-Family Detached	None	2050s	0.957656	0.000000	0.029568	0.012776
4C	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	Ducted Heating	2050s	0.390650	0.000000	0.218700	0.390650
4C	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	Non-Ducted Heating	2050s	0.390650	0.000000	0.218700	0.390650
4C	Mobile Home	None	2050s	0.390650	0.000000	0.218700	0.390650
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.171950	0.000000	0.656100	0.171950
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.092730	0.000000	0.353826	0.553443
4C	Multi-Family with 2 - 4 Units	None	2050s	0.092730	0.000000	0.353826	0.553443
4C	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 5+ Units	Ducted Heating	2050s	0.171950	0.000000	0.656100	0.171950
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.092730	0.000000	0.353826	0.553443
4C	Multi-Family with 5+ Units	None	2050s	0.092730	0.000000	0.353826	0.553443
4C	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Single-Family Attached	Ducted Heating	2050s	0.302408	0.000000	0.388594	0.308998
4C	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Single-Family Attached	Non-Ducted Heating	2050s	0.181781	0.000000	0.233473	0.584744
4C	Single-Family Attached	None	2050s	0.181781	0.000000	0.233473	0.584744
4C	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Single-Family Detached	Ducted Heating	2050s	0.302408	0.000000	0.388594	0.308998
4C	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
4C	Single-Family Detached	Non-Ducted Heating	2050s	0.181781	0.000000	0.233473	0.584744
4C	Single-Family Detached	None	2050s	0.181781	0.000000	0.233473	0.584744
5A	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	Ducted Heating	2050s	1.000000	0.000000	0.000000	0.000000
5A	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	Non-Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
5A	Mobile Home	None	2050s	0.515624	0.000000	0.105469	0.378906
5A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.944866	0.000000	0.000000	0.055134
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.384109	0.000000	0.066762	0.549129
5A	Multi-Family with 2 - 4 Units	None	2050s	0.384109	0.000000	0.066762	0.549129
5A	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 5+ Units	Ducted Heating	2050s	0.944866	0.000000	0.000000	0.055134
5A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.384109	0.000000	0.066762	0.549129
5A	Multi-Family with 5+ Units	None	2050s	0.384109	0.000000	0.066762	0.549129
5A	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Single-Family Attached	Ducted Heating	2050s	0.947803	0.000000	0.011224	0.040973
5A	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Single-Family Attached	Non-Ducted Heating	2050s	0.501334	0.000000	0.067334	0.431331
5A	Single-Family Attached	None	2050s	0.501334	0.000000	0.067334	0.431331
5A	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Single-Family Detached	Ducted Heating	2050s	0.947803	0.000000	0.011224	0.040973
5A	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5A	Single-Family Detached	Non-Ducted Heating	2050s	0.501334	0.000000	0.067334	0.431331
5A	Single-Family Detached	None	2050s	0.501334	0.000000	0.067334	0.431331
5B	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Mobile Home	Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
5B	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Mobile Home	Non-Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
5B	Mobile Home	None	2050s	0.515624	0.000000	0.105469	0.378906
5B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.929460	0.000000	0.049257	0.021284
5B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
5B	Multi-Family with 2 - 4 Units	None	2050s	0.515624	0.000000	0.105469	0.378906
5B	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Multi-Family with 5+ Units	Ducted Heating	2050s	0.929460	0.000000	0.049257	0.021284
5B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.515624	0.000000	0.105469	0.378906
5B	Multi-Family with 5+ Units	None	2050s	0.515624	0.000000	0.105469	0.378906
5B	Single-Family Attached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Single-Family Attached	Ducted Heating	2050s	0.965370	0.000000	0.024181	0.010449
5B	Single-Family Attached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Single-Family Attached	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
5B	Single-Family Attached	None	2050s	0.546875	0.000000	0.316406	0.136719
5B	Single-Family Detached	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Single-Family Detached	Ducted Heating	2050s	0.965370	0.000000	0.024181	0.010449
5B	Single-Family Detached	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
5B	Single-Family Detached	Non-Ducted Heating	2050s	0.546875	0.000000	0.316406	0.136719
5B	Single-Family Detached	None	2050s	0.546875	0.000000	0.316406	0.136719
6A	Mobile Home	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
6A	Mobile Home	Ducted Heating	2050s	0.128958	0.000000	0.492059	0.378983
6A	Mobile Home	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
6A	Mobile Home	Non-Ducted Heating	2050s	0.390650	0.000000	0.218700	0.390650
6A	Mobile Home	None	2050s	0.390650	0.000000	0.218700	0.390650
6A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
6A	Multi-Family with 2 - 4 Units	Ducted Heating	2050s	0.357332	0.000000	0.430462	0.212205
6A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
6A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2050s	0.179126	0.000000	0.000000	0.820874
6A	Multi-Family with 2 - 4 Units	None	2050s	0.179126	0.000000	0.000000	0.820874
6A	Multi-Family with 5+ Units	Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
6A	Multi-Family with 5+ Units	Ducted Heating	2050s	0.357332	0.000000	0.430462	0.212205
6A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2050s	0.000000	1.000000	0.000000	0.000000
6A	Multi-Family with 5+ Units	Non-Ducted Heating	2050s	0.179126	0.000000	0.000000	0.820874
6A	Multi-Family with 5+ Units	None	2050s	0.179126	0.000000	0.000000	0.820874
