Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=vintage,100,101-124,125,126-199,200,201+,<100
single-family attached,1500-1999,1970s,0.506219,0.005738,0.107076,0.055141,0.277635,0.017802,0.030388
single-family attached,1500-1999,1980s,0.429759,0.006628,0.169376,0.052496,0.289961,0.02378,0.028001
single-family attached,1500-1999,1990s,0.350372,0.004268,0.171146,0.061376,0.362597,0.020372,0.029868
single-family attached,1500-1999,2000s,0.293742,0.003474,0.076272,0.063725,0.525808,0.030319,0.00666
single-family attached,1500-1999,2010s,0.286945,0.004365,0.051157,0.042814,0.551595,0.042548,0.020577
single-family attached,1500-1999,<1940,0.766407,0.003886,0.051488,0.027037,0.121008,0.015377,0.014796
single-family attached,2000-2499,1940s,0.685902,0.002618,0.012719,0.048493,0.222777,0.020603,0.006888
single-family attached,2000-2499,1950s,0.509445,0.003204,0.046118,0.029372,0.359635,0.032771,0.019455
single-family attached,2000-2499,1960s,0.379525,0.003049,0.068142,0.042048,0.457698,0.035466,0.014071
single-family attached,2000-2499,1970s,0.313683,0.008127,0.157841,0.042918,0.40494,0.052224,0.020268
single-family attached,2000-2499,1980s,0.365429,0.002904,0.085659,0.038392,0.459762,0.028483,0.019371
single-family attached,2000-2499,1990s,0.264042,0.001959,0.074205,0.049269,0.560875,0.033043,0.016608
single-family attached,2000-2499,2000s,0.244036,0.002557,0.058842,0.040372,0.615783,0.030659,0.007752
single-family attached,2000-2499,2010s,0.225184,0.002687,0.03394,0.035814,0.635458,0.05241,0.014507
single-family attached,2000-2499,<1940,0.810388,0.001306,0.008445,0.023285,0.132448,0.010385,0.013744
single-family attached,2500-2999,1940s,0.605408,0.005304,0.01246,0.099553,0.245519,0.022836,0.008921
single-family attached,2500-2999,1950s,0.334408,0.006891,0.034451,0.108547,0.44712,0.04755,0.021032
single-family attached,2500-2999,1960s,0.197546,0.004791,0.079376,0.087519,0.580147,0.037602,0.013019
single-family attached,2500-2999,1970s,0.188139,0.010815,0.044038,0.095355,0.593459,0.049373,0.018822
single-family attached,2500-2999,1980s,0.200816,0.004334,0.044734,0.103095,0.604431,0.028688,0.013902
single-family attached,2500-2999,1990s,0.129912,0.004121,0.035471,0.071883,0.710943,0.039589,0.008081
single-family attached,2500-2999,2000s,0.180732,0.003672,0.025085,0.085823,0.631914,0.054809,0.017965
single-family attached,2500-2999,2010s,0.169029,0.004304,0.018609,0.075864,0.663256,0.057258,0.01168
single-family attached,2500-2999,<1940,0.804593,0.002847,0.004799,0.065246,0.107122,0.006052,0.00934
single-family attached,3000-3999,1940s,0.254866,0.001372,0.016232,0.105612,0.593172,0.021528,0.007219
single-family attached,3000-3999,1950s,0.242216,0.001738,0.035895,0.068498,0.591351,0.043709,0.016594
single-family attached,3000-3999,1960s,0.216301,0.001138,0.114984,0.063869,0.566532,0.027822,0.009354
single-family attached,3000-3999,1970s,0.193632,0.000963,0.033969,0.037236,0.70539,0.016732,0.012077
single-family attached,3000-3999,1980s,0.206953,0.000963,0.041064,0.055543,0.646065,0.03674,0.012672
single-family attached,3000-3999,1990s,0.141363,0.00111,0.04865,0.056354,0.714183,0.032212,0.006127
single-family attached,3000-3999,2000s,0.181567,0.000823,0.017855,0.082998,0.681176,0.028552,0.007028
single-family attached,3000-3999,2010s,0.15298,0.000845,0.015148,0.04337,0.748362,0.032116,0.007178
single-family attached,3000-3999,<1940,0.572354,0.001168,0.015719,0.062998,0.324573,0.010004,0.013185
single-family attached,4000+,1940s,0.404634,0.00198,0.01129,0.066024,0.383842,0.121959,0.010271
single-family attached,4000+,1950s,0.352378,0.002214,0.018932,0.040842,0.3876,0.177194,0.02084
single-family attached,4000+,1960s,0.397325,0.001614,0.058872,0.043115,0.360373,0.125618,0.013084
single-family attached,4000+,1970s,0.349986,0.001658,0.019983,0.033103,0.469241,0.108032,0.017996
single-family attached,4000+,1980s,0.372943,0.001144,0.015977,0.027896,0.440101,0.128266,0.013672
single-family attached,4000+,1990s,0.267401,0.001552,0.090692,0.048346,0.44749,0.136078,0.008442
single-family attached,4000+,2000s,0.399323,0.001216,0.010107,0.029959,0.418072,0.13108,0.010242
single-family attached,4000+,2010s,0.403203,0.001427,0.010268,0.037875,0.374059,0.161218,0.011949
single-family attached,4000+,<1940,0.274255,0.000998,0.006213,0.059687,0.611661,0.03608,0.011107
single-family attached,500-749,1940s,0.446588,0.007061,0.218337,0.014028,0.161855,0.087755,0.064377
single-family attached,500-749,1950s,0.477432,0.004889,0.146809,0.030789,0.1724,0.06765,0.100032
single-family attached,500-749,1960s,0.564586,0.017464,0.191227,0.016826,0.131643,0.055859,0.022397
single-family attached,500-749,1970s,0.498065,0.008489,0.320035,0.018871,0.069402,0.042369,0.042769
single-family attached,500-749,1980s,0.407468,0.006054,0.418971,0.021647,0.07501,0.032483,0.038367
single-family attached,500-749,1990s,0.372133,0.005081,0.368995,0.018838,0.095389,0.035364,0.1042
single-family attached,500-749,2000s,0.21833,0.006912,0.31666,0.025106,0.309456,0.103561,0.019974
single-family attached,500-749,2010s,0.344318,0.006395,0.181537,0.018245,0.292446,0.104353,0.052707
single-family attached,500-749,<1940,0.493399,0.003789,0.174447,0.014645,0.14132,0.127884,0.044516
single-family attached,750-999,1940s,0.312188,0.006082,0.125492,0.032057,0.444605,0.030832,0.048745
single-family attached,750-999,1950s,0.266668,0.004333,0.118503,0.061725,0.458451,0.024452,0.065868
single-family attached,750-999,1960s,0.395442,0.016729,0.150332,0.038525,0.362318,0.019663,0.016991
single-family attached,750-999,1970s,0.43543,0.01015,0.314037,0.05393,0.127336,0.018617,0.0405
single-family attached,750-999,1980s,0.316644,0.00598,0.376951,0.056723,0.198763,0.012154,0.032785
single-family attached,750-999,1990s,0.273706,0.004605,0.304618,0.045294,0.275692,0.013073,0.083013
single-family attached,750-999,2000s,0.13033,0.004187,0.174718,0.056772,0.597771,0.025586,0.010635
single-family attached,750-999,2010s,0.178394,0.004052,0.10509,0.030719,0.618555,0.033832,0.029359
single-family attached,750-999,<1940,0.341593,0.003233,0.135558,0.016912,0.425492,0.043144,0.034069
single-family detached,0-499,1940s,0.446588,0.007061,0.218337,0.014028,0.161855,0.087755,0.064377
single-family detached,0-499,1950s,0.477432,0.004889,0.146809,0.030789,0.1724,0.06765,0.100032
single-family detached,0-499,1960s,0.564586,0.017464,0.191227,0.016826,0.131643,0.055859,0.022397
single-family detached,0-499,1970s,0.498065,0.008489,0.320035,0.018871,0.069402,0.042369,0.042769
single-family detached,0-499,1980s,0.407468,0.006054,0.418971,0.021647,0.07501,0.032483,0.038367
single-family detached,0-499,1990s,0.372133,0.005081,0.368995,0.018838,0.095389,0.035364,0.1042
single-family detached,0-499,2000s,0.21833,0.006912,0.31666,0.025106,0.309456,0.103561,0.019974
single-family detached,0-499,2010s,0.344318,0.006395,0.181537,0.018245,0.292446,0.104353,0.052707
single-family detached,0-499,<1940,0.493399,0.003789,0.174447,0.014645,0.14132,0.127884,0.044516
single-family detached,1000-1499,1940s,0.381034,0.010502,0.14517,0.073373,0.338664,0.023899,0.027359
single-family detached,1000-1499,1950s,0.420739,0.00728,0.12393,0.0558,0.335536,0.04151,0.015206
single-family detached,1000-1499,1960s,0.462514,0.021437,0.140709,0.044033,0.308199,0.018181,0.004928
single-family detached,1000-1499,1970s,0.544007,0.01009,0.152844,0.060474,0.196757,0.01378,0.022049
single-family detached,1000-1499,1980s,0.510876,0.016484,0.168772,0.039441,0.215292,0.014254,0.034882
single-family detached,1000-1499,1990s,0.403873,0.007603,0.124915,0.056636,0.345833,0.013442,0.047698
single-family detached,1000-1499,2000s,0.215499,0.00891,0.216113,0.079338,0.441498,0.031264,0.007378
single-family detached,1000-1499,2010s,0.299087,0.007674,0.080001,0.036535,0.51961,0.041038,0.016054
single-family detached,1000-1499,<1940,0.65908,0.003771,0.100538,0.023137,0.172248,0.027753,0.013472
single-family detached,1500-1999,1940s,0.493003,0.00475,0.060704,0.03155,0.382506,0.02133,0.006157
single-family detached,1500-1999,1950s,0.476501,0.005724,0.095517,0.031601,0.347528,0.029373,0.013756
single-family detached,1500-1999,1960s,0.447449,0.006706,0.072812,0.037941,0.410435,0.020602,0.004056
single-family detached,1500-1999,1970s,0.430854,0.005644,0.105314,0.039854,0.383004,0.017509,0.017821
single-family detached,1500-1999,1980s,0.393727,0.006072,0.155175,0.035343,0.372601,0.021786,0.015296
single-family detached,1500-1999,1990s,0.31349,0.003819,0.15313,0.040355,0.455044,0.018228,0.015934
single-family detached,1500-1999,2000s,0.246406,0.002914,0.063981,0.039282,0.618652,0.025433,0.003331
single-family detached,1500-1999,2010s,0.239502,0.003633,0.042781,0.026193,0.642397,0.035285,0.01021
single-family detached,1500-1999,<1940,0.740079,0.003753,0.049719,0.019186,0.163895,0.014849,0.008519
single-family detached,2000-2499,1940s,0.676423,0.002581,0.012423,0.059941,0.224111,0.017728,0.006793
single-family detached,2000-2499,1950s,0.504378,0.003172,0.045222,0.036448,0.36321,0.028309,0.019261
single-family detached,2000-2499,1960s,0.376808,0.003027,0.059596,0.052326,0.46355,0.030722,0.01397
single-family detached,2000-2499,1970s,0.332296,0.00861,0.094786,0.056984,0.437585,0.048269,0.02147
single-family detached,2000-2499,1980s,0.364254,0.002894,0.073317,0.047965,0.467489,0.024772,0.019308
single-family detached,2000-2499,1990s,0.258923,0.001921,0.072993,0.060556,0.56105,0.028271,0.016286
single-family detached,2000-2499,2000s,0.242639,0.002542,0.057945,0.050312,0.612258,0.026597,0.007707
single-family detached,2000-2499,2010s,0.221874,0.002648,0.03312,0.044233,0.638766,0.045064,0.014295
single-family detached,2000-2499,<1940,0.775589,0.001428,0.009144,0.041199,0.147709,0.009906,0.015026
single-family detached,2500-2999,1940s,0.575859,0.00379,0.01256,0.064917,0.310862,0.023019,0.008993
single-family detached,2500-2999,1950s,0.338922,0.004366,0.030787,0.062752,0.501885,0.042493,0.018795
single-family detached,2500-2999,1960s,0.168677,0.003074,0.071825,0.051231,0.659387,0.034025,0.011781
single-family detached,2500-2999,1970s,0.161789,0.006988,0.040132,0.049623,0.679322,0.044995,0.017152
single-family detached,2500-2999,1980s,0.171366,0.002779,0.040454,0.060312,0.686574,0.025943,0.012572
single-family detached,2500-2999,1990s,0.10677,0.002545,0.030894,0.040501,0.777771,0.034481,0.007038
single-family detached,2500-2999,2000s,0.152236,0.002324,0.022392,0.04956,0.708526,0.048925,0.016036
single-family detached,2500-2999,2010s,0.140979,0.002697,0.016421,0.043369,0.735542,0.050669,0.010323
single-family detached,2500-2999,<1940,0.760386,0.002212,0.005785,0.050877,0.162187,0.007295,0.011258
single-family detached,3000-3999,1940s,0.245516,0.001367,0.015271,0.105984,0.591234,0.033432,0.007195
single-family detached,3000-3999,1950s,0.229934,0.001707,0.02859,0.075738,0.580842,0.066891,0.016299
single-family detached,3000-3999,1960s,0.216389,0.001178,0.07966,0.061793,0.586426,0.044871,0.009682
single-family detached,3000-3999,1970s,0.190492,0.000981,0.023143,0.035427,0.718028,0.019636,0.012293
single-family detached,3000-3999,1980s,0.191497,0.000922,0.025216,0.049704,0.618554,0.101976,0.012132
single-family detached,3000-3999,1990s,0.197924,0.001053,0.024014,0.046537,0.677082,0.047582,0.005809
single-family detached,3000-3999,2000s,0.2544,0.000735,0.011969,0.064117,0.608792,0.053705,0.006282
single-family detached,3000-3999,2010s,0.148624,0.00085,0.011978,0.04075,0.752295,0.038288,0.007216
single-family detached,3000-3999,<1940,0.545298,0.001151,0.014039,0.089178,0.319958,0.017378,0.012998
single-family detached,4000+,1940s,0.244161,0.001356,0.007735,0.060669,0.510918,0.168982,0.006179
single-family detached,4000+,1950s,0.150166,0.00156,0.013345,0.038613,0.530816,0.252601,0.012898
single-family detached,4000+,1960s,0.244043,0.001126,0.041057,0.040327,0.488268,0.177167,0.008012
single-family detached,4000+,1970s,0.208841,0.001124,0.013539,0.03008,0.617657,0.116566,0.012193
single-family detached,4000+,1980s,0.192627,0.000671,0.00937,0.021942,0.567501,0.200849,0.00704
single-family detached,4000+,1990s,0.136276,0.001163,0.067942,0.048575,0.651296,0.089196,0.005553
single-family detached,4000+,2000s,0.172751,0.000765,0.006356,0.025267,0.622513,0.166694,0.005655
single-family detached,4000+,2010s,0.238003,0.000958,0.006876,0.034095,0.493933,0.219094,0.00704
single-family detached,4000+,<1940,0.206591,0.000914,0.005691,0.07333,0.65437,0.050171,0.008933
single-family detached,500-749,1940s,0.446588,0.007061,0.218337,0.014028,0.161855,0.087755,0.064377
single-family detached,500-749,1950s,0.477432,0.004889,0.146809,0.030789,0.1724,0.06765,0.100032
single-family detached,500-749,1960s,0.564586,0.017464,0.191227,0.016826,0.131643,0.055859,0.022397
single-family detached,500-749,1970s,0.498065,0.008489,0.320035,0.018871,0.069402,0.042369,0.042769
single-family detached,500-749,1980s,0.407468,0.006054,0.418971,0.021647,0.07501,0.032483,0.038367
single-family detached,500-749,1990s,0.372133,0.005081,0.368995,0.018838,0.095389,0.035364,0.1042
single-family detached,500-749,2000s,0.21833,0.006912,0.31666,0.025106,0.309456,0.103561,0.019974
single-family detached,500-749,2010s,0.344318,0.006395,0.181537,0.018245,0.292446,0.104353,0.052707
single-family detached,500-749,<1940,0.493399,0.003789,0.174447,0.014645,0.14132,0.127884,0.044516
single-family detached,750-999,1940s,0.533579,0.005615,0.115863,0.029597,0.238424,0.042433,0.034489
single-family detached,750-999,1950s,0.410314,0.004711,0.128843,0.06711,0.289515,0.03963,0.059878
single-family detached,750-999,1960s,0.550154,0.016445,0.147787,0.037873,0.206883,0.028816,0.012042
single-family detached,750-999,1970s,0.534859,0.00881,0.272575,0.04681,0.081776,0.024087,0.031083
single-family detached,750-999,1980s,0.428527,0.007785,0.272948,0.073848,0.150301,0.023587,0.043004
single-family detached,750-999,1990s,0.38489,0.004576,0.302685,0.045007,0.159114,0.019363,0.084366
single-family detached,750-999,2000s,0.18749,0.005396,0.225181,0.07317,0.447485,0.049157,0.01212
single-family detached,750-999,2010s,0.303579,0.00489,0.126651,0.037046,0.435295,0.061207,0.031331
single-family detached,750-999,<1940,0.482718,0.003026,0.126891,0.015831,0.294492,0.053634,0.023408
