Dependency=clothes_dryer,Dependency=cooking_range,Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=hvac_cooling_type,Dependency=vintage,Dependency=water_heater_fuel_type,100,101-124,125,126-199,200,201+,<100
electricity,electricity,single-family attached,0-499,heat pump,1940s,electricity,0.032436,0.01877,0.341508,0.041832,0.424938,0.096122,0.044394
electricity,electricity,single-family attached,0-499,heat pump,1940s,non-electricity,0.174497,0.015908,0.571523,0.035454,0.110258,0.054733,0.037626
electricity,electricity,single-family attached,0-499,heat pump,1950s,electricity,0.032578,0.019562,0.38947,0.043597,0.368345,0.100179,0.046268
electricity,electricity,single-family attached,0-499,heat pump,1950s,non-electricity,0.163431,0.01546,0.607777,0.034456,0.08912,0.053191,0.036566
electricity,electricity,single-family attached,0-499,heat pump,1960s,electricity,0.098135,0.026181,0.306425,0.058348,0.314915,0.134073,0.061922
electricity,electricity,single-family attached,0-499,heat pump,1960s,non-electricity,0.396305,0.016657,0.384942,0.037122,0.068273,0.057307,0.039395
electricity,electricity,single-family attached,0-499,heat pump,1970s,electricity,0.071817,0.028261,0.16941,0.062983,0.455964,0.144724,0.066841
electricity,electricity,single-family attached,0-499,heat pump,1970s,non-electricity,0.384602,0.023843,0.282222,0.053138,0.117769,0.082033,0.056393
electricity,electricity,single-family attached,0-499,heat pump,1980s,electricity,0.078321,0.024655,0.430108,0.054948,0.227394,0.126259,0.058314
electricity,electricity,single-family attached,0-499,heat pump,1980s,non-electricity,0.303364,0.015045,0.518237,0.03353,0.04248,0.051762,0.035583
electricity,electricity,single-family attached,0-499,heat pump,1990s,electricity,0.04728,0.018605,0.27452,0.041464,0.47885,0.095277,0.044004
electricity,electricity,single-family attached,0-499,heat pump,1990s,non-electricity,0.259419,0.016083,0.468565,0.035842,0.12672,0.055332,0.038038
electricity,electricity,single-family attached,0-499,heat pump,2000s,electricity,0.032035,0.012606,0.159529,0.028094,0.673365,0.064555,0.029815
electricity,electricity,single-family attached,0-499,heat pump,2000s,non-electricity,0.242541,0.015036,0.37573,0.03351,0.245887,0.051732,0.035563
electricity,electricity,single-family attached,0-499,heat pump,2010s,electricity,0.037191,0.014635,0.215943,0.032617,0.590052,0.074947,0.034615
electricity,electricity,single-family attached,0-499,heat pump,2010s,non-electricity,0.241756,0.014988,0.436661,0.033402,0.186181,0.051565,0.035448
electricity,electricity,single-family attached,0-499,heat pump,<1940,electricity,0.02892,0.015087,0.222609,0.033624,0.586817,0.07726,0.035683
electricity,electricity,single-family attached,0-499,heat pump,<1940,non-electricity,0.195478,0.016066,0.468074,0.035805,0.191304,0.055274,0.037998
electricity,electricity,single-family attached,0-499,none,1940s,electricity,0.024269,0.014131,0.502876,0.078396,0.296417,0.050488,0.033423
electricity,electricity,single-family attached,0-499,none,1940s,non-electricity,0.110223,0.010111,0.710462,0.056092,0.064928,0.024269,0.023914
electricity,electricity,single-family attached,0-499,none,1950s,electricity,0.023468,0.014179,0.552132,0.07866,0.247367,0.050658,0.033536
electricity,electricity,single-family attached,0-499,none,1950s,non-electricity,0.100971,0.009611,0.738971,0.053317,0.051331,0.023069,0.022731
electricity,electricity,single-family attached,0-499,none,1960s,electricity,0.074139,0.019902,0.455583,0.110407,0.221796,0.071103,0.047071
electricity,electricity,single-family attached,0-499,none,1960s,non-electricity,0.281643,0.011911,0.538378,0.066076,0.045233,0.028589,0.028171
electricity,electricity,single-family attached,0-499,none,1970s,electricity,0.060588,0.02399,0.281269,0.133087,0.358617,0.085709,0.05674
electricity,electricity,single-family attached,0-499,none,1970s,non-electricity,0.291097,0.018158,0.420378,0.100735,0.0831,0.043585,0.042947
electricity,electricity,single-family attached,0-499,none,1980s,electricity,0.042673,0.017358,0.592267,0.096297,0.148333,0.062016,0.041055
electricity,electricity,single-family attached,0-499,none,1980s,non-electricity,0.161027,0.010319,0.695234,0.057248,0.026996,0.024769,0.024407
electricity,electricity,single-family attached,0-499,none,1990s,electricity,0.037296,0.014767,0.426174,0.081924,0.352152,0.05276,0.034927
electricity,electricity,single-family attached,0-499,none,1990s,non-electricity,0.174958,0.010914,0.621902,0.060545,0.079674,0.026196,0.025813
electricity,electricity,single-family attached,0-499,none,2000s,electricity,0.030443,0.012054,0.298355,0.066871,0.520703,0.043065,0.02851
electricity,electricity,single-family attached,0-499,none,2000s,non-electricity,0.179234,0.01118,0.546426,0.062024,0.147856,0.026836,0.026443
electricity,electricity,single-family attached,0-499,none,2010s,electricity,0.03106,0.012298,0.354911,0.068225,0.460482,0.043937,0.029087
electricity,electricity,single-family attached,0-499,none,2010s,non-electricity,0.167257,0.010433,0.594529,0.05788,0.120183,0.025043,0.024676
electricity,electricity,single-family attached,0-499,none,<1940,electricity,0.024027,0.012612,0.36398,0.069968,0.454521,0.04506,0.02983
electricity,electricity,single-family attached,0-499,none,<1940,non-electricity,0.132271,0.010938,0.623306,0.060681,0.120678,0.026255,0.025871
electricity,electricity,single-family attached,0-499,room air conditioner,1940s,electricity,0.035968,0.015967,0.342085,0.160071,0.361484,0.04666,0.037765
electricity,electricity,single-family attached,0-499,room air conditioner,1940s,non-electricity,0.181254,0.012677,0.536261,0.127081,0.087858,0.024887,0.029982
electricity,electricity,single-family attached,0-499,room air conditioner,1950s,electricity,0.035731,0.016459,0.385864,0.165003,0.309916,0.048098,0.038929
electricity,electricity,single-family attached,0-499,room air conditioner,1950s,non-electricity,0.169726,0.012317,0.570166,0.123477,0.071001,0.024182,0.029132
electricity,electricity,single-family attached,0-499,room air conditioner,1960s,electricity,0.103942,0.021273,0.293177,0.213257,0.255875,0.062164,0.050313
electricity,electricity,single-family attached,0-499,room air conditioner,1960s,non-electricity,0.399264,0.012873,0.350323,0.129053,0.052766,0.025274,0.030447
electricity,electricity,single-family attached,0-499,room air conditioner,1970s,electricity,0.077365,0.023355,0.164854,0.23413,0.376809,0.068248,0.055238
electricity,electricity,single-family attached,0-499,room air conditioner,1970s,non-electricity,0.380526,0.018097,0.252235,0.181423,0.089388,0.03553,0.042803
electricity,electricity,single-family attached,0-499,room air conditioner,1980s,electricity,0.065402,0.020283,0.416657,0.203339,0.187073,0.059272,0.047973
electricity,electricity,single-family attached,0-499,room air conditioner,1980s,non-electricity,0.258407,0.012625,0.512102,0.126569,0.035648,0.024787,0.029861
electricity,electricity,single-family attached,0-499,room air conditioner,1990s,electricity,0.052801,0.01594,0.276942,0.159793,0.410245,0.046579,0.0377
electricity,electricity,single-family attached,0-499,room air conditioner,1990s,non-electricity,0.267631,0.012728,0.436662,0.127598,0.100289,0.024989,0.030104
electricity,electricity,single-family attached,0-499,room air conditioner,2000s,electricity,0.037668,0.011371,0.169447,0.113993,0.607398,0.033229,0.026894
electricity,electricity,single-family attached,0-499,room air conditioner,2000s,non-electricity,0.255933,0.012172,0.358145,0.122021,0.199044,0.023896,0.028788
electricity,electricity,single-family attached,0-499,room air conditioner,2010s,electricity,0.042816,0.012925,0.224567,0.129573,0.521778,0.03777,0.03057
electricity,electricity,single-family attached,0-499,room air conditioner,2010s,non-electricity,0.252984,0.012031,0.412764,0.120615,0.149529,0.023621,0.028456
electricity,electricity,single-family attached,0-499,room air conditioner,<1940,electricity,0.03328,0.013319,0.231409,0.133521,0.518048,0.038921,0.031501
electricity,electricity,single-family attached,0-499,room air conditioner,<1940,non-electricity,0.204844,0.012915,0.443079,0.129473,0.153788,0.025356,0.030546
electricity,electricity,single-family attached,1000-1499,central air conditioner,1940s,electricity,0.055625,0.018875,0.066151,0.067369,0.703485,0.04385,0.044644
electricity,electricity,single-family attached,1000-1499,central air conditioner,1940s,non-electricity,0.37373,0.019979,0.13826,0.071309,0.318283,0.031184,0.047255
electricity,electricity,single-family attached,1000-1499,central air conditioner,1950s,electricity,0.060516,0.021308,0.081716,0.076051,0.660509,0.049502,0.050397
electricity,electricity,single-family attached,1000-1499,central air conditioner,1950s,non-electricity,0.380769,0.021122,0.159943,0.075386,0.279858,0.032966,0.049956
electricity,electricity,single-family attached,1000-1499,central air conditioner,1960s,electricity,0.122034,0.028038,0.063211,0.10007,0.555198,0.065136,0.066314
electricity,electricity,single-family attached,1000-1499,central air conditioner,1960s,non-electricity,0.5526,0.020002,0.08904,0.071389,0.188443,0.031218,0.047307
electricity,electricity,single-family attached,1000-1499,central air conditioner,1970s,electricity,0.104915,0.024209,0.027954,0.086405,0.643018,0.056241,0.057258
electricity,electricity,single-family attached,1000-1499,central air conditioner,1970s,non-electricity,0.554194,0.020146,0.045934,0.071905,0.228727,0.031444,0.04765
electricity,electricity,single-family attached,1000-1499,central air conditioner,1980s,electricity,0.131743,0.031231,0.104945,0.111467,0.474194,0.072554,0.073866
electricity,electricity,single-family attached,1000-1499,central air conditioner,1980s,non-electricity,0.553268,0.020663,0.1371,0.073748,0.134101,0.03225,0.048871
electricity,electricity,single-family attached,1000-1499,central air conditioner,1990s,electricity,0.073697,0.017006,0.048333,0.060695,0.720542,0.039507,0.040221
electricity,electricity,single-family attached,1000-1499,central air conditioner,1990s,non-electricity,0.460572,0.016743,0.093963,0.059758,0.303232,0.026132,0.0396
electricity,electricity,single-family attached,1000-1499,central air conditioner,2000s,electricity,0.041684,0.009619,0.023447,0.03433,0.845827,0.022345,0.022749
electricity,electricity,single-family attached,1000-1499,central air conditioner,2000s,non-electricity,0.35085,0.012754,0.061391,0.045522,0.479409,0.019907,0.030166
electricity,electricity,single-family attached,1000-1499,central air conditioner,2010s,electricity,0.052531,0.012122,0.034451,0.043263,0.800804,0.02816,0.028669
electricity,electricity,single-family attached,1000-1499,central air conditioner,2010s,non-electricity,0.392536,0.01427,0.080083,0.05093,0.406159,0.022272,0.03375
electricity,electricity,single-family attached,1000-1499,central air conditioner,<1940,electricity,0.04117,0.012594,0.035795,0.04495,0.806444,0.029258,0.029788
electricity,electricity,single-family attached,1000-1499,central air conditioner,<1940,non-electricity,0.333454,0.01607,0.090187,0.057357,0.439841,0.025082,0.038009
electricity,electricity,single-family attached,1000-1499,heat pump,1940s,electricity,0.048291,0.021361,0.081999,0.014399,0.696465,0.086964,0.050522
electricity,electricity,single-family attached,1000-1499,heat pump,1940s,non-electricity,0.33653,0.023452,0.17776,0.015809,0.326837,0.064145,0.055468
electricity,electricity,single-family attached,1000-1499,heat pump,1950s,electricity,0.052363,0.024034,0.100957,0.016201,0.651754,0.097846,0.056844
electricity,electricity,single-family attached,1000-1499,heat pump,1950s,non-electricity,0.341557,0.024698,0.204851,0.016649,0.286279,0.067553,0.058414
electricity,electricity,single-family attached,1000-1499,heat pump,1960s,electricity,0.106874,0.032008,0.079041,0.021576,0.554485,0.13031,0.075705
electricity,electricity,single-family attached,1000-1499,heat pump,1960s,non-electricity,0.515841,0.024339,0.118676,0.016407,0.200602,0.066571,0.057565
electricity,electricity,single-family attached,1000-1499,heat pump,1970s,electricity,0.092512,0.027827,0.035195,0.018758,0.646603,0.113289,0.065816
electricity,electricity,single-family attached,1000-1499,heat pump,1970s,non-electricity,0.523553,0.02481,0.061959,0.016724,0.246415,0.067859,0.05868
electricity,electricity,single-family attached,1000-1499,heat pump,1980s,electricity,0.142179,0.034212,0.12592,0.023062,0.454431,0.139281,0.080916
electricity,electricity,single-family attached,1000-1499,heat pump,1980s,non-electricity,0.572233,0.021692,0.157653,0.014623,0.123161,0.059332,0.051306
electricity,electricity,single-family attached,1000-1499,heat pump,1990s,electricity,0.06441,0.019374,0.060314,0.01306,0.718144,0.078875,0.045823
electricity,electricity,single-family attached,1000-1499,heat pump,1990s,non-electricity,0.423169,0.020053,0.123266,0.013517,0.317718,0.054848,0.047429
electricity,electricity,single-family attached,1000-1499,heat pump,2000s,electricity,0.036519,0.010985,0.02933,0.007405,0.84506,0.044721,0.025981
electricity,electricity,single-family attached,1000-1499,heat pump,2000s,non-electricity,0.319581,0.015144,0.079843,0.010209,0.497984,0.041422,0.035818
electricity,electricity,single-family attached,1000-1499,heat pump,2010s,electricity,0.045953,0.013822,0.043031,0.009318,0.79891,0.056273,0.032692
electricity,electricity,single-family attached,1000-1499,heat pump,2010s,non-electricity,0.35817,0.016973,0.104333,0.011441,0.422516,0.046424,0.040144
electricity,electricity,single-family attached,1000-1499,heat pump,<1940,electricity,0.035954,0.014337,0.044633,0.009665,0.803133,0.058369,0.03391
electricity,electricity,single-family attached,1000-1499,heat pump,<1940,non-electricity,0.301571,0.018945,0.116458,0.012771,0.453628,0.051819,0.044809
electricity,electricity,single-family attached,1000-1499,none,1940s,electricity,0.047416,0.021104,0.148682,0.035412,0.637531,0.059941,0.049914
electricity,electricity,single-family attached,1000-1499,none,1940s,non-electricity,0.296888,0.020817,0.289598,0.034931,0.268806,0.039724,0.049237
electricity,electricity,single-family attached,1000-1499,none,1950s,electricity,0.050492,0.023319,0.179774,0.039128,0.585901,0.066232,0.055153
electricity,electricity,single-family attached,1000-1499,none,1950s,non-electricity,0.294576,0.021433,0.326261,0.035963,0.230178,0.040898,0.050692
electricity,electricity,single-family attached,1000-1499,none,1960s,electricity,0.104404,0.031462,0.14259,0.052792,0.504979,0.089361,0.074413
electricity,electricity,single-family attached,1000-1499,none,1960s,non-electricity,0.472274,0.022421,0.200648,0.037622,0.17122,0.042784,0.05303
electricity,electricity,single-family attached,1000-1499,none,1970s,electricity,0.0943,0.028541,0.066249,0.04789,0.614454,0.081063,0.067503
electricity,electricity,single-family attached,1000-1499,none,1970s,non-electricity,0.502823,0.023975,0.109888,0.040229,0.220628,0.04575,0.056706
electricity,electricity,single-family attached,1000-1499,none,1980s,electricity,0.10663,0.033155,0.223964,0.055632,0.408035,0.094168,0.078416
electricity,electricity,single-family attached,1000-1499,none,1980s,non-electricity,0.444134,0.021756,0.290188,0.036505,0.114446,0.041515,0.051456
electricity,electricity,single-family attached,1000-1499,none,1990s,electricity,0.064476,0.019514,0.111495,0.032744,0.67019,0.055426,0.046154
electricity,electricity,single-family attached,1000-1499,none,1990s,non-electricity,0.389207,0.018558,0.209365,0.031139,0.272426,0.035412,0.043893
electricity,electricity,single-family attached,1000-1499,none,2000s,electricity,0.042197,0.012771,0.062583,0.02143,0.794539,0.036274,0.030206
electricity,electricity,single-family attached,1000-1499,none,2000s,non-electricity,0.326715,0.015578,0.150735,0.02614,0.414261,0.029726,0.036845
electricity,electricity,single-family attached,1000-1499,none,2010s,electricity,0.046864,0.014184,0.08104,0.0238,0.760279,0.040286,0.033547
electricity,electricity,single-family attached,1000-1499,none,2010s,non-electricity,0.336697,0.016054,0.181118,0.026938,0.370587,0.030635,0.037971
electricity,electricity,single-family attached,1000-1499,none,<1940,electricity,0.036656,0.014708,0.084034,0.024679,0.763362,0.041774,0.034787
electricity,electricity,single-family attached,1000-1499,none,<1940,non-electricity,0.281304,0.017782,0.200608,0.029837,0.394482,0.033931,0.042057
electricity,electricity,single-family attached,1000-1499,room air conditioner,1940s,electricity,0.060744,0.020613,0.08743,0.062502,0.672072,0.047886,0.048753
electricity,electricity,single-family attached,1000-1499,room air conditioner,1940s,non-electricity,0.38194,0.020418,0.171008,0.061912,0.28456,0.031869,0.048293
electricity,electricity,single-family attached,1000-1499,room air conditioner,1950s,electricity,0.06556,0.023084,0.107142,0.069995,0.625993,0.053628,0.054598
electricity,electricity,single-family attached,1000-1499,room air conditioner,1950s,non-electricity,0.385682,0.021394,0.196072,0.064872,0.247987,0.033392,0.050601
electricity,electricity,single-family attached,1000-1499,room air conditioner,1960s,electricity,0.131397,0.030189,0.082372,0.091538,0.522969,0.070133,0.071402
electricity,electricity,single-family attached,1000-1499,room air conditioner,1960s,non-electricity,0.56136,0.020319,0.109472,0.06161,0.167469,0.031713,0.048057
electricity,electricity,single-family attached,1000-1499,room air conditioner,1970s,electricity,0.114989,0.026534,0.03708,0.080455,0.616545,0.061641,0.062756
electricity,electricity,single-family attached,1000-1499,room air conditioner,1970s,non-electricity,0.571209,0.020765,0.057299,0.062964,0.20624,0.03241,0.049113
electricity,electricity,single-family attached,1000-1499,room air conditioner,1980s,electricity,0.139272,0.033016,0.134271,0.10011,0.438545,0.0767,0.078087
electricity,electricity,single-family attached,1000-1499,room air conditioner,1980s,non-electricity,0.552744,0.020643,0.165771,0.062594,0.117204,0.032219,0.048824
electricity,electricity,single-family attached,1000-1499,room air conditioner,1990s,electricity,0.080911,0.01867,0.064222,0.056612,0.692053,0.043374,0.044158
electricity,electricity,single-family attached,1000-1499,room air conditioner,1990s,non-electricity,0.473443,0.017211,0.116899,0.052187,0.27269,0.026863,0.040707
electricity,electricity,single-family attached,1000-1499,room air conditioner,2000s,electricity,0.046632,0.01076,0.031745,0.032627,0.827788,0.024998,0.02545
electricity,electricity,single-family attached,1000-1499,room air conditioner,2000s,non-electricity,0.370857,0.013482,0.078537,0.040879,0.443317,0.021042,0.031886
electricity,electricity,single-family attached,1000-1499,room air conditioner,2010s,electricity,0.05831,0.013455,0.046283,0.040798,0.778073,0.031258,0.031823
electricity,electricity,single-family attached,1000-1499,room air conditioner,2010s,non-electricity,0.409516,0.014887,0.101115,0.04514,0.370896,0.023235,0.03521
electricity,electricity,single-family attached,1000-1499,room air conditioner,<1940,electricity,0.045754,0.013996,0.048145,0.04244,0.784045,0.032516,0.033104
electricity,electricity,single-family attached,1000-1499,room air conditioner,<1940,non-electricity,0.349064,0.016823,0.114261,0.051009,0.402799,0.026256,0.039788
electricity,electricity,single-family attached,1500-1999,central air conditioner,1940s,electricity,0.02591,0.003683,0.010538,0.028686,0.908565,0.013907,0.008711
electricity,electricity,single-family attached,1500-1999,central air conditioner,1940s,non-electricity,0.485752,0.010878,0.06146,0.084724,0.303861,0.027596,0.025729
electricity,electricity,single-family attached,1500-1999,central air conditioner,1950s,electricity,0.029475,0.004348,0.013612,0.033861,0.892005,0.016416,0.010283
electricity,electricity,single-family attached,1500-1999,central air conditioner,1950s,non-electricity,0.499588,0.011609,0.071772,0.090417,0.269707,0.02945,0.027457
electricity,electricity,single-family attached,1500-1999,central air conditioner,1960s,electricity,0.073457,0.006267,0.011536,0.048813,0.821439,0.023665,0.014823
electricity,electricity,single-family attached,1500-1999,central air conditioner,1960s,non-electricity,0.687324,0.009239,0.033577,0.071954,0.152618,0.023437,0.021851
electricity,electricity,single-family attached,1500-1999,central air conditioner,1970s,electricity,0.051208,0.00495,0.004666,0.038552,0.870225,0.018691,0.011707
electricity,electricity,single-family attached,1500-1999,central air conditioner,1970s,non-electricity,0.649358,0.009889,0.018408,0.077018,0.196854,0.025086,0.023388
electricity,electricity,single-family attached,1500-1999,central air conditioner,1980s,electricity,0.078523,0.007798,0.021393,0.060733,0.783666,0.029444,0.018443
electricity,electricity,single-family attached,1500-1999,central air conditioner,1980s,non-electricity,0.677063,0.010592,0.057381,0.082499,0.12054,0.026871,0.025053
electricity,electricity,single-family attached,1500-1999,central air conditioner,1990s,electricity,0.033584,0.003246,0.007533,0.025284,0.910418,0.012258,0.007678
electricity,electricity,single-family attached,1500-1999,central air conditioner,1990s,non-electricity,0.567584,0.008643,0.039603,0.067319,0.274481,0.021927,0.020443
electricity,electricity,single-family attached,1500-1999,central air conditioner,2000s,electricity,0.016979,0.001641,0.003266,0.012782,0.955253,0.006197,0.003882
electricity,electricity,single-family attached,1500-1999,central air conditioner,2000s,non-electricity,0.440142,0.006703,0.02634,0.052204,0.441756,0.017003,0.015853
electricity,electricity,single-family attached,1500-1999,central air conditioner,2010s,electricity,0.022334,0.002159,0.00501,0.016814,0.940425,0.008152,0.005106
electricity,electricity,single-family attached,1500-1999,central air conditioner,2010s,non-electricity,0.490516,0.00747,0.034226,0.058178,0.372994,0.018949,0.017667
electricity,electricity,single-family attached,1500-1999,central air conditioner,<1940,electricity,0.017385,0.002228,0.005169,0.017351,0.944186,0.008412,0.005269
electricity,electricity,single-family attached,1500-1999,central air conditioner,<1940,non-electricity,0.42776,0.008636,0.039568,0.06726,0.414443,0.021908,0.020425
electricity,electricity,single-family attached,1500-1999,heat pump,1940s,electricity,0.022519,0.004173,0.029155,0.006138,0.900533,0.027612,0.009869
electricity,electricity,single-family attached,1500-1999,heat pump,1940s,non-electricity,0.418925,0.012229,0.168718,0.017989,0.298846,0.054367,0.028925
electricity,electricity,single-family attached,1500-1999,heat pump,1950s,electricity,0.025521,0.004907,0.037516,0.007218,0.880762,0.03247,0.011606
electricity,electricity,single-family attached,1500-1999,heat pump,1950s,non-electricity,0.424793,0.012867,0.194253,0.018928,0.261522,0.057203,0.030433
electricity,electricity,single-family attached,1500-1999,heat pump,1960s,electricity,0.064408,0.007163,0.032196,0.010537,0.821353,0.0474,0.016942
electricity,electricity,single-family attached,1500-1999,heat pump,1960s,non-electricity,0.636396,0.011151,0.09896,0.016402,0.161147,0.049571,0.026373
electricity,electricity,single-family attached,1500-1999,heat pump,1970s,electricity,0.045223,0.005698,0.013117,0.008382,0.876396,0.037706,0.013477
electricity,electricity,single-family attached,1500-1999,heat pump,1970s,non-electricity,0.61721,0.012252,0.055692,0.018023,0.213375,0.054469,0.028979
electricity,electricity,single-family attached,1500-1999,heat pump,1980s,electricity,0.085529,0.008621,0.057755,0.012682,0.757974,0.057048,0.020391
electricity,electricity,single-family attached,1500-1999,heat pump,1980s,non-electricity,0.659828,0.010478,0.138604,0.015413,0.104313,0.046582,0.024782
electricity,electricity,single-family attached,1500-1999,heat pump,1990s,electricity,0.02935,0.003698,0.020955,0.00544,0.907339,0.024471,0.008747
electricity,electricity,single-family attached,1500-1999,heat pump,1990s,non-electricity,0.510768,0.010139,0.113441,0.014915,0.28168,0.045075,0.023981
electricity,electricity,single-family attached,1500-1999,heat pump,2000s,electricity,0.014877,0.001875,0.00911,0.002758,0.954542,0.012404,0.004434
electricity,electricity,single-family attached,1500-1999,heat pump,2000s,non-electricity,0.396935,0.00788,0.075612,0.011591,0.454317,0.035029,0.018636
electricity,electricity,single-family attached,1500-1999,heat pump,2010s,electricity,0.019539,0.002462,0.013951,0.003622,0.938312,0.016292,0.005823
electricity,electricity,single-family attached,1500-1999,heat pump,2010s,non-electricity,0.43987,0.008732,0.097695,0.012844,0.381388,0.038818,0.020652
electricity,electricity,single-family attached,1500-1999,heat pump,<1940,electricity,0.015198,0.002539,0.014386,0.003735,0.941338,0.0168,0.006005
electricity,electricity,single-family attached,1500-1999,heat pump,<1940,non-electricity,0.378274,0.009955,0.111379,0.014644,0.417948,0.044256,0.023545
electricity,electricity,single-family attached,1500-1999,none,1940s,electricity,0.024083,0.00449,0.025827,0.016441,0.897811,0.020728,0.01062
electricity,electricity,single-family attached,1500-1999,none,1940s,non-electricity,0.43551,0.012792,0.145292,0.046841,0.289633,0.039676,0.030256
electricity,electricity,single-family attached,1500-1999,none,1950s,electricity,0.02729,0.00528,0.03323,0.019332,0.878009,0.024373,0.012487
electricity,electricity,single-family attached,1500-1999,none,1950s,non-electricity,0.442196,0.013478,0.167503,0.04935,0.253796,0.041801,0.031877
electricity,electricity,single-family attached,1500-1999,none,1960s,electricity,0.068466,0.007662,0.02835,0.028055,0.813974,0.035371,0.018122
electricity,electricity,single-family attached,1500-1999,none,1960s,non-electricity,0.647904,0.011423,0.083456,0.041825,0.152948,0.035427,0.027016
electricity,electricity,single-family attached,1500-1999,none,1970s,electricity,0.048115,0.0061,0.011561,0.022337,0.869296,0.028162,0.014428
electricity,electricity,single-family attached,1500-1999,none,1970s,non-electricity,0.625258,0.012489,0.046734,0.04573,0.201516,0.038734,0.029538
electricity,electricity,single-family attached,1500-1999,none,1980s,electricity,0.072228,0.009408,0.051885,0.034448,0.76635,0.043431,0.022251
electricity,electricity,single-family attached,1500-1999,none,1980s,non-electricity,0.617067,0.012662,0.137891,0.046364,0.116795,0.039272,0.029948
electricity,electricity,single-family attached,1500-1999,none,1990s,electricity,0.031359,0.003976,0.018547,0.014558,0.903801,0.018355,0.009404
electricity,electricity,single-family attached,1500-1999,none,1990s,non-electricity,0.526203,0.01051,0.096809,0.038485,0.270536,0.032598,0.024859
electricity,electricity,single-family attached,1500-1999,none,2000s,electricity,0.018119,0.002297,0.009191,0.008411,0.945944,0.010605,0.005433
electricity,electricity,single-family attached,1500-1999,none,2000s,non-electricity,0.436407,0.008717,0.068862,0.031918,0.406445,0.027035,0.020617
electricity,electricity,single-family attached,1500-1999,none,2010s,electricity,0.020903,0.00265,0.012363,0.009704,0.935877,0.012235,0.006268
electricity,electricity,single-family attached,1500-1999,none,2010s,non-electricity,0.45563,0.009101,0.083825,0.033323,0.368369,0.028226,0.021525
electricity,electricity,single-family attached,1500-1999,none,<1940,electricity,0.016265,0.002734,0.012752,0.01001,0.939152,0.01262,0.006466
electricity,electricity,single-family attached,1500-1999,none,<1940,non-electricity,0.39337,0.010416,0.095943,0.038141,0.405188,0.032306,0.024636
electricity,electricity,single-family attached,1500-1999,room air conditioner,1940s,electricity,0.029304,0.004166,0.014425,0.027563,0.898962,0.015729,0.009852
electricity,electricity,single-family attached,1500-1999,room air conditioner,1940s,non-electricity,0.504865,0.011306,0.07731,0.074811,0.276285,0.028682,0.026741
electricity,electricity,single-family attached,1500-1999,room air conditioner,1950s,electricity,0.033263,0.004906,0.018592,0.032464,0.880644,0.018526,0.011604
