,sqft,geometry_building_type_recs_simp__Single-Family,heating_fuel_simp__non_Electricity,vintage__1940s,vintage__1950s,vintage__1960s,vintage__1970s,vintage__1980s,vintage__1990s,vintage__2000s,vintage__2010s,vintage__2020s,vintage__lt_1940,panel_amp_pre_bin_7,panel_amp_pre
8568,1500.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
7643,1951.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
22943,1516.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
36216,2319.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
20313,1015.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
36671,1790.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
17115,2508.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
32979,1932.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
9329,2650.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
21129,2444.0,True,True,False,False,False,False,False,False,True,False,False,False,126-199,150.0
22497,2430.0,True,True,False,True,False,False,False,False,False,False,False,False,126-199,175.0
13642,2810.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
20964,1510.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
22013,1120.0,True,True,False,False,False,True,False,False,False,False,False,False,lt_100,90.0
23318,1286.0,True,True,False,False,False,True,False,False,False,False,False,False,201+,475.0
27765,1092.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
11935,2448.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
25446,1022.0,True,True,False,True,False,False,False,False,False,False,False,False,125,125.0
20120,2799.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
24769,1245.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
25725,1936.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
25817,1285.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
26157,1400.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
11073,1257.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
33399,2602.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
36139,2658.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
29475,1300.0,True,True,False,False,False,True,False,False,False,False,False,False,lt_100,30.0
17381,2100.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
18356,3226.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
3580,3278.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
3892,1502.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
25755,1991.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
30331,2550.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
20742,1992.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
6615,1638.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
16281,1413.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
13728,1558.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
8633,1177.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
4925,2376.0,True,True,False,False,False,False,False,False,True,False,False,False,lt_100,90.0
34207,2693.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
7014,2451.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
31832,4366.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
22623,1730.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
5339,2157.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
29290,760.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
32854,1440.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
17975,1257.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
11627,2668.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
11285,1791.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
6548,1160.0,True,True,False,False,True,False,False,False,False,False,False,False,125,125.0
9275,1100.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
25555,2369.0,True,True,False,False,True,False,False,False,False,False,False,False,126-199,150.0
12073,3130.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
5335,844.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
36496,1544.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
24683,1396.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
13268,1346.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
29100,1338.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
12911,1915.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
35016,2341.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
33605,1728.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
22142,1050.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
11930,2261.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
9427,1820.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
29706,2500.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
13455,3966.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
5140,1541.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
26837,1796.0,True,True,False,False,True,False,False,False,False,False,False,False,125,125.0
22548,1138.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
7335,3374.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
3397,3271.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
23375,1324.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
28095,1738.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
32086,1904.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
16079,2667.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
31770,1555.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
32185,1432.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
35650,2286.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
15394,1964.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
3489,914.0,True,True,True,False,False,False,False,False,False,False,False,False,201+,1000.0
27197,1825.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
23459,1094.0,True,True,False,False,False,False,True,False,False,False,False,False,125,125.0
4383,1519.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
14365,1296.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
31672,2530.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
9256,1291.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
10533,1950.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
10606,2789.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
23767,1447.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
35250,1712.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
12340,2279.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
9282,1098.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
11562,1702.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
13884,1910.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
11197,1074.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
15724,3047.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
4461,2088.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
26883,1843.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
10194,2483.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
20734,2199.0,True,True,False,False,False,False,True,False,False,False,False,False,201+,220.0
18408,2632.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
37426,2436.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
24737,2013.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
9433,1119.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
32225,2175.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
31527,2363.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
32816,1972.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
34906,1988.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
26621,1700.0,True,True,False,True,False,False,False,False,False,False,False,False,101-124,110.0
23617,2417.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
23551,464.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
32015,1954.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
17254,2962.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
26824,1628.0,True,True,False,False,True,False,False,False,False,False,False,False,201+,300.0
5499,3350.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
6715,1088.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
13546,4394.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
21133,3440.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
27167,1175.0,True,True,False,False,False,False,False,False,False,False,False,True,201+,415.0
22472,730.0,True,True,False,False,False,False,True,False,False,False,False,False,125,125.0
20948,2249.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
33909,1164.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
23688,1893.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
3775,2354.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
31958,1948.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
14686,1387.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
25776,1402.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
33653,2345.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
36055,2232.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
25233,1533.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
30612,2150.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
20264,5233.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
25619,2310.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
28530,1104.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
13938,1969.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
28895,2420.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
26889,1109.0,True,True,False,False,False,False,False,True,False,False,False,False,126-199,175.0
37170,2192.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
25041,858.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
30835,950.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
7486,1340.0,True,True,False,True,False,False,False,False,False,False,False,False,125,125.0
36397,2564.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
25638,1460.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
37049,2160.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
24516,1092.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
26149,2280.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
12515,2048.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
25854,1735.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
36122,2436.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
33270,1922.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
15497,2500.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
26516,1964.0,True,True,False,False,True,False,False,False,False,False,False,False,125,125.0
14704,2781.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
33233,2216.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
35935,1856.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
35905,1775.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
3139,3257.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
10552,2011.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
24423,1612.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
36447,2504.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
17581,1623.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
3432,2196.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
27595,1866.0,True,True,False,False,False,True,False,False,False,False,False,False,lt_100,90.0
30794,1800.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
37320,2012.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
28052,1362.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
13034,4929.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
7768,1170.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
28028,2861.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
18207,1342.0,True,True,False,False,False,False,False,False,True,False,False,False,126-199,150.0
33463,2093.0,True,True,False,False,False,False,False,False,False,False,False,True,126-199,150.0
20050,1832.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
22824,3331.0,True,True,False,False,True,False,False,False,False,False,False,False,125,125.0
29975,1300.0,True,True,True,False,False,False,False,False,False,False,False,False,125,125.0
32904,1548.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
9229,968.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
15560,2742.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
29460,1260.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
28382,1200.0,True,True,False,False,False,False,False,True,False,False,False,False,100,100.0
13986,1120.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
7580,2185.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
22527,1488.0,True,True,False,False,False,False,False,False,False,False,False,True,125,125.0
19234,1748.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
28322,1200.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
25613,1426.0,True,True,True,False,False,False,False,False,False,False,False,False,126-199,150.0
36111,1674.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
19548,2246.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
35622,3168.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
10032,1852.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
12761,1766.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
36209,1554.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
13228,1734.0,True,True,False,False,False,False,False,False,True,False,False,False,201+,225.0
15862,2631.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
6532,2632.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
26468,1212.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
19407,2564.0,True,True,False,False,False,False,False,True,False,False,False,False,201+,240.0
26838,1990.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
9460,1495.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
29253,1152.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
10614,1763.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
22799,612.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
15163,2800.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
26800,1372.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
7420,1836.0,True,True,True,False,False,False,False,False,False,False,False,False,200,200.0
25999,1456.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
15028,2816.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
29727,1500.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
24117,1864.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
33194,1770.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
8621,2146.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
5940,3144.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
8441,894.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
3064,1000.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
20728,2504.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
30950,1550.0,True,True,False,False,True,False,False,False,False,False,False,False,201+,300.0
27336,749.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
34430,2400.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
19600,1876.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
9100,1230.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
36284,2408.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
4240,2560.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
10121,2112.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
24309,1586.0,True,True,False,False,False,True,False,False,False,False,False,False,100,100.0
22478,1474.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
4795,1376.0,True,True,False,False,False,False,False,True,False,False,False,False,125,125.0
23162,1176.0,True,True,False,False,False,False,False,False,False,False,False,True,201+,310.0
26966,1040.0,True,True,True,False,False,False,False,False,False,False,False,False,lt_100,60.0
20928,1326.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
17622,1683.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
9654,1224.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
3710,2150.0,True,True,False,False,False,False,True,False,False,False,False,False,100,100.0
3976,1765.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
34247,2097.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
8465,1395.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
26031,1382.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
20102,2865.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
31639,5460.0,True,True,False,False,False,False,False,False,False,False,False,True,200,200.0
11080,2231.0,True,True,False,False,True,False,False,False,False,False,False,False,125,125.0
18785,1662.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
3700,1400.0,True,True,True,False,False,False,False,False,False,False,False,False,100,100.0
33183,1628.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
9999,3216.0,True,True,False,False,False,False,True,False,False,False,False,False,200,200.0
17634,2501.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
33991,1028.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
11758,2000.0,True,True,False,False,False,False,False,True,False,False,False,False,125,125.0
7408,1145.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
3824,1017.0,True,True,False,True,False,False,False,False,False,False,False,False,100,100.0
16059,1532.0,True,True,False,True,False,False,False,False,False,False,False,False,200,200.0
9142,4983.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
12565,3048.0,True,True,False,False,False,True,False,False,False,False,False,False,200,200.0
4127,2841.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
28278,2100.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
26374,3597.0,True,True,False,False,False,False,False,True,False,False,False,False,200,200.0
14981,1099.0,True,True,False,False,False,False,False,False,False,True,False,False,200,200.0
9442,1041.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
29455,1796.0,True,True,False,False,True,False,False,False,False,False,False,False,201+,225.0
18121,1692.0,True,True,False,False,True,False,False,False,False,False,False,False,200,200.0
17980,2993.0,True,True,False,False,False,False,False,False,True,False,False,False,200,200.0
36821,1472.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
24164,895.0,True,True,False,False,False,False,False,True,False,False,False,False,125,125.0
34826,1668.0,True,True,False,False,False,False,False,False,False,False,False,True,100,100.0
20184,3301.0,True,True,False,False,False,False,False,False,True,False,False,False,100,100.0
12012,1252.0,True,True,False,False,True,False,False,False,False,False,False,False,100,100.0
