"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=g0fvvvvvvvvvo&endsec=8&linechart=ELEC.PRICE.US-RES.A&columnchart=ELEC.PRICE.US-RES.A&map=ELEC.PRICE.US-RES.A&freq=A&start=2001&end=2022&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Jul 25 2023 10:35:16 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Residential : Vermont","cents per kilowatthour","ELEC.PRICE.VT-RES.A",12.67,12.78,12.82,12.94,12.96,13.39,14.15,14.48,14.90,15.57,16.26,17.01,17.14,17.47,17.09,17.37,17.68,18.02,17.71,19.54,19.26,20.18
"Residential : Middle Atlantic",,"ELEC.PRICE.MAT-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : New Jersey","cents per kilowatthour","ELEC.PRICE.NJ-RES.A",10.21,10.38,10.67,11.23,11.74,12.84,14.14,15.66,16.31,16.57,16.23,15.78,15.73,15.78,15.81,15.72,15.65,15.41,15.85,16.03,16.35,16.79
"Residential : New York","cents per kilowatthour","ELEC.PRICE.NY-RES.A",14.04,13.55,14.31,14.54,15.72,16.89,17.10,18.31,17.50,18.74,18.26,17.62,18.79,20.07,18.54,17.58,18.03,18.52,17.94,18.36,19.48,22.04
"Residential : Pennsylvania","cents per kilowatthour","ELEC.PRICE.PA-RES.A",9.68,9.74,9.59,9.58,9.86,10.35,10.95,11.35,11.65,12.70,13.26,12.75,12.79,13.32,13.64,13.86,14.23,13.89,13.80,13.58,13.76,16.06
"Residential : East North Central",,"ELEC.PRICE.ENC-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Illinois","cents per kilowatthour","ELEC.PRICE.IL-RES.A",8.71,8.39,8.38,8.37,8.34,8.42,10.12,11.07,11.27,11.52,11.78,11.37,10.63,11.91,12.50,12.54,12.95,12.77,13.03,13.04,13.18,15.87
"Residential : Indiana","cents per kilowatthour","ELEC.PRICE.IN-RES.A",6.92,6.91,7.04,7.30,7.50,8.22,8.26,8.87,9.50,9.56,10.06,10.53,10.99,11.46,11.57,11.79,12.29,12.26,12.58,12.83,13.37,14.98
"Residential : Michigan","cents per kilowatthour","ELEC.PRICE.MI-RES.A",8.26,8.28,8.35,8.33,8.40,9.77,10.21,10.75,11.60,12.46,13.27,14.13,14.59,14.46,14.42,15.22,15.40,15.45,15.74,16.26,17.54,17.75
"Residential : Ohio","cents per kilowatthour","ELEC.PRICE.OH-RES.A",8.37,8.24,8.26,8.45,8.51,9.34,9.57,10.06,10.67,11.31,11.42,11.76,12.01,12.50,12.80,12.47,12.63,12.56,12.38,12.29,12.77,14.01
"Residential : Wisconsin","cents per kilowatthour","ELEC.PRICE.WI-RES.A",7.90,8.18,8.67,9.07,9.66,10.51,10.87,11.51,11.94,12.65,13.02,13.19,13.55,13.67,14.11,14.07,14.35,14.02,14.18,14.32,14.52,15.50
"Residential : West North Central",,"ELEC.PRICE.WNC-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Iowa","cents per kilowatthour","ELEC.PRICE.IA-RES.A",8.41,8.35,8.57,8.96,9.27,9.63,9.45,9.49,9.99,10.42,10.46,10.82,11.04,11.16,11.63,11.94,12.34,12.24,12.46,12.46,12.73,13.07
"Residential : Kansas","cents per kilowatthour","ELEC.PRICE.KS-RES.A",7.66,7.67,7.71,7.74,7.90,8.25,8.19,8.89,9.53,10.03,10.65,11.24,11.64,12.17,12.34,13.06,13.31,13.35,12.71,12.85,12.98,14.13
"Residential : Minnesota","cents per kilowatthour","ELEC.PRICE.MN-RES.A",7.61,7.49,7.65,7.92,8.28,8.70,9.18,9.74,10.04,10.59,10.96,11.35,11.81,12.01,12.12,12.67,13.04,13.14,13.04,13.17,13.50,14.16
"Residential : Missouri","cents per kilowatthour","ELEC.PRICE.MO-RES.A",7.00,7.06,6.96,6.97,7.08,7.44,7.69,8.00,8.54,9.08,9.75,10.17,10.60,10.64,11.21,11.21,11.63,11.34,11.14,11.22,11.41,12.29
"Residential : Nebraska","cents per kilowatthour","ELEC.PRICE.NE-RES.A",6.50,6.73,6.87,6.96,7.14,7.41,7.59,7.87,8.52,8.94,9.32,10.04,10.31,10.40,10.60,10.84,10.97,10.70,10.77,10.80,10.75,10.93
"Residential : North Dakota","cents per kilowatthour","ELEC.PRICE.ND-RES.A",6.47,6.39,6.49,6.79,6.99,7.14,7.30,7.51,7.58,8.13,8.58,9.06,9.12,9.15,9.62,10.16,10.29,10.25,10.30,10.44,10.85,10.90
"Residential : South Dakota","cents per kilowatthour","ELEC.PRICE.SD-RES.A",7.42,7.40,7.47,7.65,7.77,7.83,8.07,8.27,8.49,8.97,9.35,10.07,10.26,10.47,11.08,11.47,11.77,11.59,11.55,11.75,12.22,12.17
"Residential : South Atlantic",,"ELEC.PRICE.SAT-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Delaware","cents per kilowatthour","ELEC.PRICE.DE-RES.A",8.61,8.70,8.59,8.78,9.01,11.85,13.16,13.93,14.07,13.80,13.70,13.58,12.95,13.29,13.42,13.42,13.35,12.53,12.55,12.56,12.52,13.73
"Residential : District Of Columbia","cents per kilowatthour","ELEC.PRICE.DC-RES.A",7.79,7.98,7.84,8.00,9.10,9.88,11.18,12.78,13.73,14.01,13.40,12.28,12.57,12.74,12.99,12.29,12.94,12.84,12.98,12.63,13.09,14.20
"Residential : Florida","cents per kilowatthour","ELEC.PRICE.FL-RES.A",8.59,8.16,8.55,8.99,9.62,11.33,11.22,11.65,12.39,11.44,11.51,11.42,11.27,11.89,11.58,10.98,11.61,11.54,11.70,11.27,11.90,13.92
"Residential : Georgia","cents per kilowatthour","ELEC.PRICE.GA-RES.A",7.72,7.63,7.70,7.86,8.64,8.91,9.10,9.93,10.13,10.07,11.05,11.17,11.46,11.65,11.54,11.50,11.90,11.47,11.76,12.02,12.51,14.02
"Residential : Maryland","cents per kilowatthour","ELEC.PRICE.MD-RES.A",7.67,7.74,7.73,7.80,8.46,9.71,11.89,13.84,14.98,14.32,13.31,12.84,13.25,13.63,13.82,14.23,13.96,13.30,13.12,13.01,13.12,14.51
"Residential : North Carolina","cents per kilowatthour","ELEC.PRICE.NC-RES.A",8.12,8.19,8.32,8.45,8.65,9.12,9.40,9.52,9.99,10.12,10.26,10.91,10.97,11.10,11.28,11.03,10.94,11.09,11.42,11.38,11.32,12.08
"Residential : South Carolina","cents per kilowatthour","ELEC.PRICE.SC-RES.A",7.69,7.72,8.01,8.12,8.67,9.03,9.19,9.89,10.44,10.50,11.05,11.77,11.99,12.45,12.57,12.65,13.02,12.44,12.99,12.78,12.86,14.11
"Residential : Virginia","cents per kilowatthour","ELEC.PRICE.VA-RES.A",7.79,7.79,7.76,7.99,8.16,8.49,8.74,9.62,10.61,10.45,10.64,11.08,10.84,11.10,11.37,11.36,11.55,11.73,12.07,12.03,11.96,13.52
"Residential : West Virginia","cents per kilowatthour","ELEC.PRICE.WV-RES.A",6.26,6.23,6.24,6.23,6.21,6.35,6.73,7.06,7.90,8.79,9.39,9.85,9.52,9.34,10.08,11.44,11.63,11.18,11.25,11.80,12.15,13.25
"Residential : East South Central",,"ELEC.PRICE.ESC-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Alabama","cents per kilowatthour","ELEC.PRICE.AL-RES.A",7.01,7.12,7.39,7.62,8.00,8.75,9.32,10.40,10.66,10.67,11.09,11.40,11.26,11.48,11.70,11.99,12.55,12.18,12.53,12.57,12.96,14.39
"Residential : Kentucky","cents per kilowatthour","ELEC.PRICE.KY-RES.A",5.58,5.65,5.81,6.11,6.57,7.02,7.34,7.94,8.37,8.57,9.20,9.43,9.79,10.16,10.24,10.49,10.85,10.60,10.80,10.87,11.50,12.85
"Residential : Mississippi","cents per kilowatthour","ELEC.PRICE.MS-RES.A",7.37,7.28,7.60,8.21,8.71,9.66,9.36,10.39,10.22,9.87,10.17,10.26,10.78,11.32,11.27,10.47,11.08,11.12,11.27,11.17,11.56,12.65
"Residential : Tennessee","cents per kilowatthour","ELEC.PRICE.TN-RES.A",6.32,6.41,6.55,6.90,6.98,7.75,7.84,8.91,9.32,9.23,9.98,10.10,9.98,10.32,10.30,10.41,10.72,10.71,10.87,10.76,11.07,12.37
"Residential : West South Central",,"ELEC.PRICE.WSC-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Arkansas","cents per kilowatthour","ELEC.PRICE.AR-RES.A",7.72,7.25,7.24,7.36,8.00,8.85,8.73,9.27,9.14,8.86,9.02,9.30,9.59,9.51,9.82,9.92,10.28,9.81,9.80,10.41,11.27,11.86
"Residential : Louisiana","cents per kilowatthour","ELEC.PRICE.LA-RES.A",7.92,7.10,7.84,8.05,8.87,9.14,9.37,10.28,8.10,8.98,8.96,8.37,9.43,9.57,9.33,9.34,9.74,9.59,9.80,9.67,11.02,12.69
"Residential : Oklahoma","cents per kilowatthour","ELEC.PRICE.OK-RES.A",7.27,6.73,7.47,7.72,7.95,8.55,8.58,9.09,8.49,9.14,9.47,9.51,9.67,10.03,10.14,10.20,10.61,10.30,10.21,10.12,11.00,12.57
"Residential : Texas","cents per kilowatthour","ELEC.PRICE.TX-RES.A",8.86,8.05,9.16,9.73,10.93,12.86,12.34,13.03,12.38,11.60,11.08,10.98,11.35,11.86,11.56,10.99,11.01,11.20,11.76,11.71,12.11,13.55
"Residential : Mountain",,"ELEC.PRICE.MTN-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Arizona","cents per kilowatthour","ELEC.PRICE.AZ-RES.A",8.30,8.27,8.35,8.46,8.86,9.40,9.66,10.27,10.73,10.97,11.08,11.29,11.71,11.90,12.13,12.15,12.44,12.77,12.43,12.27,12.54,13.02
"Residential : Colorado","cents per kilowatthour","ELEC.PRICE.CO-RES.A",7.47,7.37,8.14,8.42,9.06,9.02,9.25,10.13,10.00,11.04,11.27,11.46,11.93,12.18,12.12,12.07,12.17,12.15,12.18,12.36,13.07,14.29
"Residential : Idaho","cents per kilowatthour","ELEC.PRICE.ID-RES.A",6.01,6.59,6.24,6.10,6.29,6.21,6.36,6.99,7.80,7.99,7.87,8.67,9.32,9.72,9.93,9.95,10.04,10.15,9.89,9.95,10.16,10.42
"Residential : Montana","cents per kilowatthour","ELEC.PRICE.MT-RES.A",6.88,7.23,7.56,7.86,8.10,8.28,8.77,9.13,8.94,9.16,9.75,10.08,10.33,10.18,10.88,10.94,10.95,10.96,11.13,11.24,11.22,11.37
"Residential : Nevada","cents per kilowatthour","ELEC.PRICE.NV-RES.A",9.08,9.43,9.02,9.69,10.20,11.08,11.82,11.93,12.86,12.36,11.61,11.83,11.89,12.93,12.76,11.41,11.99,11.85,12.00,11.34,11.49,13.79
"Residential : New Mexico","cents per kilowatthour","ELEC.PRICE.NM-RES.A",8.74,8.50,8.69,8.67,9.13,9.06,9.12,10.01,10.02,10.52,11.00,11.37,11.68,12.28,12.47,12.03,12.88,12.68,12.51,12.94,13.52,14.11
"Residential : Utah","cents per kilowatthour","ELEC.PRICE.UT-RES.A",6.72,6.79,6.90,7.21,7.52,7.59,8.15,8.26,8.48,8.71,8.96,9.93,10.37,10.65,10.88,11.02,10.95,10.41,10.40,10.44,10.43,10.94
"Residential : Wyoming","cents per kilowatthour","ELEC.PRICE.WY-RES.A",6.77,6.97,7.04,7.21,7.48,7.75,7.75,8.21,8.58,8.77,9.11,9.85,10.16,10.50,10.97,11.13,11.37,11.29,11.18,11.11,11.17,11.10
"Residential : Pacific Contiguous",,"ELEC.PRICE.PCC-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : California","cents per kilowatthour","ELEC.PRICE.CA-RES.A",12.09,12.64,12.23,12.20,12.51,14.33,14.42,13.81,14.74,14.75,14.78,15.34,16.23,16.25,16.99,17.39,18.31,18.84,19.15,20.45,22.82,26.17
"Residential : Oregon","cents per kilowatthour","ELEC.PRICE.OR-RES.A",6.29,7.12,7.06,7.18,7.25,7.48,8.19,8.49,8.68,8.87,9.54,9.80,9.90,10.47,10.66,10.66,10.66,10.98,11.01,11.17,11.37,11.35
"Residential : Washington","cents per kilowatthour","ELEC.PRICE.WA-RES.A",5.70,6.29,6.31,6.37,6.54,6.82,7.26,7.54,7.67,8.04,8.28,8.53,8.70,8.67,9.09,9.48,9.66,9.75,9.71,9.87,10.11,10.23
"Residential : Pacific Noncontiguous",,"ELEC.PRICE.PCN-RES.A",,,,,,,,,,,,,,,,,,,,,,
"Residential : Alaska","cents per kilowatthour","ELEC.PRICE.AK-RES.A",12.12,12.05,11.98,12.44,13.30,14.83,15.18,16.56,17.14,16.26,17.62,17.88,18.12,19.14,19.83,20.30,21.27,21.94,22.92,22.57,22.55,23.02
"Residential : Hawaii","cents per kilowatthour","ELEC.PRICE.HI-RES.A",16.34,15.63,16.73,18.06,20.70,23.35,24.12,32.50,24.20,28.10,34.68,37.34,36.98,37.04,29.60,27.47,29.50,32.47,32.06,30.28,33.49,43.02
