Building,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,PUMA,Geometry Building Type ACS,PUMA Metro Status,State,Census Division,Vacancy Status,Vintage ACS,Tenure,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Occupants,Bathroom Spot Vent Hour,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,Range Spot Vent Hour,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Ground Thermal Conductivity,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,AIANNH Area,City,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Energystar Climate Zone 2023,Generation And Emissions Assessment Region,ISO RTO Region,Metropolitan and Micropolitan Statistical Area,REEDS Balancing Area,Sampling Region,Census Division RECS,County Metro Status,Custom State,Geometry Building Number Units SFA,Geometry Building Type RECS,Location Region,Vintage,Census Region,Cooling Setpoint Has Offset,Corridor,Geometry Building Horizontal Location SFA,Heating Fuel,Lighting,Neighbors,Plug Loads,Radiant Barrier,Ceiling Fan,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Geometry Foundation Type,HVAC Heating Type,HVAC Secondary Heating Fuel,Has PV,Roof Material,Water Heater Fuel,Water Heater In Unit,Battery,HVAC Cooling Type,HVAC Secondary Heating Type,Insulation Floor,Insulation Foundation Wall,Insulation Slab,PV Orientation,PV System Size,Water Heater Efficiency,Cooling Setpoint,HVAC Has Shared System,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Insulation Rim Joist,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Shared Efficiencies,Geometry Floor Area Bin,HVAC Cooling Autosizing Factor,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Infiltration,Geometry Stories,HVAC Cooling Partial Space Conditioning,Heating Setpoint,Heating Setpoint Has Offset,Area Median Income,Federal Poverty Level,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Story Bin,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Clothes Washer Presence,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Geometry Attic Type,Geometry Building Horizontal Location MF,Geometry Garage,Geometry Wall Type,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Refrigerator,State Metro Median Income,Window Areas,Windows,Clothes Dryer,Clothes Washer,Electric Vehicle Charger,Geometry Space Combination,Geometry Wall Exterior Finish,Heating Unavailable Days,Insulation Ceiling,Insulation Roof,Insulation Wall,Misc Pool Heater,Misc Pool Pump,Duct Location,Electric Vehicle Outlet Access,Water Heater Location,Duct Leakage and Insulation
192596,3C,"G0600790, G06007902",4,"CA, San Luis Obispo County","CA, 07902",Single-Family Detached,"In metro area, not/partially in principal city",CA,Pacific,Occupied,1980-99,Owner,100000-119999,100000-119999,100000-149999,4000+,4,3,Hour18,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour18,High,120% Usage,120% Usage,120% Usage,120% Usage,2,130% Usage,200%,105% Usage,No,In another census Place,Non-CBSA Pacific,3C,Marine,South-Central,CAISO,CAISO,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",9,102,Pacific,Metropolitan,Others,None,Single-Family Detached,CR11,1990s,West,No,Not Applicable,None,Natural Gas,100% LED,Left/Right at 15ft,94%,No,Standard Efficiency,0F,None,Slab,Ducted Heating,None,No,"Tile, Clay or Ceramic",Natural Gas,Yes,None,Central AC,None,None,None,Uninsulated,None,None,Natural Gas Standard,60F,None,None,0%,None,"AC, SEER2 12.4",Yes,"Fuel Furnace, 92.5% AFUE",None,4000+,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,2 ACH50,2,100% Conditioned,62F,Yes,120-150%,400%+,None,None,Single-Family Detached,2,<8,3F,Night -3h,Yes,Gas,Never,Standard,80-99%,No,None,None,3 Car,Wood Frame,No,EF 19.9,None,Natural Gas,None,None,EF 10.2,150%+,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Gas,Standard,None,"Single-Family Detached, Slab, No Attic, 3 Car Garage","Vinyl, Light",Never,None,"Finished, R-38","Wood Stud, R-11",None,None,Garage,Yes,Outside,"10% Leakage to Outside, R-4"
94473,2A,"G1200990, G12009903",None,"FL, Palm Beach County","FL, 09903",2 Unit,"In metro area, not/partially in principal city",FL,South Atlantic,Occupied,1940-59,Renter,50000-59999,40000-59999,40000-59999,1500-1999,4,4,Hour2,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 300 mile range",1000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,Gas Fireplace,None,None,"Cooling Season, 7 days/wk",Southwest,Hour13,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,60% Usage,50%,95% Usage,No,"FL, West Palm Beach","CBSA Miami-Fort Lauderdale-West Palm Beach, FL","2A - FL, GA, AL, MS",Hot-Humid,Southern,FRCC,None,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",102,5,South Atlantic,Metropolitan,Others,None,Multi-Family with 2 - 4 Units,CR09,<1940,South,Yes,Double-Loaded Interior,None,None,100% CFL,12,82%,None,None,5F,Day Setup,Slab,None,None,No,"Tile, Concrete",Electricity,No,None,Central AC,None,None,None,Uninsulated,None,None,Electric Standard,72F,Cooling Only,None,0%,None,Shared Cooling,No,None,Fan Coil Cooling Only,1500-2499,None,No,None,None,None,None,None,None,25 ACH50,1,100% Conditioned,60F,No,60-80%,200-300%,Bottom,2,Multi-Family with 2 - 4 Units,1,<8,0F,None,None,Gas,Never,Standard,100%,No,None,Left,None,Concrete,No,None,None,None,None,None,EF 21.9,60-80%,F12 B12 L12 R12,"Double, Clear, Metal, Air, Exterior Clear Storm",None,None,None,"Multi-Family with 2 - 4 Units Bottom Unit, Slab, No Attic, No Garage",None,Never,None,"Finished, R-30","CMU, 6-in, Uninsulated",None,None,None,No,Conditioned Mechanical Room,None
86738,7AK,"G0200200, G02000101",None,"AK, Anchorage Municipality","AK, 00101",Single-Family Attached,"In metro area, principal city",AK,Pacific,Occupied,1980-99,Owner,140000-159999,140000+,100000-149999,1000-1499,3,2,Hour15,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",15000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",South,Hour17,High,120% Usage,120% Usage,120% Usage,120% Usage,1.4,130% Usage,200%,105% Usage,No,"AK, Anchorage",Non-CBSA Pacific,7AK,Very Cold,Northern,None,None,"Anchorage, AK MSA",None,1,Pacific,Metropolitan,AK,12,Single-Family Attached,CRAK,1990s,West,No,Not Applicable,Middle,Natural Gas,100% CFL,27,96%,No,Standard Efficiency,0F,None,Heated Basement,Non-Ducted Heating,Wood,No,Composition Shingles,Natural Gas,Yes,None,None,Non-Ducted Heating,Uninsulated,"Wall R-15, Exterior",None,None,None,Natural Gas Standard,65F,None,"Fuel Boiler, 80% AFUE",30%,"R-15, Exterior",None,No,"Fuel Boiler, 90% AFUE",None,0-1499,None,No,None,Natural Gas Fuel Boiler,None,None,None,None,8 ACH50,1,None,68F,Yes,150%+,400%+,None,None,Single-Family Attached,1,<8,6F,Night +5h,Yes,Gas,Never,Standard,20-39%,No,Unvented Attic,None,None,Wood Frame,No,EF 15.9,None,None,None,None,EF 19.9,150%+,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",Gas,EnergyStar,None,"Single-Family Attached, Heated Basement, Unvented Attic, No Garage","Wood, Medium/Dark",Never,R-38,"Unfinished, Uninsulated","Wood Stud, R-19",None,None,None,Yes,Living Space,None
269037,8AK,"G0200500, G02000400",None,"AK, Bethel Census Area","AK, 00400",Mobile Home,Not/partially in metro area,AK,Pacific,Occupied,1960-79,Renter,100000-119999,100000-119999,100000-149999,1000-1499,2,2,Hour2,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",5000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Northeast,Hour7,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.4,100% Usage,100%,100% Usage,Yes,In another census Place,Non-CBSA Pacific,8AK,Subarctic,Northern,None,None,None,None,1,Pacific,Non-Metropolitan,AK,None,Mobile Home,CRAK,1970s,West,No,Not Applicable,None,Fuel Oil,100% LED,Left/Right at 15ft,102%,No,Standard Efficiency,0F,None,Ambient,Non-Ducted Heating,Fuel Oil,No,"Asphalt Shingles, Medium",Electricity,Yes,None,None,Ducted Heating,Uninsulated,None,None,None,None,Electric Standard,70F,None,"Fuel Furnace, 80% AFUE",50%,None,None,Yes,"Fuel Boiler, 80% AFUE",None,0-1499,None,No,None,Fuel Oil Fuel Boiler,None,None,None,None,5 ACH50,1,None,70F,No,150%+,400%+,None,None,Mobile Home,1,<8,0F,None,Yes,Electric Resistance,3 days,EnergyStar,80-99%,No,None,None,None,Wood Frame,No,None,"EF 12, National Average",None,None,None,EF 17.6,150%+,F15 B15 L15 R15,"Single, Clear, Non-metal",Electric,EnergyStar,None,"Mobile Home, Ambient, No Attic, No Garage","Wood, Medium/Dark",1 week,None,"Finished, R-19","Wood Stud, R-11",None,None,Living Space,No,Living Space,"0% Leakage to Outside, Uninsulated"
319139,4A,"G4700370, G47002501",None,"TN, Davidson County","TN, 02501",Single-Family Attached,"In metro area, not/partially in principal city",TN,East South Central,Occupied,1980-99,Owner,30000-34999,20000-39999,20000-39999,2500-2999,2,2,Hour18,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour17,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,70% Usage,50%,95% Usage,No,"TN, Nashville-Davidson Metropolitan Government Balance",Non-CBSA East South Central,4A,Mixed-Humid,North-Central,SERTP,None,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",92,38,East South Central,Metropolitan,Others,36,Single-Family Attached,CR08,2000s,South,No,Not Applicable,Right,Natural Gas,100% Incandescent,4,101%,No,None,0F,None,Unvented Crawlspace,Ducted Heating,None,No,"Asphalt Shingles, Medium",Electricity,Yes,None,Central AC,None,Uninsulated,"Wall R-5, Exterior",None,None,None,Electric Standard,70F,None,None,0%,"R-5, Exterior","AC, SEER2 12.4",Yes,"Fuel Furnace, 76% AFUE",None,2500-3999,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,15 ACH50,2,60% Conditioned,70F,No,30-60%,150-200%,None,None,Single-Family Attached,2,<8,0F,None,Yes,Electric Resistance,1 month,None,80-99%,No,Vented Attic,None,None,Wood Frame,No,None,None,None,Has Pool,None,EF 17.6,30-60%,F6 B6 L6 R6,"Single, Clear, Metal",Electric,EnergyStar,None,"Single-Family Attached, Unvented Crawlspace, Vented Attic, No Garage","Brick, Medium/Dark",Never,R-30,"Unfinished, Uninsulated","Wood Stud, R-19",Natural Gas,1.0 HP Pump,Crawlspace,Yes,Living Space,"20% Leakage to Outside, R-6"
132060,4B,"G4803810, G48000300",None,"TX, Randall County","TX, 00300",2 Unit,"In metro area, not/partially in principal city",TX,West South Central,Occupied,1960-79,Renter,35000-39999,20000-39999,20000-39999,1000-1499,4,4,Hour22,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,Gas Grill,None,"Cooling Season, 7 days/wk",West,Hour9,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.7,100% Usage,100%,100% Usage,No,"TX, Amarillo",Non-CBSA West South Central,4B,Mixed-Dry,North-Central,SPP South,SPP,"Amarillo, TX MSA",48,31,West South Central,Metropolitan,Others,None,Multi-Family with 2 - 4 Units,CR09,2010s,South,No,Double-Loaded Interior,None,Natural Gas,100% CFL,7,123%,None,None,0F,None,Slab,Ducted Heating,None,No,Wood Shingles,Natural Gas,No,None,Central AC,None,None,None,Uninsulated,None,None,Natural Gas Premium,70F,Heating and Cooling,None,0%,None,Shared Cooling,No,Shared Heating,"Fan Coil Heating and Cooling, Fuel",0-1499,None,No,None,Natural Gas Shared Heating,None,None,None,None,8 ACH50,2,100% Conditioned,75F,No,30-60%,100-150%,Top,2,Multi-Family with 2 - 4 Units,2,<8,0F,None,Yes,Gas,1 week,Standard,80-99%,No,None,Not Applicable,None,Wood Frame,No,None,None,None,None,None,EF 19.9,30-60%,F18 B18 L18 R18,"Single, Clear, Metal",Electric,EnergyStar,None,"Multi-Family with 2 - 4 Units Top Unit, Slab, No Attic, No Garage","Brick, Medium/Dark",3 days,None,"Finished, R-49","Wood Stud, R-11",None,None,None,Yes,Conditioned Mechanical Room,None
80617,7B,"G0801170, G08000400",None,"CO, Summit County","CO, 00400",Single-Family Detached,Not/partially in metro area,CO,Mountain,Occupied,1960-79,Owner,50000-59999,40000-59999,40000-59999,1000-1499,2,6,Hour9,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",17000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Southwest,Hour15,Medium,100% Usage,100% Usage,100% Usage,100% Usage,0.5,110% Usage,100%,100% Usage,No,Not in a census Place,Non-CBSA Mountain,7B,Very Cold,Northern,West Connect North,None,"Breckenridge, CO MicroSA",33,3,Mountain North,Non-Metropolitan,Others,None,Single-Family Detached,CR05,2000s,West,No,Not Applicable,None,Wood,100% LED,Left/Right at 15ft,91%,No,None,0F,None,Ambient,Non-Ducted Heating,None,No,"Asphalt Shingles, Medium",Electricity,Yes,None,Room AC,None,Ceiling R-30,None,None,None,None,Electric Standard,60F,None,None,0%,None,"Room AC, CEER 11.9",No,"Fuel Wall/Floor Furnace, 60% AFUE",None,0-1499,None,No,None,Other Fuel Fuel Wall/Floor Furnace,None,None,None,None,7 ACH50,1,40% Conditioned,72F,No,30-60%,150-200%,None,None,Single-Family Detached,1,<8,0F,None,Yes,Electric Resistance,1 day,EnergyStar,100%,No,Vented Attic,None,None,Wood Frame,No,None,None,None,None,Typical Efficiency,EF 17.6,30-60%,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,None,"Single-Family Detached, Ambient, Vented Attic, No Garage","Wood, Medium/Dark",1 day,R-49,"Unfinished, Uninsulated","Wood Stud, R-11",None,None,None,Yes,Living Space,None
175014,3B,"G0600730, G06007317",7,"CA, San Diego County","CA, 07317",Single-Family Detached,"In metro area, principal city",CA,Pacific,Occupied,1980-99,Owner,50000-59999,40000-59999,40000-59999,1500-1999,3,4,Hour8,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,Gas Grill,None,"Cooling Season, 7 days/wk",East,Hour16,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.4,60% Usage,50%,95% Usage,No,"CA, San Diego",Non-CBSA Pacific,3B,Hot-Dry,South-Central,CAISO,CAISO,"San Diego-Carlsbad, CA MSA",11,103,Pacific,Metropolitan,Others,None,Single-Family Detached,CR11,1940s,West,Yes,Not Applicable,None,Other Fuel,100% Incandescent,Left/Right at 15ft,94%,No,Standard Efficiency,5F,Night Setback -5h,Slab,Non-Ducted Heating,None,No,"Metal, Dark",Electricity,Yes,None,Central AC,None,None,None,Uninsulated,None,None,Electric Tankless,75F,None,None,0%,None,"AC, SEER2 12.4",Yes,"Fuel Wall/Floor Furnace, 60% AFUE",None,1500-2499,None,No,None,Other Fuel Fuel Wall/Floor Furnace,None,None,None,None,4 ACH50,2,100% Conditioned,68F,Yes,30-60%,200-300%,None,None,Single-Family Detached,2,<8,6F,Day and Night -2h,Yes,Electric Resistance,Never,EnergyStar,100%,No,Vented Attic,None,2 Car,Wood Frame,No,EF 17.6,None,None,Has Pool,None,EF 19.9,30-60%,F18 B18 L18 R18,"Double, Clear, Metal, Air",Propane,EnergyStar,None,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage","Vinyl, Light",Never,Uninsulated,"Unfinished, Uninsulated","Wood Stud, Uninsulated",Other Fuel,1.0 HP Pump,Attic,Yes,Garage,"10% Leakage to Outside, R-4"
41750,1A,"G1200870, G12008700",None,"FL, Monroe County","FL, 08700",5 to 9 Unit,Not/partially in metro area,FL,South Atlantic,Occupied,1960-79,Renter,20000-24999,20000-39999,20000-39999,500-749,1,1,Hour16,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",5000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,Gas Lighting,"Cooling Season, 7 days/wk",West,Hour8,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.1,90% Usage,100%,100% Usage,No,In another census Place,Non-CBSA South Atlantic,1A - FL,Hot-Humid,Southern,FRCC,None,"Key West, FL MicroSA",101,6,South Atlantic,Non-Metropolitan,Others,None,Multi-Family with 5+ Units,CR09,2000s,South,No,Double-Loaded Interior,None,Electricity,100% Incandescent,12,106%,None,Standard Efficiency,0F,None,Slab,Non-Ducted Heat Pump,None,No,"Asphalt Shingles, Medium",Electricity,Yes,None,Non-Ducted Heat Pump,None,None,None,"2ft R10 Under, Horizontal",None,None,Electric Premium,75F,None,None,0%,None,Non-Ducted Heat Pump,No,"MSHP, SEER2 13.7, 7.4 HSPF2",None,0-1499,None,No,None,Electricity MSHP,None,None,None,None,8 ACH50,2,100% Conditioned,75F,No,30-60%,150-200%,Bottom,8,"Multi-Family with 5+ Units, 1-3 Stories",2,<8,0F,None,Yes,Electric Resistance,Never,Standard,0-19%,No,None,Left,None,Brick,No,None,None,None,None,None,EF 17.6,30-60%,F9 B9 L9 R9,"Single, Clear, Metal",Electric,EnergyStar,None,"Multi-Family with 5+ Units Bottom Unit, Slab, No Attic, No Garage","Stucco, Light",1 month,None,"Finished, R-7","Brick, 12-in, 3-wythe, R-11",None,None,None,No,Living Space,None
152252,3A,"G4801210, G48002005",None,"TX, Denton County","TX, 02005",Single-Family Detached,"In metro area, not/partially in principal city",TX,West South Central,Occupied,2010s,Owner,120000-139999,120000-139999,100000-149999,2000-2499,4,2,Hour21,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 200 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour17,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.1,80% Usage,50%,95% Usage,No,"TX, Denton","CBSA Dallas-Fort Worth-Arlington, TX",3A,Hot-Humid,South-Central,ERCOT,ERCOT,"Dallas-Fort Worth-Arlington, TX MSA",63,40,West South Central,Metropolitan,Others,None,Single-Family Detached,CR09,1950s,South,Yes,Not Applicable,None,Electricity,100% Incandescent,Left/Right at 15ft,113%,No,Standard Efficiency,9F,Night Setback -4h,Slab,Non-Ducted Heating,None,No,Composition Shingles,Electricity,Yes,None,Central AC,None,None,None,Uninsulated,None,None,Electric Premium,78F,None,None,0%,None,"AC, SEER2 12.4",Yes,"Electric Wall Furnace, 100% AFUE",None,1500-2499,None,No,None,Electricity Electric Wall Furnace,None,None,None,None,30 ACH50,1,100% Conditioned,68F,No,150%+,400%+,None,None,Single-Family Detached,1,<8,0F,None,Yes,Gas,Never,Standard,80-99%,No,Vented Attic,None,None,Brick,Yes,EF 17.6,None,Other Fuel,None,None,EF 17.6,150%+,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,None,"Single-Family Detached, Slab, Vented Attic, No Garage",None,Never,R-7,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",None,None,Attic,Yes,Attic,"20% Leakage to Outside, R-4"
188929,1A,"G1500010, G15000200",None,"HI, Hawaii County","HI, 00200",Single-Family Detached,Not/partially in metro area,HI,Pacific,Occupied,1960-79,Owner,20000-24999,20000-39999,20000-39999,2000-2499,3,2,Hour0,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",3000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",North,Hour17,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.1,90% Usage,100%,100% Usage,No,In another census Place,Non-CBSA Pacific,1A - HI,Hot-Humid,Southern,None,None,"Hilo, HI MicroSA",None,14,Pacific,Non-Metropolitan,Others,None,Single-Family Detached,CRHI,1960s,West,Yes,Not Applicable,None,Electricity,100% Incandescent,Left/Right at 15ft,94%,No,Standard Efficiency,2F,Night Setback -4h,Vented Crawlspace,Non-Ducted Heating,None,Yes,Composition Shingles,Solar Thermal,Yes,None,None,None,Uninsulated,Uninsulated,None,South,7.0 kWDC,"Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup",76F,None,None,0%,Uninsulated,None,No,"Electric Baseboard, 100% Efficiency",None,1500-2499,None,Yes,None,Electricity Baseboard,None,None,None,None,15 ACH50,2,None,70F,Yes,30-60%,100-150%,None,None,Single-Family Detached,2,<8,3F,Night -2h,Yes,Gas,3 months,None,40-59%,No,None,None,2 Car,Concrete,No,EF 17.6,"EF 12, National Average",Electricity,None,None,EF 17.6,30-60%,F9 B9 L9 R9,"Single, Clear, Metal",Electric,Standard,None,"Single-Family Detached, Vented Crawlspace, No Attic, 2 Car Garage",None,3 months,None,"Finished, R-30","CMU, 6-in, Uninsulated",None,None,None,Yes,Garage,None
84776,3B,"G0600190, G06001902",13,"CA, Fresno County","CA, 01902",Single-Family Detached,"In metro area, not/partially in principal city",CA,Pacific,Occupied,1980-99,Owner,60000-69999,60000-79999,60000-99999,2000-2499,4,2,Hour22,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",13000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",Southwest,Hour18,Medium,100% Usage,100% Usage,100% Usage,100% Usage,1.4,110% Usage,100%,100% Usage,No,"CA, Fresno",Non-CBSA Pacific,3B,Hot-Dry,South-Central,CAISO,CAISO,"Fresno, CA MSA",9,108,Pacific,Metropolitan,Others,None,Single-Family Detached,CR11,1960s,West,Yes,Not Applicable,None,Natural Gas,100% LED,Left/Right at 15ft,94%,No,Standard Efficiency,2F,Day and Night Setup +2h,Slab,Ducted Heating,None,Yes,Composition Shingles,Natural Gas,Yes,None,Room AC,None,None,None,Uninsulated,West,9.0 kWDC,Natural Gas Standard,75F,None,None,0%,None,"Room AC, CEER 10.6",Yes,"Fuel Furnace, 92.5% AFUE",None,1500-2499,None,No,None,Natural Gas Fuel Furnace,None,None,None,None,15 ACH50,2,40% Conditioned,68F,Yes,100-120%,300-400%,None,None,Single-Family Detached,2,<8,6F,Night -2h,Yes,Electric Resistance,Never,EnergyStar,80-99%,Yes,None,None,2 Car,Wood Frame,No,EF 17.6,None,None,None,Typical Efficiency,EF 10.5,80-100%,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",Electric,Standard,Level 2 charger,"Single-Family Detached, Slab, No Attic, 2 Car Garage","Vinyl, Light",Never,None,"Finished, R-19","Wood Stud, Uninsulated",None,None,Garage,Yes,Garage,"20% Leakage to Outside, R-4"
192756,5B,"G3205100, G32000200",None,"NV, Carson City","NV, 00200",Single-Family Attached,Not/partially in metro area,NV,Mountain,Occupied,1960-79,Owner,200000+,140000+,150000+,3000-3999,4,5,Hour23,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 200 mile range",19000,No,No,No Exterior Use,Uninsulated,Light Curtains,100% Usage,100% Usage,None,None,None,None,"Cooling Season, 7 days/wk",East,Hour8,Low,80% Usage,80% Usage,80% Usage,80% Usage,1.4,70% Usage,50%,95% Usage,No,"NV, Carson City",Non-CBSA Mountain,5B,Cold,Northern,Northern Grid South,None,"Carson City, NV MSA",12,28,Mountain South,Metropolitan,Others,5,Single-Family Attached,CR10,1980s,West,No,Not Applicable,Left,Propane,100% Incandescent,12,103%,No,Standard Efficiency,0F,None,Slab,Non-Ducted Heating,None,No,"Asphalt Shingles, Medium",Electricity,Yes,None,Central AC,None,None,None,"2ft R5 Under, Horizontal",None,None,Electric Standard,78F,None,None,0%,None,"AC, SEER2 14.3",Yes,"Fuel Wall/Floor Furnace, 68% AFUE",None,2500-3999,None,No,None,Propane Fuel Wall/Floor Furnace,None,None,None,None,15 ACH50,2,100% Conditioned,65F,No,150%+,400%+,None,None,Single-Family Attached,2,<8,0F,None,None,Electric Resistance,Never,Standard,0-19%,No,None,None,None,Wood Frame,No,None,None,None,Has Pool,None,EF 17.6,150%+,F12 B12 L12 R12,"Triple, Low-E, Non-metal, Air, L-Gain",None,None,None,"Single-Family Attached, Slab, No Attic, No Garage","Vinyl, Light",Never,None,"Finished, R-38","Wood Stud, R-11",None,1.0 HP Pump,Living Space,Yes,Living Space,"0% Leakage to Outside, Uninsulated"
