Dependency=Geometry Building Type RECS,Option=Mobile Home,Option=Multi-Family with 2 - 4 Units,Option=Multi-Family with 5+ Units,Option=Single-Family Attached,Option=Single-Family Detached,Option=<1940,Option=1940s,Option=1950s,Option=1960s,Option=1970s,Option=1980s,Option=1990s,Option=2000s,Option=2010s,Option=0-100%,Option=100-150%,Option=150-200%,Option=200-300%,Option=300-400%,Option=400%+,Option=Not Available,Dependency=Vintage,Dependency=State,Option=Electricity,Option=Fuel Oil,Option=Natural Gas,Option=None,Option=Other Fuel,Option=Propane,Option=Wood,Option=0-1499,Option=1500-2499,Option=2500-3999,Option=4000+,Option=AK,Option=AL,Option=AR,Option=AZ,Option=CA,Option=CO,Option=CT,Option=DC,Option=DE,Option=FL,Option=GA,Option=HI,Option=IA,Option=ID,Option=IL,Option=IN,Option=KS,Option=KY,Option=LA,Option=MA,Option=MD,Option=ME,Option=MI,Option=MN,Option=MO,Option=MS,Option=MT,Option=NC,Option=ND,Option=NE,Option=NH,Option=NJ,Option=NM,Option=NV,Option=NY,Option=OH,Option=OK,Option=OR,Option=PA,Option=RI,Option=SC,Option=SD,Option=TN,Option=TX,Option=UT,Option=VA,Option=VT,Option=WA,Option=WI,Option=WV,Option=WY
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G24,4.57207097569642e-07,5.88653627335179e-07,1.628799124215179e-07,3.14330111754463e-08,1.285894729739284e-07,4.14343816084821e-07,7.429610692e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G25,3.0273463711611895e-07,1.3281261239710899e-06,8.6913991091743e-07,2.05078458308673e-07,0.0,1.18164064872733e-06,1.36718972205782e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G26,7.18510956872122e-07,2.8740472571800804e-08,5.54690023134446e-06,0.0,3.83205443534446e-08,1.36996458373746e-06,8.7179330577048e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G27,0.0,0.0,9.638694569762e-07,0.0,7.102195998772e-08,2.8408730018419996e-07,3.043798285188e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G28,5.51727999743089e-06,0.0,9.0812497760244e-07,0.0,0.0,1.7991157709223398e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G29,2.0753581423154703e-06,0.0,1.192226706951105e-06,0.0,0.0,1.427726474272835e-06,1.7662628707287302e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G30,2.5737490964644803e-07,1.99514770331184e-08,4.9280197552e-07,0.0,5.58641616296776e-08,9.776231527311839e-08,3.73092594582368e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G31,3.7513220528434896e-07,0.0,6.08820851884349e-07,0.0,0.0,1.72191142360744e-07,1.22993840035279e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G32,4.3490369632205e-07,2.2090380456881002e-08,5.5501893599531e-07,7.593548607853e-08,0.0,1.22877434373883e-07,4.8322604943588e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G33,0.0,7.840417838584e-07,5.943993809522401e-08,0.0,0.0,2.0096410615396e-07,6.227047457876e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G34,6.3088762070964e-07,1.72060383432455e-07,1.69974885186491e-06,1.6684663781754502e-07,0.0,4.1711591672982e-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G35,3.5030866720383e-07,0.0,1.0290320937455398e-06,0.0,0.0,6.2398763331873e-07,4.3788634578384e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G36,1.3777759411451e-06,1.43338513318896e-06,3.88001167083378e-06,7.8465505947212e-07,0.0,1.1121064877098e-07,1.48280607184082e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G37,7.86122641147891e-06,9.9590116884913e-07,0.0,1.05945980961428e-07,0.0,6.03894620209535e-07,1.58919944030371e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G38,1.4195072582691002e-08,0.0,2.7443858095515003e-07,0.0,0.0,2.98097035259635e-07,5.20486633477575e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G39,1.1897164218901007e-06,6.376883915989579e-07,1.741744452181244e-06,5.90098318483849e-07,1.23730649500521e-07,2.855320297685933e-08,1.142130774523445e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G40,4.05600122334248e-06,0.0,8.7344407005145e-07,0.0,6.0237658749657e-08,4.1162371833905e-07,2.61029854581847e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G41,2.8854879268041e-06,5.5186963750000004e-08,8.593404948153e-07,0.0,1.4190952456959e-07,2.9170239653694e-07,1.8132846903694e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G42,1.0976504968193e-06,1.27908220295885e-06,2.38580858089805e-06,1.2700141324079e-07,3.7193148283005004e-07,1.02508250070485e-06,1.5240138346619e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G44,6.882700947948e-08,3.900201682182e-07,2.982499265766e-07,0.0,5.506158519186e-08,3.07427174658e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G45,3.0654889776298497e-06,1.52322251587835e-07,9.329763491587499e-07,1.52322251587835e-07,0.0,1.22809943251855e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G46,3.7632480145456005e-09,0.0,6.4916024087824e-08,0.0,0.0,9.7844381768784e-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G47,4.43004181188864e-06,1.67414507604672e-07,9.6585547387968e-07,1.0431171467059202e-06,0.0,0.0,7.4692411525632e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G48,1.6300153145431344e-05,0.0,4.102813277571792e-06,5.093794924382528e-07,4.352893806829008e-07,2.0282572924965458e-06,9.261451717564087e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G49,1.4805338590361502e-07,0.0,4.5238654730583e-07,0.0,8.225196391889001e-08,0.0,6.3059888721278e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G50,1.576783277513e-07,2.0068156315078e-07,0.0,0.0,2.0477725369844e-08,4.5050959445233996e-08,1.8225186489687998e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G51,5.222528828578845e-06,1.168195923839469e-06,2.198957485028325e-07,3.298440068851746e-07,1.786654397076486e-07,3.8481775194541976e-07,1.786654397076486e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G53,2.5742550303794803e-06,0.0,6.1749856912716e-07,1.28311691249336e-07,0.0,0.0,4.0899197762051996e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G54,4.4809863980364e-06,0.0,2.3623150666527e-06,0.0,0.0,6.1441476067848e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G55,3.3480846527926e-07,9.920265611622201e-08,1.0168259665585199e-06,0.0,0.0,2.8520791844148e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1940s,G56,2.5550365365106e-07,0.0,1.15959218064748e-06,0.0,0.0,3.0660369570146e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G01,6.16814334672932e-06,4.628997100728e-08,8.44792912884712e-07,0.0,0.0,1.99046875331304e-06,3.7031976805824e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G02,1.8206796320710401e-07,1.45493481126681e-06,1.29934272597458e-06,0.0,1.4371940450760001e-09,1.0171014813810799e-07,2.87202044198986e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G04,1.5377960799378e-05,0.0,9.972049365578e-06,1.12958461817625e-06,0.0,5.280271022860499e-06,2.1644891149204e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G05,5.734549163904e-06,0.0,1.5815234530392e-06,0.0,0.0,1.1348355443832e-06,2.2938196655616e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G06,3.468320821847088e-05,2.097057955091424e-06,7.611199819444636e-05,9.753586595262217e-06,2.573482695210716e-06,1.3989568249015496e-05,5.680475238582324e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G08,1.827156293272176e-06,0.0,7.910791060937543e-06,0.0,0.0,9.128792859896596e-07,1.1511693049171373e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G09,0.0,2.85122669461817e-06,7.360294413020601e-07,0.0,0.0,2.50107490343369e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G10,3.6181064544239995e-07,1.5289368382596e-06,4.668511867404e-07,0.0,0.0,1.1904689295576e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G12,0.00010044976786554372,4.770768583312087e-07,2.483467298617142e-06,5.48138977534879e-06,4.257193367388068e-07,4.535425564310228e-06,2.326945133631086e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G13,2.002444767571898e-05,1.841798479971206e-07,3.70407712835792e-06,5.11609623252052e-07,2.9673500638418e-07,2.2408548629681082e-06,4.39986577755056e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G15,9.33244528052166e-08,0.0,6.047307080446501e-09,1.9327221307587604e-07,1.2670583569799761e-08,3.5016920420493e-09,9.44532215080542e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G16,5.53413875476e-07,5.5341387547600004e-08,1.1806130701904e-06,0.0,0.0,1.3743043294288e-06,1.632567335476e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G17,5.556132406856177e-07,2.525519921007331e-07,9.84949771610872e-06,2.12143159493418e-07,0.0,2.717450813387125e-06,6.869401623843994e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G18,6.504376536968311e-06,2.7291090364902e-07,7.016098365666331e-06,0.0,0.0,4.1732671964183e-06,5.4582180729804e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G19,6.3042952345541e-07,0.0,2.2426750497452e-06,1.03349169823249e-07,0.0,1.96363517848729e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G20,3.25772307606374e-07,0.0,2.9940016296342197e-06,0.0,4.49875505242284e-07,1.1014211039765e-06,4.65388589357048e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G21,8.661324781968821e-06,0.0,3.05367440289626e-06,2.2208541111972798e-07,2.63726425704677e-07,2.37353626841695e-06,1.054905702818708e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G22,1.249541408675796e-05,0.0,2.4455126037230402e-06,2.3290635930867e-07,1.513888834095558e-07,1.350855216383088e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G23,0.0,3.735164995332e-06,0.0,0.0,9.829376476080001e-08,5.99593319136e-07,4.0300433879819997e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G24,1.11252692431632e-06,1.85421726941412e-06,7.288977406054401e-07,1.4066479787891199e-07,0.0,1.56009621494132e-06,3.32479962623044e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Home,,,,,,,,,,,,,,,,,,,,,,1950s,G25,5.421644785632e-07,4.47573761415175e-06,2.4570431137930002e-06,0.0,3.22992068268725e-07,1.4073162843385e-06,2.76850208771575e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
