upgrade,upgrade_name,option_num,option,applicable_to,applicable_percent
9,Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,3,HVAC Cooling Partial Space Conditioning|100% Conditioned,212176,62.5
9,Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,4,HVAC Secondary Heating Efficiency|None,13,0.0
9,Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,-1,All,212176,62.5
10,Variable-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,1,"HVAC Heating Efficiency|GSHP, EER 30.9, COP 4.4",204565,60.3
10,Variable-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,2,HVAC Cooling Efficiency|Ducted Heat Pump,204565,60.3
10,Variable-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,3,HVAC Cooling Partial Space Conditioning|100% Conditioned,212176,62.5
10,Variable-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,4,HVAC Secondary Heating Efficiency|None,13,0.0
10,Variable-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes,-1,All,212176,62.5
11,Heat Pump Water Heater,1,Water Heater Fuel|Electricity,170601,50.3
11,Heat Pump Water Heater,2,"Water Heater Efficiency|Electric Heat Pump, 3.75 UEF",156900,46.2
11,Heat Pump Water Heater,3,"Water Heater Efficiency|Electric Heat Pump, 4.0 UEF",112735,33.2
11,Heat Pump Water Heater,4,"Water Heater Efficiency|Electric Heat Pump, 4.0 UEF",67429,19.9
11,Heat Pump Water Heater,-1,All,337064,99.3
12,High Efficiency Natural Gas Tankless Water Heater,1,Water Heater Fuel|Natural Gas,45159,13.3
12,High Efficiency Natural Gas Tankless Water Heater,2,"Water Heater Efficiency|High Efficiency Natural Gas Tankless, Condensing",179595,52.9
12,High Efficiency Natural Gas Tankless Water Heater,-1,All,179595,52.9
13,Air Sealing,1,Infiltration|5 ACH50,315915,93.1
13,Air Sealing,-1,All,315915,93.1
14,Attic Floor Insulation for Unfinished Attics,1,Insulation Ceiling|R-49,2114,0.6
14,Attic Floor Insulation for Unfinished Attics,2,Insulation Ceiling|R-60,95828,28.2
14,Attic Floor Insulation for Unfinished Attics,-1,All,97942,28.9
15,Duct Sealing and Insulation,1,"Duct Leakage and Insulation|5% Leakage to Outside, R-6",12982,3.8
15,Duct Sealing and Insulation,2,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",10376,3.1
15,Duct Sealing and Insulation,3,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",88763,26.1
15,Duct Sealing and Insulation,-1,All,112121,33.0
16,Drill and Fill Wall Insulation with Air Sealing,1,"Insulation Wall|Wood Stud, R-13",102664,30.2
16,Drill and Fill Wall Insulation with Air Sealing,2,Infiltration|5 ACH50,315915,93.1
16,Drill and Fill Wall Insulation with Air Sealing,-1,All,317934,93.7
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",1,Infiltration|5 ACH50,315915,93.1
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",2,Insulation Ceiling|R-49,2114,0.6
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",3,Insulation Ceiling|R-60,95828,28.2
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",4,"Duct Leakage and Insulation|5% Leakage to Outside, R-6",12982,3.8
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",5,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",10376,3.1
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",6,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",88763,26.1
17,"Air Sealing, Attic Floor Insulation, and Duct sealing",-1,All,328037,96.6
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",1,Infiltration|5 ACH50,315915,93.1
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",2,Insulation Ceiling|R-49,2114,0.6
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",3,Insulation Ceiling|R-60,95828,28.2
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",4,"Duct Leakage and Insulation|5% Leakage to Outside, R-6",12982,3.8
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",5,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",10376,3.1
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",6,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",88763,26.1
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",7,"Insulation Wall|Wood Stud, R-13",102664,30.2
18,"Air Sealing, Attic Floor Insulation, Duct sealing, and Drill-and-Fill Wall Insulation",-1,All,328817,96.9
19,ENERGY STAR Windows,1,"Windows|EnergyStar, Northern",133353,39.3
19,ENERGY STAR Windows,2,"Windows|EnergyStar, North-Central",79942,23.6
19,ENERGY STAR Windows,3,"Windows|EnergyStar, South-Central",91443,26.9
19,ENERGY STAR Windows,4,"Windows|EnergyStar, Southern",33924,10.0
19,ENERGY STAR Windows,5,Infiltration Reduction|30%,123762,36.5
19,ENERGY STAR Windows,6,Infiltration Reduction|13%,215690,63.5
19,ENERGY STAR Windows,-1,All,339452,100.0
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",1,"HVAC Heating Efficiency|GSHP, EER 20.5, COP 4.0",204565,60.3
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",2,HVAC Cooling Efficiency|Ducted Heat Pump,204565,60.3
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",3,HVAC Cooling Partial Space Conditioning|100% Conditioned,212176,62.5
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",4,HVAC Secondary Heating Efficiency|None,13,0.0
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",5,Infiltration|5 ACH50,196502,57.9
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",6,Insulation Ceiling|R-49,1203,0.4
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",7,Insulation Ceiling|R-60,73178,21.6
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",8,"Duct Leakage and Insulation|5% Leakage to Outside, R-6",11407,3.4
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",9,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",9384,2.8
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",10,"Duct Leakage and Insulation|5% Leakage to Outside, R-8",79139,23.3
20,"Dual-Speed Geothermal Heat Pump with Thermally Enhanced Grout and Pipes, Air Sealing, Attic Floor Insulation, and Duct Sealing",-1,All,212176,62.5
