"","Estimate","Std. Error","t value","Pr(>|t|)"
"smsaSacramento, CA",18969.8084,13370.3803,1.4188,0.156
"smsaBeaumont-Port Arthur, TX",-26596.6166,20100.8438,-1.3232,0.1858
"smsaOmaha, NE-IA",18618.8937,14792.9368,1.2586,0.2082
"smsaAllentown-Bethlehem-Easton, PA",23436.483,19232.9049,1.2186,0.223
"smsaIndianapolis, IN",16693.8507,13923.8675,1.1989,0.2306
"smsaNashville, TN",18258.3197,15299.8284,1.1934,0.2327
"smsaHouston, TX",14779.0487,12458.4894,1.1863,0.2355
"heatingfuelOther Fuel",3133.8696,2642.441,1.186,0.2356
"smsaBridgeport-Milford, CT",18576.7303,15691.2737,1.1839,0.2365
"smsaRockford, IL",30040.1044,25538.0208,1.1763,0.2395
"smsaFort Lauderdale-Hollywood, FL",16165.489,13850.7925,1.1671,0.2432
"smsaMadison, WI",23889.8744,20828.4636,1.147,0.2514
"smsaEugene-Springfield, OR",20067.0466,18017.0653,1.1138,0.2654
"smsaPittsburgh, PA",14315.3054,13029.1277,1.0987,0.2719
"smsaOrlando, FL",15276.7621,13969.1619,1.0936,0.2741
"smsaRiverside-San Bernardino, CA",13806.9985,12876.7923,1.0722,0.2836
"smsaChattanooga, TN-GA",18448.5359,17416.4294,1.0593,0.2895
"smsaColumbia, SC",15378.5551,15523.1134,0.9907,0.3218
"smsaTampa-St. Petersburg-Clearwater, FL",12853.5336,13027.7595,0.9866,0.3238
"smsaDuluth, MN-WI",21426.6283,23551.7326,0.9098,0.363
"smsaAustin, TX",13279.6283,15054.2311,0.8821,0.3777
"smsaKnoxville, TN",-14898.8495,17374.3881,-0.8575,0.3912
"heatingfuelNone",-11245.2396,13215.944,-0.8509,0.3948
"smsaMilwaukee, WI",11447.9187,13511.1012,0.8473,0.3968
"smsaBaton Rouge, LA",14084.5917,16827.9505,0.837,0.4026
"smsaMcAllen-Edinburgh-Mission, TX",-15133.8232,18161.5043,-0.8333,0.4047
"smsaDetroit, MI",9753.2696,12188.3968,0.8002,0.4236
"smsaDallas, TX",10026.1723,12652.2438,0.7924,0.4281
"smsaFlint, MI",-14613.8968,18834.0297,-0.7759,0.4378
"smsaEl Paso, TX",-10887.3261,14491.4399,-0.7513,0.4525
"smsaLakeland-Winter Haven, FL",-15719.5532,21268.0298,-0.7391,0.4598
"smsaLexington-Fayette, KY",12138.5222,16650.6149,0.729,0.466
"smsaSan Antonio, TX",-9675.5688,13422.8984,-0.7208,0.471
"smsaKansas City, MO-KS",-9366.821,13300.1436,-0.7043,0.4813
"smsaFort Wayne, IN",-13150.0043,18887.2762,-0.6962,0.4863
"smsaRaleigh-Durham, NC",10527.5959,15268.1698,0.6895,0.4905
"smsaHartford, CT",-21376.3145,32285.0836,-0.6621,0.5079
"smsaBirmingham, AL",-9229.5228,14724.0925,-0.6268,0.5308
"smsaAtlanta, GA",7927.345,12891.4664,0.6149,0.5386
"smsaFresno, CA",9057.1076,14848.2226,0.61,0.5419
"smsaGreensboro-Winston Salem-High Point, NC",-9137.1278,15054.6494,-0.6069,0.5439
"smsaAtlantic City, NJ",-14864.797,25394.5084,-0.5854,0.5583
"smsaGreenville-Spartanburg, SC",9320.9391,16176.6235,0.5762,0.5645
"smsaModesto, CA",8939.4534,18141.538,0.4928,0.6222
"smsaAlbuquerque, NM",7317.8194,15246.7793,0.48,0.6313
"smsaSalinas-Seaside-Monterey, CA",11037.0125,23527.8065,0.4691,0.639
"smsaColorado Springs, CO",7112.9558,16022.0435,0.4439,0.6571
"smsaJacksonville, FL",-6295.8212,14303.4687,-0.4402,0.6598
"smsaBlank",5094.6016,11731.5603,0.4343,0.6641
"smsaMelbourne-Titusville-Palm Bay, FL",8705.9595,20317.1801,0.4285,0.6683
"smsaLawrence-Haverhill, MA-NH",8656.3072,21717.1537,0.3986,0.6902
"smsaTucson, AZ",-5673.0211,14237.6316,-0.3985,0.6903
"smsaEvansville, IN-KY",-8922.3017,22543.7856,-0.3958,0.6923
"smsaMemphis, TN-AR-MS",-5575.9421,14380.9505,-0.3877,0.6982
"smsaLas Vegas, NV",-4717.1419,14115.266,-0.3342,0.7382
"smsaPeoria, IL",-6098.539,18842.5719,-0.3237,0.7462
"smsaNew Orleans, LA",-4616.8505,14374.9524,-0.3212,0.7481
"smsaProvidence, RI",-4929.0573,15456.231,-0.3189,0.7498
"smsaJohnson City-Kingsport-Bristol, TN-VA",5913.1243,18591.7281,0.3181,0.7504
"smsaAurora-Elgin, IL",6399.802,21086.6301,0.3035,0.7615
"smsaGrand Rapids, MI",-4393.9618,15218.792,-0.2887,0.7728
"smsaCleveland, OH",3630.581,13101.455,0.2771,0.7817
"smsaCanton, OH",-5272.0884,19341.1659,-0.2726,0.7852
"smsaDes Moines, IA",-5075.8967,18992.6018,-0.2673,0.7893
"smsaEast Saint Louis-Belleville, IL",-6879.8281,28465.4412,-0.2417,0.809
"smsaDavenport-Rock Island-Moline, IA-IL",4499.2343,20020.1762,0.2247,0.8222
"smsaRochester, NY",3253.206,14500.7091,0.2243,0.8225
"smsaJackson, MS",-4469.0004,22060.9519,-0.2026,0.8395
"smsaMiami-Hialeah, FL",-2653.1323,13260.9658,-0.2001,0.8414
"smsaSalt Lake City-Ogden, UT",-2689.3324,13599.162,-0.1978,0.8432
"smsaMobile, AL",-3814.1061,21228.998,-0.1797,0.8574
"smsaGary-Hammond, IN",-2848.1317,16253.3448,-0.1752,0.8609
"smsaNew Haven-Meriden, CT",-2880.2006,16766.3575,-0.1718,0.8636
"smsaBakersfield, CA",-2566.8459,14971.3538,-0.1715,0.8639
"smsaDaytona Beach, FL",-3154.2458,18612.1998,-0.1695,0.8654
"smsaOklahoma City, OK",2270.7465,13575.4131,0.1673,0.8672
"smsaAlton-Granite City, IL",3763.6603,22899.8027,0.1644,0.8695
"smsaJersey City, NJ",7456.128,53223.6811,0.1401,0.8886
"smsaBeaver, PA",-2757.3108,23551.0111,-0.1171,0.9068
"smsaCincinnati, OH-KY-IN",1540.2672,13922.7166,0.1106,0.9119
"smsaErie, PA",2506.6926,25198.0881,0.0995,0.9208
"smsaColumbus, OH",1047.4386,13898.0237,0.0754,0.9399
"smsaAugusta, GA-SC",-1546.3573,22125.7612,-0.0699,0.9443
"smsaLittle Rock-North Little Rock, AR",1101.3498,16562.3924,0.0665,0.947
"smsaFort Myers-Cape Coral, FL",1810.9947,30094.7278,0.0602,0.952
"smsaCorpus Christi, TX",-1115.5747,19688.8351,-0.0567,0.9548
"smsaPensacola, FL",-1193.3919,23604.7224,-0.0506,0.9597
"vintage1950s",-70.6386,1518.4385,-0.0465,0.9629
"smsaMontgomery, AL",-621.0046,21842.1358,-0.0284,0.9773
"vintage1960s",-13.6518,1555.4314,-0.0088,0.993
