Dependency=Location Weather File Location	Option=<1950	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s
TX_Abilene.Rgnl.AP.722660	0.23	0.18	0.12	0.15	0.14	0.09	0.09
TX_Lubbock.Intl.AP.722670	0.14	0.18	0.15	0.17	0.13	0.11	0.12
TX_El.Paso.Intl.AP.722700	0.07	0.09	0.1	0.18	0.17	0.18	0.21
AZ_Tucson.Intl.AP.722740	0.06	0.08	0.08	0.19	0.16	0.2	0.23
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	0.02	0.05	0.06	0.16	0.17	0.22	0.32
CA_San.Diego-Lindbergh.Field.722900	0.06	0.1	0.11	0.21	0.19	0.15	0.17
CA_Los.Angeles.Intl.AP.722950	0.25	0.2	0.15	0.13	0.13	0.08	0.07
CA_Long.Beach-Daugherty.Field.722970	0.12	0.2	0.16	0.18	0.15	0.1	0.11
NC_Wilmington.Intl.AP.723013	0.08	0.07	0.09	0.15	0.17	0.22	0.22
NC_Cape.Hatteras.723040	0.14	0.08	0.1	0.17	0.18	0.18	0.15
NC_Raleigh-Durham.Intl.AP.723060	0.08	0.06	0.09	0.13	0.16	0.23	0.24
VA_Norfolk.Intl.AP.723080	0.13	0.12	0.13	0.16	0.18	0.15	0.12
SC_Columbia.Metro.AP.723100	0.09	0.09	0.11	0.18	0.16	0.2	0.17
GA_Athens-Ben.Epps.AP.723110	0.08	0.05	0.07	0.13	0.17	0.25	0.26
SC_Greer.Greenville-Spartanburg.AP.723120	0.11	0.09	0.11	0.16	0.14	0.2	0.18
NC_Charlotte-Douglas.Intl.AP.723140	0.09	0.08	0.1	0.14	0.15	0.2	0.23
NC_Asheville.Rgnl.AP.723150	0.12	0.07	0.1	0.16	0.17	0.2	0.16
NC_Greensboro-Piedmont.Triad.Intl.AP.723170	0.12	0.11	0.12	0.16	0.15	0.18	0.15
TN_Bristol-TriCities.Rgnl.AP.723183	0.16	0.1	0.11	0.18	0.16	0.17	0.11
AL_Huntsville.Intl.AP-Jones.Field.723230	0.1	0.09	0.14	0.17	0.16	0.19	0.15
TN_Chattanooga-Lovell.Field.AP.723240	0.12	0.09	0.12	0.18	0.16	0.19	0.15
TN_Knoxville-McGhee.Tyson.AP.723260	0.11	0.08	0.1	0.17	0.16	0.21	0.17
TN_Nashville.Intl.AP.723270	0.1	0.08	0.11	0.16	0.15	0.21	0.21
TN_Memphis.Intl.AP.723340	0.12	0.11	0.12	0.18	0.14	0.18	0.15
AR_Little.Rock-Adams.Field.723403	0.1	0.09	0.12	0.2	0.16	0.17	0.15
AR_Fort.Smith.Rgnl.AP.723440	0.11	0.07	0.11	0.2	0.17	0.18	0.15
TX_Wichita.Falls.Muni.AP.723510	0.19	0.16	0.15	0.18	0.14	0.09	0.09
OK_Oklahoma.City-Will.Rogers.World.AP.723530	0.15	0.12	0.13	0.19	0.15	0.11	0.15
OK_Tulsa.Intl.AP.723560	0.16	0.12	0.11	0.2	0.15	0.12	0.13
TX_Amarillo.Intl.AP.723630	0.19	0.2	0.16	0.16	0.12	0.08	0.1
NM_Albuquerque.Intl.AP.723650	0.08	0.1	0.09	0.17	0.17	0.2	0.19
NM_Tucumcari.AP.723676	0.2	0.17	0.15	0.17	0.12	0.11	0.07
AZ_Prescott-Love.Field.723723	0.04	0.03	0.05	0.17	0.22	0.25	0.24
AZ_Flagstaff-Pulliam.AP.723755	0.04	0.05	0.1	0.2	0.23	0.2	0.16
CA_Barstow.Daggett.AP.723815	0.06	0.1	0.1	0.16	0.24	0.13	0.2
CA_Bakersfield-Meadows.Field.723840	0.12	0.12	0.1	0.15	0.16	0.15	0.2
NV_Las.Vegas-McCarran.Intl.AP.723860	0.01	0.02	0.04	0.09	0.13	0.3	0.4
CA_Fresno.Air.Terminal.723890	0.11	0.1	0.1	0.18	0.15	0.16	0.19
CA_Santa.Maria.Public.AP.723940	0.1	0.1	0.16	0.18	0.2	0.12	0.14
VA_Richmond.Intl.AP.724010	0.12	0.09	0.1	0.16	0.17	0.18	0.17
VA_Sterling-Washington.Dulles.Intl.AP.724030	0.12	0.1	0.11	0.16	0.18	0.16	0.17
MD_Baltimore-Washington.Intl.AP.724060	0.15	0.13	0.14	0.15	0.16	0.15	0.12
NJ_Atlantic.City.Intl.AP.724070	0.12	0.11	0.13	0.18	0.17	0.13	0.16
PA_Philadelphia.Intl.AP.724080	0.21	0.18	0.14	0.15	0.12	0.1	0.09
DE_Wilmington-New.Castle.County.AP.724089	0.16	0.12	0.11	0.13	0.14	0.17	0.17
VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100	0.17	0.1	0.12	0.16	0.14	0.18	0.13
VA_Roanoke.Rgnl.AP-Woodrum.Field.724110	0.21	0.11	0.11	0.18	0.13	0.15	0.11
WV_Charleston-Yeager.AP.724140	0.25	0.13	0.1	0.18	0.13	0.13	0.08
WV_Elkins-Randolph.County.AP.724170	0.28	0.1	0.1	0.17	0.14	0.13	0.09
KY_Cincinnati-Northern.Kentucky.AP.724210	0.22	0.13	0.11	0.14	0.11	0.16	0.13
KY_Lexington-Bluegrass.AP.724220	0.13	0.08	0.11	0.17	0.15	0.2	0.17
KY_Louisville-Standiford.Field.724230	0.18	0.12	0.12	0.16	0.11	0.16	0.15
WV_Huntington-Tri.State.Walker.Long.Field.724250	0.21	0.11	0.11	0.18	0.14	0.16	0.1
OH_Columbus-Port.Columbus.Intl.AP.724280	0.21	0.11	0.11	0.14	0.11	0.16	0.15
OH_Dayton.Intl.AP.724290	0.27	0.15	0.15	0.16	0.08	0.11	0.09
IN_Evansville.Rgnl.AP.724320	0.25	0.12	0.11	0.17	0.11	0.13	0.1
MO_St.Louis-Lambert.Intl.AP.724340	0.22	0.14	0.13	0.14	0.12	0.13	0.12
IN_Indianapolis.Intl.AP.724380	0.23	0.11	0.11	0.13	0.09	0.16	0.16
IL_Springfield-Capital.AP.724390	0.3	0.13	0.12	0.16	0.08	0.11	0.09
MO_Springfield.Rgnl.AP.724400	0.14	0.07	0.09	0.17	0.14	0.2	0.19
MO_Columbia.Rgnl.AP.724450	0.18	0.09	0.11	0.17	0.14	0.16	0.15
MO_Kansas.City.Intl.AP.724460	0.19	0.13	0.12	0.15	0.12	0.14	0.15
KS_Wichita-Mid.Continent.AP.724500	0.27	0.17	0.09	0.14	0.11	0.12	0.1
KS_Dodge.City.Rgnl.AP.724510	0.29	0.13	0.13	0.18	0.12	0.09	0.06
KS_Topeka-Phillip.Billard.Muni.AP.724560	0.28	0.11	0.1	0.16	0.1	0.12	0.11
CO_Alamosa.Muni.AP.724620	0.19	0.06	0.07	0.17	0.16	0.19	0.15
CO_Pueblo.Mem.AP.724640	0.27	0.13	0.1	0.15	0.07	0.13	0.14
KS_Goodland-Renner.Field.724650	0.38	0.13	0.12	0.17	0.1	0.07	0.04
CO_Colorado.Springs-Peterson.Field.724660	0.06	0.05	0.07	0.16	0.17	0.22	0.27
CO_Eagle.County.Rgnl.AP.724675	0.11	0.05	0.07	0.22	0.16	0.23	0.17
CO_Boulder-Broomfield-Jefferson.County.AP.724699	0.11	0.1	0.11	0.2	0.14	0.17	0.18
UT_Cedar.City.Muni.AP.724755	0.1	0.03	0.04	0.14	0.15	0.25	0.28
CO_Grand.Junction-Walker.Field.724760	0.13	0.06	0.06	0.21	0.14	0.19	0.2
CA_Sacramento.Exec.AP.724830	0.1	0.1	0.1	0.18	0.17	0.16	0.2
NV_Tonopah.AP.724855	0.19	0.09	0.1	0.24	0.2	0.1	0.08
NV_Ely-Yelland.Field.724860	0.36	0.08	0.03	0.16	0.15	0.16	0.06
NV_Reno-Tahoe.Intl.AP.724880	0.06	0.06	0.09	0.21	0.17	0.2	0.21
CA_San.Francisco.Intl.AP.724940	0.19	0.17	0.16	0.19	0.12	0.09	0.08
NJ_Newark.Intl.AP.725020	0.26	0.2	0.16	0.12	0.1	0.09	0.07
CT_Bridgeport-Sikorsky.Mem.AP.725040	0.19	0.17	0.19	0.17	0.12	0.09	0.07
RI_Providence-T.F.Green.State.AP.725070	0.29	0.12	0.12	0.14	0.15	0.1	0.08
CT_Hartford-Bradley.Intl.AP.725080	0.27	0.17	0.14	0.14	0.13	0.08	0.07
MA_Boston-Logan.Intl.AP.725090	0.34	0.14	0.13	0.12	0.11	0.08	0.07
MA_Worcester.Rgnl.AP.725095	0.31	0.11	0.1	0.13	0.15	0.12	0.1
PA_Harrisburg-Capital.City.AP.725118	0.24	0.11	0.09	0.15	0.14	0.14	0.13
PA_Wilkes-Barre-Scranton.Intl.AP.725130	0.35	0.08	0.08	0.15	0.14	0.11	0.09
PA_Williamsport.Rgnl.AP.725140	0.34	0.1	0.09	0.16	0.12	0.12	0.08
NY_Binghamton-Edwin.A.Link.Field.725150	0.38	0.11	0.1	0.14	0.12	0.09	0.06
PA_Allentown-Lehigh.Valley.Intl.AP.725170	0.23	0.11	0.1	0.14	0.14	0.15	0.13
NY_Albany.County.AP.725180	0.34	0.12	0.1	0.13	0.13	0.1	0.09
NY_Syracuse-Hancock.Intl.AP.725190	0.36	0.14	0.1	0.12	0.11	0.09	0.07
PA_Pittsburgh.Intl.AP.725200	0.36	0.17	0.11	0.13	0.08	0.08	0.07
OH_Akron.Canton.Rgnl.AP.725210	0.29	0.15	0.12	0.15	0.08	0.11	0.09
OH_Cleveland-Hopkins.Intl.AP.725240	0.29	0.21	0.13	0.12	0.07	0.09	0.07
OH_Mansfield-Lahm.Muni.AP.725246	0.32	0.12	0.11	0.14	0.08	0.12	0.1
OH_Youngstown.Rgnl.AP.725250	0.31	0.17	0.12	0.15	0.07	0.1	0.07
PA_Erie.Intl.AP.725260	0.36	0.14	0.1	0.14	0.09	0.1	0.07
PA_Bradford.Rgnl.AP.725266	0.42	0.11	0.08	0.14	0.1	0.09	0.05
NY_Buffalo-Greater.Buffalo.Intl.AP.725280	0.37	0.19	0.12	0.11	0.07	0.08	0.06
NY_Rochester-Greater.Rochester.Intl.AP.725290	0.33	0.12	0.13	0.13	0.11	0.1	0.07
IL_Chicago-OHare.Intl.AP.725300	0.23	0.16	0.13	0.14	0.1	0.12	0.12
IL_Peoria-Greater.Peoria.AP.725320	0.33	0.13	0.11	0.16	0.07	0.1	0.1
IN_Fort.Wayne.Intl.AP.725330	0.3	0.11	0.11	0.14	0.1	0.14	0.1
IN_South.Bend-Michiana.Rgnl.AP.725350	0.27	0.13	0.1	0.15	0.1	0.14	0.11
OH_Toledo.Express.AP.725360	0.34	0.14	0.1	0.13	0.08	0.11	0.09
MI_Detroit.Metro.AP.725370	0.26	0.24	0.13	0.13	0.07	0.09	0.08
MI_Lansing-Capital.City.AP.725390	0.28	0.12	0.12	0.16	0.09	0.13	0.11
IL_Rockford-Greater.Rockford.AP.725430	0.27	0.12	0.12	0.14	0.08	0.13	0.14
IL_Moline-Quad.City.Intl.AP.725440	0.37	0.12	0.12	0.15	0.07	0.09	0.08
IA_Des.Moines.Intl.AP.725460	0.3	0.1	0.09	0.15	0.08	0.12	0.15
IA_Waterloo.Muni.AP.725480	0.34	0.12	0.11	0.15	0.06	0.11	0.11
IA_Mason.City.Muni.AP.725485	0.43	0.15	0.1	0.15	0.06	0.06	0.06
NE_Omaha-Eppley.Airfield.725500	0.27	0.11	0.12	0.15	0.09	0.12	0.14
NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	0.41	0.1	0.1	0.16	0.08	0.08	0.06
NE_Norfolk-Karl.Stefan.Mem.AP.725560	0.4	0.1	0.11	0.16	0.08	0.08	0.06
IA_Sioux.City-Sioux.Gateway.AP.725570	0.39	0.11	0.11	0.15	0.07	0.1	0.07
NE_North.Platte.Rgnl.AP.725620	0.39	0.11	0.11	0.19	0.07	0.08	0.05
WY_Cheyenne.Muni.AP.725640	0.17	0.1	0.1	0.19	0.11	0.15	0.17
NE_Scottsbluff-W.B.Heilig.Field.725660	0.36	0.15	0.1	0.17	0.09	0.07	0.06
WY_Casper-Natrona.County.Intl.AP.725690	0.15	0.16	0.08	0.27	0.14	0.07	0.12
UT_Salt.Lake.City.Intl.AP.725720	0.11	0.09	0.08	0.18	0.13	0.19	0.22
WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744	0.16	0.06	0.06	0.26	0.18	0.11	0.15
WY_Lander-Hunt.Field.725760	0.11	0.07	0.11	0.21	0.16	0.17	0.15
ID_Pocatello.Muni.AP.725780	0.17	0.1	0.09	0.21	0.1	0.15	0.17
NV_Elko.Muni.AP.725825	0.1	0.04	0.04	0.17	0.24	0.29	0.11
NV_Winnemucca.Muni.AP.725830	0.13	0.06	0.07	0.16	0.2	0.29	0.1
CA_Arcata.AP.725945	0.13	0.12	0.12	0.2	0.17	0.15	0.12
OR_Medford-Rogue.Valley.Intl.AP.725970	0.15	0.08	0.1	0.21	0.13	0.16	0.16
NH_Concord.Muni.AP.726050	0.23	0.07	0.09	0.16	0.21	0.12	0.12
ME_Portland.Intl.Jetport.726060	0.29	0.07	0.07	0.15	0.16	0.13	0.12
VT_Burlington.Intl.AP.726170	0.31	0.07	0.09	0.15	0.16	0.12	0.1
NY_Massena.AP.726223	0.4	0.1	0.08	0.12	0.11	0.12	0.07
MI_Grand.Rapids-Kent.County.Intl.AP.726350	0.23	0.12	0.11	0.14	0.11	0.15	0.13
MI_Muskegon.County.AP.726360	0.22	0.12	0.1	0.14	0.11	0.17	0.13
MI_Flint-Bishop.Intl.AP.726370	0.21	0.14	0.12	0.17	0.09	0.15	0.11
MI_Houghton-Lake.Roscommon.County.AP.726380	0.16	0.1	0.13	0.22	0.12	0.17	0.1
MI_Traverse.City-Cherry.Capital.AP.726387	0.18	0.08	0.09	0.18	0.14	0.19	0.14
MI_Alpena.County.Rgnl.AP.726390	0.18	0.12	0.15	0.23	0.13	0.13	0.07
WI_Milwaukee-Mitchell.Intl.AP.726400	0.25	0.16	0.12	0.14	0.08	0.13	0.11
WI_Madison-Dane.County.Rgnl.AP.726410	0.25	0.08	0.09	0.15	0.1	0.16	0.15
WI_La.Crosse.Muni.AP.726430	0.32	0.09	0.09	0.15	0.1	0.13	0.12
WI_Eau.Claire.County.AP.726435	0.27	0.09	0.09	0.17	0.11	0.14	0.14
MN_Rochester.Intl.AP.726440	0.26	0.11	0.09	0.14	0.1	0.13	0.17
WI_Green.Bay-Austin.Straubel.Intl.AP.726450	0.25	0.1	0.09	0.16	0.11	0.15	0.14
SD_Sioux.Falls-Foss.Field.726510	0.31	0.1	0.09	0.15	0.08	0.12	0.14
SD_Huron.Rgnl.AP.726540	0.37	0.11	0.1	0.16	0.07	0.09	0.09
MN_St.Cloud.Muni.AP.726550	0.22	0.08	0.08	0.16	0.12	0.16	0.18
MN_Minneapolis-St.Paul.Intl.AP.726580	0.2	0.11	0.1	0.15	0.14	0.15	0.14
SD_Rapid.City.Rgnl.AP.726620	0.17	0.1	0.08	0.21	0.14	0.14	0.16
WY_Sheridan.County.AP.726660	0.18	0.08	0.07	0.22	0.16	0.11	0.16
SD_Pierre.Muni.AP.726686	0.28	0.1	0.11	0.19	0.11	0.12	0.09
MT_Billings-Logan.Intl.AP.726770	0.19	0.12	0.09	0.19	0.13	0.13	0.14
MT_Lewistown.Muni.AP.726776	0.37	0.13	0.09	0.17	0.08	0.1	0.07
ID_Boise.Air.Terminal.726810	0.1	0.06	0.06	0.19	0.1	0.22	0.27
OR_Burns.Muni.AP.726830	0.32	0.14	0.08	0.17	0.09	0.11	0.08
OR_Redmond-Roberts.Field.726835	0.07	0.04	0.05	0.17	0.13	0.26	0.28
OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	0.18	0.1	0.09	0.21	0.09	0.15	0.18
OR_North.Bend.Muni.AP.726917	0.18	0.14	0.11	0.22	0.11	0.13	0.1
OR_Eugene-Mahlon.Sweet.AP.726930	0.16	0.1	0.13	0.24	0.09	0.16	0.12
OR_Salem-McNary.Field.726940	0.15	0.08	0.1	0.22	0.11	0.19	0.15
OR_Portland.Intl.AP.726980	0.18	0.08	0.09	0.18	0.11	0.19	0.15
ME_Caribou.Muni.AP.727120	0.33	0.09	0.09	0.17	0.13	0.11	0.08
MI_Sault.Ste.Marie-Sanderson.Field.727340	0.26	0.1	0.09	0.17	0.11	0.18	0.1
MN_Duluth.Intl.AP.727450	0.29	0.11	0.09	0.17	0.1	0.13	0.12
MN_International.Falls.Intl.AP.727470	0.19	0.08	0.09	0.19	0.14	0.16	0.15
ND_Fargo-Hector.Intl.AP.727530	0.26	0.11	0.1	0.19	0.1	0.12	0.13
ND_Bismarck.Muni.AP.727640	0.24	0.11	0.11	0.23	0.11	0.1	0.11
ND_Minot.Intl.AP.727676	0.25	0.12	0.13	0.22	0.13	0.08	0.07
MT_Glasgow.Intl.AP.727680	0.29	0.17	0.15	0.18	0.12	0.05	0.04
MT_Helena.Rgnl.AP.727720	0.22	0.07	0.07	0.17	0.11	0.18	0.18
MT_Missoula.Intl.AP.727730	0.16	0.07	0.08	0.21	0.12	0.19	0.17
MT_Great.Falls.Intl.AP.727750	0.26	0.16	0.15	0.18	0.08	0.09	0.08
MT_Kalispell-Glacier.Park.Intl.AP.727790	0.13	0.07	0.07	0.18	0.16	0.19	0.19
MT_Cut.Bank.Muni.AP.727796	0.27	0.15	0.09	0.2	0.13	0.11	0.05
WA_Yakima.Air.Terminal-McAllister.Field.727810	0.19	0.13	0.1	0.17	0.12	0.17	0.14
WA_Spokane.Intl.AP.727850	0.21	0.1	0.07	0.19	0.11	0.17	0.15
OR_Astoria.Rgnl.AP.727910	0.24	0.07	0.08	0.18	0.12	0.19	0.13
WA_Olympia.AP.727920	0.15	0.06	0.09	0.2	0.14	0.18	0.18
WA_Seattle-Tacoma.Intl.AP.727930	0.15	0.08	0.11	0.16	0.16	0.17	0.16
WA_Quillayute.State.AP.727970	0.17	0.05	0.07	0.2	0.13	0.2	0.18
MT_Miles.City.Muni.AP.742300	0.31	0.15	0.1	0.21	0.12	0.06	0.05
NY_New.York-J.F.Kennedy.Intl.AP.744860	0.38	0.28	0.13	0.07	0.05	0.04	0.04
