Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	Dependency=Location Census Tract	Dependency=County	Option=owner 0-30	Option=owner 30-50	Option=owner 50-80	Option=owner 80-100	Option=owner 100+	Option=renter 0-30	Option=renter 30-50	Option=renter 50-80	Option=renter 80-100	Option=renter 100+	Count
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009603	1.0	0.148719928926	0.101337188723	0.0769295616026	0.352163516052	0.320849804696	0.0	0.0	0.0	0.0	0.0	24.0024915994
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009604	1.0	0.128103171338	0.0496769099483	0.0530243608426	0.278416299989	0.385367312303	0.0418974357154	0.0115981139627	0.00818682021909	0.0189599095262	0.0247696661563	20.6266813869
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009700	1.0	0.0389143778908	0.00178601003048	0.000475425131029	0.0050445155937	0.0235655054207	0.492505414018	0.120638226355	0.113606125418	0.186826155527	0.0166382446158	6.93517907745
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009801	1.0	0.165646178717	0.0677258366997	0.0258186555383	0.126266607176	0.614542721869	0.0	0.0	0.0	0.0	0.0	2.09575795457
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009802	1.0	0.0307628204734	0.00935245071079	0.019966490744	0.0795326668064	0.109993692898	0.445531465364	0.033355644543	0.0447174454753	0.168491125193	0.0582961977924	7.99437619346
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009804	1.0	0.155316687438	0.0590549337205	0.0516642833209	0.246986356076	0.332455369784	0.0502938165143	0.0376683414667	0.0233774991175	0.0337492220285	0.00943349053267	35.7699799627
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009811	1.0	0.179602877319	0.0203770427158	0.00321262239482	0.0377306282007	0.00748663900942	0.17215891194	0.173878078221	0.0108285894385	0.327267721481	0.0674568892802	8.56168269728
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009901	1.0	0.0868717688312	0.0642232659457	0.0519703555485	0.247287106754	0.493693858039	0.0049180162638	0.0113615301253	0.00876360547158	0.0248444250791	0.00606606794233	250.180704935
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009902	1.0	0.117569299146	0.050759359901	0.0505142145181	0.158288733674	0.151680357443	0.168647523768	0.0799025761335	0.0999370345497	0.0630774748536	0.0596234260135	111.658586358
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009903	1.0	0.1182499397	0.0912768618341	0.0480688304519	0.303057902017	0.2951747053	0.0438612419466	0.0238047798658	0.0329039559794	0.0276861847012	0.0159155982039	50.0073371332
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009904	1.0	0.0889355396857	0.0243071696005	0.0100214728818	0.0547410329141	0.107570136644	0.293052136641	0.0857215990011	0.059193944765	0.130189095297	0.146267872569	12.3109394358
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009905	1.0	0.107090389008	0.121096058627	0.0892467551772	0.191003408716	0.283906815338	0.0734232809059	0.0268239662599	0.0216059750879	0.0466598302413	0.0391435206383	57.2810717705
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009906	1.0	0.154494411659	0.0554444041098	0.0359744005297	0.127534401163	0.0847959619176	0.14007139466	0.029672792314	0.0795850189588	0.251702925378	0.0407242893101	35.5359902703
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010009907	1.0	0.164015584178	0.030356467509	0.0284947703588	0.203162816975	0.23606502566	0.174701313402	0.0362408253577	0.035452366444	0.0508661679231	0.0406446621932	23.1976579484
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010010400	1.0	0.00996227751828	0.0847368541559	0.0810862984953	0.188068195435	0.356085647331	0.120285731618	0.0477753151224	0.0335311895395	0.0635707951369	0.0148976956481	50.3667045635
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010010600	1.0	0.0209055400939	0.0101466154762	0.0131789935212	0.218612808221	0.313661293705	0.254255478304	0.0956874267628	0.0011973930399	0.00072897788768	0.0716254729884	22.6621666137
<1950	Natural Gas	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	G1100010011100	1.0	0.101394740073	0.0897874724439	0.0528424544095	0.129858727027	0.503119176718	0.0309579584565	0.0434224864265	0.00654403777612	0.0107856835903	0.0312872630787	719.575622339
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000100	1.0	0.00244366415869	0.00937473848869	0.00593981133327	0.020897497456	0.663528713668	0.00173275827181	0.000130416214816	0.00685404643647	0.0144978117981	0.274600542174	128.735282585
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000201	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.5
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000202	1.0	0.0909034523609	0.00647574850697	0.0209238104259	0.0629502164421	0.654315885201	0.0104468344886	0.00835839135141	0.00216051304583	0.0199662780457	0.123498870132	105.650610799
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000300	1.0	0.139542342728	0.0214871281779	0.055453876016	0.116755962664	0.666760690415	0.0	0.0	0.0	0.0	0.0	37.4145054087
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000400	1.0	0.0146837488802	0.0313481493118	0.0281131398554	0.0523932819049	0.704932310905	0.028680274578	0.00656845359448	0.00327754123631	0.0132881177983	0.116714981936	250.819874185
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000501	1.0	0.00176026962684	0.0	0.0	6.26222665027e-60	0.998239730373	0.0	0.0	0.0	0.0	0.0	12.0920757798
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000502	1.0	0.0214186258934	0.0245395825187	0.0369939590242	0.0948459838313	0.7949080496	0.000686789600694	0.000530819919907	0.00029021269209	0.0164792258737	0.00930675104592	138.552120388
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000600	1.0	0.0410985986895	0.00909562658539	0.00846961613847	0.030500751597	0.888701245557	0.00161010057403	2.26897495087e-05	0.00101369225218	0.0018265151794	0.0176611636771	592.058721768
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000701	1.0	0.0365931040263	0.0402128458494	0.0215032943422	0.0688620311218	0.83282872466	0.0	0.0	0.0	0.0	0.0	91.5741517813
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000702	1.0	0.133844866636	0.00361889954958	0.0963251078745	0.393951401558	0.372259724383	0.0	0.0	0.0	0.0	0.0	6.99088861119
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000801	1.0	0.0543976416551	0.0175659179176	0.0184596641187	0.0699022748055	0.711947258024	0.0109133513401	0.0067655862629	0.00495701317116	0.0108971415296	0.0941941511755	479.466254
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000802	1.0	0.049450764852	0.00930231414861	0.0338593896706	0.124325431119	0.709323256162	0.00238062291664	0.00113595697561	0.00317586457282	0.0355083473471	0.0315380522356	279.88522388
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000901	1.0	0.0307887260078	0.0218849349605	0.0274666247519	0.0483016046122	0.799923044681	0.00168895939741	0.000997345650453	0.0014711211312	0.00744448886812	0.0600331499393	609.475031446
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010000902	1.0	0.0192538784121	0.0152113748505	0.0155271882089	0.0743362003866	0.790198916528	0.000241630654797	0.00124520579174	0.00841073231524	0.0141057459206	0.0614691269319	325.600077553
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010001001	1.0	0.0104055402343	0.0149345138242	0.0160700637261	0.083479136183	0.783152057089	0.00294710015029	0.00436955068731	0.00404024894169	0.00708123071598	0.0735205584478	1452.03444289
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010001002	1.0	0.0403907887616	0.0	0.00572137205159	0.105334798881	0.668179515487	0.000815448650148	0.00503234610239	0.0083503174623	0.00658158815523	0.159593824449	20.235006615
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010001100	1.0	0.00809883796989	0.0103171416248	0.0244032595303	0.101287993881	0.814689455408	0.00053730587372	0.000462804294316	0.000626884215284	0.00641651966544	0.0331597975368	515.696246732
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010001200	1.0	0.0274051111455	0.0274956363213	0.0193988594356	0.093832797149	0.705423418667	9.14044572585e-05	4.59460836817e-05	0.00376585387374	0.0237279539665	0.0988130189008	429.922278748
<1950	Natural Gas	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	G1100010001301	1.0	0.000838715553945	0.0236286960673	0.0096191758692	0.0666571575103	0.838631809319	0.000344659893178	0.0019803917641	0.00229030540215	0.00743142961346	0.0485776590078	298.528281134
