Dependency=Vintage	Dependency=Heating Fuel	Dependency=Location EPW	Dependency=Location Census Tract	Dependency=County	Option=owner 0-30	Option=owner 30-50	Option=owner 50-80	Option=owner 80-100	Option=owner 100+	Option=renter 0-30	Option=renter 30-50	Option=renter 50-80	Option=renter 80-100	Option=renter 100+	Count
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001803	111.0	0.116005970285	0.0138988336808	0.0718346963107	0.0359247808308	0.672992664983	0.0280032302006	5.36293244492e-05	0.0160702154956	0.0306959793167	0.0145199995725	5.99341510242
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001804	111.0	0.0524057936177	8.52475767684e-05	0.000117689922751	0.0140359432125	0.501589695304	0.345288836421	0.0684111578732	0.00124641693822	0.0106906844794	0.00612853465477	6.51290372633
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001901	111.0	0.0652755869237	0.0952010150558	0.141350437901	0.15404540386	0.349026112505	0.069766154951	0.00999921085424	0.0333456092256	0.020376617066	0.0616138516579	5.86282339272
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110001902	111.0	0.0811085255483	0.0357141613247	0.170974362792	0.164124756906	0.332346129162	0.032933240918	0.0186892012651	0.0947248134744	0.0380281121313	0.0313566964774	11.8853006894
1950s	Electricity	USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	G3001110940000	111.0	0.0475814070634	0.0854467559433	0.166849707987	0.134316777109	0.406085618923	0.00536812272494	0.00848530255441	0.0497962777824	0.0526503398108	0.0434196901023	12.9482338285
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000290000100	29.0	0.135810671653	0.109474486749	0.0599986676549	0.0915707240033	0.425648446321	0.027003741653	0.00290634309938	0.028854188883	0.0458633796664	0.0728693503167	0.00658965720457
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000350940200	35.0	0.260482263744	0.197737120917	0.090287258489	0.0772447368839	0.163194946658	0.0937260341068	0.060664454222	0.0263745919772	0.0127022804835	0.0175863125188	18.1467328348
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000350940400	35.0	0.253693761444	0.147407455962	0.0505760429586	0.0635081921528	0.24445943529	0.0483551147424	0.0550468676552	0.114568888262	0.0121373369582	0.0102469045748	13.6854125965
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000350976000	35.0	0.0887735722167	0.123054836669	0.0862390695103	0.0353907326012	0.397024835868	0.0653481723851	0.0372265748423	0.155970727257	0.00863595387188	0.00233552477838	22.9280896442
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000410040100	41.0	0.102820419346	0.103755291719	0.147317477057	0.102326538501	0.40252303706	0.0999889405575	0.00194821922399	0.0164737172971	0.00772437092124	0.0151219883168	0.880924284656
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000410040200	41.0	0.0301963434474	0.0378375112808	0.100595055353	0.0304313053342	0.236523808213	0.157063592517	0.00358050676676	0.228245569052	0.10426826182	0.0712580462154	0.0864559966349
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000490000100	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000510050100	51.0	0.0510261521626	0.0445702798862	0.120194456805	0.0338713495049	0.672778288682	0.0158481171693	0.00368815948484	0.0209818228131	0.00230621381547	0.0347351596769	4.24521855085
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000730977000	73.0	0.057432645063	0.0551556242114	0.120396735331	0.0370288732036	0.434509110771	0.0288620312345	0.0209438784071	0.0673148116374	0.0280951193811	0.15026117076	12.9065080695
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000730977200	73.0	0.083021767071	0.0513469639215	0.0946424904114	0.031755796569	0.238194792165	0.120028919243	0.0911713221835	0.155348575891	0.0402998299814	0.0941895425629	13.2760639859
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000770000100	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000990000100	99.0	0.0428682529062	0.0749085771084	0.17729025779	0.0352808225332	0.561738764287	0.0169827610311	0.0284932569575	0.0350638608386	0.00935528357633	0.0180181629719	2.28237530567
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3000990000300	99.0	0.0442146450006	0.0193234584345	0.0568805206585	0.0112603853315	0.19700626575	0.0596907547299	0.0983878688864	0.197175704488	0.132468373496	0.183592023225	5.95020964291
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3001010000100	101.0	0.0735678610634	0.099862772288	0.155141091235	0.0442465070975	0.399145157421	0.00551889972956	0.0029467940197	0.0808472037651	0.0419429380039	0.0967807753761	19.2039531858
1950s	Electricity	USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	G3001010000200	101.0	0.0202566967403	0.0324616758183	0.0517818140146	0.0414450984918	0.208845254659	0.0979006863259	0.0861524045918	0.165332763133	0.097127543038	0.198696063187	51.9867493164
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000050000100	5.0	0.115115029992	0.0682817591795	0.102718816319	0.0740821282089	0.358626811014	0.0686059564929	0.011660366475	0.0994039897171	0.0579243255657	0.0435808170352	9.54819262009
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000050000200	5.0	0.0473634572315	0.0461487870676	0.121546293536	0.0723092568018	0.317385966123	0.082405543049	0.0670160622808	0.0596335980375	0.0987711856556	0.0874198502178	1.90324738048
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000050940100	5.0	0.089246867303	0.084615956298	0.0611398302147	0.040986592108	0.082104744421	0.196059434519	0.0528563480865	0.160185201302	0.0962508063484	0.136554219399	7.91152393252
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000050940200	5.0	0.132475463998	0.0278373497936	0.122962628747	0.0312107196867	0.0773112723392	0.0854579879237	0.0467544457034	0.308465863346	0.0552708326978	0.112253435765	0.072914485795
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000190020300	19.0	0.0250158642673	0.111178841831	0.211665910557	0.10488895333	0.339787143972	0.0843936292518	0.0316645526361	0.0570657532066	0.0221988268902	0.0121405240578	28.8972454825
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000210000100	21.0	0.0770124720673	0.0868982436545	0.160960892854	0.0827225157229	0.276974616068	0.0396497944807	0.0383136365361	0.0871941884095	0.0818324183712	0.0684412218356	1.77246749767
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000330000100	33.0	0.0677085653822	0.163372525601	0.170187244494	0.0981979008229	0.182986295088	0.0297630030649	0.0440418603104	0.132771990037	0.0454900182824	0.0654805969165	11.4865369595
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000410040200	41.0	0.0301963434474	0.0378375112808	0.100595055353	0.0304313053342	0.236523808213	0.157063592517	0.00358050676676	0.228245569052	0.10426826182	0.0712580462154	0.153699549573
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000550954000	55.0	0.0658740815509	0.0959452811267	0.273951302193	0.176224674915	0.291194651074	0.0166579497557	0.00559765389608	0.0382905864637	0.0271959256902	0.00906789333431	18.4084451864
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000690000100	69.0	0.0619492402739	0.061620671442	0.18278587736	0.0541980127883	0.387774845304	0.0320702715261	0.0206048175154	0.0895022911807	0.0441778667498	0.0653161058599	0.0575206134777
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000710060200	71.0	0.0936437236731	0.171029277821	0.178084162358	0.129691942428	0.28102448009	0.0187667927134	0.000590444280902	0.0515972916341	0.0286126017441	0.0469592832562	16.2692968052
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000830070100	83.0	0.0982111365262	0.114841861976	0.109433785505	0.131727673772	0.211099765866	0.0680877887709	0.031002308485	0.0270154275325	0.0679310999395	0.140649151627	10.4183276167
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000830070200	83.0	0.0473768145606	0.0723840114872	0.104478206152	0.0511371909858	0.306574855448	0.0390687860942	0.0152842368173	0.135099367769	0.0919651027994	0.136631427886	6.33361265863
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000830070300	83.0	0.119210976299	0.11648858432	0.0988599696204	0.144761219712	0.372653251657	0.000691004442978	0.00420980479817	0.0107308809729	0.0613166002619	0.0710777079155	15.3029108682
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000830070400	83.0	0.0431912784486	0.0730630591895	0.0281228188159	0.146511124527	0.259107344716	0.0156352153758	0.0806796023242	0.159863607484	0.154834195722	0.0389917533967	14.7081332798
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000850080100	85.0	0.0457579877914	0.114401345655	0.230613820977	0.102912546434	0.416936096308	0.00696142852273	0.0261633137494	0.00416860326071	0.0103102497294	0.041774607572	8.57320702376
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000850940001	85.0	0.137955512039	0.130378507841	0.16843916692	0.0608129774218	0.258082450922	0.0310710892324	0.0202003962805	0.051072311859	0.0400646781891	0.101922909295	23.2722289324
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000850940002	85.0	0.22749566834	0.111083772774	0.106422820351	0.0376596199209	0.22099746411	0.0584642958259	0.0215369256762	0.0891078336254	0.0377562220851	0.0894753772927	14.9779959658
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000910090200	91.0	0.0374043386677	0.133919932409	0.19001384406	0.118585321958	0.28337891094	0.0290182150006	0.0382162964229	0.0951582457499	0.0494965127274	0.0248083820646	32.6299502346
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3000910090400	91.0	0.0462794921912	0.162181362593	0.206638172077	0.120002839239	0.267609054839	0.0311272469685	0.0112270486377	0.0251694635212	0.0475037077099	0.082261612223	20.6950412682
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3001050100100	105.0	0.0531664453669	0.11289382517	0.192577415968	0.0896801772531	0.341613002221	0.119775588259	0.0214348800694	0.0217898898051	0.0218818458434	0.0251869300446	7.27016596399
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3001050100500	105.0	0.0246766061385	0.108128428642	0.0870872180472	0.0848243696463	0.425390840764	0.0758762038928	0.00850569849736	0.0204015056174	0.0423344492444	0.12277467951	24.9713787486
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3001050940600	105.0	0.117493341522	0.140218190432	0.184828987088	0.138337404785	0.300525255915	0.00246535198614	1.28452515492e-10	6.02355807144e-137	0.0538369661418	0.0622945020019	14.6845269962
1950s	Electricity	USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	G3001090000100	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1950s	Electricity	USA_MT_Great.Falls.Intl.AP.727750_TMY3.epw	G3000050000200	5.0	0.0473634572315	0.0461487870676	0.121546293536	0.0723092568018	0.317385966123	0.082405543049	0.0670160622808	0.0596335980375	0.0987711856556	0.0874198502178	0.350598201668
1950s	Electricity	USA_MT_Great.Falls.Intl.AP.727750_TMY3.epw	G3000130000100	13.0	0.105175511622	0.0839772888045	0.169343670611	0.0469316080811	0.55919294128	0.000255063460726	0.00023331854536	6.75155983048e-05	0.00101026055929	0.0338128214373	3.49931085766
