Dependency=Location USAF	Option=66F	Option=67F	Option=68F	Option=69F	Option=70F
725350	0	0	1	0	0
725360	0	0	1	0	0
725370	0	0	1	0	0
725390	0	1	0	0	0
725430	0	1	0	0	0
725440	0	0	1	0	0
725460	0	0	1	0	0
725480	0	1	0	0	0
725485	0	1	0	0	0
725500	0	0	1	0	0
725520	0	0	1	0	0
725560	0	1	0	0	0
725570	0	1	0	0	0
725620	0	0	1	0	0
725640	0	1	0	0	0
725660	0	0	1	0	0
725690	0	1	0	0	0
725720	0	0	1	0	0
725744	0	1	0	0	0
725760	0	1	0	0	0
725780	0	1	0	0	0
725825	0	1	0	0	0
725830	0	0	1	0	0
725945	0	0	1	0	0
725970	0	0	1	0	0
726050	0	1	0	0	0
726060	0	1	0	0	0
726170	0	1	0	0	0
726223	0	1	0	0	0
726350	0	1	0	0	0
726360	0	1	0	0	0
726370	0	1	0	0	0
726380	0	1	0	0	0
726387	0	1	0	0	0
726390	0	1	0	0	0
726400	0	1	0	0	0
726410	0	1	0	0	0
726430	0	1	0	0	0
726435	0	1	0	0	0
726440	0	1	0	0	0
726450	0	1	0	0	0
726510	0	1	0	0	0
726540	0	1	0	0	0
726550	0	1	0	0	0
726580	0	1	0	0	0
726620	0	1	0	0	0
726660	0	1	0	0	0
726686	0	1	0	0	0
726770	0	1	0	0	0
726776	0	1	0	0	0
726810	0	0	1	0	0
726830	0	1	0	0	0
726835	0	0	1	0	0
726880	0	0	1	0	0
726917	0	0	1	0	0
726930	0	0	1	0	0
726940	0	0	1	0	0
726980	0	0	1	0	0
727120	1	0	0	0	0
727340	0	1	0	0	0
727450	1	0	0	0	0
727470	1	0	0	0	0
727530	0	1	0	0	0
727640	0	1	0	0	0
727676	0	1	0	0	0
727680	0	1	0	0	0
727720	0	1	0	0	0
727730	0	1	0	0	0
727750	0	1	0	0	0
727790	0	1	0	0	0
727796	0	1	0	0	0
727810	0	0	1	0	0
727850	0	1	0	0	0
727910	0	0	1	0	0
727920	0	0	1	0	0
727930	0	0	1	0	0
727970	0	0	1	0	0
742300	0	1	0	0	0
744860	0	0	1	0	0
