Dependency=Location USAF	Option=Pier & Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
727720	0	0.24	0.74	0.02	0.0
727730	0	0.24	0.74	0.02	0.0
727750	0	0.24	0.74	0.02	0.0
727790	0	0.24	0.74	0.02	0.0
727796	0	0.24	0.74	0.02	0.0
727810	0	0.16	0.46	0.35	0.03
727850	0	0.16	0.46	0.35	0.03
727910	0	0.06	0.17	0.72	0.05
727920	0	0.16	0.46	0.35	0.03
727930	0	0.16	0.46	0.35	0.03
727970	0	0.16	0.46	0.35	0.03
742300	0	0.24	0.74	0.02	0.0
744860	0	0.48	0.33	0.04	0.15
