Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Ducted Heat Pump	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	source_count	source_weight	sampling_probability
Central AC	Heating Only	1970s	0.0354421	0.191601	0.571059	0.201898	0	0	0	0	0	0	0	0	22	208191	0.0018482
Central AC	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	0	1	45	442715	0.00413822
Central AC	None	1970s	0.0201097	0.121247	0.582212	0.276431	0	0	0	0	0	0	0	0	1323	8.56525e+06	0.0706719
Ducted Heat Pump	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	0	1	5	54103.7	0
Ducted Heat Pump	Heating Only	1970s	0	0	0	0	1	0	0	0	0	0	0	0	4	29845	0
Ducted Heat Pump	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	0	1	11	113314	0.00240509
Ducted Heat Pump	None	1970s	0	0	0	0	1	0	0	0	0	0	0	0	287	2.05534e+06	0.021994
Evaporative or swamp cooler	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	0	1	2	30322.8	0
Evaporative or swamp cooler	Heating Only	1970s	0	0	0	0	0	0	1	0	0	0	0	0	1	11001.4	0
Evaporative or swamp cooler	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	None	1970s	0	0	0	0	0	0	1	0	0	0	0	0	40	191510	0
Non-Ducted Heat Pump	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	1970s	0	0	0	0	0	1	0	0	0	0	0	0	1	12343.7	0
Non-Ducted Heat Pump	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	0	1	1	12680.1	0
Non-Ducted Heat Pump	None	1970s	0	0	0	0	0	1	0	0	0	0	0	0	48	257795	0.00153495
None	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1970s	0	0	0	0	0	0	1	0	0	0	0	0	32	254996	0.0022998
None	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1970s	0	0	0	0	0	0	1	0	0	0	0	0	289	1.99046e+06	0.0145114
Room AC	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	0	1	7	101131	0.00053631
Room AC	Heating Only	1970s	0	0	0	0	0	0	0	0.0205637	0.167756	0.472376	0.339304	0	97	823230	0.00720205
Room AC	Heating and Cooling	1970s	0	0	0	0	0	0	0	0	0	0	0	1	7	55067.6	0.000496455
Room AC	None	1970s	0	0	0	0	0	0	0	0.0228304	0.148759	0.47662	0.351791	0	444	2.75042e+06	0.0226836
Central AC	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	0	1	36	423953	0.00282443
Central AC	Heating Only	1980s	0.0406939	0.166657	0.540598	0.252051	0	0	0	0	0	0	0	0	12	101045	0.00101215
Central AC	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	0	1	43	412122	0.00372036
Central AC	None	1980s	0.0184733	0.118979	0.588869	0.273679	0	0	0	0	0	0	0	0	1153	7.75474e+06	0.064339
Ducted Heat Pump	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	0	1	6	60572.9	0
Ducted Heat Pump	Heating Only	1980s	0	0	0	0	1	0	0	0	0	0	0	0	2	23641.6	0
Ducted Heat Pump	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	0	1	3	24611.5	0.000383026
Ducted Heat Pump	None	1980s	0	0	0	0	1	0	0	0	0	0	0	0	336	2.54091e+06	0.0279844
Evaporative or swamp cooler	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	1980s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	None	1980s	0	0	0	0	0	0	1	0	0	0	0	0	21	130698	0
Non-Ducted Heat Pump	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	1980s	0	0	0	0	0	1	0	0	0	0	0	0	1	6671.25	0
Non-Ducted Heat Pump	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	0	1	2	22453.6	3.01976e-05
Non-Ducted Heat Pump	None	1980s	0	0	0	0	0	1	0	0	0	0	0	0	50	265942	0.0015873
None	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1980s	0	0	0	0	0	0	1	0	0	0	0	0	31	270104	0.00199997
None	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1980s	0	0	0	0	0	0	1	0	0	0	0	0	254	1.66516e+06	0.0109198
Room AC	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	0	1	1	9318.04	3.55586e-06
Room AC	Heating Only	1980s	0	0	0	0	0	0	0	0.0305309	0.149179	0.473685	0.346606	0	57	490994	0.00354405
Room AC	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	0	1	9	91293.3	0.000737173
Room AC	None	1980s	0	0	0	0	0	0	0	0.0215255	0.146953	0.462755	0.368767	0	303	1.87757e+06	0.0148931
Central AC	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	0	1	20	202927	0.00187563
Central AC	Heating Only	1990s	0.017784	0.138164	0.607137	0.236915	0	0	0	0	0	0	0	0	12	108775	0.0011419
Central AC	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	0	1	30	294663	0.00322727
Central AC	None	1990s	0.0331027	0.174497	0.537509	0.254892	0	0	0	0	0	0	0	0	1380	9.67045e+06	0.0739398
Ducted Heat Pump	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	0	1	9	84701.5	0
Ducted Heat Pump	Heating Only	1990s	0	0	0	0	1	0	0	0	0	0	0	0	2	24127.4	0
Ducted Heat Pump	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	0	1	7	76740	0.0011681
Ducted Heat Pump	None	1990s	0	0	0	0	1	0	0	0	0	0	0	0	356	2.75545e+06	0.0260961
Evaporative or swamp cooler	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	1990s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	0	1	1	13762.3	0
Evaporative or swamp cooler	None	1990s	0	0	0	0	0	0	1	0	0	0	0	0	20	109197	0
Non-Ducted Heat Pump	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	1990s	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	0	1	3	33295.4	2.05925e-05
Non-Ducted Heat Pump	None	1990s	0	0	0	0	0	1	0	0	0	0	0	0	15	80641.1	0.000978503
None	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1990s	0	0	0	0	0	0	1	0	0	0	0	0	16	131022	0.00145953
None	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1990s	0	0	0	0	0	0	1	0	0	0	0	0	192	1.35892e+06	0.0105217
Room AC	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	0	1	2	21068.4	0.000131394
Room AC	Heating Only	1990s	0	0	0	0	0	0	0	0.0540618	0.218464	0.456063	0.271411	0	33	273368	0.00264226
Room AC	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	0	1	11	115843	0.000972047
Room AC	None	1990s	0	0	0	0	0	0	0	0.0189662	0.0982002	0.483665	0.399169	0	261	1.68731e+06	0.0137225
Central AC	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	0	1	52	535907	0.003722
Central AC	Heating Only	2000s	0	0.105675	0.650457	0.243868	0	0	0	0	0	0	0	0	11	100733	0.00075035
Central AC	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	0	1	43	336335	0.00290448
Central AC	None	2000s	0.00917189	0.126591	0.615688	0.24855	0	0	0	0	0	0	0	0	1666	9.61502e+06	0.084288
Ducted Heat Pump	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	0	1	8	71895.5	0
Ducted Heat Pump	Heating Only	2000s	0	0	0	0	1	0	0	0	0	0	0	0	4	26266	0
Ducted Heat Pump	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	0	1	5	38866.8	0.000627372
Ducted Heat Pump	None	2000s	0	0	0	0	1	0	0	0	0	0	0	0	430	2.62715e+06	0.0262266
Evaporative or swamp cooler	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	2000s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	0	1	1	6629.42	0
Evaporative or swamp cooler	None	2000s	0	0	0	0	0	0	1	0	0	0	0	0	14	87995.5	0
Non-Ducted Heat Pump	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	2000s	0	0	0	0	0	1	0	0	0	0	0	0	1	1432.87	0
Non-Ducted Heat Pump	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	0	1	1	5790.1	0
Non-Ducted Heat Pump	None	2000s	0	0	0	0	0	1	0	0	0	0	0	0	28	161179	0.000703402
None	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	2000s	0	0	0	0	0	0	1	0	0	0	0	0	22	200566	0.00153934
None	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	2000s	0	0	0	0	0	0	1	0	0	0	0	0	183	1.11918e+06	0.00783032
Room AC	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	0	1	4	49443.7	0.000266212
Room AC	Heating Only	2000s	0	0	0	0	0	0	0	0.00321031	0.183245	0.485804	0.32774	0	26	175458	0.00141061
Room AC	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	0	1	9	57256	0.000368328
Room AC	None	2000s	0	0	0	0	0	0	0	0.0102394	0.134706	0.470517	0.384538	0	156	858752	0.00675294
Central AC	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	0	1	40	355207	0.00156329
Central AC	Heating Only	2010s	0	0	0.603748	0.396252	0	0	0	0	0	0	0	0	9	85949	0.000468326
Central AC	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	0	1	67	477577	0.00261102
Central AC	None	2010s	0	0.000681236	0.629444	0.369875	0	0	0	0	0	0	0	0	1012	5.47787e+06	0.0277431
Ducted Heat Pump	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	0	1	9	80143.8	0
Ducted Heat Pump	Heating Only	2010s	0	0	0	0	1	0	0	0	0	0	0	0	3	38732.3	0
Ducted Heat Pump	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	0	1	10	86508.7	0.000805665
Ducted Heat Pump	None	2010s	0	0	0	0	1	0	0	0	0	0	0	0	293	1.89683e+06	0.010357
Evaporative or swamp cooler	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	2010s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	None	2010s	0	0	0	0	0	0	1	0	0	0	0	0	1	8980.8	0
Non-Ducted Heat Pump	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	0	1	1	7293.19	0
Non-Ducted Heat Pump	Heating Only	2010s	0	0	0	0	0	1	0	0	0	0	0	0	1	5652.65	0
Non-Ducted Heat Pump	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.44327e-05
Non-Ducted Heat Pump	None	2010s	0	0	0	0	0	1	0	0	0	0	0	0	31	162890	0.00085464
None	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	2010s	0	0	0	0	0	0	1	0	0	0	0	0	16	115454	0.000392592
None	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	2010s	0	0	0	0	0	0	1	0	0	0	0	0	108	576271	0.00249278
Room AC	Cooling Only	2010s	0	0	0	0	0	0	0	0	0	0	0	1	1	7127.83	4.24774e-05
Room AC	Heating Only	2010s	0	0	0	0	0	0	0	0	0.0667144	0.53738	0.395906	0	23	144492	0.000796705
Room AC	Heating and Cooling	2010s	0	0	0	0	0	0	0	0	0	0	0	1	8	66317.3	0.000341883
Room AC	None	2010s	0	0	0	0	0	0	0	0	0.0529033	0.51269	0.434406	0	87	438154	0.0022583
Central AC	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	0	1	12	76096.1	0.000730279
Central AC	Heating Only	<1940	0.0417519	0.217275	0.511035	0.229938	0	0	0	0	0	0	0	0	13	95990.8	0.00114825
Central AC	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	0	1	31	211465	0.00227545
Central AC	None	<1940	0.0184862	0.122528	0.590948	0.268038	0	0	0	0	0	0	0	0	1023	5.20913e+06	0.0440838
Ducted Heat Pump	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	0	1	5	36643.9	0
Ducted Heat Pump	Heating Only	<1940	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ducted Heat Pump	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	0	1	8	36171.6	0.000745942
Ducted Heat Pump	None	<1940	0	0	0	0	1	0	0	0	0	0	0	0	113	555726	0.00489856
Evaporative or swamp cooler	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	<1940	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	None	<1940	0	0	0	0	0	0	1	0	0	0	0	0	16	70754	0
Non-Ducted Heat Pump	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	0	1	1	1321.94	0
Non-Ducted Heat Pump	Heating Only	<1940	0	0	0	0	0	1	0	0	0	0	0	0	3	13382.7	0
Non-Ducted Heat Pump	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2.50396e-06
Non-Ducted Heat Pump	None	<1940	0	0	0	0	0	1	0	0	0	0	0	0	59	233967	0.00111639
None	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	<1940	0	0	0	0	0	0	1	0	0	0	0	0	64	431854	0.00441736
None	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	<1940	0	0	0	0	0	0	1	0	0	0	0	0	369	2.04338e+06	0.0162816
Room AC	Cooling Only	<1940	0	0	0	0	0	0	0	0	0	0	0	1	3	15650.1	0.000148018
Room AC	Heating Only	<1940	0	0	0	0	0	0	0	0.0189786	0.100978	0.491527	0.388516	0	181	1.31969e+06	0.0134088
Room AC	Heating and Cooling	<1940	0	0	0	0	0	0	0	0	0	0	0	1	9	76263.4	0.000824731
Room AC	None	<1940	0	0	0	0	0	0	0	0.0201056	0.124702	0.480249	0.374943	0	783	4.14433e+06	0.0379449
# Created by: sources\recs\recs2020\tsv_maker.py
# Source: The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Source: Efficiency data based on CAC-ASHP-shipments-table.tsv, room_AC_efficiency_vs_age.tsv and expanded_HESC_HVAC_efficiencies.tsv combined with age of equipment data from RECS
# Assumption: Check the assumptions on the source tsv files.
