Dependency=Area Median Income	Dependency=County Metro Status	Dependency=State	Option=0-30%	Option=30-60%	Option=60-80%	Option=80-100%	Option=100-120%	Option=120-150%	Option=150%+	Option=Not Available	source_count	source_weight	sampling_probability
120-150%	Metro	AR	0	0	0	0.00550691	0.117756	0.571452	0.305285	0	2564	54477	0.000691174
150%+	Metro	AR	0	0	0	0	0	0.0446516	0.955348	0	7440	156747	0.00187318
30-60%	Metro	AR	0.0070831	0.847419	0.145498	0	0	0	0	0	3574	84991	0.0010118
60-80%	Metro	AR	0	0.103258	0.622182	0.27456	0	0	0	0	2576	59182	0.00076539
80-100%	Metro	AR	0	0	0.127282	0.571362	0.301357	0	0	0	2414	55499	0.000683862
Not Available	Metro	AR	0	0	0	0	0	0	0	1	1668	61734	0.00111634
0-30%	Nonmetro	AR	0.676975	0.323025	0	0	0	0	0	0	6249	108781	0.000323014
100-120%	Nonmetro	AR	0	0	0	0	0.773857	0.226143	0	0	3178	53537	0.000146865
120-150%	Nonmetro	AR	0	0	0	0	0	0.832344	0.167656	0	3885	65366	0.000178879
150%+	Nonmetro	AR	0	0	0	0	0	0	1	0	10192	171931	0.000453404
30-60%	Nonmetro	AR	0	0.898735	0.101265	0	0	0	0	0	5629	92253	0.00024942
60-80%	Nonmetro	AR	0	0	0.850757	0.149243	0	0	0	0	4288	70114	0.000187833
80-100%	Nonmetro	AR	0	0	0	0.813716	0.186284	0	0	0	3617	62716	0.000181739
Not Available	Nonmetro	AR	0	0	0	0	0	0	0	1	6083	150476	0.000440464
0-30%	Metro	AZ	0.868645	0.131355	0	0	0	0	0	0	13732	290898	0.00238241
100-120%	Metro	AZ	0	0	0.012601	0.0996967	0.656193	0.231509	0	0	10573	208713	0.00166266
120-150%	Metro	AZ	0	0	0	0.015973	0.0839606	0.716035	0.184031	0	13142	255870	0.00201761
150%+	Metro	AZ	0	0	0	0	0.00390196	0.031839	0.964259	0	38875	721944	0.00567151
30-60%	Metro	AZ	0.011316	0.89405	0.0946337	0	0	0	0	0	16647	339076	0.0026298
60-80%	Metro	AZ	0	0.0848717	0.751102	0.164026	0	0	0	0	12419	254490	0.00207472
80-100%	Metro	AZ	0	0.00175932	0.0955127	0.704231	0.198497	0	0	0	11992	241570	0.00190018
Not Available	Metro	AZ	0	0	0	0	0	0	0	1	10521	332171	0.0029968
0-30%	Nonmetro	AZ	0.659104	0.340896	0	0	0	0	0	0	3302	44430	5.36797e-05
100-120%	Nonmetro	AZ	0	0	0	0.00353578	0.569709	0.426756	0	0	1293	22343	2.17839e-05
120-150%	Nonmetro	AZ	0	0	0	0	0.000675752	0.663813	0.335511	0	1586	26637	2.78769e-05
150%+	Nonmetro	AZ	0	0	0	0	0	0.00085386	0.999146	0	4586	77296	7.58182e-05
30-60%	Nonmetro	AZ	0	0.804469	0.195531	0	0	0	0	0	1986	32895	3.15123e-05
60-80%	Nonmetro	AZ	0	0.00089038	0.731174	0.267936	0	0	0	0	1737	29201	2.67532e-05
80-100%	Nonmetro	AZ	0	0	0.00181453	0.638638	0.359548	0	0	0	1541	25902	2.49926e-05
Not Available	Nonmetro	AZ	0	0	0	0	0	0	0	1	6079	99850	0.0001358
0-30%	Metro	CA	0.759221	0.240779	0	0	0	0	0	0	99513	2.107e+06	0.0151657
100-120%	Metro	CA	0	0	0.0112642	0.195198	0.106693	0.399735	0.28711	0	55914	1.07926e+06	0.0080923
120-150%	Metro	CA	0	0	0	0.0307353	0.165139	0.140397	0.663728	0	66457	1.26597e+06	0.00958971
150%+	Metro	CA	0	0	0	0	0.0035076	0.0696611	0.926831	0	179867	3.30796e+06	0.0248636
30-60%	Metro	CA	0.0271284	0.587603	0.305189	0.0640869	0.0159926	0	0	0	113647	2.30832e+06	0.0167933
60-80%	Metro	CA	0	0.145417	0.226523	0.416655	0.152902	0.0515203	0.00698286	0	71254	1.41274e+06	0.0105879
80-100%	Metro	CA	0	0	0.177016	0.123896	0.315477	0.294882	0.0887295	0	66085	1.28806e+06	0.00957607
Not Available	Metro	CA	0	0	0	0	0	0	0	1	36188	1.03582e+06	0.00793735
0-30%	Nonmetro	CA	0.822918	0.177082	0	0	0	0	0	0	2113	38948	0.000120803
100-120%	Nonmetro	CA	0	0	0	0	0.706927	0.293073	0	0	1372	23936	7.61197e-05
120-150%	Nonmetro	CA	0	0	0	0	0	0.708598	0.291402	0	1613	28483	8.80651e-05
150%+	Nonmetro	CA	0	0	0	0	0	0	1	0	4533	77058	0.000222368
30-60%	Nonmetro	CA	0	0.89221	0.10779	0	0	0	0	0	2721	49077	0.000153156
60-80%	Nonmetro	CA	0	0	0.766854	0.233146	0	0	0	0	1730	30423	9.2466e-05
80-100%	Nonmetro	CA	0	0	0	0.708167	0.271194	0.0206391	0	0	1530	27036	8.20261e-05
Not Available	Nonmetro	CA	0	0	0	0	0	0	0	1	4149	95887	0.000335224
0-30%	Metro	CO	0.932755	0.0672447	0	0	0	0	0	0	9551	215541	0.00172287
100-120%	Metro	CO	0	0	0.00778542	0.146461	0.594477	0.249022	0.0022547	0	8913	179181	0.00136688
120-150%	Metro	CO	0	0	0	0.0174809	0.120678	0.664569	0.197272	0	10892	213776	0.00163026
150%+	Metro	CO	0	0	0	0	0.00228241	0.0495884	0.948129	0	28445	531455	0.00404595
30-60%	Metro	CO	0.0337192	0.879288	0.0869924	0	0	0	0	0	13780	302647	0.00235675
60-80%	Metro	CO	0	0.116244	0.752106	0.131651	0	0	0	0	9580	200424	0.0016312
80-100%	Metro	CO	0	0	0.120683	0.675737	0.196842	0.00673853	0	0	10220	211322	0.00161596
Not Available	Metro	CO	0	0	0	0	0	0	0	1	2966	105731	0.00134918
0-30%	Nonmetro	CO	0.853758	0.146242	0	0	0	0	0	0	2431	38826	0.000154011
100-120%	Nonmetro	CO	0	0	0	0	0.519555	0.426069	0.0543758	0	1751	27972	8.62207e-05
120-150%	Nonmetro	CO	0	0	0	0	0	0.600934	0.399066	0	2130	33408	0.000103055
150%+	Nonmetro	CO	0	0	0	0	0	0	1	0	4925	74909	0.00022191
30-60%	Nonmetro	CO	0	0.812722	0.187278	0	0	0	0	0	3418	53327	0.000181863
60-80%	Nonmetro	CO	0	0	0.686986	0.281564	0.03145	0	0	0	2302	35008	0.000123564
80-100%	Nonmetro	CO	0	0	0	0.574117	0.350067	0.0758159	0	0	1997	31194	9.78582e-05
Not Available	Nonmetro	CO	0	0	0	0	0	0	0	1	5921	131754	0.00035668
0-30%	Metro	CT	0.935377	0.0646231	0	0	0	0	0	0	9724	212602	0.00156678
100-120%	Metro	CT	0	0	0	0	0.729941	0.270059	0	0	6393	121529	0.000918834
120-150%	Metro	CT	0	0	0	0	0	0.777363	0.222637	0	7759	142748	0.0010508
150%+	Metro	CT	0	0	0	0	0	0	1	0	20203	348979	0.00252054
30-60%	Metro	CT	0	0.951961	0.0480388	0	0	0	0	0	11082	232687	0.00169247
60-80%	Metro	CT	0	0.0600622	0.931858	0.00807974	0	0	0	0	5919	121291	0.000901017
80-100%	Metro	CT	0	0	0.13994	0.697124	0.154251	0.00868472	0	0	9810	190910	0.00142136
Not Available	Metro	CT	0	0	0	0	0	0	0	1	4698	145883	0.00107135
0-30%	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
100-120%	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
120-150%	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
150%+	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
30-60%	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
60-80%	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
80-100%	Nonmetro	CT	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
Not Available	Nonmetro	CT	0	0	0	0	0	0	0	1	0	0	0
0-30%	Metro	DC	0.895958	0.104042	0	0	0	0	0	0	2696	59668	0.00043939
100-120%	Metro	DC	0	0	0	0	0.195576	0.804424	0	0	1122	20207	0.000156918
120-150%	Metro	DC	0	0	0	0	0	0.343528	0.656472	0	1482	27759	0.00018856
150%+	Metro	DC	0	0	0	0	0	0	1	0	4830	84075	0.000588471
30-60%	Metro	DC	0	0.887284	0.112716	0	0	0	0	0	1715	36011	0.000265199
60-80%	Metro	DC	0	0	1	0	0	0	0	0	649	13036	9.89535e-05
80-100%	Metro	DC	0	0	0.122528	0.493525	0.383947	0	0	0	2261	43631	0.000327324
Not Available	Metro	DC	0	0	0	0	0	0	0	1	1052	30789	0.000223128
0-30%	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
100-120%	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
120-150%	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
150%+	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
30-60%	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
60-80%	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
80-100%	Nonmetro	DC	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
Not Available	Nonmetro	DC	0	0	0	0	0	0	0	1	0	0	0
0-30%	Metro	DE	0.904458	0.0955422	0	0	0	0	0	0	2119	46817	0.000343165
100-120%	Metro	DE	0	0	0	0.252815	0.311804	0.435382	0	0	1766	34108	0.000250095
120-150%	Metro	DE	0	0	0	0	0.241878	0.427942	0.33018	0	2278	43340	0.000298797
150%+	Metro	DE	0	0	0	0	0	0.0967122	0.903288	0	5930	106605	0.00076402
30-60%	Metro	DE	0.0405513	0.814904	0.144545	0	0	0	0	0	2720	55436	0.000401074
60-80%	Metro	DE	0	0.183817	0.519153	0.29703	0	0	0	0	1998	39289	0.000291387
80-100%	Metro	DE	0	0	0.226522	0.429321	0.344157	0	0	0	1881	37727	0.000273492
Not Available	Metro	DE	0	0	0	0	0	0	0	1	2942	69873	0.000495542
0-30%	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
100-120%	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
120-150%	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
150%+	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
30-60%	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
60-80%	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
80-100%	Nonmetro	DE	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0
Not Available	Nonmetro	DE	0	0	0	0	0	0	0	1	0	0	0
0-30%	Metro	FL	0.797606	0.202394	0	0	0	0	0	0	48781	988371	0.00762054
100-120%	Metro	FL	0	0	0.00108221	0.072926	0.482508	0.402698	0.0407856	0	34023	638510	0.00486015
120-150%	Metro	FL	0	0	0	0.00612592	0.0675705	0.528595	0.397709	0	41090	754826	0.0056979
150%+	Metro	FL	0	0	0	0	0.000336085	0.0230127	0.976651	0	119822	2.06495e+06	0.0157154
30-60%	Metro	FL	0.00548163	0.780609	0.21391	0	0	0	0	0	62690	1.2385e+06	0.0091605
60-80%	Metro	FL	0	0.0467311	0.564461	0.357338	0.0314699	0	0	0	43326	842201	0.00635206
80-100%	Metro	FL	0	0	0.0613489	0.503823	0.349952	0.0848759	0	0	39101	748033	0.00562113
Not Available	Metro	FL	0	0	0	0	0	0	0	1	48801	1.54056e+06	0.0120828
0-30%	Nonmetro	FL	0.638752	0.360881	0.000366639	0	0	0	0	0	4057	73642	0.000154622
100-120%	Nonmetro	FL	0	0	0	0	0.447449	0.461418	0.0911332	0	2489	41379	7.49045e-05
120-150%	Nonmetro	FL	0	0	0	0	0	0.487065	0.512935	0	2964	48279	9.71418e-05
150%+	Nonmetro	FL	0	0	0	0	0	0	1	0	7969	125244	0.000235816
30-60%	Nonmetro	FL	0	0.686681	0.253188	0.0398114	0.0203195	0	0	0	3984	67669	0.000133325
60-80%	Nonmetro	FL	0	0	0.546641	0.357771	0.0300701	0.0655184	0	0	3242	55038	9.68071e-05
80-100%	Nonmetro	FL	0	0	0	0.49707	0.400258	0.0359825	0.0666895	0	2877	49663	9.27397e-05
Not Available	Nonmetro	FL	0	0	0	0	0	0	0	1	6523	171294	0.00028071
0-30%	Metro	GA	0.884788	0.115212	0	0	0	0	0	0	15959	349939	0.00343671
100-120%	Metro	GA	0	0	0.0287911	0.143001	0.494204	0.334003	0	0	11023	236809	0.00217148
120-150%	Metro	GA	0	0	0	0.0403931	0.116728	0.581037	0.261842	0	14032	293639	0.00270862
150%+	Metro	GA	0	0	0	0	0.00799917	0.050803	0.941198	0	44200	833336	0.00761342
30-60%	Metro	GA	0.0226456	0.849633	0.127721	0	0	0	0	0	18663	411912	0.00373363
60-80%	Metro	GA	0	0.135949	0.625914	0.238138	0	0	0	0	13188	291382	0.00276054
80-100%	Metro	GA	0	0.00405075	0.14851	0.55955	0.287889	0	0	0	12415	269086	0.0025197
Not Available	Metro	GA	0	0	0	0	0	0	0	1	9420	292823	0.00320781
0-30%	Nonmetro	GA	0.66614	0.333747	0.000112916	0	0	0	0	0	10553	185979	0.000413958
100-120%	Nonmetro	GA	0	0	0	0	0.52027	0.423085	0.0566453	0	5458	88604	0.000181665
120-150%	Nonmetro	GA	0	0	0	0	0	0.584111	0.415889	0	6913	111275	0.000230913
150%+	Nonmetro	GA	0	0	0	0	0	0	1	0	19974	312907	0.000651444
30-60%	Nonmetro	GA	0	0.784421	0.208571	0.00700826	0	0	0	0	9135	152677	0.000317319
60-80%	Nonmetro	GA	0	0	0.640393	0.325571	0.034036	0	0	0	7111	120020	0.000236746
80-100%	Nonmetro	GA	0	0	0	0.55606	0.371201	0.0727388	0	0	6208	101239	0.000216924
Not Available	Nonmetro	GA	0	0	0	0	0	0	0	1	9626	231850	0.000605171
0-30%	Metro	HI	0.821536	0.178464	0	0	0	0	0	0	2805	58953	0.000504086
100-120%	Metro	HI	0	0	0	0.161335	0	0.838665	0	0	2039	38795	0.000320166
120-150%	Metro	HI	0	0	0	0.0240724	0.131716	0.0539175	0.790294	0	2290	41749	0.00036139
150%+	Metro	HI	0	0	0	0	0	0.0884258	0.911574	0	4140	74718	0.000748676
30-60%	Metro	HI	0.0339204	0.631685	0.334395	0	0	0	0	0	3602	74439	0.000629256
60-80%	Metro	HI	0	0.103829	0.251468	0.644704	0	0	0	0	2529	48551	0.000415662
80-100%	Metro	HI	0	0	0.139892	0.0357222	0.699636	0.12475	0	0	2343	45042	0.000370972
Not Available	Metro	HI	0	0	0	0	0	0	0	1	1868	56148	0.000604813
0-30%	Nonmetro	HI	0.700418	0.299582	0	0	0	0	0	0	543	9817	7.04729e-08
100-120%	Nonmetro	HI	0	0	0	0	0	0.835212	0.164788	0	413	8338	5.63043e-08
120-150%	Nonmetro	HI	0	0	0	0	0	0	1	0	536	9728	6.2438e-08
150%+	Nonmetro	HI	0	0	0	0	0	0	1	0	1143	19975	1.46239e-07
30-60%	Nonmetro	HI	0	0.546034	0.453966	0	0	0	0	0	619	11915	8.8169e-08
60-80%	Nonmetro	HI	0	0	0.135661	0.765798	0.0985418	0	0	0	494	9052	6.05116e-08
80-100%	Nonmetro	HI	0	0	0	0	0.666866	0.333134	0	0	445	8351	5.69043e-08
Not Available	Nonmetro	HI	0	0	0	0	0	0	0	1	1284	27103	1.90004e-07
0-30%	Metro	IA	0.941151	0.0588491	0	0	0	0	0	0	2170	69024	0.000897318
100-120%	Metro	IA	0	0	0	0.257674	0.517229	0.225097	0	0	1860	48899	0.000661961
120-150%	Metro	IA	0	0	0	0	0.207628	0.591124	0.201248	0	2380	65367	0.000801674
150%+	Metro	IA	0	0	0	0	0	0.0830656	0.916934	0	4948	134135	0.00165625
30-60%	Metro	IA	0.0412064	0.871928	0.0868658	0	0	0	0	0	3155	92971	0.00117388
60-80%	Metro	IA	0	0.137697	0.702552	0.159751	0	0	0	0	2275	62848	0.000835839
80-100%	Metro	IA	0	0	0.182432	0.608359	0.209209	0	0	0	2181	59792	0.000770142
Not Available	Metro	IA	0	0	0	0	0	0	0	1	771	41128	0.000624733
0-30%	Nonmetro	IA	0.857007	0.142993	0	0	0	0	0	0	5245	90529	0.000307399
100-120%	Nonmetro	IA	0	0	0	0	0.613033	0.386967	0	0	4901	74058	0.000241597
120-150%	Nonmetro	IA	0	0	0	0	0	0.697633	0.302367	0	5926	87341	0.000288997
150%+	Nonmetro	IA	0	0	0	0	0	0	1	0	11044	175203	0.000568229
30-60%	Nonmetro	IA	0	0.861529	0.138471	0	0	0	0	0	8154	127341	0.000417539
60-80%	Nonmetro	IA	0	0	0.742062	0.257938	0	0	0	0	5896	91937	0.000307339
80-100%	Nonmetro	IA	0	0	0	0.684814	0.309734	0.00545228	0	0	5667	86019	0.000273769
Not Available	Nonmetro	IA	0	0	0	0	0	0	0	1	3188	90495	0.000337932
0-30%	Metro	ID	0.891571	0.108429	0	0	0	0	0	0	1324	38034	0.000507444
100-120%	Metro	ID	0	0	0	0.107501	0.728087	0.164412	0	0	1277	32595	0.000401411
120-150%	Metro	ID	0	0	0	0	0.074508	0.768692	0.1568	0	1519	38667	0.000461916
150%+	Metro	ID	0	0	0	0	0	0.0306185	0.969381	0	3687	89031	0.0011194
30-60%	Metro	ID	0.00956644	0.9125	0.0779338	0	0	0	0	0	2085	52057	0.000609642
60-80%	Metro	ID	0	0.0614296	0.828129	0.110441	0	0	0	0	1544	39297	0.000477112
80-100%	Metro	ID	0	0	0.0686591	0.757393	0.173948	0	0	0	1397	34999	0.000437511
Not Available	Metro	ID	0	0	0	0	0	0	0	1	552	20329	0.000524572
0-30%	Nonmetro	ID	0.801745	0.198255	0	0	0	0	0	0	2276	39878	5.99423e-05
100-120%	Nonmetro	ID	0	0	0	0	0.748431	0.251569	0	0	1873	29475	4.02214e-05
120-150%	Nonmetro	ID	0	0	0	0	0	0.798724	0.201276	0	2217	34018	4.77382e-05
150%+	Nonmetro	ID	0	0	0	0	0	0	1	0	4833	79519	0.000119117
30-60%	Nonmetro	ID	0	0.905359	0.0946412	0	0	0	0	0	3135	50422	7.07465e-05
60-80%	Nonmetro	ID	0	0	0.814628	0.185372	0	0	0	0	2425	38350	5.20267e-05
80-100%	Nonmetro	ID	0	0	0	0.805995	0.194005	0	0	0	2146	33664	4.38027e-05
Not Available	Nonmetro	ID	0	0	0	0	0	0	0	1	3732	73259	0.000144793
0-30%	Metro	IL	0.942816	0.0571836	0	0	0	0	0	0	23661	587056	0.00488402
100-120%	Metro	IL	0	0	0.00588225	0.130943	0.656091	0.207083	0	0	16651	349526	0.00299145
120-150%	Metro	IL	0	0	0	0.0117064	0.106374	0.710884	0.171035	0	21036	438904	0.00368439
150%+	Metro	IL	0	0	0	0	0.00186867	0.0398528	0.958279	0	58509	1.1741e+06	0.00957169
30-60%	Metro	IL	0.0210067	0.907211	0.0717825	0	0	0	0	0	29708	698443	0.00571472
60-80%	Metro	IL	0	0.0862662	0.779661	0.134072	0	0	0	0	19216	424129	0.00370261
80-100%	Metro	IL	0	0	0.117908	0.709994	0.172099	0	0	0	18700	402926	0.00344238
Not Available	Metro	IL	0	0	0	0	0	0	0	1	11533	394168	0.0034934
0-30%	Nonmetro	IL	0.862418	0.137582	0	0	0	0	0	0	7735	106249	0.000267579
100-120%	Nonmetro	IL	0	0	0	0.000645943	0.779007	0.220347	0	0	6318	74310	0.000176654
120-150%	Nonmetro	IL	0	0	0	0	0.000736504	0.818141	0.181122	0	7499	86897	0.000200108
150%+	Nonmetro	IL	0	0	0	0	0	0.000229197	0.999771	0	15888	196338	0.000432434
30-60%	Nonmetro	IL	0	0.924585	0.0754155	0	0	0	0	0	10926	133580	0.000326049
60-80%	Nonmetro	IL	0	0.000935835	0.853393	0.145671	0	0	0	0	7621	90828	0.00022154
80-100%	Nonmetro	IL	0	0	0.000494882	0.802421	0.197084	0	0	0	7108	82848	0.000196377
Not Available	Nonmetro	IL	0	0	0	0	0	0	0	1	5573	120016	0.000307561
0-30%	Metro	IN	0.893806	0.106194	0	0	0	0	0	0	10601	243103	0.00233926
100-120%	Metro	IN	0	0	0	0.162472	0.595236	0.242293	0	0	7788	162927	0.00165841
120-150%	Metro	IN	0	0	0	0	0.12528	0.702265	0.172455	0	9396	193088	0.00195521
150%+	Metro	IN	0	0	0	0	0	0.0495643	0.950436	0	23021	479256	0.00464023
30-60%	Metro	IN	0.0182257	0.888515	0.0932588	0	0	0	0	0	14133	304679	0.00288083
60-80%	Metro	IN	0	0.088454	0.741256	0.17029	0	0	0	0	9706	206695	0.00208859
80-100%	Metro	IN	0	0	0.115178	0.679212	0.20561	0	0	0	8898	188308	0.00187939
Not Available	Metro	IN	0	0	0	0	0	0	0	1	6026	201927	0.00212042
0-30%	Nonmetro	IN	0.836154	0.163846	0	0	0	0	0	0	5501	92007	0.000170546
100-120%	Nonmetro	IN	0	0	0	0	0.862906	0.137094	0	0	5283	81754	0.000141889
120-150%	Nonmetro	IN	0	0	0	0	0	0.886483	0.113517	0	6280	98065	0.000168674
150%+	Nonmetro	IN	0	0	0	0	0	0	1	0	12933	207922	0.000343892
30-60%	Nonmetro	IN	0	0.939638	0.0603621	0	0	0	0	0	8223	126437	0.000215664
60-80%	Nonmetro	IN	0	0	0.903917	0.0960827	0	0	0	0	6279	95449	0.000162633
80-100%	Nonmetro	IN	0	0	0	0.885752	0.114248	0	0	0	5881	90724	0.000150458
Not Available	Nonmetro	IN	0	0	0	0	0	0	0	1	4112	114207	0.000199596
0-30%	Metro	KS	0.978221	0.021779	0	0	0	0	0	0	2756	75807	0.000879333
100-120%	Metro	KS	0	0	0	0.366131	0.633869	0	0	0	2346	56772	0.000672884
120-150%	Metro	KS	0	0	0	0	0.298267	0.701733	0	0	2982	70809	0.000819428
150%+	Metro	KS	0	0	0	0	0	0.102126	0.897874	0	7819	179063	0.00194759
30-60%	Metro	KS	0.0541284	0.945872	0	0	0	0	0	0	3866	98451	0.00111268
60-80%	Metro	KS	0	0.222326	0.777674	0	0	0	0	0	2804	69299	0.000826662
80-100%	Metro	KS	0	0	0.317176	0.682824	0	0	0	0	2653	63832	0.000765782
Not Available	Metro	KS	0	0	0	0	0	0	0	1	1276	56282	0.000818494
0-30%	Nonmetro	KS	0.775391	0.224609	0	0	0	0	0	0	3766	61458	0.000162939
100-120%	Nonmetro	KS	0	0	0	0	0.462954	0.536125	0.000921749	0	3389	50990	0.000123868
120-150%	Nonmetro	KS	0	0	0	0	0	0.567738	0.432262	0	3886	59723	0.000140781
150%+	Nonmetro	KS	0	0	0	0	0	0	1	0	8403	133345	0.000312157
30-60%	Nonmetro	KS	0	0.802668	0.197332	0	0	0	0	0	5688	85698	0.000207858
60-80%	Nonmetro	KS	0	0	0.631169	0.367804	0.00102686	0	0	0	4185	63300	0.000150859
80-100%	Nonmetro	KS	0	0	0	0.563286	0.411436	0.0252781	0	0	3989	60685	0.000137078
Not Available	Nonmetro	KS	0	0	0	0	0	0	0	1	3761	87783	0.000240672
0-30%	Metro	KY	0.896533	0.103467	0	0	0	0	0	0	4358	98118	0.00152978
100-120%	Metro	KY	0	0	0.0016924	0.0945049	0.645015	0.258788	0	0	3438	66769	0.000877814
120-150%	Metro	KY	0	0	0	0.0125561	0.0665139	0.713527	0.207403	0	4375	81156	0.00107048
150%+	Metro	KY	0	0	0	0	0.000693894	0.0317961	0.96751	0	11968	203201	0.00269785
30-60%	Metro	KY	0.011399	0.885429	0.103172	0	0	0	0	0	5720	118782	0.00149446
60-80%	Metro	KY	0	0.0544204	0.754617	0.190963	0	0	0	0	4333	86530	0.0011445
80-100%	Metro	KY	0	0	0.0804204	0.697206	0.222374	0	0	0	3862	74123	0.00101734
Not Available	Metro	KY	0	0	0	0	0	0	0	1	1909	66398	0.00126345
0-30%	Nonmetro	KY	0.670112	0.329888	0	0	0	0	0	0	9414	190871	0.000603853
