Dependency=Duct Location	Dependency=Vintage	Option=0% Leakage, Uninsulated	Option=10% Leakage, R-4	Option=10% Leakage, R-6	Option=10% Leakage, R-8	Option=10% Leakage, Uninsulated	Option=20% Leakage, R-4	Option=20% Leakage, R-6	Option=20% Leakage, R-8	Option=20% Leakage, Uninsulated	Option=30% Leakage, R-4	Option=30% Leakage, R-6	Option=30% Leakage, R-8	Option=30% Leakage, Uninsulated	Option=None	sampling_probability
Unvented Crawlspace	2000s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0.00346862
Unvented Crawlspace	2010s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0.00119566
Vented Attic	<1940	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00467473
Vented Attic	1940s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.00486351
Vented Attic	1950s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.012169
Vented Attic	1960s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.0164433
Vented Attic	1970s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.0216035
Vented Attic	1980s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.0231398
Vented Attic	1990s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0	0.0247919
Vented Attic	2000s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0.0370506
Vented Attic	2010s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0.0118452
Vented Crawlspace	<1940	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0213674
Vented Crawlspace	1940s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.00973722
Vented Crawlspace	1950s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0227153
Vented Crawlspace	1960s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0183102
Vented Crawlspace	1970s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0242816
Vented Crawlspace	1980s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0158562
Vented Crawlspace	1990s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0.0171853
Vented Crawlspace	2000s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0.0133442
Vented Crawlspace	2010s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0.00469034
# Created by: sources\other\tsv_maker.py
# Description: Duct insulation and leakage to outside from the portion of ducts in unconditioned spaces
# Source: Duct insulation as a function of location: IECC 2009
# Source: Leakage distribution: Lucas and Cole, 'Impacts of the 2009 IECC for Residential Buildings at State Level', 2009
# Assumption: Ducts entirely in conditioned spaces will not have any leakage to outside. Ducts with R-4/R-8 insulation were previously assigned to Geometry Foundation Type = Ambient or Slab. They now correspond to those with Duct Location = Garage, Unvented Attic, or Vented Attic.
