Dependency=PUMA	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
AL, 02300	0.0197738	0.0287804	0.0330128	0.00463872	0.00423241	0.00314891	0.195351	0.0167603	0.694301	4738	59068	0.00043732
AL, 02400	0.0401166	0.05022	0.0524983	0.0157212	0.00755635	0.00563189	0.20988	0.00768371	0.610692	3777	70669	0.000517499
AL, 02500	0.0269485	0.036529	0.0336235	0.0156074	0.00765791	0.0064698	0.180906	0.0141817	0.678076	10791	92584	0.000681728
AL, 02600	0.0152237	0.024132	0.0270926	0.0360797	0.0258926	0.119188	0.116368	0.0132003	0.622823	3921	114164	0.000807553
AL, 02701	0.0502509	0.051074	0.0350227	0.0305934	0.0165608	0.0361007	0.0134251	0.011622	0.75535	2928	51024	0.000382746
AL, 02702	0.00945162	0.0251088	0.111567	0.120255	0.0457114	0.0380547	0.0136523	0.0115329	0.624666	2223	52372	0.000382139
AL, 02703	0.00421053	0.00728745	0.0205045	0.0140766	0.0138648	0.0109997	0.160137	0.00411087	0.764808	3185	80275	0.000598404
AR, 00100	0.0192552	0.0302933	0.0259197	0.0531836	0.0115777	0.00888918	0.0452032	0.0599712	0.745707	5099	105634	0.000735852
AR, 00200	0.0479538	0.0477081	0.055752	0.103033	0.0243561	0.0195703	0.0523977	0.0265994	0.62263	3573	93611	0.000676085
AR, 00300	0.0167565	0.0241886	0.0168685	0.0107062	0.00886377	0.00412066	0.148281	0.0201178	0.750096	4450	80327	0.000596598
AR, 00400	0.0131838	0.0214508	0.0133594	0.00986087	0.00825341	0.00270161	0.21698	0.00842902	0.705781	4391	74030	0.000548073
AR, 00500	0.0319313	0.0697768	0.0336312	0.0342686	0.0166798	0.00944365	0.0966912	0.00926658	0.698311	4325	84713	0.000615954
AR, 00600	0.0772755	0.0458087	0.0455304	0.0232897	0.00939721	0.00554414	0.0713032	0.010917	0.710934	2872	46716	0.000347923
AR, 00700	0.0610122	0.037065	0.0252753	0.0129748	0.00608896	0.00234977	0.139372	0.00864306	0.707219	2985	48941	0.000365324
AR, 00800	0.0320838	0.0307186	0.0196759	0.0168651	0.0164635	0.00736844	0.184813	0.00937619	0.682635	2946	49807	0.000368733
AR, 00900	0.0292591	0.0405717	0.0528137	0.0648848	0.0213114	0.0240995	0.0760907	0.0179357	0.673033	3624	93612	0.000685609
AR, 01000	0.0273163	0.0334454	0.0910434	0.0912528	0.0364107	0.0553381	0.0199746	0.017781	0.627438	3469	90715	0.000674829
AR, 01100	0.0374396	0.0313679	0.0408225	0.0476641	0.00916424	0.0109314	0.126646	0.00916424	0.6868	3862	79221	0.000580306
AR, 01200	0.0136778	0.009667	0.0193957	0.0292478	0.00448384	0.00602645	0.16909	0.00302351	0.745388	2025	48619	0.000351309
AR, 01300	0.0263748	0.0456993	0.0332329	0.012915	0.00743494	0.00458275	0.151215	0.00560826	0.712937	3497	62408	0.0004624
AR, 01400	0.0568134	0.0360714	0.0352709	0.0353546	0.0158552	0.0200131	0.0588685	0.0228687	0.718884	3651	83695	0.000619183
AR, 01500	0.0231282	0.0195618	0.0134968	0.0112331	0.00486909	0.000683381	0.17061	0.00811515	0.748302	2887	46826	0.000348832
AR, 01600	0.025832	0.0417324	0.0363997	0.0226275	0.0130872	0.0215389	0.158319	0.017576	0.662887	3710	81759	0.00060808
AR, 01700	0.0232364	0.0216057	0.0298661	0.0307887	0.0170357	0.0180012	0.150511	0.0104274	0.698528	2355	46608	0.000348411
AR, 01800	0.0249593	0.0330645	0.0156674	0.00679793	0.00957342	0.00303695	0.237344	0.00547053	0.664086	3087	49721	0.000368372
AR, 01900	0.0158642	0.0308065	0.0313634	0.0114852	0.00409088	0.00218949	0.1911	0.00195901	0.711141	2696	52067	0.000386605
AR, 02000	0.0301653	0.0251312	0.0327213	0.0251507	0.00917055	0.00608769	0.169714	0.00427309	0.697586	2920	51251	0.000380826
AZ, 00100	0.000453273	0.00538016	0.00869103	0.0231958	0.0162193	0.0225651	0.00839541	0.0105238	0.904576	2384	50742	0.000332371
AZ, 00101	0.00164929	0.0129624	0.021531	0.0248167	0.0123053	0.014238	0.22165	0.0480872	0.642761	4032	77609	0.000548959
AZ, 00102	0.0142123	0.0718807	0.0455375	0.058675	0.0233745	0.0334067	0.0776646	0.0728191	0.60243	3253	58611	0.000430798
AZ, 00103	0.0203339	0.09049	0.111556	0.121034	0.0697038	0.0825417	0.0388153	0.0520625	0.413463	2314	46425	0.00034297
AZ, 00104	0.00334129	0.03859	0.0687167	0.065761	0.0205251	0.0447586	0.270718	0.0726271	0.414962	2643	54470	0.000404195
AZ, 00105	0.00406939	0.0128247	0.0245191	0.0310753	0.0181273	0.0296983	0.00433657	0.0285268	0.846823	2938	48656	0.000358298
AZ, 00106	0.0114525	0.0652331	0.0934154	0.0535398	0.0133795	0.0521821	0.0268684	0.0593645	0.624565	2374	45667	0.0003324
AZ, 00107	0.00352966	0.018066	0.0406015	0.0327694	0.0163534	0.0286132	0.0329365	0.0227861	0.804344	2813	47880	0.000334083
AZ, 00108	0.00592864	0.0317149	0.062967	0.0990457	0.0354175	0.0608071	0.0258303	0.0508011	0.627488	2181	45373	0.000325697
AZ, 00109	0.014483	0.0724727	0.0863787	0.124231	0.100631	0.159121	0.0330051	0.0757617	0.333917	2089	51992	0.000358058
AZ, 00110	0.00823721	0.0589318	0.0634345	0.0692085	0.0377164	0.14484	0.0134153	0.145343	0.458874	3340	75511	0.000532843
AZ, 00111	0.00996877	0.0420921	0.0426424	0.0448756	0.0179147	0.0841519	0.0278349	0.0882301	0.64229	2491	61793	0.00045111
AZ, 00112	0.00543392	0.0249134	0.0348756	0.0271537	0.0224507	0.0678763	0.0187327	0.0572945	0.741269	2854	62938	0.000431819
AZ, 00113	0.00339952	0.0380412	0.056165	0.0448611	0.0227538	0.0845082	0.0187495	0.0512013	0.68032	2407	47948	0.00035625
AZ, 00114	0.015455	0.0671912	0.0646752	0.0726423	0.0389769	0.076516	0.0858409	0.0578463	0.520856	2272	50081	0.000373553
AZ, 00115	0.0177818	0.0657022	0.0932791	0.0847111	0.049944	0.086993	0.0575002	0.0354775	0.508611	1952	46452	0.000344786
AZ, 00116	0.0293405	0.0780901	0.0981423	0.117608	0.0762741	0.120938	0.00932617	0.0780523	0.392229	2737	52862	0.000387665
AZ, 00117	0.0211446	0.0532062	0.0690646	0.101375	0.0726461	0.1189	0.013177	0.0558492	0.494637	2440	52212	0.000381148
AZ, 00118	0.0387906	0.0744872	0.0921158	0.075022	0.074831	0.170614	0.0282096	0.0341495	0.41178	2685	52358	0.000373672
AZ, 00119	0.0298562	0.0432593	0.0311993	0.0372153	0.0155577	0.0362639	0.0412166	0.0334658	0.731966	1706	35738	0.000258071
AZ, 00120	0.00525998	0.0242183	0.0488394	0.0827719	0.0250912	0.0454596	0.0268371	0.0484142	0.693108	2182	44677	0.000327829
AZ, 00121	0.0112239	0.0209575	0.0270352	0.0269421	0.00579825	0.0094076	0.0579126	0.0107349	0.829988	1847	42944	0.000309161
AZ, 00122	0.00975949	0.0449601	0.0949964	0.0857808	0.0502478	0.061941	0.0260757	0.0276468	0.598592	1553	33096	0.000249363
AZ, 00123	0.0103265	0.0245498	0.077908	0.0550561	0.0148078	0.0387452	0.00489882	0.0348484	0.738859	1665	35927	0.000261681
AZ, 00124	0.0236156	0.0715919	0.0802775	0.0827444	0.0281126	0.0640113	0.0969035	0.041475	0.511268	1947	38915	0.000291145
AZ, 00125	0.0177975	0.0495161	0.0511008	0.0896458	0.0512714	0.054709	0.012824	0.031231	0.641905	1697	41017	0.000305775
AZ, 00126	0.00397978	0.0334501	0.0612887	0.0669797	0.0300673	0.0609504	0.023819	0.026764	0.692701	2597	50254	0.000382155
AZ, 00127	0.0100933	0.0238346	0.0440436	0.0374192	0.014256	0.0427232	0.0649912	0.0711009	0.691538	2304	44683	0.000339982
AZ, 00128	0.00149	0.0224209	0.0385507	0.0571638	0.0129369	0.0286883	0.050991	0.0419327	0.745826	1985	42282	0.000314857
AZ, 00129	0.00142898	0.0148614	0.025048	0.0365002	0.0221084	0.0267219	0.0451966	0.0234149	0.80472	2353	48986	0.000340147
AZ, 00130	0.0115372	0.0155298	0.0196786	0.0184851	0.014251	0.0573592	0.0507808	0.139143	0.673236	3413	70381	0.000530929
AZ, 00131	0.000284796	0.00797429	0.0103747	0.0208715	0.0140567	0.0152976	0.0300053	0.0141381	0.886997	2432	49158	0.000366893
AZ, 00132	0.00354853	0.0118361	0.0199634	0.0100504	0.00675366	0.0296703	0.0313416	0.0192995	0.867537	2005	43680	0.000305354
AZ, 00133	0.00462751	0.0336384	0.0385711	0.0453598	0.0172387	0.0528604	0.0322654	0.0155606	0.759878	1946	39330	0.000286528
AZ, 00134	0.00333693	0.0110698	0.00669384	0.00301722	0.00601447	0.00229789	0.113256	0.017444	0.83687	2570	50046	0.000343675
AZ, 00201	0.00331909	0.00866145	0.00713831	0.019619	0.0163226	0.0290988	0.253501	0.0708148	0.591525	2310	43988	0.000322125
AZ, 00202	0.00849601	0.0174286	0.0237597	0.0483381	0.0183929	0.016046	0.189696	0.0331472	0.644696	2388	54967	0.000393414
AZ, 00203	0.00661843	0.0211079	0.0405706	0.0495821	0.0180792	0.0452633	0.0485912	0.0560136	0.714174	2918	53487	0.000381531
AZ, 00204	0.00475154	0.0310482	0.0621509	0.0546065	0.0360355	0.0628945	0.00970258	0.0828255	0.655985	3047	55140	0.000407956
AZ, 00205	0.00299097	0.0221653	0.00389895	0.0036319	0.00122844	0.0103082	0.11266	0.0757001	0.767416	2751	56169	0.000407362
AZ, 00206	0.0351856	0.0555845	0.0750841	0.0983253	0.0828012	0.0962206	0.0335846	0.106834	0.41638	2556	55591	0.000419703
AZ, 00207	0.0599069	0.0601305	0.0464904	0.0802553	0.0717378	0.0528937	0.147053	0.0836704	0.397861	2278	49193	0.000371901
AZ, 00208	0.0337639	0.0340435	0.0407048	0.0537222	0.0358995	0.0357724	0.145073	0.0700193	0.551002	2123	39332	0.000288389
AZ, 00209	0.013642	0.0312614	0.0337785	0.063887	0.0643097	0.0528005	0.03912	0.0869248	0.614276	2580	52045	0.000391815
AZ, 00300	0.0183274	0.026149	0.012717	0.00533542	0.00286022	0.00289323	0.22675	0.0181184	0.68685	9076	90902	0.00067769
AZ, 00400	0.0225312	0.0318978	0.0491632	0.0439881	0.01722	0.0216082	0.131647	0.0572739	0.624671	4093	66086	0.000483689
AZ, 00500	0.030246	0.0296554	0.0159189	0.00951713	0.00730902	0.0159275	0.192824	0.0335068	0.665095	4770	116842	0.000847156
AZ, 00600	0.0163594	0.0284321	0.0159315	0.0138073	0.010132	0.0101472	0.303966	0.0136545	0.58757	5675	130873	0.000967236
AZ, 00700	0.011498	0.0350553	0.0324642	0.0197139	0.0100837	0.0148232	0.312399	0.0274872	0.536475	4430	92625	0.000676129
AZ, 00800	0.00816227	0.0194988	0.0160978	0.00469156	0.00416834	0.00544151	0.233165	0.0148595	0.693915	3188	57337	0.000421512
AZ, 00803	0.00528787	0.0169597	0.00396961	0.00833913	0.00620621	0.00398442	0.254825	0.0116274	0.688801	2516	67513	0.000472812
AZ, 00805	0.0100448	0.0136384	0.00796658	0.00692746	0.00519559	0.00225142	0.150174	0.0143312	0.78947	1939	46193	0.000338128
AZ, 00807	0.00900359	0.0130497	0.0124301	0.0143802	0.00752729	0.0155285	0.177958	0.0218893	0.728234	2801	54867	0.000398624
AZ, 00900	0.0129025	0.028096	0.0262456	0.0306513	0.0157599	0.0170691	0.176645	0.0290652	0.663566	4171	79442	0.000589465
CA, 00101	0.0914644	0.100016	0.098989	0.0874276	0.08008	0.0683416	0.000973779	0.0413236	0.431384	3616	56481	0.000430708
CA, 00102	0.0794416	0.11547	0.0821814	0.0991058	0.154163	0.222633	0.00374854	0.0533264	0.18993	4375	80298	0.000585653
CA, 00103	0.0420227	0.0687738	0.0490065	0.0498473	0.0711761	0.037201	0.00223069	0.0413535	0.638388	3255	58278	0.000431008
CA, 00104	0.0683039	0.136809	0.068595	0.0466777	0.0512671	0.0301334	0.00394018	0.0651025	0.529171	2177	44668	0.000329323
CA, 00105	0.0425296	0.0736331	0.055004	0.0464531	0.0829926	0.0907798	0.0101682	0.0907648	0.507675	3241	66777	0.000502561
CA, 00106	0.0207201	0.0441079	0.0321733	0.0376692	0.0496039	0.0805536	0.0182529	0.103119	0.6138	2446	49855	0.000373289
CA, 00107	0.0103626	0.0424325	0.037161	0.0523942	0.0541581	0.120382	0.0497084	0.101481	0.53192	2640	49891	0.00035908
CA, 00108	0.00473489	0.0328388	0.0322933	0.0215143	0.0168885	0.0818678	0.0208815	0.153109	0.635872	2645	45830	0.000326501
CA, 00109	0.00585685	0.0271519	0.0324117	0.031573	0.0427607	0.146478	0.00985145	0.113313	0.590603	3630	70345	0.000507485
CA, 00110	0.0112638	0.0323906	0.0363125	0.036721	0.0272198	0.0819161	0.0106218	0.109031	0.654524	4347	85673	0.000604291
CA, 00300	0.0121273	0.0282706	0.0344925	0.0169079	0.0160906	0.0056594	0.106193	0.0347385	0.74552	5477	113793	0.000850374
CA, 00701	0.0410693	0.103242	0.0827662	0.0426187	0.0242219	0.0451488	0.0615255	0.0410497	0.558358	2567	50987	0.000377575
CA, 00702	0.0139286	0.0289336	0.0173338	0.00714003	0.00755745	0.0117536	0.222615	0.0275935	0.663144	2366	45518	0.000354418
CA, 01100	0.0205302	0.0305972	0.0418708	0.00956274	0.00759977	0.0113636	0.18488	0.0203861	0.67321	3170	55528	0.000411791
CA, 01301	0.0348497	0.123079	0.0695332	0.0432831	0.0348497	0.0487469	0.0117116	0.101984	0.531963	1887	42095	0.000315015
CA, 01302	0.0206747	0.0374374	0.0312119	0.0493838	0.0484373	0.033925	0.00843394	0.0673453	0.703151	2665	47546	0.000353067
CA, 01303	0.0203498	0.0542723	0.0602587	0.0430338	0.0515804	0.104309	0.0234182	0.087969	0.554809	2294	53121	0.000396815
CA, 01304	0.0194636	0.0654517	0.0498882	0.0377812	0.0502763	0.0849153	0.00247685	0.066801	0.622946	2563	54101	0.000394451
CA, 01305	0.00536918	0.0270362	0.0325745	0.0316444	0.01968	0.0581732	0.000507324	0.125373	0.699643	2307	47307	0.000345222
CA, 01306	0.0152423	0.0388474	0.0370347	0.040248	0.0364786	0.0919895	0.0240376	0.10027	0.615852	2175	48549	0.000358096
CA, 01307	0.0105984	0.0356117	0.039497	0.0369221	0.016254	0.0469917	0.0398648	0.0699129	0.704347	1951	43497	0.000321013
CA, 01308	0.0110545	0.0447572	0.0341611	0.0181995	0.0219742	0.0479657	0.0188735	0.044164	0.75885	1463	37089	0.000281723
CA, 01309	0.00425595	0.00470134	0.012075	0.00883357	0.00883357	0.0235562	0.0317712	0.0394418	0.866531	1646	40414	0.000288314
CA, 01500	0.0223158	0.0222581	0.0159295	0.0102064	0.00913966	0.00805847	0.136605	0.0134788	0.762008	5195	69368	0.000518114
CA, 01700	0.0163285	0.0334097	0.0194281	0.0179779	0.0175905	0.0153654	0.0575648	0.0250296	0.797306	4403	90333	0.000667204
CA, 01901	0.0268228	0.0761974	0.034473	0.0151128	0.00797879	0.0127661	0.0859832	0.0275503	0.713116	2187	42613	0.000312959
CA, 01902	0.0200979	0.0739361	0.074681	0.0361404	0.0208566	0.0615629	0.0140286	0.0309401	0.667756	3149	72495	0.000533458
CA, 01903	0.0336099	0.122207	0.130419	0.0400374	0.0218592	0.0370643	0.0131381	0.0214628	0.580202	1666	35317	0.000264128
CA, 01904	0.0431365	0.117628	0.0863412	0.0349184	0.0158736	0.0328383	0.0374759	0.0272118	0.604576	2740	58651	0.000436923
CA, 01905	0.0460989	0.0831551	0.0917395	0.0234618	0.0184212	0.02725	0.0221177	0.0227898	0.664966	1651	32734	0.000242239
CA, 01906	0.0202558	0.0774681	0.0542778	0.00782555	0.0181801	0.0258148	0.0210431	0.0154125	0.759722	2317	41914	0.000297217
CA, 01907	0.0181577	0.0566873	0.0424733	0.0106289	0.00881522	0.0113037	0.0851575	0.017293	0.749483	2539	47418	0.000344149
CA, 02300	0.0297041	0.0666043	0.0411641	0.0182916	0.0167541	0.0118087	0.0894292	0.0415445	0.684699	3437	63089	0.000468308
CA, 02500	0.0284798	0.0621772	0.0735829	0.0314959	0.0165367	0.0172647	0.099948	0.0231583	0.647357	2496	57690	0.000427172
CA, 02901	0.0172696	0.030582	0.0168888	0.0165245	0.0108453	0.0316582	0.0730193	0.0148853	0.788327	2614	60395	0.000412917
CA, 02902	0.0152131	0.0781674	0.0543443	0.020691	0.00936924	0.0343991	0.0153759	0.0316737	0.740766	3134	73752	0.000542061
CA, 02903	0.0597518	0.0892831	0.0603108	0.0207743	0.0151848	0.0266619	0.0366672	0.0233641	0.668002	2338	53672	0.000401461
CA, 02904	0.0226207	0.050057	0.0442276	0.0290204	0.0167913	0.0322836	0.0798378	0.0170764	0.708085	1217	31564	0.000236631
CA, 02905	0.0458506	0.0520868	0.0245002	0.00924632	0.00964005	0.00934793	0.156489	0.0245764	0.668263	3029	78734	0.000593549
CA, 03100	0.0380026	0.0580542	0.0428098	0.0200299	0.0206795	0.0285832	0.0406661	0.0463827	0.704792	2181	46181	0.000337445
CA, 03300	0.0225975	0.0255128	0.0239826	0.0133105	0.0169778	0.0062265	0.154818	0.020843	0.715731	3461	75805	0.000572966
CA, 03701	0.00424609	0.0100673	0.0177605	0.00566145	0.0149755	0.0212989	0.0506563	0.0307499	0.844584	2554	43805	0.000332528
CA, 03702	0.00833539	0.0532171	0.0814896	0.0424473	0.0263774	0.0730001	0.0482405	0.106881	0.560012	3738	64904	0.000498935
CA, 03703	0.009437	0.0420912	0.0685076	0.030563	0.0187846	0.0507775	0.0714209	0.01605	0.692368	2691	55950	0.000421227
CA, 03704	0.010524	0.0197227	0.0426104	0.0344998	0.0170125	0.0241736	0.0560622	0.0112164	0.784178	2597	50551	0.000384932
CA, 03705	0.00565087	0.0101842	0.0252164	0.0308516	0.107382	0.142877	0.0298599	0.0612939	0.586683	3481	63530	0.000462318
CA, 03706	0.0050111	0.0117841	0.0124248	0.0312793	0.0728325	0.0854861	0.0337048	0.0572272	0.69025	2549	43703	0.000319099
CA, 03707	0.00819977	0.0282879	0.0309681	0.0353731	0.0352139	0.0570269	0.0356119	0.0653328	0.703986	2141	37684	0.000270223
CA, 03708	0.0108812	0.0244258	0.0395411	0.0655831	0.0761911	0.0602563	0.0166633	0.0500808	0.656377	2507	43929	0.000323033
CA, 03709	0.023416	0.0272717	0.0235806	0.0358293	0.0157752	0.0168567	0.000611261	0.0389326	0.817727	2195	42535	0.000314422
CA, 03710	0.0141348	0.041247	0.036515	0.0346466	0.0416328	0.0514419	0.0231925	0.0892567	0.667933	3087	49240	0.000365047
CA, 03711	0.00898766	0.0351551	0.0394543	0.0300266	0.0213605	0.0504392	0.0616103	0.0922801	0.660686	3152	59081	0.000441314
CA, 03712	0.0189108	0.0655508	0.0477392	0.03335	0.0379715	0.0587809	0.0400699	0.0569573	0.640669	2318	40030	0.000299266
CA, 03713	0.00479954	0.0291996	0.0376778	0.0221584	0.0241989	0.0796954	0.030148	0.0544044	0.717718	2094	34795	0.000260427
CA, 03714	0.00965326	0.0451318	0.0327046	0.0182524	0.00909847	0.0532316	0.0228849	0.0988072	0.710236	2144	36050	0.000268294
CA, 03715	0.00526553	0.0343915	0.014593	0.0183541	0.0262675	0.104769	0.0254551	0.0843388	0.686565	2192	33235	0.000251599
CA, 03716	0.00531133	0.0228274	0.0199269	0.0109617	0.0213583	0.0396655	0.0181188	0.0541304	0.8077	1743	26547	0.000197192
CA, 03717	0.0164378	0.0385103	0.0552684	0.0553994	0.0676587	0.0250571	0.0074691	0.0802819	0.653917	3687	68683	0.000513664
CA, 03718	0.0339582	0.0612262	0.0835214	0.100991	0.106389	0.141394	0.00153761	0.0523277	0.418654	3222	61134	0.000443514
CA, 03719	0.0304811	0.0868667	0.146822	0.140817	0.139058	0.101616	0.000650162	0.0279187	0.325769	3674	78442	0.000569813
CA, 03720	0.033165	0.0617676	0.112597	0.0989101	0.0827468	0.117452	0.00183275	0.0488604	0.442668	2373	51289	0.000381269
CA, 03721	0.0128245	0.0660796	0.142101	0.143027	0.182654	0.139463	0.00241115	0.0490617	0.262379	2848	57234	0.000419808
CA, 03722	0.00927478	0.0355951	0.110373	0.138761	0.22048	0.1533	0.00382271	0.0327437	0.295649	3176	63829	0.000464135
CA, 03723	0.00448809	0.0170596	0.0379557	0.0776971	0.236011	0.169003	0.00849359	0.0539536	0.395338	2561	41443	0.00030281
CA, 03724	0.00149541	0.00985123	0.0206275	0.0496107	0.151546	0.184429	0.00460957	0.053357	0.524474	3142	64865	0.000477827
CA, 03725	0.00574908	0.00979856	0.030046	0.0529979	0.117598	0.203243	0.000990201	0.0411155	0.538463	3448	67663	0.000501157
CA, 03726	0.00919209	0.0396985	0.0289468	0.0305064	0.0228503	0.0146034	0.0494813	0.0979702	0.706751	2023	42319	0.000311097
CA, 03727	0.00646386	0.0190196	0.081478	0.118196	0.168881	0.102203	0.00144924	0.0248166	0.477492	3799	77972	0.000576989
CA, 03728	0.0242356	0.116019	0.195427	0.176951	0.147196	0.102598	0.00214247	0.0413239	0.194107	2395	58344	0.000437898
CA, 03729	0.0156062	0.0443639	0.176787	0.179628	0.169538	0.172797	0.00262193	0.023284	0.215374	4605	95731	0.00070783
CA, 03730	0.0876534	0.100893	0.152896	0.132911	0.138088	0.138623	0.00221498	0.0322789	0.214442	3878	80362	0.000591988
CA, 03731	0.0365699	0.0458229	0.147797	0.164682	0.182422	0.154383	0.00246059	0.020053	0.245808	2557	67870	0.00049025
CA, 03732	0.0333806	0.0638829	0.127518	0.184914	0.219059	0.185735	0.00212493	0.0363487	0.147036	4330	88944	0.000646395
CA, 03733	0.014889	0.0582296	0.0809195	0.146079	0.342725	0.3018	0.00120775	0.014592	0.0395589	2604	50507	0.000361512
CA, 03734	0.041786	0.0784625	0.0938031	0.113877	0.205107	0.192145	0.00449051	0.0646633	0.205665	4544	82396	0.000595478
CA, 03735	0.0511722	0.0598447	0.0627961	0.0662318	0.075994	0.0445884	0.00438922	0.0756762	0.559307	4223	66071	0.000486324
CA, 03736	0.0427473	0.0722813	0.132423	0.093655	0.0671839	0.0450054	0.00250402	0.0912851	0.452915	2549	44728	0.0003315
CA, 03737	0.0192232	0.0520403	0.058825	0.0339233	0.0352507	0.042355	0.00651426	0.11207	0.639798	2495	40680	0.000306428
CA, 03738	0.0367698	0.0468361	0.0485418	0.0509745	0.0522887	0.0418869	0.0552247	0.0973912	0.570086	2052	35763	0.000276897
CA, 03739	0.0149591	0.0345497	0.0537295	0.0273036	0.0283681	0.0441116	0.0225787	0.0551862	0.719213	3192	53546	0.00040562
CA, 03740	0.0218447	0.0687441	0.0415231	0.0434283	0.0569997	0.0767564	0.0190521	0.0536068	0.618045	2156	38316	0.000298426
CA, 03741	0.0403293	0.0791341	0.0764178	0.0521093	0.0427407	0.0216198	0.0375021	0.138284	0.511863	2138	36078	0.000268257
CA, 03742	0.0604626	0.0905258	0.0774801	0.0484556	0.0336073	0.0326296	0.00571324	0.147353	0.503773	1997	32731	0.000246473
CA, 03743	0.0893299	0.0966864	0.0461177	0.015795	0.0107876	0.0152695	0.00411103	0.10021	0.621693	1814	32352	0.000242892
CA, 03744	0.0229771	0.0517856	0.0556128	0.0398586	0.0934395	0.480711	0.00506583	0.0633507	0.187199	3522	71854	0.000479658
CA, 03745	0.078256	0.12651	0.0832728	0.0409268	0.0385834	0.0326424	0.00703017	0.166084	0.426695	1762	30298	0.000219921
