Dependency=Income	Dependency=Occupants	Option=0-100%	Option=100-150%	Option=150-200%	Option=200-300%	Option=300-400%	Option=400%+	Option=None	source_count	source_weight	sampling_probability
120000-139999	9	0	0	0	1	0	0	0	659	13617	9.5556e-05
120000-139999	None	0	0	0	0	0	0	1	0	0	0
140000-159999	1	0	0	0	0	0	1	0	18864	369020	0.00313621
140000-159999	10	0	0	0	0.839569	0.160431	0	0	566	11226	7.89497e-05
140000-159999	2	0	0	0	0	0	1	0	94684	1.69316e+06	0.0134983
140000-159999	3	0	0	0	0	0	1	0	51521	980153	0.00680464
140000-159999	4	0	0	0	0	0	1	0	48595	966170	0.0064426
140000-159999	5	0	0	0	0	0	1	0	20059	404530	0.00249782
140000-159999	6	0	0	0	0	0	1	0	7513	152847	0.000884291
140000-159999	7	0	0	0	0	0.836862	0.163138	0	2735	55309	0.000325273
140000-159999	8	0	0	0	0	1	0	0	1181	23469	0.000140874
140000-159999	9	0	0	0	0.183248	0.816752	0	0	528	10303	6.46772e-05
140000-159999	None	0	0	0	0	0	0	1	0	0	0
15000-19999	1	0	0.776966	0.223034	0	0	0	0	155087	2.92375e+06	0.0215957
15000-19999	10	1	0	0	0	0	0	0	108	2146	1.91414e-05
15000-19999	2	0.375049	0.624951	0	0	0	0	0	63977	1.25441e+06	0.00866643
15000-19999	3	1	0	0	0	0	0	0	21440	495008	0.00383017
15000-19999	4	1	0	0	0	0	0	0	13516	322485	0.0025064
15000-19999	5	1	0	0	0	0	0	0	6483	160060	0.00125528
15000-19999	6	1	0	0	0	0	0	0	2586	63148	0.000515311
15000-19999	7	1	0	0	0	0	0	0	934	22773	0.000188836
15000-19999	8	1	0	0	0	0	0	0	337	7650	6.98464e-05
15000-19999	9	1	0	0	0	0	0	0	140	3239	2.76757e-05
15000-19999	None	0	0	0	0	0	0	1	0	0	0
160000-179999	1	0	0	0	0	0	1	0	12475	243418	0.00222557
160000-179999	10	0	0	0	0	1	0	0	457	8610	5.73435e-05
160000-179999	2	0	0	0	0	0	1	0	68220	1.22142e+06	0.00973914
160000-179999	3	0	0	0	0	0	1	0	37727	718768	0.00496131
160000-179999	4	0	0	0	0	0	1	0	36525	716651	0.00472276
160000-179999	5	0	0	0	0	0	1	0	15065	300956	0.00182857
160000-179999	6	0	0	0	0	0	1	0	5520	112308	0.00064652
160000-179999	7	0	0	0	0	0	1	0	2083	42018	0.000237433
160000-179999	8	0	0	0	0	0.731457	0.268543	0	931	19293	0.000102925
160000-179999	9	0	0	0	0	1	0	0	421	8980	4.71041e-05
160000-179999	None	0	0	0	0	0	0	1	0	0	0
180000-199999	1	0	0	0	0	0	1	0	7630	144947	0.00155465
180000-199999	10	0	0	0	0	1	0	0	372	7217	4.11201e-05
180000-199999	2	0	0	0	0	0	1	0	48902	868688	0.00690421
180000-199999	3	0	0	0	0	0	1	0	27024	511626	0.00354692
180000-199999	4	0	0	0	0	0	1	0	27013	530661	0.00339291
180000-199999	5	0	0	0	0	0	1	0	11098	220037	0.00131123
180000-199999	6	0	0	0	0	0	1	0	3994	82095	0.000462782
180000-199999	7	0	0	0	0	0	1	0	1550	31944	0.000169751
180000-199999	8	0	0	0	0	0	1	0	666	13398	7.3759e-05
180000-199999	9	0	0	0	0	0.537622	0.462378	0	331	5861	3.37875e-05
180000-199999	None	0	0	0	0	0	0	1	0	0	0
20000-24999	1	0	0	0.998051	0.00194917	0	0	0	140696	2.68986e+06	0.0162094
20000-24999	10	1	0	0	0	0	0	0	165	3488	3.95761e-05
20000-24999	2	0	1	0	0	0	0	0	79154	1.50842e+06	0.012253
20000-24999	3	0.283661	0.716339	0	0	0	0	0	25531	579085	0.00499396
20000-24999	4	1	0	0	0	0	0	0	16124	380300	0.00353364
20000-24999	5	1	0	0	0	0	0	0	8091	198146	0.00197187
20000-24999	6	1	0	0	0	0	0	0	3152	77575	0.000836496
20000-24999	7	1	0	0	0	0	0	0	1136	28318	0.000304244
20000-24999	8	1	0	0	0	0	0	0	447	10907	0.000124932
20000-24999	9	1	0	0	0	0	0	0	149	3339	4.15293e-05
20000-24999	None	0	0	0	0	0	0	1	0	0	0
200000+	1	0	0	0	0	0	1	0	38621	721705	0.00624188
200000+	10	0	0	0	0	0.0840747	0.915925	0	1609	28665	0.000160499
200000+	2	0	0	0	0	0	1	0	201787	3.47071e+06	0.0271411
200000+	3	0	0	0	0	0	1	0	102693	1.88619e+06	0.0139201
200000+	4	0	0	0	0	0	1	0	109063	2.05883e+06	0.0133505
200000+	5	0	0	0	0	0	1	0	44777	854121	0.00513032
200000+	6	0	0	0	0	0	1	0	15769	304304	0.00180306
200000+	7	0	0	0	0	0	1	0	5676	108221	0.000658633
200000+	8	0	0	0	0	0	1	0	2492	47506	0.000285222
200000+	9	0	0	0	0	0	1	0	1226	22628	0.000130377
200000+	None	0	0	0	0	0	0	1	0	0	0
25000-29999	1	0	0	0	1	0	0	0	118893	2.27864e+06	0.0154576
25000-29999	10	1	0	0	0	0	0	0	159	3048	3.86287e-05
25000-29999	2	0	0.0827703	0.91723	0	0	0	0	86561	1.59664e+06	0.0118426
25000-29999	3	0	1	0	0	0	0	0	27231	606696	0.00472745
25000-29999	4	0.127701	0.872299	0	0	0	0	0	17478	405963	0.00334503
25000-29999	5	1	0	0	0	0	0	0	8932	216853	0.00187443
25000-29999	6	1	0	0	0	0	0	0	3595	85230	0.000798118
25000-29999	7	1	0	0	0	0	0	0	1257	29671	0.000291523
25000-29999	8	1	0	0	0	0	0	0	473	11451	0.000119766
25000-29999	9	1	0	0	0	0	0	0	174	3732	4.02634e-05
25000-29999	None	0	0	0	0	0	0	1	0	0	0
30000-34999	1	0	0	0	1	0	0	0	112052	2.17658e+06	0.0161365
30000-34999	10	1	0	0	0	0	0	0	177	3546	4.10828e-05
30000-34999	2	0	0	0.782717	0.217283	0	0	0	96174	1.76409e+06	0.0124395
30000-34999	3	0	0.419434	0.580566	0	0	0	0	30491	668098	0.00492768
30000-34999	4	0	1	0	0	0	0	0	20023	462766	0.00349441
30000-34999	5	0.0401035	0.959896	0	0	0	0	0	10391	249155	0.00196504
30000-34999	6	0.947751	0.0522486	0	0	0	0	0	4210	102663	0.000838423
30000-34999	7	1	0	0	0	0	0	0	1431	32600	0.000308213
30000-34999	8	1	0	0	0	0	0	0	548	13241	0.000126552
30000-34999	9	1	0	0	0	0	0	0	201	4264	4.27506e-05
30000-34999	None	0	0	0	0	0	0	1	0	0	0
35000-39999	1	0	0	0	0.518247	0.481753	0	0	94384	1.83055e+06	0.0148818
35000-39999	10	1	0	0	0	0	0	0	194	3969	3.85813e-05
35000-39999	2	0	0	0	1	0	0	0	97074	1.75399e+06	0.0116033
35000-39999	3	0	0	1	0	0	0	0	30360	646884	0.00450961
35000-39999	4	0	0.730906	0.269094	0	0	0	0	19631	445510	0.00320145
35000-39999	5	0	1	0	0	0	0	0	10223	236881	0.00180318
35000-39999	6	0	1	0	0	0	0	0	4140	97087	0.000771508
35000-39999	7	0.802056	0.197944	0	0	0	0	0	1507	34631	0.00028555
35000-39999	8	1	0	0	0	0	0	0	545	12562	0.000117093
35000-39999	9	1	0	0	0	0	0	0	227	4870	3.97826e-05
35000-39999	None	0	0	0	0	0	0	1	0	0	0
40000-44999	1	0	0	0	0	1	0	0	88490	1.73774e+06	0.011072
40000-44999	10	1	0	0	0	0	0	0	173	3552	4.72601e-05
40000-44999	2	0	0	0	1	0	0	0	100049	1.80029e+06	0.0135108
40000-44999	3	0	0	0.549518	0.450482	0	0	0	31477	667398	0.00531021
40000-44999	4	0	0	1	0	0	0	0	21206	471656	0.00393863
40000-44999	5	0	1	0	0	0	0	0	11096	258053	0.00215198
40000-44999	6	0	1	0	0	0	0	0	4616	106475	0.000924296
40000-44999	7	0	1	0	0	0	0	0	1692	37439	0.000349864
40000-44999	8	0.763225	0.236775	0	0	0	0	0	623	13308	0.000142202
40000-44999	9	1	0	0	0	0	0	0	244	5089	5.5628e-05
40000-44999	None	0	0	0	0	0	0	1	0	0	0
45000-49999	1	0	0	0	0	0.997978	0.00202225	0	71588	1.39152e+06	0.0100461
45000-49999	10	1	0	0	0	0	0	0	212	4258	4.37868e-05
45000-49999	2	0	0	0	1	0	0	0	97989	1.75032e+06	0.0124293
45000-49999	3	0	0	0	1	0	0	0	31257	652120	0.00483492
45000-49999	4	0	0	1	0	0	0	0	21137	464064	0.00359253
45000-49999	5	0	0.0451831	0.954817	0	0	0	0	10728	241506	0.00196527
45000-49999	6	0	1	0	0	0	0	0	4349	99375	0.000845918
45000-49999	7	0	1	0	0	0	0	0	1614	36223	0.000321019
45000-49999	8	0	1	0	0	0	0	0	665	15118	0.000130801
45000-49999	9	0.534006	0.465994	0	0	0	0	0	246	5352	5.11194e-05
45000-49999	None	0	0	0	0	0	0	1	0	0	0
50000-59999	1	0	0	0	0	0	1	0	128694	2.52372e+06	0.0193097
50000-59999	10	0.275902	0.724098	0	0	0	0	0	486	9536	8.52361e-05
50000-59999	2	0	0	0	0.0829544	0.917046	0	0	192302	3.41121e+06	0.0242088
50000-59999	3	0	0	0	1	0	0	0	64080	1.31849e+06	0.00928679
50000-59999	4	0	0	0.136796	0.863204	0	0	0	44146	947636	0.00691217
50000-59999	5	0	0	1	0	0	0	0	22099	485323	0.00378191
50000-59999	6	0	0.205251	0.794749	0	0	0	0	8967	198304	0.00163034
50000-59999	7	0	0.8708	0.1292	0	0	0	0	3334	73785	0.000620995
50000-59999	8	0	1	0	0	0	0	0	1343	30138	0.00025342
50000-59999	9	0	1	0	0	0	0	0	498	10799	9.90279e-05
50000-59999	None	0	0	0	0	0	0	1	0	0	0
60000-69999	1	0	0	0	0	0	1	0	94438	1.85736e+06	0.0126904
60000-69999	10	0	1	0	0	0	0	0	474	9982	9.34613e-05
60000-69999	2	0	0	0	0	0.784661	0.215339	0	177984	3.15556e+06	0.022905
60000-69999	3	0	0	0	0.409151	0.590849	0	0	63681	1.27814e+06	0.00956965
60000-69999	4	0	0	0	1	0	0	0	44965	948208	0.00733047
60000-69999	5	0	0	0.0337237	0.966276	0	0	0	22172	476609	0.00378366
60000-69999	6	0	0	0.926903	0.0730968	0	0	0	8827	195891	0.00159486
60000-69999	7	0	0	1	0	0	0	0	3316	73630	0.000607831
60000-69999	8	0	0.526733	0.473267	0	0	0	0	1272	27401	0.000247636
60000-69999	9	0	1	0	0	0	0	0	509	10223	9.53181e-05
60000-69999	None	0	0	0	0	0	0	1	0	0	0
70000-79999	1	0	0	0	0	0	1	0	69025	1.36313e+06	0.0110344
70000-79999	10	0	0.882432	0.117568	0	0	0	0	457	9654	8.36424e-05
70000-79999	2	0	0	0	0	0	1	0	159641	2.82991e+06	0.0203418
70000-79999	3	0	0	0	0	1	0	0	61464	1.21718e+06	0.00844253
70000-79999	4	0	0	0	0.721637	0.278363	0	0	44494	924686	0.00649256
70000-79999	5	0	0	0	1	0	0	0	21364	457561	0.00335542
70000-79999	6	0	0	0	1	0	0	0	8541	185707	0.00141855
70000-79999	7	0	0	0.814104	0.185896	0	0	0	3049	67118	0.00054106
70000-79999	8	0	0	1	0	0	0	0	1261	27332	0.000220821
70000-79999	9	0	0.202763	0.797237	0	0	0	0	513	10569	8.53519e-05
70000-79999	None	0	0	0	0	0	0	1	0	0	0
80000-99999	1	0	0	0	0	0	1	0	89650	1.7679e+06	0.0134801
80000-99999	10	0	0	1	0	0	0	0	898	17645	0.000139706
80000-99999	2	0	0	0	0	0	1	0	260692	4.62972e+06	0.0337481
80000-99999	3	0	0	0	0	0.280225	0.719775	0	111002	2.17935e+06	0.0155813
80000-99999	4	0	0	0	0	1	0	0	86204	1.74118e+06	0.0124684
80000-99999	5	0	0	0	0.550512	0.449488	0	0	39464	826681	0.00605751
80000-99999	6	0	0	0	1	0	0	0	15017	323533	0.0024481
80000-99999	7	0	0	0	1	0	0	0	5626	119780	0.000924736
80000-99999	8	0	0	0.350367	0.649633	0	0	0	2351	50176	0.000393392
80000-99999	9	0	0	0.813782	0.186218	0	0	0	980	20519	0.000164494
80000-99999	None	0	0	0	0	0	0	1	0	0	0
<10000	1	1	0	0	0	0	0	0	220774	4.49709e+06	0.0296781
<10000	10	1	0	0	0	0	0	0	122	2483	2.61093e-05
<10000	2	1	0	0	0	0	0	0	71463	1.47012e+06	0.0118711
<10000	3	1	0	0	0	0	0	0	28047	657092	0.00556953
<10000	4	1	0	0	0	0	0	0	16807	399866	0.00362765
<10000	5	1	0	0	0	0	0	0	7581	181820	0.00178807
<10000	6	1	0	0	0	0	0	0	2782	68557	0.000737464
<10000	7	1	0	0	0	0	0	0	998	24917	0.000267841
<10000	8	1	0	0	0	0	0	0	367	9120	0.000100348
<10000	9	1	0	0	0	0	0	0	153	3447	3.91013e-05
<10000	None	0	0	0	0	0	0	1	0	0	0
None	1	0	0	0	0	0	0	1	0	0	0
None	10	0	0	0	0	0	0	1	0	0	0
None	2	0	0	0	0	0	0	1	0	0	0
None	3	0	0	0	0	0	0	1	0	0	0
None	4	0	0	0	0	0	0	1	0	0	0
None	5	0	0	0	0	0	0	1	0	0	0
None	6	0	0	0	0	0	0	1	0	0	0
None	7	0	0	0	0	0	0	1	0	0	0
None	8	0	0	0	0	0	0	1	0	0	0
None	9	0	0	0	0	0	0	1	0	0	0
None	None	0	0	0	0	0	0	1	616660	1.65262e+07	0.121195
# Created by: \sources\pums\2019_5yrs\tsv_maker.py
# Source: % FPL calculated using annual household income in 2019USD from 2019-5yrs PUMS data and 2019 Federal Poverty Levels for contiguous US
