Dependency=Has PV	Dependency=State	Option=1.0 kWDC	Option=3.0 kWDC	Option=5.0 kWDC	Option=7.0 kWDC	Option=9.0 kWDC	Option=11.0 kWDC	Option=13.0 kWDC	Option=None	source_count	source_weight	sampling_probability
Yes	NM	0.036976	0.272809	0.333434	0.191843	0.101007	0.049852	0.014079	0	19959	19959	6.66268e-05
No	NV	0	0	0	0	0	0	0	1	5.66102e+06	5.66102e+06	0.00892415
Yes	NV	0.021823	0.155013	0.281806	0.24118	0.173126	0.08553	0.04152	0	244966	244966	8.76618e-05
No	NY	0	0	0	0	0	0	0	1	5.85112e+06	5.85112e+06	0.0608929
Yes	NY	0.007214	0.133811	0.270699	0.258448	0.177295	0.105509	0.047023	0	88722	88722	0.00059815
No	OH	0	0	0	0	0	0	0	1	953868	953868	0.0382603
Yes	OH	0.059688	0.15978	0.264463	0.183655	0.187328	0.098255	0.046832	0	1089	1089	0.00037583
No	OK	0	0	0	0	0	0	0	1	3.22761e+06	3.22761e+06	0.0126331
Yes	OK	0.03016	0.125926	0.263615	0.279158	0.171321	0.092448	0.037373	0	25928	25928	0.000124095
No	OR	0	0	0	0	0	0	0	1	284490	284490	0.0126839
Yes	OR	0.116294	0.354239	0.29688	0.126694	0.075008	0.022061	0.008824	0	3173	3173	0.000124594
No	PA	0	0	0	0	0	0	0	1	1.15314e+06	1.15314e+06	0.0415699
Yes	PA	0.025312	0.139717	0.242964	0.194838	0.179017	0.190674	0.027477	0	6005	6005	0.000408341
No	RI	0	0	0	0	0	0	0	1	83673.3	83673.3	0.0034392
Yes	RI	0.009402	0.136752	0.291453	0.262393	0.200855	0.069231	0.029915	0	1170	1170	3.37832e-05
No	SC	0	0	0	0	0	0	0	1	4.21541e+06	4.21541e+06	0.0162947
Yes	SC	0.032647	0.162074	0.274556	0.194523	0.17373	0.11814	0.044331	0	35348	35348	0.000160063
No	SD	0	0	0	0	0	0	0	1	3.2615e+06	3.2615e+06	0.00279404
Yes	SD	0.04643	0.129551	0.209992	0.215213	0.243014	0.097375	0.058425	0	7086	7086	2.74458e-05
No	TN	0	0	0	0	0	0	0	1	3.22761e+06	3.22761e+06	0.0213603
Yes	TN	0.03016	0.125926	0.263615	0.279158	0.171321	0.092448	0.037373	0	25928	25928	0.000209822
No	TX	0	0	0	0	0	0	0	1	3.18485e+06	3.18485e+06	0.0776188
Yes	TX	0.029927	0.125353	0.263543	0.279589	0.171674	0.092565	0.037351	0	25863	25863	0.000762448
No	UT	0	0	0	0	0	0	0	1	625860	625860	0.00761234
Yes	UT	0.02032	0.159626	0.335852	0.255432	0.1451	0.059316	0.024353	0	25541	25541	7.47759e-05
No	VA	0	0	0	0	0	0	0	1	2.69705e+06	2.69705e+06	0.0256114
Yes	VA	0.023672	0.124251	0.264553	0.171797	0.214569	0.161739	0.039419	0	9843	9843	0.000251581
No	VT	0	0	0	0	0	0	0	1	318561	318561	0.00242939
Yes	VT	0.024747	0.239596	0.370655	0.207155	0.099268	0.047548	0.01103	0	10789	10789	2.38638e-05
No	WA	0	0	0	0	0	0	0	1	829503	829503	0.0220541
Yes	WA	0.003468	0.054795	0.187272	0.160916	0.199584	0.38807	0.005896	0	5767	5767	0.000216637
No	WI	0	0	0	0	0	0	0	1	1.88853e+06	1.88853e+06	0.019696
Yes	WI	0.068228	0.268075	0.312882	0.169043	0.097505	0.059063	0.025204	0	3928	3928	0.000193474
No	WV	0	0	0	0	0	0	0	1	4.21541e+06	4.21541e+06	0.00657672
Yes	WV	0.032647	0.162074	0.274556	0.194523	0.17373	0.11814	0.044331	0	35348	35348	6.4603e-05
No	WY	0	0	0	0	0	0	0	1	5.66102e+06	5.66102e+06	0.00199211
Yes	WY	0.021823	0.155013	0.281806	0.24118	0.173126	0.08553	0.04152	0	244966	244966	1.95685e-05
# Created by: sources\dpv\tsv_maker.py
# Source: Constructed using LBNL's 2020 Tracking the Sun (TTS).
# Assumption: Installations of unknown mount type are assumed rooftop. States without data are backfilled with aggregates at the Census Region. 'East South Central' assumed the same distribution as 'West South Central'.
