Dependency=Geometry Wall Type	Dependency=State	Dependency=Vintage ACS	Option=Aluminum, Light	Option=Brick, Light	Option=Brick, Medium/Dark	Option=Fiber-Cement, Light	Option=None	Option=Shingle, Asbestos, Medium	Option=Shingle, Composition, Medium	Option=Stucco, Light	Option=Stucco, Medium/Dark	Option=Vinyl, Light	Option=Wood, Medium/Dark	source_count	source_weight	sampling_probability
Wood Frame	CA	2000-09	0.00583279	0	0.00842515	0	0	0.000648088	0	0.889177	0	0.0499028	0.0460143	1543	1543	0.0116683
Brick	CA	2010s	0	0	0	0	1	0	0	0	0	0	0	44	44	8.49426e-06
Concrete	CA	2010s	0.0338983	0	0.0112994	0	0.864407	0	0	0.039548	0	0.00564972	0.0451977	177	177	1.12808e-06
Steel Frame	CA	2010s	0.122449	0.0816327	0.0816327	0	0	0	0	0.0816327	0	0.122449	0.510204	49	49	7.89368e-05
Void	CA	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CA	2010s	0	0	0.0689655	0	0	0	0	0.37931	0	0.37931	0.172414	29	29	0.00209688
Brick	CA	<1940	0	0	0	0	0.998867	0	0	0.00113347	0	0	0	3529	3529	0.000222304
Concrete	CA	<1940	0	0	0	0	1	0	0	0	0	0	0	579	579	5.35088e-05
Steel Frame	CA	<1940	0.3207	0	0.0816327	0.0058309	0	0.0276968	0	0.00874636	0	0.268222	0.287172	686	686	0.000309744
Void	CA	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CA	<1940	0.000383877	0	0.0261036	0.000767754	0	0.000767754	0.000383877	0.373512	0	0.090595	0.507486	2605	2605	0.00897613
Brick	CO	1940-59	0.00029866	0	0	0	0.915095	0.00234662	0	0.0500896	0.00507723	0.00392525	0.0231675	23438	23438	0.000353881
Concrete	CO	1940-59	0	0	0.299465	0	0.502674	0.00534759	0	0.0909091	0	0.0213904	0.0802139	187	187	6.87465e-06
Steel Frame	CO	1940-59	0.172249	0	0.00956938	0	0	0	0	0	0	0.794258	0.0239234	209	209	3.23004e-05
Void	CO	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CO	1940-59	0.00779591	0	0.248812	0.00305968	0	0.00308763	9.77981e-05	0.116757	0.00012574	0.21007	0.410193	71576	71576	0.00144842
Brick	CO	1960-79	7.31261e-05	0	0	1.82815e-05	0.960219	0.000201097	0	0.00619744	0.000731261	0.00100548	0.0315539	54700	54700	0.000717798
Concrete	CO	1960-79	0	0	0.25	0	0.656977	0	0	0.0232558	0	0.0232558	0.0465116	172	172	6.35982e-06
Steel Frame	CO	1960-79	0.691904	0	0.0100656	0	0	0	0.00131291	0.00568928	0	0.208315	0.0827133	2285	2285	0.000255339
Void	CO	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CO	1960-79	0.00861137	0	0.200638	0.000372766	0	0.000207617	2.83114e-05	0.0387583	3.77485e-05	0.125504	0.625842	211929	211929	0.00378943
Brick	CO	1980-99	0.00049921	0	0	0	0.935352	0.00049921	8.32016e-05	0.01897	0.00391048	0.00191364	0.0387719	12019	12019	0.000122755
Concrete	CO	1980-99	0	0	0.0662983	0	0.823204	0	0	0.0497238	0	0.0441989	0.0165746	181	181	9.05413e-06
Steel Frame	CO	1980-99	0.113189	0	0.00360892	0	0	0	0.000328084	0.00656168	0	0.194882	0.68143	3048	3048	0.000209891
Void	CO	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CO	1980-99	0.00361801	0	0.0746193	0.000691081	0	4.06518e-05	0.000150992	0.0614133	4.35555e-05	0.256815	0.602608	344388	344388	0.00503702
Brick	CO	2000-09	0.000342759	0	0	0	0.967438	0.00017138	0	0.0209083	0.00137104	0.00154242	0.00822622	5835	5835	5.62112e-05
Concrete	CO	2000-09	0.00204499	0	0.844581	0	0.0879346	0	0.00204499	0.0449898	0	0.00408998	0.0143149	489	489	3.29365e-05
Steel Frame	CO	2000-09	0.0417582	0	0.010989	0	0	0	0	0.0307692	0.0010989	0.425275	0.49011	910	910	7.22234e-05
Void	CO	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CO	2000-09	0.00336754	0	0.0482001	0.00293302	0	2.26313e-05	0.000357574	0.170495	9.05252e-06	0.333431	0.441184	220933	220933	0.0029613
Brick	CO	2010s	0.00127714	0	0	0	0.96424	0.00127714	0	0.0153257	0.00127714	0.0063857	0.0102171	783	783	7.793e-06
Concrete	CO	2010s	0.037037	0	0.125926	0	0.437037	0	0	0.0740741	0	0.0296296	0.296296	135	135	4.32243e-06
Steel Frame	CO	2010s	0.128	0	0.048	0	0	0	0.008	0.024	0	0.512	0.28	125	125	2.272e-05
Void	CO	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CO	2010s	0.00277652	0	0.00932864	0.00241638	0	3.48517e-05	0.000801589	0.215883	1.16172e-05	0.436181	0.332567	86079	86079	0.000644643
Brick	CO	<1940	0.00505521	0	0	0.000133032	0.709592	0.00452308	0	0.132234	0.0572037	0.0159638	0.075296	7517	7517	0.000129722
Concrete	CO	<1940	0	0	0.0880503	0	0.704403	0	0.00314465	0.106918	0	0.0314465	0.0660377	318	318	5.03265e-06
Steel Frame	CO	<1940	0.0123967	0	0.11157	0	0	0	0	0.00413223	0	0.863636	0.00826446	242	242	2.11241e-05
Void	CO	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CO	<1940	0.0215622	0	0.0622811	0.00468744	0	0.00495277	0.000176885	0.131478	0.000318392	0.209325	0.565217	56534	56534	0.00120443
Brick	CT	1940-59	0	0	0	0	0.609739	0.00988003	0	0	0	0.237121	0.14326	1417	1417	0.000104652
Concrete	CT	1940-59	5.61577e-05	0	0.0549784	0.000168473	0.00550345	0.0062335	0	0	5.61577e-05	0.660864	0.27214	17807	17807	0.000620644
Steel Frame	CT	1940-59	0.0731707	0	0.109756	0	0	0.0121951	0	0	0	0.597561	0.207317	82	82	4.23676e-05
Void	CT	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CT	1940-59	0.000303753	0	0.0606337	0.000327118	0	0.00768728	0	0	2.33656e-05	0.601196	0.329828	42798	42798	0.00169463
Brick	CT	1960-79	0.000793021	0	0	0	0.848533	0	0	0	0	0.0515464	0.0991277	1261	1261	0.000118025
Concrete	CT	1960-79	0.000111676	0	0.038584	5.58378e-05	0.0174772	0.000670054	0	0	5.58378e-05	0.505221	0.437825	17909	17909	0.000750424
Steel Frame	CT	1960-79	0.198758	0	0.512422	0	0	0	0	0	0	0.170807	0.118012	322	322	0.000127258
Void	CT	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CT	1960-79	0.000189822	0	0.0463165	5.69465e-05	0	0.00256259	0	0	5.69465e-05	0.48881	0.462007	52681	52681	0.00206595
Brick	CT	1980-99	0	0	0	0	0.485175	0	0	0	0	0.156334	0.358491	742	742	3.09328e-05
Concrete	CT	1980-99	7.78877e-05	0	0.027728	0	0.0194719	0	0	0	7.78877e-05	0.45097	0.501675	12839	12839	0.000538301
Steel Frame	CT	1980-99	0.115385	0	0.279487	0	0	0	0	0	0	0.315385	0.289744	390	390	4.78473e-05
Void	CT	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CT	1980-99	0.000130344	0	0.0362096	0.000182482	0	0.00226799	0	0	5.21376e-05	0.482925	0.478233	38360	38360	0.00172188
Brick	CT	2000-09	0	0	0	0	0.307263	0.0018622	0	0	0.00931099	0.450652	0.230912	537	537	1.97299e-05
Concrete	CT	2000-09	0.000198965	0	0.0294469	0.000198965	0.00895344	0	0	0	0.000397931	0.749901	0.210903	5026	5026	0.000172564
Steel Frame	CT	2000-09	0.038674	0	0.453039	0	0	0	0	0	0	0.320442	0.187845	181	181	1.92626e-05
Void	CT	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CT	2000-09	7.70594e-05	0	0.0386068	0.000154119	0	0.00431533	0	0	7.70594e-05	0.667874	0.288896	12977	12977	0.000579032
Brick	CT	2010s	0	0	0	0	0.603774	0	0	0	0	0.245283	0.150943	53	53	2.32342e-06
Concrete	CT	2010s	0	0	0.0404313	0	0.0161725	0	0	0	0	0.590296	0.3531	371	371	1.02678e-05
Steel Frame	CT	2010s	0.0810811	0	0.324324	0	0	0	0	0	0.027027	0.378378	0.189189	37	37	1.16752e-05
Void	CT	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CT	2010s	0.00202088	0	0.0383968	0.000336814	0	0.0023577	0	0	0	0.57292	0.383968	2969	2969	0.000146982
Brick	CT	<1940	0.000235849	0	0	0.00212264	0.26934	0.0370283	0	0	0	0.318632	0.372642	4240	4240	0.000255818
Concrete	CT	<1940	0	0	0.1221	0.000229727	0.00620262	0.0237767	0	0	0	0.511601	0.33609	8706	8706	0.000282515
Steel Frame	CT	<1940	0	0	0.543046	0	0	0.013245	0	0	0	0.211921	0.231788	151	151	9.84018e-05
Void	CT	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
