Dependency=Geometry Wall Type	Dependency=State	Dependency=Vintage ACS	Option=Aluminum, Light	Option=Brick, Light	Option=Brick, Medium/Dark	Option=Fiber-Cement, Light	Option=None	Option=Shingle, Asbestos, Medium	Option=Shingle, Composition, Medium	Option=Stucco, Light	Option=Stucco, Medium/Dark	Option=Vinyl, Light	Option=Wood, Medium/Dark	source_count	source_weight	sampling_probability
Wood Frame	IL	1940-59	5.2666e-05	0.00206977	0.406513	0.000294929	0	0.000405528	0.000236997	0.0024911	0	0.131581	0.456356	189876	189876	0.00403062
Brick	IL	1960-79	0	0	0	0	0.958032	0	7.43456e-06	0.00133822	0	0.0398344	0.000788063	134507	134507	0.00389919
Concrete	IL	1960-79	0	0	0.0652174	0	0.695652	0	0	0	0	0.0434783	0.195652	46	46	1.89671e-06
Steel Frame	IL	1960-79	0	0	0.214286	0	0	0	0	0.0357143	0	0	0.75	28	28	0.000432087
Void	IL	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IL	1960-79	0.000128086	0.00249989	0.537194	0.00013692	0	3.53341e-05	0.000291507	0.00206263	0	0.0873106	0.370341	226410	226410	0.0061373
Brick	IL	1980-99	0	0	0	0	0.929704	0	0	0.00247063	0	0.0665672	0.00125862	42904	42904	0.00170689
Concrete	IL	1980-99	0	0	0	0	0.75	0	0	0	0	0.075	0.175	40	40	1.08916e-06
Steel Frame	IL	1980-99	0	0	0.222222	0	0	0.0555556	0	0.0555556	0	0.111111	0.555556	18	18	0.000117104
Void	IL	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IL	1980-99	0.000477313	0.000998018	0.491416	7.23202e-06	0	7.23202e-05	5.06241e-05	0.00376065	0	0.172491	0.330727	138274	138274	0.0062642
Brick	IL	2000-09	0	0	0	0	0.982649	0	9.97208e-05	0.00159553	0	0.0146922	0.000963968	30084	30084	0.00107403
Concrete	IL	2000-09	0	0	0.153846	0	0.615385	0	0	0.0769231	0	0.0769231	0.0769231	13	13	4.09187e-07
Steel Frame	IL	2000-09	0	0	0.272727	0	0	0	0	0	0	0.181818	0.545455	11	11	8.60651e-05
Void	IL	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IL	2000-09	0.000249615	0.000205565	0.413259	0	0	0	0.00107187	0.00256956	0	0.310447	0.272197	68105	68105	0.00330536
Brick	IL	2010s	0	0	0	0	0.990622	0	0	0.00360685	0	0.00577096	0	5545	5545	0.000200033
Concrete	IL	2010s	0	0	0.057554	0	0.856115	0	0	0	0	0.0503597	0.0359712	139	139	3.40651e-08
Steel Frame	IL	2010s	0.788462	0	0.0769231	0	0	0	0	0	0	0.0769231	0.0576923	52	52	2.04137e-05
Void	IL	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IL	2010s	0.000309853	0	0.31791	0.000722991	0	0	0.00092956	0.0100186	0	0.258108	0.412002	9682	9682	0.000429408
Brick	IL	<1940	0	0	0	0	0.998213	5.48122e-06	0	0.00110173	0	0.000520716	0.000158955	182441	182441	0.00342659
Concrete	IL	<1940	0.00271003	0	0.0325203	0.00271003	0.620596	0	0	0.00813008	0	0.0813008	0.252033	369	369	6.36863e-06
Steel Frame	IL	<1940	0	0	0.0470588	0	0	0	0	0	0	0.0117647	0.941176	85	85	0.000238953
Void	IL	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IL	<1940	5.35394e-05	0.00365406	0.125956	0.000731705	0	0.00163741	0.000133849	0.0075089	0	0.112946	0.747379	224134	224134	0.00477585
Brick	IN	1940-59	0	0	0	0	0.999378	0	0	0	0	0.000622289	0	110881	110881	0.00106288
Concrete	IN	1940-59	0	0	0.000298151	0	0.998956	0	0	0.000298151	0	0.000447227	0	6708	6708	6.8188e-05
Steel Frame	IN	1940-59	0.625	0	0	0	0	0	0	0	0	0.125	0.25	48	48	3.91394e-05
Void	IN	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IN	1940-59	0.000129349	0	0.15302	0	0	0	0	0.00232829	0	0.782046	0.0624757	7731	7731	0.0024254
Brick	IN	1960-79	0	0	0	0	0.999515	0	0	1.28634e-05	0	0.000471658	0	233220	233220	0.00270828
Concrete	IN	1960-79	0	0	0.000348311	0	0.999303	0	0	0	0	0.000348311	0	2871	2871	3.00386e-05
Steel Frame	IN	1960-79	0.812903	0	0.0322581	0	0	0	0	0.00322581	0	0.0645161	0.0870968	310	310	0.000111326
Void	IN	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IN	1960-79	0.000769453	0	0.489757	0	0	0	0	0.00125036	0	0.457247	0.0509762	10397	10397	0.0025333
Brick	IN	1980-99	0	0	0	0	0.998565	0	0	1.11696e-05	0	0.00142412	0	179058	179058	0.00232644
Concrete	IN	1980-99	0	0	0.00339847	0	0.996602	0	0	0	0	0	0	1177	1177	1.45951e-05
Steel Frame	IN	1980-99	0.760563	0	0.0234742	0	0	0.00469484	0	0.00469484	0	0.122066	0.084507	213	213	6.26477e-05
Void	IN	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IN	1980-99	0.00102155	0	0.272474	0	0	0	0	0.00167162	0	0.679513	0.0453195	10768	10768	0.00293756
Brick	IN	2000-09	0	0	0	0	0.997964	0	0	1.71809e-05	0	0.00201876	0	116408	116408	0.00154033
Concrete	IN	2000-09	0	0	0.00384615	0	0.996154	0	0	0	0	0	0	260	260	4.70992e-06
Steel Frame	IN	2000-09	0.778947	0	0.0315789	0	0	0	0	0	0	0.126316	0.0631579	95	95	2.16466e-05
Void	IN	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IN	2000-09	0.00165517	0	0.121379	0	0	0	0	0.000275862	0	0.776276	0.100414	3625	3625	0.00117175
Brick	IN	2010s	0	0	0	0	0.999403	0	0	2.84075e-05	0	0.00056815	0	35202	35202	0.000351928
Concrete	IN	2010s	0	0	0	0	1	0	0	0	0	0	0	74	74	1.12386e-06
Steel Frame	IN	2010s	0.788462	0	0.0769231	0	0	0	0	0	0	0.0769231	0.0576923	52	52	1.18861e-05
Void	IN	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IN	2010s	0	0	0.259615	0	0	0	0	0.00961538	0	0.538462	0.192308	104	104	0.000273783
Brick	IN	<1940	0	0	0	0	0.998772	0	0	0	0	0.00122805	0	59444	59444	0.000455756
Concrete	IN	<1940	0	0	0.000260349	0	0.99974	0	0	0	0	0	0	3841	3841	2.84059e-05
Steel Frame	IN	<1940	0.203846	0	0.0230769	0.00384615	0	0.00384615	0	0	0	0.419231	0.346154	260	260	5.47388e-05
Void	IN	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	IN	<1940	7.83453e-05	0	0.045597	0	0	0	0	0.0067377	0	0.871435	0.0761517	12764	12764	0.0030129
Brick	KS	1940-59	0	0	0	0	0.62069	0	0	0.155172	0.0172414	0.0862069	0.12069	58	58	2.04966e-06
Concrete	KS	1940-59	0.0178571	0	0.321429	0	0.392857	0	0	0.0357143	0	0.196429	0.0357143	56	56	1.55004e-06
Steel Frame	KS	1940-59	0.0769231	0	0.923077	0	0	0	0	0	0	0	0	13	13	5.82541e-06
Void	KS	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KS	1940-59	0.0339877	7.78998e-06	0.00804705	0.0226143	0	0	0.00642674	0.0212355	0	0.447371	0.46031	128370	128370	0.00174753
Brick	KS	1960-79	0	0	0	0	0.8	0	0	0.1	0	0.1	0	10	10	5.11145e-07
Concrete	KS	1960-79	0.010989	0	0.307692	0	0.307692	0	0.0549451	0	0	0.263736	0.0549451	91	91	1.40319e-05
Steel Frame	KS	1960-79	0.631579	0	0.236842	0	0	0	0	0.0526316	0	0.0526316	0.0263158	38	38	3.9543e-05
Void	KS	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KS	1960-79	0.0128641	0	0.0140774	0.000759215	0	0	0.0108419	0.0163551	0	0.213283	0.73182	140935	140935	0.00236639
Brick	KS	1980-99	0.00533483	0	0	0.000561561	0.949179	0.000210585	0.000491366	0.0072301	0	0.0115822	0.0254106	14246	14246	5.1149e-08
Concrete	KS	1980-99	0	0	0.0625	0	0.0833333	0	0.28125	0	0	0.5625	0.0104167	96	96	1.42936e-05
Steel Frame	KS	1980-99	0.470588	0	0.176471	0	0	0	0	0	0	0.0588235	0.294118	17	17	1.43928e-05
Void	KS	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KS	1980-99	0.00238793	0	0.00602037	6.31728e-06	0	0	0.01115	0.0471395	0	0.112264	0.821031	158296	158296	0.00232807
Brick	KS	2000-09	0	0	0	0	0.904255	0	0	0.0319149	0	0	0.0638298	94	94	3.26537e-05
Concrete	KS	2000-09	0	0	0.235294	0	0.470588	0	0	0.0588235	0	0.176471	0.0588235	17	17	2.30572e-06
Steel Frame	KS	2000-09	0.503759	0.00250627	0.120301	0	0	0	0.00501253	0	0	0.348371	0.0200501	399	399	6.22143e-06
Void	KS	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KS	2000-09	0.00336494	0	0.00617948	0	0	0	0.0387156	0.0867379	0	0.092417	0.772585	79942	79942	0.00105687
Brick	KS	2010s	0	0	0	0	0.722222	0	0.0555556	0	0	0	0.222222	18	18	7.4898e-07
Concrete	KS	2010s	0.00282805	0.00113122	0.0565611	0	0.480769	0	0.00226244	0.00226244	0	0.426471	0.0277149	1768	1768	1.68065e-06
Steel Frame	KS	2010s	0.688	0	0.032	0	0	0	0	0.008	0	0.2	0.072	125	125	2.88149e-06
Void	KS	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KS	2010s	0.00530711	0	0.0149067	0.000702412	0	0	0.0846016	0.0260673	0	0.128541	0.739874	12813	12813	0.000260269
Brick	KS	<1940	0	0	0	0	0.859375	0	0	0.015625	0	0.0375	0.0875	320	320	4.32972e-06
Concrete	KS	<1940	0	0	0.0731707	0	0.609756	0	0.0243902	0.0487805	0	0.219512	0.0243902	41	41	4.18824e-07
Steel Frame	KS	<1940	0.827035	0	0.0225291	0.00290698	0	0.00363372	0	0.00363372	0	0.0726744	0.0675872	1376	1376	6.14638e-06
Void	KS	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KS	<1940	0.0245683	0	0.00492105	0.0145119	0	7.38896e-06	0.00712296	0.0379793	7.38896e-06	0.323526	0.587356	135337	135337	0.00146903
Brick	KY	1940-59	0	0	0	0	0.897285	0.000590319	0.00295159	0.0094451	0	0.066706	0.0230224	1694	1694	5.22724e-05
Concrete	KY	1940-59	0.000746826	0	0.232263	0	0.0963406	0	0.00672143	0.00709485	0	0.595967	0.0608663	2678	2678	5.85532e-05
Steel Frame	KY	1940-59	0.0178174	0	0.380846	0	0	0	0.0244989	0.0111359	0	0.438753	0.126949	449	449	2.3343e-05
Void	KY	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KY	1940-59	0.000656116	0	0.490355	1.31223e-05	0	0.000669239	0.00608876	0.00221767	1.31223e-05	0.227856	0.272131	76206	76206	0.00186224
Brick	KY	1960-79	0.000259067	0	0	0	0.975777	0	0.000388601	0.00103627	0	0.0163212	0.00621762	7720	7720	0.00026478
Concrete	KY	1960-79	0.0018018	0	0.608408	0	0.0735736	0	0.000900901	0.0027027	0	0.264264	0.0483483	3330	3330	0.00010372
Steel Frame	KY	1960-79	0.00875753	0	0.710454	0	0	0	0.00547345	0.00383142	0	0.180624	0.0908593	1827	1827	9.91005e-05
Void	KY	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KY	1960-79	0.00200652	0	0.819006	9.93325e-06	0	0.000129132	0.00201645	0.00108272	0	0.0918527	0.0838962	100672	100672	0.00358012
Brick	KY	1980-99	0.000474496	0	0	0	0.896679	0.000118624	0.000237248	0.00142349	0	0.0957295	0.00533808	8430	8430	0.000299398
Concrete	KY	1980-99	0.00475658	0	0.278679	0.000279799	0.108282	0.000559597	0.00195859	0.0103525	0	0.526301	0.0688304	3574	3574	0.000100316
Steel Frame	KY	1980-99	0.0362264	0	0.278491	0	0	0.00150943	0	0.00754717	0	0.606038	0.0701887	1325	1325	0.000107942
Void	KY	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KY	1980-99	0.00410878	0	0.648359	0	0	0.000817815	0.000630604	0.00496601	0	0.242093	0.0990245	101490	101490	0.00392035
Brick	KY	2000-09	0.00105171	0	0	0	0.909553	0.000175285	0	0.00140228	0	0.0862401	0.00157756	5705	5705	0.000132331
Concrete	KY	2000-09	0.0306122	0	0.297959	0	0.0734694	0	0	0.00952381	0	0.57415	0.0142857	1470	1470	3.40445e-05
Steel Frame	KY	2000-09	0.0671233	0	0.213699	0	0	0	0.00273973	0.00410959	0	0.686301	0.0260274	730	730	3.88211e-05
Void	KY	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KY	2000-09	0.0059143	0	0.626377	0	0	0.00128512	0.000594193	0.00287424	0	0.321224	0.0417317	72367	72367	0.00206986
Brick	KY	2010s	0.00823723	0	0	0.00164745	0.914333	0.00164745	0.00164745	0.00164745	0	0.0675453	0.00329489	607	607	1.76274e-05
Concrete	KY	2010s	0.0783784	0	0.210811	0	0.0540541	0	0	0	0	0.648649	0.00810811	370	370	8.75264e-06
Steel Frame	KY	2010s	0.181818	0	0.181818	0	0	0	0	0.004329	0	0.593074	0.038961	231	231	9.34276e-06
Void	KY	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KY	2010s	0.0299172	0	0.613651	0	0	0.000626174	0.00243512	0.00271342	0	0.293954	0.0567035	14373	14373	0.000475249
Brick	KY	<1940	0.00055991	0	0	0.000239962	0.901776	7.99872e-05	0.000719885	0.0037594	0	0.074708	0.0181571	12502	12502	0.000120576
Concrete	KY	<1940	0.0128451	0	0.208972	0	0.0916411	0	0.00824387	0.0065184	0	0.582822	0.0889571	5216	5216	4.4099e-05
Steel Frame	KY	<1940	0.0328899	0	0.443089	0	0	0.000369549	0.0280857	0.0103474	0	0.366962	0.118256	2706	2706	4.10037e-05
Void	KY	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	KY	<1940	0.00468159	0	0.31996	8.24546e-05	0	0.00356387	0.00777822	0.0119376	9.16162e-06	0.329974	0.322013	109151	109151	0.0011823
Brick	LA	1940-59	0	0	0	0	1	0	0	0	0	0	0	46	46	0.000236637
Concrete	LA	1940-59	0.00101833	0	0.160896	0	0.697556	0.00101833	0	0.108961	0.00101833	0.0101833	0.0193483	982	982	1.40846e-05
Steel Frame	LA	1940-59	0.00178518	0	0.0008554	0.000781018	0	0.000966974	0	0.00364475	0	0.991706	0.000260339	26888	26888	2.8396e-05
Void	LA	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	LA	1940-59	0	0	0.153169	0	0	0	0	0	0	0.151408	0.695423	568	568	0.00184222
Brick	LA	1960-79	0	0	0	0	1	0	0	0	0	0	0	83	83	0.000744636
Concrete	LA	1960-79	0.00955414	0	0.16242	0	0.684713	0.00318471	0	0.111465	0	0	0.0286624	314	314	1.15222e-05
Steel Frame	LA	1960-79	0.0415684	0	0.0391116	0.000393082	0	0.00127752	0	0.00235849	0	0.913522	0.00176887	10176	10176	0.000102758
Void	LA	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	LA	1960-79	0	0	0.706783	0	0	0	0	0	0	0.0284464	0.26477	914	914	0.00390501
Brick	LA	1980-99	0	0	0	0	0.969697	0	0	0	0	0.030303	0	66	66	0.000887571
Concrete	LA	1980-99	0.026738	0	0.40107	0	0.347594	0	0	0.165775	0	0.026738	0.0320856	187	187	8.65241e-06
Steel Frame	LA	1980-99	0.0287208	0	0.00571956	0	0	0.000307503	0	0.00135301	0	0.961009	0.00289053	16260	16260	2.16583e-05
Void	LA	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	LA	1980-99	0	0	0.520913	0	0	0	0	0.00380228	0	0.220532	0.254753	263	263	0.00326136
Brick	LA	2000-09	0	0	0	0	0.986486	0	0	0.0135135	0	0	0	74	74	0.000794983
Concrete	LA	2000-09	0.00473934	0	0.706161	0	0.184834	0	0	0.0900474	0	0	0.014218	211	211	4.3597e-09
Steel Frame	LA	2000-09	0.0395941	0	0.00898353	0.000166362	0	0	0	0.027117	0	0.922808	0.00133089	6011	6011	2.53503e-05
Void	LA	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	LA	2000-09	0.0147059	0	0.279412	0	0	0	0	0	0	0.323529	0.382353	68	68	0.00150006
Brick	LA	2010s	0	0	0	0	0.8979	0	0	0.00506879	0	0.0970311	0	1381	1381	0.000367436
Concrete	LA	2010s	0.00714286	0	0.585714	0	0.271429	0	0	0.0785714	0	0.0142857	0.0428571	140	140	0
Steel Frame	LA	2010s	0.0438427	0	0.0180529	0	0	0.000322373	0.000322373	0.0538362	0	0.882656	0.000967118	3102	3102	4.94687e-06
Void	LA	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	LA	2010s	0.0135135	0	0.166667	0	0	0	0	0.0135135	0.0720721	0.617117	0.117117	222	222	0.000338431
Brick	LA	<1940	0	0	0	0	0.998073	7.27114e-05	0	0.000636225	0	0.00116338	5.45336e-05	55012	55012	0.000479417
Concrete	LA	<1940	0	0	0	0	1	0	0	0	0	0	0	474	474	9.86931e-06
Steel Frame	LA	<1940	0.0130135	0	0.00535851	0.000765501	0	0.00280684	0	0.00586884	0	0.96989	0.0022965	3919	3919	1.81429e-05
Void	LA	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	LA	<1940	0.000111483	0	0.0642977	0	0	0.00214604	0	0.020039	0	0.890775	0.022631	35880	35880	0.000497897
Brick	MA	1940-59	0	0	0	0.000177999	0.0751157	0.010858	0	0.00925596	0	0.625667	0.278925	5618	5618	0.000126412
Concrete	MA	1940-59	9.94695e-05	0	0.0644231	0.000431034	0.0198607	0.00865385	0	0.00702918	9.94695e-05	0.49695	0.402454	30160	30160	0.000653297
Steel Frame	MA	1940-59	0.00643382	0	0.0808824	0	0	0.0193015	0	0.0147059	0	0.501838	0.376838	1088	1088	9.28998e-05
Void	MA	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MA	1940-59	8.58719e-05	0	0.0304631	0.000722755	0	0.0114496	0	0.00546002	5.72479e-05	0.499088	0.452674	139743	139743	0.00276263
Brick	MA	1960-79	0.00070497	0	0	0.000352485	0.211491	0.00352485	0	0.00810716	0	0.433204	0.342615	2837	2837	0.000133864
Concrete	MA	1960-79	0.000454375	0	0.104239	0.000213824	0.0204736	0.00304699	0	0.00475758	0.000213824	0.36056	0.506041	37414	37414	0.000805975
Steel Frame	MA	1960-79	0.027575	0	0.618005	0	0	0.00202758	0	0.00486618	0	0.189781	0.157745	2466	2466	0.000303841
Void	MA	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MA	1960-79	0.000178508	0	0.0625122	0.000224574	0	0.00222847	0	0.00306918	5.75831e-06	0.361645	0.570136	173662	173662	0.00347599
Brick	MA	1980-99	0	0	0	0	0.157932	0	0	0.00779037	0	0.453966	0.380312	1412	1412	5.1459e-05
Concrete	MA	1980-99	0.000266603	0	0.0459743	0.000148113	0.023076	0.000385094	0	0.00642811	0.00011849	0.355886	0.567717	33758	33758	0.000645262
Steel Frame	MA	1980-99	0.0203471	0	0.539198	0	0	0	0	0.0706164	0	0.120886	0.248953	1671	1671	0.000149793
Void	MA	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MA	1980-99	4.27442e-05	0	0.0310567	6.71694e-05	0	8.54884e-05	0	0.0065765	0	0.321198	0.640973	163765	163765	0.00317579
Brick	MA	2000-09	0.00252525	0	0	0	0.106061	0	0	0.0126263	0	0.522727	0.356061	396	396	1.49254e-05
Concrete	MA	2000-09	0.000531672	0	0.0136716	0.000151906	0.0327358	0.000759532	0	0.0141273	7.59532e-05	0.616512	0.321434	13166	13166	0.000268774
Steel Frame	MA	2000-09	0.00565327	0	0.644472	0	0	0	0	0.0320352	0	0.241206	0.0766332	1592	1592	6.08483e-05
Void	MA	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MA	2000-09	5.3496e-05	0	0.0121971	8.91599e-05	0	3.5664e-05	0	0.00572407	3.5664e-05	0.591023	0.390841	56079	56079	0.00120971
Brick	MA	2010s	0.00395257	0	0	0.00395257	0.16996	0	0	0.00790514	0	0.509881	0.304348	253	253	8.04388e-06
Concrete	MA	2010s	0.000985545	0	0.00985545	0.000328515	0.0137976	0.000985545	0	0.0423784	0	0.52431	0.407359	3044	3044	5.91437e-05
Steel Frame	MA	2010s	0.0181159	0	0.0688406	0	0	0.00362319	0	0.275362	0	0.463768	0.17029	276	276	2.12536e-05
Void	MA	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MA	2010s	0.000272047	0	0.007708	0.000317388	0	0.00036273	0	0.0036273	0	0.596735	0.390977	22055	22055	0.000345066
Brick	MA	<1940	0.000147923	0	0	0.0037826	0.139702	0.0309792	0	0.0129115	0.000126791	0.434069	0.378281	47322	47322	0.00101006
Concrete	MA	<1940	4.22619e-05	0	0.204336	0.001775	0.0188065	0.0178345	0	0.0289071	8.45237e-05	0.324571	0.403643	23662	23662	0.000637148
Steel Frame	MA	<1940	0.0010142	0	0.638945	0.0030426	0	0.00912779	0	0.020284	0	0.144016	0.18357	986	986	0.000212852
Void	MA	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MA	<1940	8.94649e-05	0	0.0384188	0.00433692	0	0.0542711	0	0.0115495	2.13012e-05	0.50232	0.388993	234729	234729	0.00506867
Brick	MD	1940-59	0	0	0	0	0.966419	0.000165426	0	0.00264682	0	0.0301075	0.000661704	6045	6045	0.000489253
Concrete	MD	1940-59	0.000839935	6.22174e-05	0.121511	0.00107844	0.434734	0.00304865	0.000559957	0.404144	0	0.027666	0.00635655	96436	96436	0
Steel Frame	MD	1940-59	0.435831	0	0.204565	0	0	0.0568475	0.00559862	0.00947459	0	0.187339	0.100345	2322	2322	5.76485e-05
Void	MD	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MD	1940-59	0.000125153	0	0.930165	0	0	0.00985576	0	0.00722756	0	0.0499671	0.00265949	31961	31961	0.00260006
Brick	MD	1960-79	0.000136799	0	0	0	0.947332	0	0	0.00136799	0	0.0506156	0.000547196	7310	7310	0.000608183
Concrete	MD	1960-79	0.0128793	0.00015005	0.228462	0.000545183	0.263103	0.000910305	0.00112038	0.424257	0	0.0400934	0.0284795	199933	199933	1.27577e-05
Steel Frame	MD	1960-79	0.42624	0.000105977	0.326304	0.00286138	0	0.00720644	0.0145189	0.00688851	0	0.165536	0.0503391	9436	9436	0.000174206
Void	MD	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MD	1960-79	0.00016197	0	0.894905	0	0	0.00506733	0	0.00756629	0	0.0899394	0.00236013	43218	43218	0.00390601
Brick	MD	1980-99	0	0	0	0	0.934962	0	0	0.00222081	0	0.0618655	0.000951777	3152	3152	0.000265866
Concrete	MD	1980-99	0.00351909	0.000506344	0.0970561	0.000121523	0.275684	0.00221273	0.00115953	0.56548	0	0.036396	0.0178638	197494	197494	1.00148e-05
Steel Frame	MD	1980-99	0.391604	5.14456e-05	0.17116	0.0272147	0	0.00277806	0.0305073	0.0156395	0	0.279041	0.0820043	19438	19438	7.16138e-05
Void	MD	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	MD	1980-99	0.000218214	0	0.549825	0	0	0.000436427	0	0.0120745	0	0.424134	0.013311	13748	13748	0.00515081
Brick	MD	2000-09	0.0010352	0	0	0	0.900621	0	0	0.00207039	0	0.0962733	0	966	966	0.000102557
Concrete	MD	2000-09	0.0036537	0.000131159	0.203952	0.000103053	0.174047	0.000562108	0.00345697	0.554229	0	0.0474326	0.012432	106741	106741	2.34527e-06
