Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
CA, 05903	1	0	0	4594	101132	0.00073372
CA, 05904	1	0	0	3662	93033	0.00065475
CA, 05905	1	0	0	3534	77816	0.000547338
CA, 05906	1	0	0	3414	63739	0.000468818
CA, 05907	1	0	0	3280	65823	0.000488959
CA, 05908	1	0	0	3508	63775	0.000479088
CA, 05909	1	0	0	2059	44559	0.000329196
CA, 05910	0	1	0	2867	60520	0.00043925
CA, 05911	1	0	0	2468	46253	0.000344344
CA, 05912	1	0	0	2977	53816	0.00040189
CA, 05913	1	0	0	2521	44456	0.000330659
CA, 05914	1	0	0	4142	80549	0.00058942
CA, 05915	1	0	0	1720	38531	0.000272317
CA, 05916	1	0	0	2096	35660	0.00026307
CA, 05917	0	1	0	2143	41175	0.000300475
CA, 05918	1	0	0	3391	69205	0.000520359
CA, 06101	1	0	0	2890	54506	0.000387928
CA, 06102	1	0	0	2581	46840	0.000342317
CA, 06103	1	0	0	3441	62830	0.000454962
CA, 06501	1	0	0	3531	79670	0.000519962
CA, 06502	1	0	0	8126	90683	0.000653309
CA, 06503	1	0	0	2148	45444	0.000335696
CA, 06504	1	0	0	1917	43454	0.000316532
CA, 06505	1	0	0	3186	66157	0.000475822
CA, 06506	1	0	0	2730	57446	0.000435377
CA, 06507	1	0	0	2988	55662	0.0004117
CA, 06508	1	0	0	2892	51130	0.000387995
CA, 06509	1	0	0	1330	34634	0.000249182
CA, 06510	1	0	0	2544	47456	0.000361834
CA, 06511	0	1	0	2709	51218	0.000391651
CA, 06512	1	0	0	1477	31895	0.000243012
CA, 06513	1	0	0	2658	46531	0.000353307
CA, 06514	1	0	0	2169	41391	0.000313627
CA, 06515	1	0	0	3963	97730	0.000708678
CA, 06701	1	0	0	2391	44454	0.000334465
CA, 06702	1	0	0	2593	45177	0.000334007
CA, 06703	1	0	0	2451	48711	0.000370219
CA, 06704	1	0	0	2415	51747	0.00038744
CA, 06705	0	1	0	1872	43044	0.000314362
CA, 06706	1	0	0	1847	38817	0.000288524
CA, 06707	0	1	0	3464	61768	0.00045879
CA, 06708	1	0	0	2380	50914	0.000374551
CA, 06709	0	1	0	2361	51578	0.000380549
CA, 06710	1	0	0	2506	51638	0.000382478
CA, 06711	1	0	0	2065	39025	0.000275028
CA, 06712	1	0	0	2282	43879	0.000318333
CA, 07101	1	0	0	3297	67254	0.000504994
CA, 07102	1	0	0	1638	48682	0.000375061
CA, 07103	1	0	0	2379	57130	0.000428231
CA, 07104	1	0	0	3514	75339	0.000558883
CA, 07105	1	0	0	2059	52820	0.000391343
CA, 07106	1	0	0	1579	36967	0.00026379
CA, 07107	1	0	0	1427	33706	0.0002491
CA, 07108	1	0	0	2429	50009	0.000367292
CA, 07109	1	0	0	1477	30444	0.000222962
CA, 07110	1	0	0	1354	30324	0.000215958
CA, 07111	1	0	0	2612	59367	0.000438101
CA, 07112	1	0	0	2185	41494	0.000322943
CA, 07113	0	1	0	2656	53200	0.000392243
CA, 07114	1	0	0	2548	51608	0.000353157
CA, 07115	1	0	0	1277	32413	0.000233951
CA, 07301	1	0	0	2830	67597	0.000506202
CA, 07302	1	0	0	2697	47785	0.000361189
CA, 07303	1	0	0	1858	36079	0.000273422
CA, 07304	1	0	0	2072	52289	0.000383844
CA, 07305	1	0	0	1800	44875	0.000329871
CA, 07306	1	0	0	2443	45220	0.000329744
CA, 07307	1	0	0	1982	39481	0.000295979
CA, 07308	1	0	0	2515	49138	0.000365002
CA, 07309	1	0	0	2905	69365	0.000503094
CA, 07310	1	0	0	4004	84346	0.000624896
CA, 07311	0	1	0	1916	42751	0.000306037
CA, 07312	0	1	0	2116	44003	0.000320735
CA, 07313	1	0	0	3213	62515	0.000471626
CA, 07314	1	0	0	2986	63875	0.000474471
CA, 07315	0	1	0	2857	68818	0.000496368
CA, 07316	0	1	0	3714	91488	0.000648948
CA, 07317	0	1	0	2819	63524	0.000462693
CA, 07318	1	0	0	2468	46590	0.000342144
CA, 07319	1	0	0	2268	45114	0.000338038
CA, 07320	1	0	0	1724	48350	0.000344126
CA, 07321	1	0	0	3077	58080	0.000431248
CA, 07322	1	0	0	2061	42608	0.000305519
CA, 07501	0	1	0	3198	70423	0.00052177
CA, 07502	0	1	0	2856	67000	0.000502757
CA, 07503	0	1	0	2816	80582	0.000546138
CA, 07504	0	1	0	2647	57864	0.000426601
CA, 07505	0	1	0	2151	45747	0.000341027
CA, 07506	0	1	0	2043	41483	0.000309288
CA, 07507	0	1	0	1956	34713	0.000255646
CA, 07701	1	0	0	3094	63686	0.000474471
CA, 07702	1	0	0	2523	51199	0.000381607
CA, 07703	1	0	0	3372	68869	0.000486467
CA, 07704	1	0	0	3112	59506	0.00044217
CA, 07901	1	0	0	3505	78097	0.000575744
CA, 07902	1	0	0	1855	43908	0.000320542
CA, 08101	1	0	0	2349	47225	0.000354456
CA, 08102	1	0	0	1951	42410	0.000314669
CA, 08103	1	0	0	2268	42832	0.000323446
CA, 08104	1	0	0	2903	51167	0.000377081
CA, 08105	1	0	0	2867	53456	0.000389346
CA, 08106	1	0	0	2202	40683	0.000296303
CA, 08301	1	0	0	1853	38302	0.000284179
CA, 08302	1	0	0	2069	36363	0.000275044
CA, 08303	1	0	0	3987	82496	0.000601108
CA, 08501	1	0	0	4658	84894	0.000620213
CA, 08502	0	1	0	2986	61677	0.000454069
CA, 08503	0	1	0	2706	61224	0.000415215
CA, 08504	0	1	0	2360	44233	0.000310857
CA, 08505	1	0	0	1836	30059	0.000225019
CA, 08506	1	0	0	2004	39470	0.000282362
CA, 08507	1	0	0	2763	53334	0.000394909
CA, 08508	1	0	0	2435	53646	0.000399196
CA, 08509	1	0	0	2477	51004	0.000366436
CA, 08510	1	0	0	2713	55980	0.000415394
CA, 08511	1	0	0	1918	38593	0.000288053
CA, 08512	1	0	0	2343	38207	0.000275943
CA, 08513	0	1	0	1789	32562	0.000242885
CA, 08514	0	1	0	1695	27612	0.000203062
CA, 08701	1	0	0	2589	52131	0.000384746
CA, 08702	1	0	0	2249	54176	0.000405365
CA, 08900	1	0	0	4664	78634	0.000585081
CA, 09501	1	0	0	2966	57175	0.000435474
CA, 09502	1	0	0	2486	50082	0.00036227
CA, 09503	1	0	0	2439	50543	0.000366466
CA, 09701	1	0	0	4702	86701	0.000655156
CA, 09702	1	0	0	2525	48524	0.000356909
CA, 09703	1	0	0	3105	72488	0.000542241
CA, 09901	1	0	0	1572	35437	0.000262596
CA, 09902	1	0	0	1987	40581	0.000305978
CA, 09903	1	0	0	3023	64476	0.00047318
CA, 09904	1	0	0	1818	41254	0.000312335
CA, 10100	1	0	0	3297	62981	0.000466469
CA, 10701	1	0	0	1888	49303	0.000365145
CA, 10702	1	0	0	2468	48175	0.000357217
CA, 10703	1	0	0	2945	51516	0.00037106
CA, 11101	1	0	0	2223	39589	0.000297322
CA, 11102	1	0	0	2964	56809	0.000423126
CA, 11103	1	0	0	2729	56280	0.000423359
CA, 11104	1	0	0	2441	49276	0.000356444
CA, 11105	1	0	0	2301	41256	0.000306879
CA, 11106	1	0	0	2678	45686	0.00033045
CA, 11300	1	0	0	3752	77947	0.000574091
CO, 00100	0	0	1	4485	46189	0.000340883
CO, 00102	1	0	0	2244	59276	0.000423186
CO, 00103	1	0	0	4546	88953	0.000618454
CO, 00200	0	0	1	2344	50520	0.000370061
CO, 00300	1	0	0	4181	74181	0.000518138
CO, 00400	0	0	1	3500	95796	0.000694887
CO, 00600	0	0	1	2888	62409	0.000451125
CO, 00700	1	0	0	3802	67248	0.000496696
CO, 00800	0	0	1	4210	53965	0.000393242
CO, 00801	1	0	0	2763	50144	0.000372568
CO, 00802	1	0	0	3648	69332	0.00047992
CO, 00803	1	0	0	2636	53442	0.000393458
CO, 00804	1	0	0	3668	67443	0.000463196
CO, 00805	1	0	0	2300	49169	0.000364333
CO, 00806	1	0	0	2322	52336	0.000383963
CO, 00807	1	0	0	2468	57604	0.000406484
CO, 00808	1	0	0	2480	40336	0.0002957
CO, 00809	0	1	0	2145	46361	0.000349568
CO, 00810	0	1	0	2362	45949	0.00033791
CO, 00811	1	0	0	2785	49594	0.000359957
CO, 00812	0	1	0	3024	73714	0.000484177
CO, 00813	0	1	0	2452	60674	0.000411571
CO, 00814	0	1	0	2760	64382	0.00046444
CO, 00815	1	0	0	3616	89958	0.000647589
CO, 00816	0	1	0	2077	48097	0.000345762
CO, 00817	1	0	0	2791	50511	0.0003688
CO, 00818	1	0	0	2608	55369	0.000403624
CO, 00819	1	0	0	3266	61998	0.000450892
CO, 00820	1	0	0	2869	51435	0.00036919
CO, 00821	1	0	0	2686	51743	0.000388603
CO, 00822	1	0	0	2311	43411	0.000305744
CO, 00823	1	0	0	2307	50048	0.000339382
CO, 00824	1	0	0	2212	43431	0.000295363
CO, 00900	0	0	1	4251	65277	0.0004708
CO, 01001	1	0	0	2309	58303	0.000419521
CO, 01002	0	0	1	3197	52242	0.000383348
CO, 04101	1	0	0	2165	46890	0.00033433
CO, 04102	1	0	0	2358	52295	0.000398419
CO, 04103	0	1	0	2386	49013	0.000375999
CO, 04104	1	0	0	1903	44977	0.000328437
CO, 04105	1	0	0	1967	46140	0.000339764
CO, 04106	1	0	0	1930	46320	0.000312095
CT, 00100	1	0	0	3274	68627	0.000504731
CT, 00101	1	0	0	2689	43194	0.000312966
CT, 00102	1	0	0	3875	77992	0.000571884
CT, 00103	1	0	0	2971	55107	0.000396349
CT, 00104	0	1	0	2567	58552	0.000432816
CT, 00105	1	0	0	3551	69093	0.000519195
CT, 00300	1	0	0	3459	63244	0.000469853
CT, 00301	1	0	0	2324	46158	0.000349824
CT, 00302	0	1	0	2577	54753	0.00040008
CT, 00303	1	0	0	3860	68349	0.000501218
CT, 00304	1	0	0	2328	48552	0.000361766
CT, 00305	1	0	0	2175	48645	0.000361045
CT, 00306	1	0	0	2490	49901	0.000368733
CT, 00500	0	0	1	5236	88252	0.000656453
CT, 00700	1	0	0	3594	76327	0.000565076
CT, 00900	1	0	0	2328	52794	0.000387604
CT, 00901	1	0	0	2171	47830	0.000349245
CT, 00902	1	0	0	2749	58343	0.000435594
CT, 00903	1	0	0	2087	51404	0.000377036
CT, 00904	1	0	0	2525	52008	0.000379077
CT, 00905	0	1	0	2521	55682	0.000423366
CT, 00906	1	0	0	2320	48992	0.000369205
CT, 01100	1	0	0	2865	60506	0.000438432
CT, 01101	1	0	0	3657	62920	0.000473066
CT, 01300	1	0	0	2840	59672	0.000439693
CT, 01500	1	0	0	2555	49732	0.000369062
DC, 00101	0	1	0	2316	50591	0.000387709
DC, 00102	0	1	0	2687	51081	0.000380451
DC, 00103	0	1	0	3273	53545	0.000382696
DC, 00104	0	1	0	3252	68657	0.000511968
DC, 00105	0	1	0	4279	91302	0.000639543
DE, 00101	1	0	0	2386	49376	0.000370671
DE, 00102	1	0	0	3421	61118	0.00045831
DE, 00103	1	0	0	2579	56892	0.000428201
DE, 00104	1	0	0	2117	55873	0.000397723
DE, 00200	1	0	0	3239	71753	0.000511246
DE, 00300	1	0	0	7892	138183	0.000971075
FL, 00101	1	0	0	3273	68110	0.000492471
FL, 00102	1	0	0	2687	49305	0.000364746
FL, 00500	0	0	1	8711	174688	0.00125715
FL, 00901	1	0	0	4281	93489	0.000665956
FL, 00902	1	0	0	3941	69821	0.000510757
