Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
FL, 11702	1	0	0	2329	46953	0.000353658
FL, 11703	1	0	0	2428	49161	0.000356789
FL, 11704	1	0	0	2261	43615	0.000307554
FL, 12100	0	0	1	2303	48172	0.000353231
FL, 12701	1	0	0	2660	53713	0.000386064
FL, 12702	1	0	0	3857	72662	0.00053757
FL, 12703	1	0	0	4662	80483	0.000601737
FL, 12704	1	0	0	2448	50828	0.000376133
GA, 00100	0	0	1	3281	74708	0.000543868
GA, 00200	1	0	0	2682	49354	0.000348795
GA, 00300	0	0	1	3233	60665	0.000429917
GA, 00401	1	0	0	4443	72955	0.000550722
GA, 00402	1	0	0	2252	52317	0.000370353
GA, 00500	0	0	1	3930	72483	0.000531085
GA, 00600	1	0	0	2510	47654	0.000343134
GA, 00700	0	0	1	3363	56758	0.000418095
GA, 00800	0	0	1	2899	48701	0.000358943
GA, 00900	1	0	0	2816	51813	0.000385802
GA, 01001	0	1	0	2796	61874	0.000433311
GA, 01002	1	0	0	1837	42050	0.000300024
GA, 01003	1	0	0	2371	57571	0.000425129
GA, 01004	1	0	0	1286	49883	0.000362697
GA, 01005	1	0	0	2683	64607	0.00046583
GA, 01006	0	1	0	3072	71475	0.000496817
GA, 01007	0	1	0	4163	75974	0.000537511
GA, 01008	1	0	0	1938	50752	0.000376674
GA, 01100	0	0	1	3670	53213	0.000394036
GA, 01200	0	0	1	4154	68255	0.000504324
GA, 01300	0	0	1	4545	62292	0.000462872
GA, 01400	1	0	0	3883	70115	0.000526799
GA, 01500	1	0	0	2604	67522	0.000489762
GA, 01600	0	0	1	4263	82474	0.000605416
GA, 01700	1	0	0	4903	88064	0.000655049
GA, 01800	0	0	1	4825	77194	0.000569684
GA, 01900	0	0	1	3319	63574	0.000470949
GA, 02001	1	0	0	2200	53105	0.000392205
GA, 02002	1	0	0	3350	59746	0.000437898
GA, 02003	1	0	0	3318	69419	0.000526386
GA, 02004	1	0	0	3380	64220	0.000464637
GA, 02100	1	0	0	2613	54626	0.000390381
GA, 02200	0	0	1	2602	43727	0.000324781
GA, 02300	1	0	0	1967	45374	0.000335478
GA, 02400	1	0	0	2260	42530	0.000310706
GA, 02500	0	0	1	3552	70088	0.000522543
GA, 02600	0	0	1	3830	75983	0.000563531
GA, 02700	1	0	0	1979	40039	0.000297856
GA, 02800	0	0	1	4298	87063	0.000638012
GA, 02900	1	0	0	1825	41087	0.000299777
GA, 03001	1	0	0	2792	66782	0.000496509
GA, 03002	1	0	0	2131	50242	0.00037079
GA, 03003	1	0	0	2205	49156	0.000353756
GA, 03004	1	0	0	3189	77937	0.000562335
GA, 03005	1	0	0	3326	55930	0.000416677
GA, 03101	1	0	0	1602	45551	0.000316906
GA, 03102	1	0	0	2036	46642	0.000328106
GA, 03200	0	0	1	4029	76843	0.000558104
GA, 03300	1	0	0	5312	80937	0.000536467
GA, 03400	1	0	0	4132	73135	0.000523221
GA, 03500	0	0	1	3668	62633	0.000462341
GA, 03600	1	0	0	2874	52941	0.000389353
GA, 03700	0	0	1	3674	52264	0.000374805
GA, 03800	0	0	1	3472	53811	0.000381096
GA, 03900	1	0	0	2788	47992	0.000348247
GA, 04000	1	0	0	4248	88622	0.000655252
GA, 04001	1	0	0	2826	57946	0.000424461
GA, 04002	1	0	0	1440	42357	0.000292983
GA, 04003	1	0	0	2049	54020	0.000385232
GA, 04004	1	0	0	1317	38626	0.000277069
GA, 04005	1	0	0	1948	44274	0.000324834
GA, 04006	1	0	0	3173	71943	0.000538727
GA, 04100	1	0	0	2308	57373	0.000401138
GA, 04200	0	0	1	4371	61822	0.000457265
GA, 04300	1	0	0	3070	72993	0.000538321
GA, 04400	1	0	0	2035	52686	0.000389526
GA, 04500	1	0	0	2095	56654	0.000400838
GA, 04600	0	1	0	3458	63040	0.000464794
GA, 05001	1	0	0	1820	41990	0.000308656
GA, 05002	1	0	0	2668	63603	0.000477277
GA, 06001	1	0	0	1316	39816	0.000286002
GA, 06002	1	0	0	1611	41612	0.000298485
IA, 00100	0	0	1	3765	59104	0.000434349
IA, 00200	0	0	1	3420	56467	0.000421782
IA, 00400	0	0	1	3854	55963	0.000414253
IA, 00500	1	0	0	2290	57894	0.000426406
IA, 00600	0	0	1	4317	60875	0.000455585
IA, 00700	0	0	1	3695	68038	0.000502111
IA, 00800	0	0	1	2803	57351	0.000426075
IA, 00900	1	0	0	2866	74232	0.000548464
IA, 01000	1	0	0	3291	97262	0.000711161
IA, 01100	1	0	0	1971	63623	0.000447027
IA, 01200	0	0	1	3269	52224	0.000389075
IA, 01300	0	0	1	2165	51925	0.000374992
IA, 01400	0	0	1	3471	66470	0.000486391
IA, 01500	1	0	0	2412	83967	0.000577725
IA, 01600	1	0	0	1582	56373	0.000382476
IA, 01700	0	1	0	2959	87719	0.000642567
IA, 01800	0	0	1	3967	52365	0.000389488
IA, 01900	0	0	1	4659	57518	0.000430685
IA, 02000	1	0	0	2369	53094	0.000392334
IA, 02100	0	0	1	4933	80924	0.000602654
IA, 02200	0	0	1	3145	55447	0.000413231
IA, 02300	0	0	1	2558	48252	0.000359829
ID, 00100	0	0	1	4559	64162	0.000467287
ID, 00200	1	0	0	2614	66147	0.000462717
ID, 00300	0	0	1	4675	63795	0.000465786
ID, 00400	0	0	1	2225	48203	0.000332213
ID, 00500	1	0	0	1790	43944	0.00031244
ID, 00600	1	0	0	1431	49795	0.000332055
ID, 00701	1	0	0	1474	47495	0.000322214
ID, 00702	1	0	0	1808	46383	0.00034041
ID, 00800	1	0	0	2018	48320	0.000347248
ID, 00900	0	0	1	2053	42029	0.000302006
ID, 01000	0	0	1	2911	53698	0.000391635
ID, 01100	0	0	1	2842	54222	0.000383566
ID, 01200	1	0	0	2250	42925	0.000306143
ID, 01300	0	0	1	3372	52476	0.000383919
IL, 00104	0	0	1	4631	63080	0.000471295
IL, 00105	1	0	0	3516	66160	0.000493935
IL, 00202	0	0	1	6465	81149	0.000606197
IL, 00300	0	0	1	3764	51134	0.000381696
IL, 00401	0	0	1	5166	64934	0.000483622
IL, 00501	0	0	1	4956	60450	0.000447163
IL, 00600	0	0	1	2985	45652	0.000341131
IL, 00700	0	0	1	3656	49926	0.000366819
IL, 00800	0	0	1	5198	67335	0.000501969
IL, 00900	0	0	1	5404	88517	0.000656651
IL, 01001	0	0	1	5909	70048	0.000518499
IL, 01104	1	0	0	2348	66391	0.000488066
IL, 01105	1	0	0	2155	53845	0.000400509
IL, 01204	1	0	0	2238	50692	0.000375654
IL, 01205	1	0	0	2949	68700	0.000511404
IL, 01300	1	0	0	4935	91737	0.000680189
IL, 01500	1	0	0	2915	50392	0.000377741
IL, 01602	0	0	1	5551	65472	0.000486512
IL, 01701	1	0	0	4289	83703	0.000626706
IL, 01900	1	0	0	3330	58847	0.000436674
IL, 02000	1	0	0	4030	72384	0.000534877
IL, 02100	1	0	0	4347	92699	0.000672938
IL, 02200	0	0	1	5871	71881	0.000537436
IL, 02300	1	0	0	2722	45562	0.000339165
IL, 02400	0	0	1	3309	50151	0.000374362
IL, 02501	0	0	1	6163	66860	0.000499821
IL, 02601	1	0	0	2120	41206	0.0003079
IL, 02700	0	0	1	2949	44628	0.000333676
IL, 02801	1	0	0	4285	88738	0.000668171
IL, 02901	1	0	0	2248	57029	0.000424416
IL, 03005	1	0	0	1877	49729	0.000367028
IL, 03007	1	0	0	1715	44352	0.000328753
IL, 03008	1	0	0	1928	48275	0.000359439
IL, 03009	1	0	0	1345	45611	0.00032656
IL, 03102	1	0	0	2593	50540	0.000375818
IL, 03105	1	0	0	2024	47128	0.000353577
IL, 03106	1	0	0	2408	56217	0.000411603
IL, 03107	1	0	0	2057	44411	0.000325698
IL, 03108	1	0	0	2410	45611	0.00033454
IL, 03202	1	0	0	2417	45190	0.000339285
IL, 03203	1	0	0	2207	49548	0.00036522
IL, 03204	1	0	0	2965	61314	0.000457033
IL, 03205	1	0	0	2655	51555	0.000382935
IL, 03207	1	0	0	2014	43829	0.000320892
IL, 03208	1	0	0	3305	61736	0.000466521
IL, 03209	1	0	0	2288	47135	0.000352098
IL, 03306	1	0	0	2728	60959	0.000457475
IL, 03307	1	0	0	1974	51303	0.00038506
IL, 03308	1	0	0	2148	44560	0.000319271
IL, 03309	1	0	0	2760	55627	0.000414898
IL, 03310	1	0	0	3075	51648	0.00038789
IL, 03401	1	0	0	2099	50611	0.000379077
IL, 03407	1	0	0	2868	68919	0.000522483
IL, 03408	1	0	0	2779	67340	0.0005072
IL, 03409	1	0	0	2683	56582	0.000422652
IL, 03410	1	0	0	2606	68654	0.000506651
IL, 03411	1	0	0	2856	69888	0.000529253
IL, 03412	1	0	0	1519	43485	0.000330254
IL, 03413	1	0	0	2850	70950	0.00054399
IL, 03414	1	0	0	2329	67559	0.000522867
IL, 03415	1	0	0	2263	50479	0.000384384
IL, 03416	1	0	0	2810	57868	0.000414846
IL, 03417	1	0	0	1723	42634	0.000321868
IL, 03418	1	0	0	1801	42366	0.000321509
IL, 03419	1	0	0	1844	50963	0.000381299
IL, 03420	1	0	0	3326	75273	0.000565931
IL, 03421	1	0	0	3327	71687	0.000540266
IL, 03422	1	0	0	2152	51263	0.000392069
IL, 03501	0	1	0	3380	93688	0.000693701
IL, 03502	0	1	0	4351	93502	0.000698039
IL, 03503	0	1	0	2809	64040	0.000478952
IL, 03504	0	1	0	2532	55545	0.000410349
IL, 03520	0	1	0	2318	52905	0.000393414
IL, 03521	0	1	0	2415	67798	0.000499333
IL, 03522	0	1	0	2931	56640	0.000417331
IL, 03523	0	1	0	3045	71022	0.00053517
IL, 03524	0	1	0	4076	87442	0.000638759
IL, 03525	0	1	0	2635	108679	0.00075545
IL, 03526	0	1	0	2617	59331	0.000440908
IL, 03527	0	1	0	1892	48355	0.000356917
IL, 03528	0	1	0	2672	61291	0.000462684
IL, 03529	0	1	0	4335	101156	0.000742478
IL, 03530	0	1	0	2086	48197	0.000360281
IL, 03531	0	1	0	2378	61021	0.000456994
IL, 03532	0	1	0	2305	56205	0.000417105
IL, 03601	1	0	0	2085	50726	0.000373881
IL, 03602	1	0	0	3279	67719	0.000506209
IL, 03700	1	0	0	2409	62952	0.000461252
IN, 00101	1	0	0	2280	47918	0.000359485
IN, 00102	1	0	0	2878	63770	0.000472466
IN, 00103	1	0	0	2099	48485	0.000362982
IN, 00104	1	0	0	2122	52726	0.00038439
IN, 00200	1	0	0	3236	68720	0.000503431
IN, 00300	1	0	0	2779	49177	0.000365962
IN, 00401	1	0	0	2718	48172	0.000361458
IN, 00402	1	0	0	3445	68541	0.000506073
IN, 00500	1	0	0	3374	79096	0.000585006
IN, 00600	0	0	1	4383	73376	0.00053857
IN, 00700	0	0	1	3027	46617	0.000345815
IN, 00800	0	0	1	3362	58781	0.000431818
IN, 00900	0	0	1	3419	55999	0.000413772
IN, 01001	1	0	0	3094	61760	0.000452889
IN, 01002	1	0	0	2599	54486	0.000402971
IN, 01003	1	0	0	2274	41870	0.000304101
IN, 01100	0	0	1	4146	56663	0.000421406
IN, 01200	1	0	0	3334	76297	0.000554431
IN, 01300	0	0	1	3263	62776	0.000465612
IN, 01400	0	0	1	3629	60046	0.000448467
IN, 01500	0	0	1	3567	48178	0.00036016
IN, 01600	0	0	1	3552	48101	0.000357127
IN, 01700	1	0	0	2239	47215	0.000348914
IN, 01801	1	0	0	2150	52097	0.000355318
IN, 01802	1	0	0	2045	54760	0.000384225
IN, 01803	1	0	0	1436	46719	0.000326306
IN, 01900	1	0	0	3383	59082	0.000441448
IN, 02000	1	0	0	2501	52716	0.000393392
IN, 02100	1	0	0	2684	52160	0.000384857
IN, 02200	1	0	0	2391	61755	0.000438545
IN, 02301	0	1	0	1858	46652	0.00034571
IN, 02302	1	0	0	2750	54030	0.00040342
IN, 02303	1	0	0	1835	54911	0.000408301
IN, 02304	1	0	0	2692	59778	0.000464487
IN, 02305	1	0	0	4157	80842	0.000591567
IN, 02306	1	0	0	2411	68319	0.000492697
IN, 02307	1	0	0	2298	58814	0.000442949
IN, 02400	1	0	0	2189	60915	0.000440992
IN, 02500	1	0	0	2136	49487	0.00036058
IN, 02600	0	0	1	3219	52935	0.000395351
IN, 02700	0	0	1	4215	73190	0.00054327
IN, 02800	1	0	0	2531	61600	0.00045118
IN, 02900	0	0	1	2640	53488	0.000391267
IN, 03000	0	0	1	2192	48816	0.000360836
IN, 03100	0	0	1	2958	50800	0.00037392
IN, 03200	0	0	1	2965	52674	0.000383026
IN, 03300	1	0	0	3843	84249	0.000626264
IN, 03400	0	0	1	3955	64125	0.000474547
IN, 03500	1	0	0	3459	62309	0.000459151
IN, 03600	1	0	0	2349	50555	0.000367839
KS, 00100	0	0	1	4239	55977	0.000418494
KS, 00200	0	0	1	4977	70773	0.000528805
KS, 00300	0	0	1	2105	55905	0.000405231
KS, 00400	0	0	1	2424	48693	0.000358884
KS, 00500	1	0	0	2974	68095	0.000505173
KS, 00601	1	0	0	1843	48971	0.000349382
KS, 00602	1	0	0	2807	71388	0.00053388
KS, 00603	1	0	0	2494	60148	0.000431819
KS, 00604	1	0	0	2470	61260	0.000434776
KS, 00700	1	0	0	1496	50345	0.000362159
KS, 00801	0	1	0	1775	49299	0.000371661
KS, 00802	0	0	1	3491	52212	0.000384775
KS, 00900	0	0	1	4200	53891	0.00040192
KS, 01000	0	0	1	2613	46343	0.000343181
KS, 01100	0	0	1	4122	56298	0.000417895
KS, 01200	0	0	1	2912	52849	0.000391606
KS, 01301	1	0	0	2674	65456	0.000472212
KS, 01302	1	0	0	3050	68549	0.000506134
KS, 01303	0	1	0	2261	57399	0.000429169
KS, 01304	1	0	0	2658	69405	0.000513438
KS, 01400	0	0	1	2607	47756	0.000352602
KS, 01500	0	0	1	3377	62285	0.000464608
KY, 00100	0	0	1	4480	96035	0.000709828
KY, 00200	0	0	1	2860	50941	0.000379806
KY, 00300	0	0	1	2283	48083	0.000357796
KY, 00400	0	0	1	4263	80921	0.000597138
KY, 00500	1	0	0	2011	52886	0.000374311
KY, 00600	0	0	1	2639	51535	0.000383124
KY, 00700	0	0	1	1993	49968	0.000371353
KY, 00800	0	0	1	2128	49367	0.000364064
KY, 00900	0	0	1	2592	57016	0.000422046
KY, 01000	0	0	1	2756	53578	0.000394384
KY, 01100	0	0	1	3246	71419	0.000526335
KY, 01200	0	0	1	2387	46236	0.000340051
KY, 01300	0	0	1	3570	76305	0.000561557
KY, 01400	0	0	1	2847	47441	0.000353382
KY, 01500	1	0	0	2328	46868	0.000346859
KY, 01600	1	0	0	2407	45143	0.000325502
KY, 01701	1	0	0	2657	61178	0.000465104
KY, 01702	1	0	0	4135	59844	0.000440474
KY, 01703	1	0	0	4040	49895	0.000358133
KY, 01704	1	0	0	2786	57546	0.000428426
KY, 01705	1	0	0	2535	54757	0.000404968
KY, 01706	1	0	0	2621	62041	0.000466621
KY, 01800	1	0	0	2651	44162	0.000322312
KY, 01901	0	1	0	2528	53795	0.000403866
KY, 01902	0	1	0	4013	87858	0.000638492
KY, 02000	0	0	1	2538	53936	0.000401447
KY, 02100	0	0	1	2430	51443	0.000380189
KY, 02200	0	0	1	2262	49317	0.000362233
KY, 02300	0	0	1	3027	58566	0.000425867
KY, 02400	1	0	0	3449	69661	0.000521862
KY, 02500	1	0	0	1802	49443	0.000359403
KY, 02600	0	0	1	3869	71243	0.000527859
KY, 02700	0	0	1	3551	64143	0.000474419
KY, 02800	0	0	1	3401	61379	0.000456914
LA, 00100	1	0	0	3029	58450	0.000437665
LA, 00101	1	0	0	2039	54797	0.000408668
LA, 00200	1	0	0	3335	76627	0.000550565
LA, 00300	0	0	1	6116	87482	0.000637875
LA, 00400	1	0	0	3176	68357	0.000497943
LA, 00500	0	0	1	4674	72491	0.00053366
LA, 00600	0	0	1	3256	56518	0.000415626
LA, 00700	0	0	1	5378	80355	0.000590822
LA, 00800	0	0	1	3470	61814	0.000455298
LA, 00900	0	0	1	2967	72163	0.000506575
LA, 01000	0	0	1	2761	51980	0.000382942
LA, 01100	1	0	0	2375	53021	0.000388362
LA, 01200	1	0	0	1953	50521	0.000367374
LA, 01201	1	0	0	1940	51970	0.000367125
LA, 01300	0	0	1	3670	77483	0.000569143
LA, 01400	1	0	0	2637	49895	0.000358898
LA, 01500	1	0	0	2066	59867	0.000430549
LA, 01501	1	0	0	3526	82200	0.000621081
LA, 01502	1	0	0	1984	52169	0.000385111
LA, 01600	1	0	0	1555	47391	0.000331244
LA, 01700	1	0	0	2177	62075	0.000441613
LA, 01800	0	0	1	2833	77102	0.000553964
LA, 01900	1	0	0	2214	47407	0.000349883
LA, 02000	0	0	1	2519	51922	0.000376929
LA, 02100	1	0	0	1664	45424	0.000334915
LA, 02200	1	0	0	2398	55464	0.000393166
LA, 02201	1	0	0	2053	47445	0.000349357
LA, 02300	1	0	0	2749	47994	0.000367494
LA, 02301	0	1	0	3448	63952	0.000481661
LA, 02302	1	0	0	2596	55284	0.000413389
LA, 02400	0	1	0	4318	63437	0.000469606
LA, 02401	0	1	0	5055	63944	0.000484852
LA, 02402	0	1	0	4300	64427	0.000489498
LA, 02500	1	0	0	2660	48490	0.000358185
MA, 00100	1	0	0	4904	69079	0.000513385
MA, 00200	0	0	1	4610	51151	0.000375285
MA, 00300	0	1	0	3584	78438	0.000571801
MA, 00301	1	0	0	2446	51078	0.000386411
MA, 00302	1	0	0	2981	50234	0.000370182
MA, 00303	1	0	0	2437	47205	0.000343127
MA, 00304	1	0	0	2953	62589	0.000458466
MA, 00400	1	0	0	2284	43884	0.000328249
MA, 00501	1	0	0	2284	44995	0.000330953
MA, 00502	1	0	0	1934	41786	0.000309707
MA, 00503	1	0	0	2754	56301	0.000415131
MA, 00504	1	0	0	2572	61704	0.000448227
MA, 00505	1	0	0	3018	55138	0.000402003
MA, 00506	0	1	0	3071	51882	0.000365025
MA, 00507	1	0	0	2417	51699	0.000375128
MA, 00508	1	0	0	1960	48514	0.000358224
MA, 00701	1	0	0	3512	72022	0.00053233
MA, 00702	1	0	0	2156	42464	0.000311907
MA, 00703	1	0	0	4655	93941	0.000694873
MA, 00704	1	0	0	2114	41786	0.000313386
MA, 01000	1	0	0	2351	53750	0.000404178
MA, 01300	1	0	0	2471	48843	0.000352466
MA, 01400	1	0	0	2525	48082	0.000354771
MA, 01600	1	0	0	3911	63496	0.000473067
MA, 01900	0	1	0	2894	62042	0.000464292
MA, 01901	1	0	0	2899	62257	0.000457445
MA, 01902	1	0	0	2457	52647	0.000396551
MA, 02400	1	0	0	2344	46854	0.000340688
MA, 02800	1	0	0	2610	60835	0.000435151
MA, 03301	0	1	0	2471	44974	0.000328091
MA, 03302	0	1	0	4273	83876	0.000596822
MA, 03303	0	1	0	2556	54743	0.000386447
MA, 03304	0	1	0	2397	54543	0.000391146
MA, 03305	0	1	0	2847	56282	0.000410011
MA, 03306	1	0	0	1975	42833	0.000322552
MA, 03400	1	0	0	3159	58514	0.000444325
MA, 03500	1	0	0	2251	39046	0.000290514
MA, 03601	1	0	0	2410	49406	0.000358718
MA, 03602	1	0	0	2240	49337	0.000365633
MA, 03603	1	0	0	2346	53052	0.000388504
MA, 03900	1	0	0	2738	57875	0.000422878
MA, 04000	1	0	0	2328	47174	0.000359815
MA, 04200	1	0	0	2084	52141	0.000373064
MA, 04301	1	0	0	2138	48312	0.000357577
MA, 04302	1	0	0	2230	50021	0.000378993
MA, 04303	1	0	0	2198	50563	0.000369332
MA, 04500	1	0	0	2837	49774	0.000379685
MA, 04700	1	0	0	3629	79948	0.000597196
MA, 04800	0	0	1	5302	113856	0.000836657
MA, 04901	1	0	0	2233	44973	0.000326492
MA, 04902	1	0	0	2130	42892	0.00031322
MA, 04903	1	0	0	2541	58426	0.000413614
MD, 00100	0	0	1	3276	52238	0.000392529
MD, 00200	1	0	0	3129	61506	0.0004594
MD, 00301	1	0	0	3180	47505	0.000345554
MD, 00302	1	0	0	2539	49981	0.000357405
MD, 00400	1	0	0	3650	63564	0.000473842
MD, 00501	1	0	0	2776	47834	0.000360859
MD, 00502	1	0	0	1870	53337	0.000396545
MD, 00503	1	0	0	2642	49764	0.000375663
MD, 00504	1	0	0	2719	50026	0.000376382
MD, 00505	1	0	0	2201	45899	0.000340298
MD, 00506	1	0	0	2465	46210	0.000347476
MD, 00507	1	0	0	2218	43982	0.000332747
MD, 00601	1	0	0	2890	52656	0.00038611
MD, 00602	1	0	0	2142	47554	0.000351618
MD, 00700	1	0	0	1960	42658	0.000317297
MD, 00801	0	1	0	2901	66321	0.000502697
MD, 00802	0	1	0	2869	53466	0.000413947
MD, 00803	0	1	0	2110	51235	0.000390563
MD, 00804	0	1	0	3578	66572	0.000493907
MD, 00805	0	1	0	2998	56702	0.00042778
MD, 00901	1	0	0	2334	51334	0.000372036
MD, 00902	1	0	0	3010	68160	0.000491248
MD, 01001	1	0	0	2708	47806	0.000348721
MD, 01002	1	0	0	2003	47959	0.000363554
MD, 01003	1	0	0	3835	72641	0.000526462
MD, 01004	1	0	0	5005	79343	0.000591215
MD, 01005	1	0	0	2680	51509	0.000385278
MD, 01006	1	0	0	1951	42675	0.000329623
MD, 01007	1	0	0	2310	47269	0.000348841
MD, 01101	1	0	0	1849	35481	0.000268768
MD, 01102	1	0	0	2388	51727	0.000384167
MD, 01103	1	0	0	2245	38935	0.00028758
MD, 01104	1	0	0	2354	45772	0.000350507
MD, 01105	1	0	0	3448	67627	0.000484643
MD, 01106	1	0	0	2425	44531	0.000335869
MD, 01107	1	0	0	2237	48968	0.00037097
MD, 01201	1	0	0	2557	65854	0.000467964
MD, 01202	1	0	0	1914	45995	0.000339225
MD, 01203	1	0	0	2388	53165	0.000396568
MD, 01204	1	0	0	2545	59364	0.000442591
MD, 01300	0	0	1	5319	82452	0.000613713
MD, 01400	1	0	0	4940	110129	0.000818051
MD, 01500	1	0	0	3340	80264	0.000584683
MD, 01600	1	0	0	2701	60452	0.000435489
ME, 00100	0	0	1	5496	63280	0.000469179
ME, 00200	0	0	1	7423	105454	0.000779225
ME, 00300	1	0	0	3926	75789	0.000557757
ME, 00400	0	0	1	2428	62754	0.00046144
ME, 00500	0	0	1	7027	112093	0.000824527
ME, 00600	1	0	0	1713	49892	0.00036883
ME, 00700	1	0	0	1983	54996	0.00039924
ME, 00800	1	0	0	3214	102120	0.00074534
ME, 00900	1	0	0	1852	61476	0.000453122
ME, 01000	1	0	0	1943	54934	0.000399608
MI, 00100	0	0	1	7738	101296	0.000753876
MI, 00200	0	0	1	7053	84769	0.000629319
MI, 00300	0	0	1	8264	101163	0.000751976
MI, 00400	0	0	1	8565	95982	0.000709068
MI, 00500	0	0	1	5386	87939	0.000641959
MI, 00600	0	0	1	6889	74582	0.000548824
MI, 00700	1	0	0	3368	74092	0.000550873
MI, 00801	1	0	0	2308	61182	0.000446065
MI, 00802	1	0	0	1884	47878	0.000340289
MI, 00900	0	0	1	2612	51177	0.000374137
MI, 01001	1	0	0	1806	58042	0.000429521
MI, 01002	1	0	0	2987	82315	0.000605093
MI, 01003	1	0	0	2300	65562	0.00047863
MI, 01004	1	0	0	1828	49105	0.000356121
MI, 01100	0	0	1	6774	88888	0.000656056
MI, 01200	0	0	1	5080	68871	0.00051009
MI, 01300	0	0	1	6894	89047	0.000661965
MI, 01400	1	0	0	4031	85262	0.00063304
MI, 01500	1	0	0	4136	87665	0.000651514
MI, 01600	0	0	1	6999	68814	0.000512244
MI, 01701	1	0	0	3570	78676	0.000585893
MI, 01702	1	0	0	1799	47691	0.000358426
MI, 01703	0	1	0	1666	53995	0.00040201
MI, 01704	0	0	1	3994	78826	0.000585292
MI, 01801	1	0	0	3160	68530	0.000501719
MI, 01802	1	0	0	1988	55040	0.000413802
MI, 01900	1	0	0	4601	79294	0.000585748
MI, 02000	1	0	0	4508	88475	0.000658616
MI, 02101	1	0	0	2398	58260	0.000430181
MI, 02102	0	1	0	1938	53848	0.000400216
MI, 02200	0	0	1	3391	48769	0.000362292
MI, 02300	1	0	0	3480	63550	0.000470071
MI, 02400	1	0	0	4018	77514	0.000576824
MI, 02500	0	0	1	4527	65766	0.000488997
MI, 02600	1	0	0	2984	69580	0.000518308
MI, 02701	1	0	0	2046	44735	0.000326589
MI, 02702	1	0	0	2008	51335	0.000381283
MI, 02703	1	0	0	2496	54953	0.000412743
MI, 02800	1	0	0	3957	76321	0.000560819
MI, 02901	1	0	0	2323	55038	0.000401649
MI, 02902	1	0	0	2371	53895	0.000390112
MI, 02903	1	0	0	3094	69928	0.000509384
MI, 02904	1	0	0	2700	69684	0.000525275
MI, 02905	1	0	0	2099	53416	0.000391169
MI, 02906	1	0	0	3176	65597	0.000483689
MI, 02907	1	0	0	3025	77496	0.000596595
MI, 02908	1	0	0	3611	94688	0.000703879
MI, 03001	1	0	0	1777	49758	0.000358936
MI, 03002	1	0	0	2144	65676	0.000474246
MI, 03003	1	0	0	1876	51615	0.00038852
MI, 03004	1	0	0	2514	73399	0.000544418
MI, 03005	1	0	0	3046	63533	0.000473804
MI, 03006	1	0	0	2390	62027	0.000471152
MI, 03100	1	0	0	3668	72179	0.000539531
MI, 03201	1	0	0	3166	79699	0.000574585
MI, 03202	1	0	0	2750	58289	0.000439693
MI, 03203	1	0	0	2355	55206	0.000425768
MI, 03204	1	0	0	2691	66766	0.000501059
MI, 03205	1	0	0	1763	45467	0.000338053
MI, 03206	1	0	0	2222	56968	0.000420627
MI, 03207	1	0	0	2038	51749	0.000389226
MI, 03208	0	1	0	2563	78941	0.000598233
MI, 03209	0	1	0	1990	64973	0.000486715
MI, 03210	0	1	0	2310	62427	0.000470365
MI, 03211	0	1	0	3023	79594	0.000593413
MI, 03212	0	1	0	2443	65318	0.00050852
MI, 03213	1	0	0	2184	49713	0.000382132
MI, 03300	1	0	0	2754	64370	0.000475738
MN, 00100	0	0	1	5114	68360	0.000497389
MN, 00200	0	0	1	6016	67500	0.000493778
MN, 00300	0	0	1	7245	84934	0.000622899
MN, 00400	0	0	1	5286	83068	0.000610649
MN, 00500	1	0	0	1643	44828	0.000335291
MN, 00600	0	0	1	5588	76396	0.00056001
MN, 00700	0	0	1	6082	78438	0.000575924
MN, 00800	0	0	1	7381	84653	0.000625122
MN, 00900	1	0	0	3364	64664	0.000472249
MN, 01000	1	0	0	1919	51027	0.000370887
MN, 01101	1	0	0	1361	39500	0.000287549
MN, 01102	1	0	0	1515	47943	0.000356092
MN, 01103	1	0	0	1422	44694	0.000326606
MN, 01201	1	0	0	1833	52816	0.000383176
MN, 01202	1	0	0	1448	45605	0.000333692
MN, 01301	1	0	0	1604	54252	0.000403954
MN, 01302	1	0	0	1301	44847	0.000335111
MN, 01303	0	1	0	1553	53221	0.000392649
MN, 01304	0	1	0	2110	67657	0.000505331
MN, 01401	1	0	0	1603	47503	0.000338736
MN, 01402	1	0	0	1113	46835	0.000339285
MN, 01403	1	0	0	1092	44227	0.000322222
MN, 01404	1	0	0	1428	45123	0.000345733
MN, 01405	1	0	0	1931	59043	0.000427465
MN, 01406	0	1	0	1746	55048	0.000404307
MN, 01407	0	1	0	1954	76319	0.00054706
MN, 01408	1	0	0	1723	56952	0.000411664
MN, 01409	1	0	0	1381	49870	0.000370835
MN, 01410	1	0	0	1701	52960	0.000401267
MN, 01501	1	0	0	2191	64540	0.000477962
MN, 01502	1	0	0	2075	55810	0.000400621
MN, 01503	1	0	0	1254	46248	0.0003421
MN, 01600	1	0	0	1361	45527	0.000327702
MN, 01700	1	0	0	1886	43957	0.000314888
MN, 01800	1	0	0	2104	51815	0.000374948
MN, 01900	0	0	1	5206	60642	0.000449714
MN, 02000	0	0	1	4396	47618	0.00035462
MN, 02100	0	0	1	5104	54633	0.000407513
MN, 02200	0	0	1	2872	49911	0.000361894
