Parameter,Created by,Source,Assumption
HVAC Cooling Efficiency,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.; Efficiency data based on,Check the assumptions on the source tsv files.
HVAC Cooling Type,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"If a house has both Central AC and Room AC, we assume it has Central AC only"
HVAC Has Ducts,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
HVAC Has Shared System,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"Due to low sample sizes for some Heating Types, Heating Type data is queried from two groups:1) Ducted Heating and Ducted Heat Pump and 2) Non-Ducted Heating and Non-Ducted Heat Pump and None; Due to low sample sizes for some Cooling Types, Cooling Type data is queried from two groups:1) Central AC and Heat Pump and 2) Room AC and None"
HVAC Heating Efficiency,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.; Shipment data based on; Efficiency data based on expanded_HESC_HVAC_efficiencies.tsv combined with age of equipment data from RECS,"Check the assumptions on the source tsv files.; If a house has a wall furnace with fuel other than natural_gas, efficiency level based onnatural_gas from expanded_HESC_HVAC_efficiencies.tsv is assigned.; If a house has a heat pump with fuel other than electricity (presumed dual-fuel heat pump), the heating type is assumed to be furnace and not heat pump.; The shipment volume for boiler was not available, so shipment volume for furnace in furnace-shipments-table.tsv was used instead.; Due to low sample size for some categories, the HVAC Has Shared System categories'Cooling Only' and 'None' are combined for the purpose of querying Heating Efficiencydistributions.; For 'other' heating system types, we assign them to Electric Baseboard if fuel is Electric, andassign them to Wall/Floor Furnace if fuel is natural_gas, fuel_oil or propane."
HVAC Heating Type,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"There are no mini-split heat pumps in RECS 2009; Due to low sample sizes for some heating fuel types, heating fuel data is queried from three groups:1) Electricity, 2) None, and 3) Natural Gas, Propane, Fuel Oil, and Other Fuel Data"
HVAC Heating Type And Fuel,sources\recs\2009\tsv_maker.py,,
HVAC Shared Efficiencies,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,Assume that all Heating and Cooling shared systems are fan coils in each dwelling unit served by a central chiller and boiler.; Assume all Heating Only shared systems are hot water baseboards in each dwelling unit served by a central boiler.; Assume all Cooling Only shared systems are fan coils in each dwelling unit served by a central chiller.
Heating Fuel,sources\pums\tsv_maker.py,"5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.","Where sample counts are less than 10, the state average distribution has been inserted."
Heating Setpoint,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Heating Setpoint Has Offset,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Heating Setpoint Offset Magnitude,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Heating Setpoint Offset Period,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Holiday Lighting,,n/a,
Hot Water Distribution,,Engineering Judgement,
Hot Water Fixtures,,Engineering Judgement,
ISO RTO Region,sources\spatial\tsv_maker.py,Spatial definitions are from U.S. Census 2010.; ISO and RTO regions are from EIA Form 861.,
Infiltration,sources\resdb\tsv_maker.py,"Distributions are based on the cumulative distribution functions from the Residential Diagnostics Database (ResDB), http://resdb.lbl.gov/.",All ACH50 are based on Single-Family Detached blower door tests.; Climate zones that are copied; Vintage bins that are copied; Homes are assumed to not be Weatherization Assistance Program (WAP) qualified and not ENERGY STAR certified.
Insulation Crawlspace,,Derived from Home Innovation Research Labs 1982-2007 Data,
Insulation Finished Basement,,Derived from Home Innovation Research Labs 1982-2007 Data,
Insulation Finished Roof,,"Derived from Home Innovation Research Labs 1982-2007 Data; NEEA Residential Building Stock Assessment, 2012",
Insulation Interzonal Floor,,Derived from Home Innovation Research Labs 1982-2007 Data,
Insulation Pier Beam,,Derived from Home Innovation Research Labs 1982-2007 Data; (pre-1980) Engingeering judgment,
Insulation Slab,,Derived from Home Innovation Research Labs 1982-2007 Data; (pre-1980) Engingeering judgment,
Insulation Unfinished Attic,,"Derived from Home Innovation Research Labs 1982-2007 Data; NEEA Residential Building Stock Assessment, 2012; Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.",
Insulation Unfinished Basement,,Derived from Home Innovation Research Labs 1982-2007 Data; (pre-1980) Engineering judgment,
Insulation Wall,,"Derived from Home Innovation Research Labs 1982-2007 Data; Ritschard et al. Single-Family Heating and Cooling Requirements; Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.",
Interior Shading,,Wilson et al. 'Building America House Simulation Protocols' 2014,
Lighting,sources\other\tsv_maker.py,The lighting saturations use 2015 U.S. Lighting Market Characterization report from U.S. DOE office of EERE prepared by Navigant Consulting,"Incandescent constains incandescent, halogen, HID, and Other; CFL contains CFL and LFL."
Lighting Interior Use,,n/a,
Lighting Other Use,,n/a,
Location,sources\spatial\tsv_maker.py,"Spatial definitions are from U.S. Census 2010.; Climate zone data are from ASHRAE 169 2006, IECC 2004, and M.C. Baechler 2015.; ISO and RTO regions are from EIA Form 861.; Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.",
Location Region,sources\spatial\tsv_maker.py,Spatial definitions are from U.S. Census 2010.,
Mechanical Ventilation,,Engineering Judgement,
Misc Extra Refrigerator,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.; Age of refrigerator converted to efficiency levels using ENERGYSTAR shipment-weighted efficienciesby year data from Home Energy Score,"The current year is assumed to be 2020 (previously, it was 2016); Previously, for each year, the EF values were rounded to the nearest EF level, and then the distribution of EF levels were calculated for the age bins. Currently, each year has its own distribution and then we average out the distributions to get the distribution for the age bins. EF for all years are weighted equally when calculating the average distribution for the age bins."
Misc Freezer,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Misc Gas Fireplace,,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Gas Grill,,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Gas Lighting,,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Hot Tub Spa,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Misc Pool,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Misc Pool Heater,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Misc Pool Pump,,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Pool Schedule,,n/a,
Misc Well Pump,,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Natural Ventilation,,Wilson et al. 'Building America House Simulation Protocols' 2014,
Neighbors,,OpenStreetMap data queried by Radiant Labs for Multi-Family and Single-Family Attached; Engineering Judgement for others,
Occupants,sources\recs\2015\tsv_maker.py,U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.,
Orientation,,OpenStreetMap data queried by Radiant Labs.,
Overhangs,,n/a,
PUMA,sources\spatial\tsv_maker.py,Unit counts are from the American Community Survey 5-yr 2016.; Spatial definitions are from U.S. Census 2010.,
PV,,n/a,
Plug Loads,,"Engineering Judgement, Calibration",
Radiant Barrier,,Engineering Judgement,
Range Spot Vent Hour,,derived from national average cooking range schedule in Wilson et al. 'Building America House Simulation Protocols' 2014,
Refrigeration Schedule,,n/a,
Refrigerator,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.; Age of refrigerator converted to efficiency levels using ENERGYSTAR shipment-weighted efficienciesby year data from Home Energy Score,"The current year is assumed to be 2020 (previously, it was 2016); Previously, for each year, the EF values were rounded to the nearest EF level, and then the distribution of EF levels were calculated for the age bins. Currently, each year has its own distribution and then we average out the distributions to get the distribution for the age bins. EF for all years are weighted equally when calculating the average distribution for the age bins."
Roof Material Finished Roof,\Users\oadekany\Documents\GitDocs\resstock-estimation\sources\recs\2009\tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata,,
Roof Material Unfinished Attic,\Users\oadekany\Documents\GitDocs\resstock-estimation\sources\recs\2009\tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata,,
Solar Hot Water,,n/a,
State,sources\spatial\tsv_maker.py,Spatial definitions are from U.S. Census 2010.,
Usage Level,,"Engineering Judgement, Calibration",
Vacancy Status,sources\pums\tsv_maker.py,"5-yr 2016 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.","Where sample counts are less than 10, the state average distribution has been inserted."
Vintage,sources\pums\tsv_maker.py,"5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.",
Vintage ACS,sources\pums\tsv_maker.py,"5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.",
Water Heater,,"(fuel type and tank vs. tankless) RECS 2009; (efficiency vs. age) Wenzel et al., 'Energy Data Sourcebook for the U.S. Residential Sector', 1997",
Window Areas,sources\rbsa_II\tsv_maker.py,2016-17 Residential Building Stock Assessment (RBSA) II microdata.,The window to wall ratios (WWR) are exponential weibull distributed.; Single-family detached window to wall ratios (WWR) are representative of Multi-family buildings with less than 5 units; High-rise Multi-family buildings have a 30% window to wall ratio (WWR)
Windows,,RECS 2009,
