Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Mobile Home	1990s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.001221
Single-Family Attached	2000s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000120
Multi-Family with 2 - 4 Units	2000s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000196
Multi-Family with 5+ Units	2000s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000435
Mobile Home	2000s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000278
Single-Family Attached	2010s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000027
Multi-Family with 2 - 4 Units	2010s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000045
Multi-Family with 5+ Units	2010s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000099
Mobile Home	2010s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000969
Single-Family Attached	<1940	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000095
Multi-Family with 2 - 4 Units	<1940	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000156
Multi-Family with 5+ Units	<1940	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000345
Mobile Home	<1940	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000388
Single-Family Attached	1940s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000038
Multi-Family with 2 - 4 Units	1940s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000062
Multi-Family with 5+ Units	1940s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000138
Mobile Home	1940s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000818
Single-Family Attached	1950s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000080
Multi-Family with 2 - 4 Units	1950s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000131
Multi-Family with 5+ Units	1950s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000291
Mobile Home	1950s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000828
Single-Family Attached	1960s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000081
Multi-Family with 2 - 4 Units	1960s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000133
Multi-Family with 5+ Units	1960s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000295
Mobile Home	1960s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.001182
Single-Family Attached	1970s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000116
Multi-Family with 2 - 4 Units	1970s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000190
Multi-Family with 5+ Units	1970s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000421
Mobile Home	1970s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.001036
Single-Family Attached	1980s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000102
Multi-Family with 2 - 4 Units	1980s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000166
Multi-Family with 5+ Units	1980s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000369
Mobile Home	1980s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.001088
Single-Family Attached	1990s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000107
Multi-Family with 2 - 4 Units	1990s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000175
Multi-Family with 5+ Units	1990s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000387
Mobile Home	1990s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.001109
Single-Family Attached	2000s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000109
Multi-Family with 2 - 4 Units	2000s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000178
Multi-Family with 5+ Units	2000s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000395
Mobile Home	2000s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000252
Single-Family Attached	2010s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000025
Multi-Family with 2 - 4 Units	2010s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000040
Multi-Family with 5+ Units	2010s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000090
Mobile Home	2010s	CR03	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.002671
Single-Family Attached	<1940	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000262
Multi-Family with 2 - 4 Units	<1940	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000429
Multi-Family with 5+ Units	<1940	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000951
Mobile Home	<1940	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.001069
Single-Family Attached	1940s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000105
Multi-Family with 2 - 4 Units	1940s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000172
Multi-Family with 5+ Units	1940s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000381
Mobile Home	1940s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.002255
Single-Family Attached	1950s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000221
Multi-Family with 2 - 4 Units	1950s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000362
Multi-Family with 5+ Units	1950s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000803
Mobile Home	1950s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.002282
Single-Family Attached	1960s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000224
Multi-Family with 2 - 4 Units	1960s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000367
Multi-Family with 5+ Units	1960s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000812
Mobile Home	1960s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.003258
Single-Family Attached	1970s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000319
Multi-Family with 2 - 4 Units	1970s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000523
Multi-Family with 5+ Units	1970s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.001160
Mobile Home	1970s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.002856
Single-Family Attached	1980s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000280
Multi-Family with 2 - 4 Units	1980s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000459
Multi-Family with 5+ Units	1980s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.001017
Mobile Home	1980s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.002999
Single-Family Attached	1990s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000294
Multi-Family with 2 - 4 Units	1990s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000482
Multi-Family with 5+ Units	1990s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.001068
Mobile Home	1990s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.003057
Single-Family Attached	2000s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000300
Multi-Family with 2 - 4 Units	2000s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000491
Multi-Family with 5+ Units	2000s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.001088
Mobile Home	2000s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000695
Single-Family Attached	2010s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000068
Multi-Family with 2 - 4 Units	2010s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000112
Multi-Family with 5+ Units	2010s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000247
Mobile Home	2010s	CR04	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000712
Single-Family Attached	<1940	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000070
Multi-Family with 2 - 4 Units	<1940	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000114
Multi-Family with 5+ Units	<1940	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000254
Mobile Home	<1940	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000285
Single-Family Attached	1940s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000028
Multi-Family with 2 - 4 Units	1940s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000046
Multi-Family with 5+ Units	1940s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000102
Mobile Home	1940s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000601
Single-Family Attached	1950s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000059
Multi-Family with 2 - 4 Units	1950s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000097
Multi-Family with 5+ Units	1950s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000214
Mobile Home	1950s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000608
Single-Family Attached	1960s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000060
Multi-Family with 2 - 4 Units	1960s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000098
Multi-Family with 5+ Units	1960s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000217
Mobile Home	1960s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000869
Single-Family Attached	1970s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000085
Multi-Family with 2 - 4 Units	1970s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000140
Multi-Family with 5+ Units	1970s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000309
Mobile Home	1970s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000762
Single-Family Attached	1980s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000075
Multi-Family with 2 - 4 Units	1980s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000122
Multi-Family with 5+ Units	1980s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000271
Mobile Home	1980s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000800
Single-Family Attached	1990s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000078
Multi-Family with 2 - 4 Units	1990s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000128
Multi-Family with 5+ Units	1990s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000285
Mobile Home	1990s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000815
Single-Family Attached	2000s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000080
Multi-Family with 2 - 4 Units	2000s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000131
Multi-Family with 5+ Units	2000s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000290
Mobile Home	2000s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000185
Single-Family Attached	2010s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000018
Multi-Family with 2 - 4 Units	2010s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000030
Multi-Family with 5+ Units	2010s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000066
Mobile Home	2010s	CR05	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000700
Single-Family Attached	<1940	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000069
Multi-Family with 2 - 4 Units	<1940	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000112
Multi-Family with 5+ Units	<1940	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000249
Mobile Home	<1940	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000280
Single-Family Attached	1940s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000027
Multi-Family with 2 - 4 Units	1940s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000045
Multi-Family with 5+ Units	1940s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000100
Mobile Home	1940s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000591
Single-Family Attached	1950s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000058
Multi-Family with 2 - 4 Units	1950s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000095
Multi-Family with 5+ Units	1950s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000210
Mobile Home	1950s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000598
Single-Family Attached	1960s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000059
Multi-Family with 2 - 4 Units	1960s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000096
Multi-Family with 5+ Units	1960s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000213
Mobile Home	1960s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000854
Single-Family Attached	1970s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000084
Multi-Family with 2 - 4 Units	1970s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000137
Multi-Family with 5+ Units	1970s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000304
Mobile Home	1970s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000749
Single-Family Attached	1980s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000073
Multi-Family with 2 - 4 Units	1980s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000120
Multi-Family with 5+ Units	1980s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000267
Mobile Home	1980s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000786
Single-Family Attached	1990s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000077
Multi-Family with 2 - 4 Units	1990s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000126
Multi-Family with 5+ Units	1990s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000280
Mobile Home	1990s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000801
Single-Family Attached	2000s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000079
Multi-Family with 2 - 4 Units	2000s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000129
Multi-Family with 5+ Units	2000s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000285
Mobile Home	2000s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000182
Single-Family Attached	2010s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000018
Multi-Family with 2 - 4 Units	2010s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000029
Multi-Family with 5+ Units	2010s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000065
Mobile Home	2010s	CR06	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.002598
Single-Family Attached	<1940	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000255
Multi-Family with 2 - 4 Units	<1940	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000417
Multi-Family with 5+ Units	<1940	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000925
Mobile Home	<1940	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.001040
Single-Family Attached	1940s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000102
Multi-Family with 2 - 4 Units	1940s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000167
Multi-Family with 5+ Units	1940s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000370
Mobile Home	1940s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.002193
Single-Family Attached	1950s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000215
Multi-Family with 2 - 4 Units	1950s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000352
Multi-Family with 5+ Units	1950s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000781
Mobile Home	1950s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.002219
Single-Family Attached	1960s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000217
Multi-Family with 2 - 4 Units	1960s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000357
Multi-Family with 5+ Units	1960s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000790
Mobile Home	1960s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.003169
Single-Family Attached	1970s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000311
Multi-Family with 2 - 4 Units	1970s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000509
Multi-Family with 5+ Units	1970s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.001128
Mobile Home	1970s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.002778
Single-Family Attached	1980s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000272
Multi-Family with 2 - 4 Units	1980s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000446
Multi-Family with 5+ Units	1980s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000989
Mobile Home	1980s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.002917
Single-Family Attached	1990s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000286
Multi-Family with 2 - 4 Units	1990s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000469
Multi-Family with 5+ Units	1990s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.001039
Mobile Home	1990s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.002973
Single-Family Attached	2000s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000291
Multi-Family with 2 - 4 Units	2000s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000478
Multi-Family with 5+ Units	2000s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.001059
Mobile Home	2000s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000676
Single-Family Attached	2010s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000066
Multi-Family with 2 - 4 Units	2010s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000109
Multi-Family with 5+ Units	2010s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000241
Mobile Home	2010s	CR07	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.002562
Single-Family Attached	<1940	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000251
Multi-Family with 2 - 4 Units	<1940	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000412
Multi-Family with 5+ Units	<1940	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000912
Mobile Home	<1940	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.001026
Single-Family Attached	1940s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000100
Multi-Family with 2 - 4 Units	1940s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000165
Multi-Family with 5+ Units	1940s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000365
Mobile Home	1940s	CR08	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
