Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 80 gal	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless
CR06	Electricity	0.086560	0.384558	0.502759	0.026123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.372461	0.596968	0.030571	0.000000	0.000000	0.000000	0.000000
CR06	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR06	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333596	0.520120	0.146284
CR07	Electricity	0.062072	0.394116	0.507304	0.036509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.170013	0.176617	0.653370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294298	0.648950	0.056751	0.000000	0.000000	0.000000	0.000000
CR07	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232911	0.562341	0.204746
CR08	Electricity	0.069035	0.341506	0.569197	0.020262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.301252	0.651451	0.047297	0.000000	0.000000	0.000000	0.000000
CR08	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.234244	0.548835	0.216921
CR09	Electricity	0.068350	0.337345	0.563107	0.031198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.306018	0.647151	0.046830	0.000000	0.000000	0.000000	0.000000
CR09	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.221652	0.527825	0.250523
CR10	Electricity	0.068834	0.322892	0.567411	0.040863	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.306366	0.636997	0.056637	0.000000	0.000000	0.000000	0.000000
CR10	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.223236	0.606255	0.170509
CR11	Electricity	0.058885	0.420477	0.478980	0.041657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460577	0.492192	0.047231	0.000000	0.000000	0.000000	0.000000
CR11	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR11	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.364634	0.495896	0.139471
