Dependency=Heating Fuel	Dependency=Location Region	Dependency=Usage Level	"Option=Gas, 80% Usage"	"Option=Gas, 100% Usage"	"Option=Gas, 120% Usage"	"Option=Propane, 80% Usage"	"Option=Propane, 100% Usage"	"Option=Propane, 120% Usage"	"Option=Electric, 80% Usage"	"Option=Electric, 100% Usage"	"Option=Electric, 120% Usage"	Option=None
Fuel Oil	CR06	Average	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR06	Average	0	0.1	0	0	0	0	0	0.88	0	0.02
None	CR06	Average	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR06	Average	0	0	0	0	0	0	0	0.95	0	0.05
Propane	CR06	Average	0	0	0	0	0	0	0	1	0	0
Electricity	CR06	Low	0	0	0	0.01	0	0	0.95	0	0	0.04
Fuel Oil	CR06	Low	0	0	0	0	0	0	1	0	0	0
Natural Gas	CR06	Low	0.1	0	0	0	0	0	0.88	0	0	0.02
None	CR06	Low	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR06	Low	0	0	0	0	0	0	0.95	0	0	0.05
Propane	CR06	Low	0	0	0	0	0	0	1	0	0	0
Electricity	CR06	Medium	0	0	0	0	0.01	0	0	0.95	0	0.04
Fuel Oil	CR06	Medium	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR06	Medium	0	0.1	0	0	0	0	0	0.88	0	0.02
None	CR06	Medium	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR06	Medium	0	0	0	0	0	0	0	0.95	0	0.05
Propane	CR06	Medium	0	0	0	0	0	0	0	1	0	0
Electricity	CR06	High	0	0	0	0	0	0.01	0	0	0.95	0.04
Fuel Oil	CR06	High	0	0	0	0	0	0	0	0	1	0
Natural Gas	CR06	High	0	0	0.1	0	0	0	0	0	0.88	0.02
None	CR06	High	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR06	High	0	0	0	0	0	0	0	0	0.95	0.05
Propane	CR06	High	0	0	0	0	0	0	0	0	1	0
Electricity	CR07	Average	0	0.03	0	0	0.03	0	0	0.79	0	0.15
Fuel Oil	CR07	Average	0	0.04	0	0	0.02	0	0	0.84	0	0.1
Natural Gas	CR07	Average	0	0.54	0	0	0	0	0	0.41	0	0.05
None	CR07	Average	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR07	Average	0	0.06	0	0	0	0	0	0.82	0	0.12
Propane	CR07	Average	0	0.02	0	0	0.25	0	0	0.69	0	0.04
Electricity	CR07	Low	0.03	0	0	0.03	0	0	0.79	0	0	0.15
Fuel Oil	CR07	Low	0.04	0	0	0.02	0	0	0.84	0	0	0.1
Natural Gas	CR07	Low	0.54	0	0	0	0	0	0.41	0	0	0.05
None	CR07	Low	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR07	Low	0.06	0	0	0	0	0	0.82	0	0	0.12
Propane	CR07	Low	0.02	0	0	0.25	0	0	0.69	0	0	0.04
Electricity	CR07	Medium	0	0.03	0	0	0.03	0	0	0.79	0	0.15
Fuel Oil	CR07	Medium	0	0.04	0	0	0.02	0	0	0.84	0	0.1
Natural Gas	CR07	Medium	0	0.54	0	0	0	0	0	0.41	0	0.05
None	CR07	Medium	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR07	Medium	0	0.06	0	0	0	0	0	0.82	0	0.12
Propane	CR07	Medium	0	0.02	0	0	0.25	0	0	0.69	0	0.04
Electricity	CR07	High	0	0	0.03	0	0	0.03	0	0	0.79	0.15
Fuel Oil	CR07	High	0	0	0.04	0	0	0.02	0	0	0.84	0.1
Natural Gas	CR07	High	0	0	0.54	0	0	0	0	0	0.41	0.05
None	CR07	High	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR07	High	0	0	0.06	0	0	0	0	0	0.82	0.12
Propane	CR07	High	0	0	0.02	0	0	0.25	0	0	0.69	0.04
Electricity	CR08	Average	0	0.01	0	0	0.01	0	0	0.95	0	0.03
Fuel Oil	CR08	Average	0	0	0	0	0.02	0	0	0.91	0	0.06
Natural Gas	CR08	Average	0	0.12	0	0	0	0	0	0.86	0	0.02
None	CR08	Average	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR08	Average	0	0	0	0	0.02	0	0	0.9	0	0.08
Propane	CR08	Average	0	0	0	0	0.04	0	0	0.94	0	0.02
Electricity	CR08	Low	0.01	0	0	0.01	0	0	0.95	0	0	0.03
Fuel Oil	CR08	Low	0	0	0	0.02	0	0	0.91	0	0	0.06
Natural Gas	CR08	Low	0.12	0	0	0	0	0	0.86	0	0	0.02
None	CR08	Low	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR08	Low	0	0	0	0.02	0	0	0.9	0	0	0.08
Propane	CR08	Low	0	0	0	0.04	0	0	0.94	0	0	0.02
Electricity	CR08	Medium	0	0.01	0	0	0.01	0	0	0.95	0	0.03
Fuel Oil	CR08	Medium	0	0	0	0	0.02	0	0	0.91	0	0.06
Natural Gas	CR08	Medium	0	0.12	0	0	0	0	0	0.86	0	0.02
None	CR08	Medium	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR08	Medium	0	0	0	0	0.02	0	0	0.9	0	0.08
Propane	CR08	Medium	0	0	0	0	0.04	0	0	0.94	0	0.02
Electricity	CR08	High	0	0	0.01	0	0	0.01	0	0	0.95	0.03
Fuel Oil	CR08	High	0	0	0	0	0	0.02	0	0	0.91	0.06
Natural Gas	CR08	High	0	0	0.12	0	0	0	0	0	0.86	0.02
None	CR08	High	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR08	High	0	0	0	0	0	0.02	0	0	0.9	0.08
Propane	CR08	High	0	0	0	0	0	0.04	0	0	0.94	0.02
Electricity	CR09	Average	0	0.02	0	0	0.01	0	0	0.92	0	0.05
Fuel Oil	CR09	Average	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR09	Average	0	0.17	0	0	0	0	0	0.78	0	0.05
None	CR09	Average	0	0.06	0	0	0.02	0	0	0.66	0	0.26
Other Fuel	CR09	Average	0	0.02	0	0	0	0	0	0.69	0	0.3
Propane	CR09	Average	0	0	0	0	0.09	0	0	0.86	0	0.06
Electricity	CR09	Low	0.02	0	0	0.01	0	0	0.92	0	0	0.05
Fuel Oil	CR09	Low	0	0	0	0	0	0	1	0	0	0
Natural Gas	CR09	Low	0.17	0	0	0	0	0	0.78	0	0	0.05
None	CR09	Low	0.06	0	0	0.02	0	0	0.66	0	0	0.26
Other Fuel	CR09	Low	0.02	0	0	0	0	0	0.69	0	0	0.3
Propane	CR09	Low	0	0	0	0.09	0	0	0.86	0	0	0.06
Electricity	CR09	Medium	0	0.02	0	0	0.01	0	0	0.92	0	0.05
Fuel Oil	CR09	Medium	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR09	Medium	0	0.17	0	0	0	0	0	0.78	0	0.05
None	CR09	Medium	0	0.06	0	0	0.02	0	0	0.66	0	0.26
Other Fuel	CR09	Medium	0	0.02	0	0	0	0	0	0.69	0	0.3
Propane	CR09	Medium	0	0	0	0	0.09	0	0	0.86	0	0.06
Electricity	CR09	High	0	0	0.02	0	0	0.01	0	0	0.92	0.05
Fuel Oil	CR09	High	0	0	0	0	0	0	0	0	1	0
Natural Gas	CR09	High	0	0	0.17	0	0	0	0	0	0.78	0.05
None	CR09	High	0	0	0.06	0	0	0.02	0	0	0.66	0.26
Other Fuel	CR09	High	0	0	0.02	0	0	0	0	0	0.69	0.3
Propane	CR09	High	0	0	0	0	0	0.09	0	0	0.86	0.06
Electricity	CR10	Average	0	0.09	0	0	0	0	0	0.85	0	0.07
Fuel Oil	CR10	Average	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR10	Average	0	0.32	0	0	0	0	0	0.61	0	0.07
None	CR10	Average	0	0.22	0	0	0	0	0	0.78	0	0
Other Fuel	CR10	Average	0	0	0	0	0.09	0	0	0.65	0	0.25
Propane	CR10	Average	0	0	0	0	0	0	0	1	0	0
Electricity	CR10	Low	0.09	0	0	0	0	0	0.85	0	0	0.07
Fuel Oil	CR10	Low	0	0	0	0	0	0	1	0	0	0
Natural Gas	CR10	Low	0.32	0	0	0	0	0	0.61	0	0	0.07
None	CR10	Low	0.22	0	0	0	0	0	0.78	0	0	0
Other Fuel	CR10	Low	0	0	0	0.09	0	0	0.65	0	0	0.25
Propane	CR10	Low	0	0	0	0	0	0	1	0	0	0
Electricity	CR10	Medium	0	0.09	0	0	0	0	0	0.85	0	0.07
Fuel Oil	CR10	Medium	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR10	Medium	0	0.32	0	0	0	0	0	0.61	0	0.07
None	CR10	Medium	0	0.22	0	0	0	0	0	0.78	0	0
Other Fuel	CR10	Medium	0	0	0	0	0.09	0	0	0.65	0	0.25
Propane	CR10	Medium	0	0	0	0	0	0	0	1	0	0
Electricity	CR10	High	0	0	0.09	0	0	0	0	0	0.85	0.07
Fuel Oil	CR10	High	0	0	0	0	0	0	0	0	1	0
Natural Gas	CR10	High	0	0	0.32	0	0	0	0	0	0.61	0.07
None	CR10	High	0	0	0.22	0	0	0	0	0	0.78	0
Other Fuel	CR10	High	0	0	0	0	0	0.09	0	0	0.65	0.25
Propane	CR10	High	0	0	0	0	0	0	0	0	1	0
Electricity	CR11	Average	0	0.31	0	0	0	0	0	0.63	0	0.06
Fuel Oil	CR11	Average	0	0	0	0	1	0	0	0	0	0
Natural Gas	CR11	Average	0	0.61	0	0	0	0	0	0.35	0	0.03
None	CR11	Average	0	0.57	0	0	0	0	0	0.25	0	0.19
Other Fuel	CR11	Average	0	0.31	0	0	0.06	0	0	0.58	0	0.06
Propane	CR11	Average	0	0	0	0	0.21	0	0	0.74	0	0.04
Electricity	CR11	Low	0.31	0	0	0	0	0	0.63	0	0	0.06
Fuel Oil	CR11	Low	0	0	0	1	0	0	0	0	0	0
Natural Gas	CR11	Low	0.61	0	0	0	0	0	0.35	0	0	0.03
None	CR11	Low	0.57	0	0	0	0	0	0.25	0	0	0.19
Other Fuel	CR11	Low	0.31	0	0	0.06	0	0	0.58	0	0	0.06
Propane	CR11	Low	0	0	0	0.21	0	0	0.74	0	0	0.04
Electricity	CR11	Medium	0	0.31	0	0	0	0	0	0.63	0	0.06
Fuel Oil	CR11	Medium	0	0	0	0	1	0	0	0	0	0
Natural Gas	CR11	Medium	0	0.61	0	0	0	0	0	0.35	0	0.03
None	CR11	Medium	0	0.57	0	0	0	0	0	0.25	0	0.19
Other Fuel	CR11	Medium	0	0.31	0	0	0.06	0	0	0.58	0	0.06
Propane	CR11	Medium	0	0	0	0	0.21	0	0	0.74	0	0.04
Electricity	CR11	High	0	0	0.31	0	0	0	0	0	0.63	0.06
Fuel Oil	CR11	High	0	0	0	0	0	1	0	0	0	0
Natural Gas	CR11	High	0	0	0.61	0	0	0	0	0	0.35	0.03
None	CR11	High	0	0	0.57	0	0	0	0	0	0.25	0.19
Other Fuel	CR11	High	0	0	0.31	0	0	0.06	0	0	0.58	0.06
Propane	CR11	High	0	0	0	0	0	0.21	0	0	0.74	0.04
