Dependency=Location Region	Dependency=Vintage	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Count	Weight
CR07	2000s	0.145786	0.337992	0.139534	0.376688	55.000000	769168.165800
CR08	<1950	0.486043	0.292751	0.125999	0.095207	208.000000	1416592.139000
CR08	1950s	0.543083	0.308444	0.100597	0.047875	144.000000	896347.962700
CR08	1960s	0.446969	0.350995	0.103016	0.099019	169.000000	1136045.046000
CR08	1970s	0.366893	0.299614	0.224056	0.109438	187.000000	1089069.278000
CR08	1980s	0.224491	0.384544	0.270084	0.120881	149.000000	1121320.159000
CR08	1990s	0.155881	0.245359	0.263586	0.335174	183.000000	1426602.650000
CR08	2000s	0.152655	0.326258	0.226221	0.294867	177.000000	1154235.459000
CR09	<1950	0.647197	0.238673	0.075709	0.038421	204.000000	2164358.016000
CR09	1950s	0.560873	0.379241	0.045931	0.013956	242.000000	2343689.028000
CR09	1960s	0.444837	0.407141	0.095921	0.052101	238.000000	2448000.909000
CR09	1970s	0.390507	0.439715	0.121550	0.048228	326.000000	3111499.307000
CR09	1980s	0.351219	0.478708	0.117814	0.052259	348.000000	3304929.763000
CR09	1990s	0.291255	0.438790	0.158016	0.111940	396.000000	3902584.068000
CR09	2000s	0.248297	0.368945	0.229528	0.153230	513.000000	5038215.524000
