BP Solar BP275,2000 (E),0.63,c-Si,36,1,4.75,21.4,4.45,17,0.0004,-0.0005,0.991,0.009,-0.085,0,-0.085,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.7,3.22,1.105,-0.105
BP Solar BP5130,2000 (E),1.09,c-Si,60,1,4.8,36.3,4.5,29.8,0.00008,-0.0005,0.991,0.009,-0.156,0,-0.158,0,1.38,0.091575,-8.79359,0.9408,0.054204,-0.011043,0.00080875,-0.00002097,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.993,0.007,4.76,3.22,1.105,-0.105
BP Solar BP580,2002 (E),0.646,c-Si,36,1,4.7,22,4.44,18,0.00047,-0.00008,0.996,0.004,-0.088,0,-0.092,0,1.241,0.40638,-3.98177,0.9439,0.052256,-0.011388,0.00086866,-0.000022491,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,4.65,3.3,1.097,-0.097
BP Solar BP585,2002 (E),0.646,c-Si,36,1,5,22.1,4.72,18,0.00047,-0.00008,0.996,0.004,-0.088,0,-0.092,0,1.241,0.40638,-3.98177,0.9439,0.052256,-0.011388,0.00086866,-0.000022491,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,4.95,3.5,1.097,-0.097
Shell SM50-H,2002 (E),0.401,c-Si,33,1,3.4,19.8,3.15,15.9,0.00055,-0.00008,1.02,-0.02,-0.0798,0,-0.0816,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.36,2.31,1.122,-0.122
Shell SM55,2002 (E),0.425,c-Si,36,1,3.4,21.7,3.15,17.4,0.00055,-0.00008,1.02,-0.02,-0.087,0,-0.089,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.36,2.31,1.122,-0.122
Shell SP140,2002 (E),1.32,c-Si,72,1,4.7,42.8,4.24,33,0.00007,-0.000552,1.002,-0.002,-0.174,0,-0.178,0,1.289,0.004416,-7.5891,0.9377,0.055704,-0.01074,0.00074647,-0.000017964,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.981,0.019,4.61,3.03,1.143,-0.143
Shell SP150,2002 (E),1.32,c-Si,72,1,4.8,43.4,4.41,34,0.00007,-0.000552,1.002,-0.002,-0.174,0,-0.178,0,1.289,0.004416,-7.5891,0.9377,0.055704,-0.01074,0.00074647,-0.000017964,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.981,0.019,4.74,3.18,1.143,-0.143
Siemens SM50,1999 (E),0.425,c-Si,36,1,3.4,21.4,3.05,16.6,0.00055,-0.00008,1.02,-0.02,-0.087,0,-0.089,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.32,2.21,1.122,-0.122
Siemens SM50/H,1999 (E),0.401,c-Si,33,1,3.35,19.8,3.15,15.9,0.00055,-0.00008,1.02,-0.02,-0.0798,0,-0.0816,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.345,2.36,1.122,-0.122
Siemens SM55,1999 (E),0.425,c-Si,36,1,3.45,21.7,3.15,17.4,0.00055,-0.00008,1.02,-0.02,-0.087,0,-0.089,0,1.086,0.08818,-8.434,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,3.4,2.29,1.122,-0.122
Siemens SP130,2001 (E),1.317,c-Si,72,1,4.5,42.8,3.95,33,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.42,2.73,1.159,-0.159
Siemens SP140,2001 (E),1.317,c-Si,72,1,4.7,42.8,4.25,33,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.66,2.99,1.159,-0.159
Siemens SP150,2001 (E),1.317,c-Si,72,1,4.8,43.4,4.4,34,0.00026,-0.00052,1.0206,-0.0206,-0.17,0,-0.17,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.75,3.14,1.159,-0.159
Siemens SP65 (12V),2001 (E),0.633,c-Si,36,1,4.5,21.4,3.95,16.5,0.00026,-0.00052,1.0206,-0.0206,-0.085,0,-0.085,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.41,2.74,1.159,-0.159
Siemens SP70 (12V),1999 (E),0.633,c-Si,36,1,4.7,21.4,4.25,16.5,0.00026,-0.00052,1.0206,-0.0206,-0.085,0,-0.085,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.65,2.99,1.159,-0.159
Siemens SP70 (6V),1999 (E),0.633,c-Si,18,2,9.4,10.7,8.5,8.25,0.00026,-0.00052,1.0206,-0.0206,-0.0425,0,-0.0425,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,9.32,5.98,1.159,-0.159
Siemens SP75 (12V),1999 (E),0.633,c-Si,36,1,4.8,21.7,4.4,17,0.00026,-0.00052,1.0206,-0.0206,-0.085,0,-0.085,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,4.77,3.12,1.159,-0.159
Siemens SP75 (6V),1999 (E),0.633,c-Si,18,2,9.6,10.9,8.8,8.5,0.00026,-0.00052,1.0206,-0.0206,-0.0425,0,-0.0425,0,1.279,-0.14909,-8.95853,0.938,0.054228,-0.0099032,0.00072969,-0.000019074,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.998,0.002,9.54,6.24,1.159,-0.159
Siemens SR100 (12V),1999 (E),0.89,c-Si,36,1,6.3,22,5.6,17.7,0.000396,-0.000214,0.987,0.013,-0.0905,0,-0.0949,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,6.24,3.85,1.142,-0.142
Siemens SR100 (6V),1999 (E),0.89,c-Si,18,2,12.6,11,11.2,8.85,0.000396,-0.000214,0.987,0.013,-0.0452,0,-0.0474,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,12.48,7.72,1.142,-0.142
Siemens SR50 (12V),1999 (E),0.465,c-Si,36,1,3.2,21.6,2.95,17,0.000396,-0.000214,0.987,0.013,-0.0905,0,-0.0949,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,3.17,2.11,1.142,-0.142
Siemens SR50 (6V),1999 (E),0.465,c-Si,18,2,6.4,10.8,5.9,8.5,0.000396,-0.000214,0.987,0.013,-0.0452,0,-0.0474,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,6.36,4.19,1.142,-0.142
Siemens SR90 (12V),1999 (E),0.89,c-Si,36,1,6.1,21.6,5.4,17,0.000396,-0.000214,0.987,0.013,-0.0905,0,-0.0949,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,6,3.73,1.142,-0.142
Siemens SR90 (6V),1999 (E),0.89,c-Si,18,2,12.2,10.8,10.8,8.5,0.000396,-0.000214,0.987,0.013,-0.0452,0,-0.0474,0,1.415,0.04104,-6.75822,0.922,0.06865,-0.01267,0.001133,-0.00004029,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,0.991,0.009,12,7.47,1.142,-0.142
SunPower SPR-200,2004(E),1.244,c-Si,72,1,5.4,47.75,5,40,0.000395,-0.000097,1.0168,-0.0168,-0.1382,0,-0.1398,0,1.221,0.291066,-4.735463,0.94045,0.052641,-0.0093897,0.00072623,-0.000019938,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,1.002,-0.002,5.38,3.69,1.0981,-0.0981
SunPower SPR-210,2004(E),1.244,c-Si,72,1,5.65,47.75,5.25,40,0.000395,-0.000097,1.0168,-0.0168,-0.1382,0,-0.1398,0,1.221,0.291066,-4.735463,0.94045,0.052641,-0.0093897,0.00072623,-0.000019938,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,1.002,-0.002,5.64,3.82,1.0981,-0.0981
SunPower SPR-90,2004(E),0.547,c-Si,32,1,5.5,21.2,5.1,17.7,0.000395,-0.000097,1.0168,-0.0168,-0.06142,0,-0.06213,0,1.221,0.291066,-4.735463,0.94045,0.052641,-0.0093897,0.00072623,-0.000019938,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.56,-0.075,1.002,-0.002,5.41,3.79,1.0981,-0.0981
ASE-100-ATF/17 (100),1999 (E),0.828,EFG mc-Si,36,2,6.4,21.1,5.8,17.2,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,6.32,4.12,1.131,-0.131
ASE-100-ATF/17 (85),1999 (E),0.828,EFG mc-Si,36,2,5.6,20.7,5.1,16.8,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,5.53,3.65,1.131,-0.131
ASE-100-ATF/17 (92),1999 (E),0.828,EFG mc-Si,36,2,6,20.8,5.4,17,0.00078,0.0001,0.997,0.003,-0.076,0,-0.079,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,5.93,3.86,1.131,-0.131
ASE-100-ATF/34 (100),1999 (E),0.828,EFG mc-Si,72,1,3.2,42.2,2.9,34.4,0.00078,0.0001,0.997,0.003,-0.152,0,-0.158,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,3.16,2.06,1.131,-0.131
ASE-100-ATF/34 (85),1999 (E),0.828,EFG mc-Si,36,2,2.8,41.4,2.5,33.6,0.00078,0.0001,0.997,0.003,-0.152,0,-0.158,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,2.76,1.78,1.131,-0.131
ASE-100-ATF/34 (92),1999 (E),0.828,EFG mc-Si,72,1,3,41.6,2.7,34,0.00078,0.0001,0.997,0.003,-0.152,0,-0.158,0,1.29,0.208062,-8.60848,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,3,1,-3.47,-0.0594,0.983,0.017,2.96,1.92,1.131,-0.131
ASE-300-DGF/17 (265),1999 (E),2.427,EFG mc-Si,36,6,17.3,20.7,15.8,16.8,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,17.1,11.3,1.127,-0.127
ASE-300-DGF/17 (285),1999 (E),2.427,EFG mc-Si,36,6,18.4,20.8,16.8,17,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,18.2,12,1.127,-0.127
ASE-300-DGF/17 (300),1999 (E),2.427,EFG mc-Si,36,6,19.1,21.1,17.4,17.2,0.00092,0.00036,0.994,0.006,-0.0756,0,-0.0793,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,18.9,12.5,1.127,-0.127
ASE-300-DGF/50 (265),1999 (E),2.427,EFG mc-Si,108,2,5.8,62,5.3,50,0.00092,0.00036,0.994,0.006,-0.227,0,-0.238,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,5.7,3.9,1.127,-0.127
ASE-300-DGF/50 (285),1999 (E),2.427,EFG mc-Si,108,2,6.2,62.5,5.6,50.5,0.00092,0.00036,0.994,0.006,-0.227,0,-0.238,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,6.13,4.02,1.127,-0.127
ASE-300-DGF/50 (300),1999 (E),2.427,EFG mc-Si,108,2,6.5,63.3,5.9,51,0.00092,0.00036,0.994,0.006,-0.227,0,-0.238,0,1.288,0.006258,-7.69008,0.936,0.053645,-0.0079402,0.00052228,-0.000013142,1,-0.002438,0.0003103,-0.00001246,2.11E-07,-1.36E-09,2,1,-3.47,-0.0594,0.9843,0.0157,6.43,4.24,1.127,-0.127
