Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane
Multi-Family with 2 - 4 Units	Fuel Oil	CR04	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR04	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR04	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR04	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR05	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR05	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR05	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR05	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR05	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR06	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR06	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR06	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR06	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR06	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR07	0.486995	0.000000	0.381981	0.000000	0.131024
Multi-Family with 2 - 4 Units	Fuel Oil	CR07	0.309773	0.000000	0.586378	0.000000	0.103849
Multi-Family with 5+ Units	Fuel Oil	CR07	0.309773	0.000000	0.586378	0.000000	0.103849
Single-Family Attached	Fuel Oil	CR07	0.467254	0.000000	0.431793	0.000000	0.100953
Single-Family Detached	Fuel Oil	CR07	0.486995	0.000000	0.381981	0.000000	0.131024
Mobile Home	Fuel Oil	CR08	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR08	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR08	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR08	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR08	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR09	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR09	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR09	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR09	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR09	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR10	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR10	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR10	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR10	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR10	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Fuel Oil	CR11	0.838029	0.000000	0.095226	0.000000	0.066746
Multi-Family with 2 - 4 Units	Fuel Oil	CR11	0.668099	0.000000	0.331901	0.000000	0.000000
Multi-Family with 5+ Units	Fuel Oil	CR11	0.668099	0.000000	0.331901	0.000000	0.000000
Single-Family Attached	Fuel Oil	CR11	0.585764	0.000000	0.390631	0.000000	0.023605
Single-Family Detached	Fuel Oil	CR11	0.838029	0.000000	0.095226	0.000000	0.066746
Mobile Home	Natural Gas	CR02	0.164528	0.000000	0.835472	0.000000	0.000000
Multi-Family with 2 - 4 Units	Natural Gas	CR02	0.145538	0.000000	0.836334	0.000000	0.018128
Multi-Family with 5+ Units	Natural Gas	CR02	0.145538	0.000000	0.836334	0.000000	0.018128
Single-Family Attached	Natural Gas	CR02	0.086475	0.000000	0.913525	0.000000	0.000000
Single-Family Detached	Natural Gas	CR02	0.164528	0.000000	0.835472	0.000000	0.000000
Mobile Home	Natural Gas	CR03	0.067380	0.000000	0.931696	0.000000	0.000922
Multi-Family with 2 - 4 Units	Natural Gas	CR03	0.150972	0.000000	0.844514	0.000000	0.004513
Multi-Family with 5+ Units	Natural Gas	CR03	0.150972	0.000000	0.844514	0.000000	0.004513
Single-Family Attached	Natural Gas	CR03	0.252274	0.000000	0.747726	0.000000	0.000000
Single-Family Detached	Natural Gas	CR03	0.067380	0.000000	0.931696	0.000000	0.000922
Mobile Home	Natural Gas	CR04	0.116622	0.000000	0.881121	0.000000	0.002257
Multi-Family with 2 - 4 Units	Natural Gas	CR04	0.016949	0.000000	0.983051	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR04	0.016949	0.000000	0.983051	0.000000	0.000000
Single-Family Attached	Natural Gas	CR04	0.052672	0.000000	0.947328	0.000000	0.000000
Single-Family Detached	Natural Gas	CR04	0.116622	0.000000	0.881121	0.000000	0.002257
Mobile Home	Natural Gas	CR05	0.129005	0.000000	0.862182	0.000000	0.008812
Multi-Family with 2 - 4 Units	Natural Gas	CR05	0.069618	0.000000	0.930382	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR05	0.069618	0.000000	0.930382	0.000000	0.000000
Single-Family Attached	Natural Gas	CR05	0.131250	0.000000	0.868750	0.000000	0.000000
Single-Family Detached	Natural Gas	CR05	0.129005	0.000000	0.862182	0.000000	0.008812
Mobile Home	Natural Gas	CR06	0.250384	0.000000	0.749616	0.000000	0.000000
Multi-Family with 2 - 4 Units	Natural Gas	CR06	0.000000	0.000000	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR06	0.000000	0.000000	1.000000	0.000000	0.000000
Single-Family Attached	Natural Gas	CR06	0.128036	0.000000	0.871964	0.000000	0.000000
Single-Family Detached	Natural Gas	CR06	0.250384	0.000000	0.749616	0.000000	0.000000
Mobile Home	Natural Gas	CR07	0.050572	0.000000	0.949155	0.000000	0.000273
Multi-Family with 2 - 4 Units	Natural Gas	CR07	0.095873	0.000000	0.898311	0.000000	0.005817
Multi-Family with 5+ Units	Natural Gas	CR07	0.095873	0.000000	0.898311	0.000000	0.005817
Single-Family Attached	Natural Gas	CR07	0.070493	0.000000	0.925780	0.000000	0.003727
Single-Family Detached	Natural Gas	CR07	0.050572	0.000000	0.949155	0.000000	0.000273
Mobile Home	Natural Gas	CR08	0.158447	0.000000	0.841553	0.000000	0.000000
Multi-Family with 2 - 4 Units	Natural Gas	CR08	0.260175	0.000000	0.739825	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR08	0.260175	0.000000	0.739825	0.000000	0.000000
Single-Family Attached	Natural Gas	CR08	0.085172	0.000000	0.914828	0.000000	0.000000
Single-Family Detached	Natural Gas	CR08	0.158447	0.000000	0.841553	0.000000	0.000000
Mobile Home	Natural Gas	CR09	0.158193	0.000000	0.838390	0.001976	0.001441
Multi-Family with 2 - 4 Units	Natural Gas	CR09	0.136012	0.000000	0.863988	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR09	0.136012	0.000000	0.863988	0.000000	0.000000
Single-Family Attached	Natural Gas	CR09	0.095575	0.000000	0.904425	0.000000	0.000000
Single-Family Detached	Natural Gas	CR09	0.158193	0.000000	0.838390	0.001976	0.001441
Mobile Home	Natural Gas	CR10	0.076316	0.000000	0.923684	0.000000	0.000000
Multi-Family with 2 - 4 Units	Natural Gas	CR10	0.134255	0.000000	0.865745	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR10	0.134255	0.000000	0.865745	0.000000	0.000000
Single-Family Attached	Natural Gas	CR10	0.000000	0.000000	1.000000	0.000000	0.000000
Single-Family Detached	Natural Gas	CR10	0.076316	0.000000	0.923684	0.000000	0.000000
Mobile Home	Natural Gas	CR11	0.021058	0.000000	0.976004	0.002938	0.000000
Multi-Family with 2 - 4 Units	Natural Gas	CR11	0.024661	0.000000	0.975339	0.000000	0.000000
Multi-Family with 5+ Units	Natural Gas	CR11	0.024661	0.000000	0.975339	0.000000	0.000000
Single-Family Attached	Natural Gas	CR11	0.033342	0.000000	0.966658	0.000000	0.000000
Single-Family Detached	Natural Gas	CR11	0.021058	0.000000	0.976004	0.002938	0.000000
Mobile Home	None	CR02	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR02	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR02	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR02	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR02	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR03	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR03	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR03	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR03	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR03	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR04	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR04	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR04	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR04	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR04	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR05	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR05	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR05	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR05	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR05	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR06	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR06	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR06	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR06	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR06	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR07	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR07	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR07	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR07	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR07	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR08	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR08	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR08	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR08	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR08	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR09	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR09	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR09	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR09	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR09	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR10	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR10	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR10	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR10	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR10	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	None	CR11	0.400015	0.000000	0.555565	0.010517	0.033903
Multi-Family with 2 - 4 Units	None	CR11	0.424340	0.000000	0.544853	0.000000	0.030807
Multi-Family with 5+ Units	None	CR11	0.424340	0.000000	0.544853	0.000000	0.030807
Single-Family Attached	None	CR11	0.372679	0.000000	0.627321	0.000000	0.000000
Single-Family Detached	None	CR11	0.400015	0.000000	0.555565	0.010517	0.033903
Mobile Home	Other Fuel	CR02	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR02	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR02	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR02	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR02	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR03	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR03	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR03	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR03	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR03	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR04	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR04	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR04	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR04	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR04	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR05	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR05	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR05	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR05	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR05	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR06	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR06	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR06	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR06	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR06	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR07	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR07	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR07	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR07	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR07	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR08	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR08	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR08	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR08	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR08	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR09	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR09	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR09	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR09	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR09	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR10	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR10	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR10	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR10	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR10	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Other Fuel	CR11	0.721877	0.000000	0.130143	0.029304	0.118678
Multi-Family with 2 - 4 Units	Other Fuel	CR11	0.242375	0.000000	0.757625	0.000000	0.000000
Multi-Family with 5+ Units	Other Fuel	CR11	0.242375	0.000000	0.757625	0.000000	0.000000
Single-Family Attached	Other Fuel	CR11	0.717462	0.000000	0.254436	0.000000	0.028100
Single-Family Detached	Other Fuel	CR11	0.721877	0.000000	0.130143	0.029304	0.118678
Mobile Home	Propane	CR02	0.580965	0.000000	0.006104	0.000000	0.412932
Multi-Family with 2 - 4 Units	Propane	CR02	0.580965	0.000000	0.006104	0.000000	0.412932
Multi-Family with 5+ Units	Propane	CR02	0.580965	0.000000	0.006104	0.000000	0.412932
Single-Family Attached	Propane	CR02	0.580965	0.000000	0.006104	0.000000	0.412932
Single-Family Detached	Propane	CR02	0.580965	0.000000	0.006104	0.000000	0.412932
Mobile Home	Propane	CR03	0.230573	0.000000	0.025732	0.000000	0.743695
Multi-Family with 2 - 4 Units	Propane	CR03	0.230573	0.000000	0.025732	0.000000	0.743695
Multi-Family with 5+ Units	Propane	CR03	0.230573	0.000000	0.025732	0.000000	0.743695
Single-Family Attached	Propane	CR03	0.230573	0.000000	0.025732	0.000000	0.743695
Single-Family Detached	Propane	CR03	0.230573	0.000000	0.025732	0.000000	0.743695
Mobile Home	Propane	CR04	0.498920	0.000000	0.016898	0.000000	0.484183
Multi-Family with 2 - 4 Units	Propane	CR04	0.498920	0.000000	0.016898	0.000000	0.484183
Multi-Family with 5+ Units	Propane	CR04	0.498920	0.000000	0.016898	0.000000	0.484183
Single-Family Attached	Propane	CR04	0.498920	0.000000	0.016898	0.000000	0.484183
Single-Family Detached	Propane	CR04	0.498920	0.000000	0.016898	0.000000	0.484183
Mobile Home	Propane	CR05	0.242782	0.000000	0.000000	0.000000	0.757218
Multi-Family with 2 - 4 Units	Propane	CR05	0.242782	0.000000	0.000000	0.000000	0.757218
Multi-Family with 5+ Units	Propane	CR05	0.242782	0.000000	0.000000	0.000000	0.757218
Single-Family Attached	Propane	CR05	0.242782	0.000000	0.000000	0.000000	0.757218
Single-Family Detached	Propane	CR05	0.242782	0.000000	0.000000	0.000000	0.757218
Mobile Home	Propane	CR06	0.446042	0.000000	0.000000	0.000000	0.553958
Multi-Family with 2 - 4 Units	Propane	CR06	0.446042	0.000000	0.000000	0.000000	0.553958
Multi-Family with 5+ Units	Propane	CR06	0.446042	0.000000	0.000000	0.000000	0.553958
Single-Family Attached	Propane	CR06	0.446042	0.000000	0.000000	0.000000	0.553958
Single-Family Detached	Propane	CR06	0.446042	0.000000	0.000000	0.000000	0.553958
Mobile Home	Propane	CR07	0.397634	0.000000	0.048043	0.000000	0.554322
Multi-Family with 2 - 4 Units	Propane	CR07	0.397634	0.000000	0.048043	0.000000	0.554322
Multi-Family with 5+ Units	Propane	CR07	0.397634	0.000000	0.048043	0.000000	0.554322
Single-Family Attached	Propane	CR07	0.397634	0.000000	0.048043	0.000000	0.554322
Single-Family Detached	Propane	CR07	0.397634	0.000000	0.048043	0.000000	0.554322
Mobile Home	Propane	CR08	0.631028	0.000000	0.007725	0.000000	0.361247
Multi-Family with 2 - 4 Units	Propane	CR08	0.631028	0.000000	0.007725	0.000000	0.361247
Multi-Family with 5+ Units	Propane	CR08	0.631028	0.000000	0.007725	0.000000	0.361247
Single-Family Attached	Propane	CR08	0.631028	0.000000	0.007725	0.000000	0.361247
Single-Family Detached	Propane	CR08	0.631028	0.000000	0.007725	0.000000	0.361247
Mobile Home	Propane	CR09	0.709757	0.000000	0.000000	0.000000	0.290243
Multi-Family with 2 - 4 Units	Propane	CR09	0.709757	0.000000	0.000000	0.000000	0.290243
Multi-Family with 5+ Units	Propane	CR09	0.709757	0.000000	0.000000	0.000000	0.290243
Single-Family Attached	Propane	CR09	0.709757	0.000000	0.000000	0.000000	0.290243
Single-Family Detached	Propane	CR09	0.709757	0.000000	0.000000	0.000000	0.290243
Mobile Home	Propane	CR10	0.351723	0.000000	0.000000	0.000000	0.648277
Multi-Family with 2 - 4 Units	Propane	CR10	0.351723	0.000000	0.000000	0.000000	0.648277
Multi-Family with 5+ Units	Propane	CR10	0.351723	0.000000	0.000000	0.000000	0.648277
Single-Family Attached	Propane	CR10	0.351723	0.000000	0.000000	0.000000	0.648277
Single-Family Detached	Propane	CR10	0.351723	0.000000	0.000000	0.000000	0.648277
Mobile Home	Propane	CR11	0.216017	0.000000	0.023095	0.022941	0.737946
Multi-Family with 2 - 4 Units	Propane	CR11	0.216017	0.000000	0.023095	0.022941	0.737946
Multi-Family with 5+ Units	Propane	CR11	0.216017	0.000000	0.023095	0.022941	0.737946
Single-Family Attached	Propane	CR11	0.216017	0.000000	0.023095	0.022941	0.737946
Single-Family Detached	Propane	CR11	0.216017	0.000000	0.023095	0.022941	0.737946
