Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	0.978900	0.000000	0.021100	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	None	2000-09	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	2000-09	0.978900	0.000000	0.021100	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	None	2000-09	1.000000	0.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	2000-09	0.985765	0.000000	0.005381	0.008854
1A	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	2000-09	0.578514	0.000000	0.100669	0.320817
1A	Single-Family Attached	None	2000-09	0.578514	0.000000	0.100669	0.320817
1A	Single-Family Detached	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	2000-09	0.985765	0.000000	0.005381	0.008854
1A	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	2000-09	0.578514	0.000000	0.100669	0.320817
1A	Single-Family Detached	None	2000-09	0.578514	0.000000	0.100669	0.320817
1A	Mobile Home	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	2010s	1.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	2010s	0.726896	0.000000	0.136552	0.136552
1A	Mobile Home	None	2010s	0.726896	0.000000	0.136552	0.136552
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	0.978900	0.000000	0.021100	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	None	2010s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	2010s	0.978900	0.000000	0.021100	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2010s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	None	2010s	1.000000	0.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	2010s	0.985765	0.000000	0.005381	0.008854
1A	Single-Family Attached	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	2010s	0.578514	0.000000	0.100669	0.320817
1A	Single-Family Attached	None	2010s	0.578514	0.000000	0.100669	0.320817
1A	Single-Family Detached	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	2010s	0.985765	0.000000	0.005381	0.008854
1A	Single-Family Detached	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	2010s	0.578514	0.000000	0.100669	0.320817
1A	Single-Family Detached	None	2010s	0.578514	0.000000	0.100669	0.320817
1A	Mobile Home	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	<1940	0.333333	0.000000	0.333333	0.333333
1A	Mobile Home	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	<1940	0.333333	0.000000	0.333333	0.333333
1A	Mobile Home	None	<1940	0.333333	0.000000	0.333333	0.333333
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	<1940	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	<1940	0.000000	0.000000	0.273746	0.726254
1A	Multi-Family with 2 - 4 Units	None	<1940	0.000000	0.000000	0.273746	0.726254
1A	Multi-Family with 5+ Units	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	<1940	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	<1940	0.000000	0.000000	0.273746	0.726254
1A	Multi-Family with 5+ Units	None	<1940	0.000000	0.000000	0.273746	0.726254
1A	Single-Family Attached	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	<1940	0.913242	0.000000	0.024712	0.062046
1A	Single-Family Attached	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	<1940	0.219372	0.000000	0.157263	0.623365
1A	Single-Family Attached	None	<1940	0.219372	0.000000	0.157263	0.623365
1A	Single-Family Detached	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	<1940	0.913242	0.000000	0.024712	0.062046
1A	Single-Family Detached	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	<1940	0.219372	0.000000	0.157263	0.623365
1A	Single-Family Detached	None	<1940	0.219372	0.000000	0.157263	0.623365
2A	Mobile Home	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	1940-59	0.333333	0.000000	0.333333	0.333333
2A	Mobile Home	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	1940-59	0.000000	0.000000	0.000000	1.000000
2A	Mobile Home	None	1940-59	0.000000	0.000000	0.000000	1.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.895813	0.000000	0.000000	0.104187
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0.157615	0.000000	0.192165	0.650220
2A	Multi-Family with 2 - 4 Units	None	1940-59	0.157615	0.000000	0.192165	0.650220
2A	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.895813	0.000000	0.000000	0.104187
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0.157615	0.000000	0.192165	0.650220
2A	Multi-Family with 5+ Units	None	1940-59	0.157615	0.000000	0.192165	0.650220
2A	Single-Family Attached	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heating	1940-59	0.903220	0.000000	0.011928	0.084853
2A	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Non-Ducted Heating	1940-59	0.098591	0.000000	0.032055	0.869354
2A	Single-Family Attached	None	1940-59	0.098591	0.000000	0.032055	0.869354
2A	Single-Family Detached	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Ducted Heating	1940-59	0.903220	0.000000	0.011928	0.084853
2A	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Non-Ducted Heating	1940-59	0.098591	0.000000	0.032055	0.869354
2A	Single-Family Detached	None	1940-59	0.098591	0.000000	0.032055	0.869354
2A	Mobile Home	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	1960-79	0.784691	0.000000	0.000000	0.215309
2A	Mobile Home	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	1960-79	0.338418	0.000000	0.104256	0.557326
2A	Mobile Home	None	1960-79	0.338418	0.000000	0.104256	0.557326
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	1960-79	0.968885	0.000000	0.019153	0.011962
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1960-79	0.579163	0.000000	0.043206	0.377631
2A	Multi-Family with 2 - 4 Units	None	1960-79	0.579163	0.000000	0.043206	0.377631
2A	Multi-Family with 5+ Units	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	1960-79	0.968885	0.000000	0.019153	0.011962
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	1960-79	0.579163	0.000000	0.043206	0.377631
2A	Multi-Family with 5+ Units	None	1960-79	0.579163	0.000000	0.043206	0.377631
2A	Single-Family Attached	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heating	1960-79	0.939910	0.000000	0.028352	0.031739
2A	Single-Family Attached	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Non-Ducted Heating	1960-79	0.338891	0.000000	0.143602	0.517507
2A	Single-Family Attached	None	1960-79	0.338891	0.000000	0.143602	0.517507
2A	Single-Family Detached	Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Ducted Heating	1960-79	0.939910	0.000000	0.028352	0.031739
2A	Single-Family Detached	Non-Ducted Heat Pump	1960-79	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Non-Ducted Heating	1960-79	0.338891	0.000000	0.143602	0.517507
2A	Single-Family Detached	None	1960-79	0.338891	0.000000	0.143602	0.517507
2A	Mobile Home	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	1980-99	0.822492	0.000000	0.000000	0.177508
2A	Mobile Home	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	1980-99	0.047955	0.000000	0.215389	0.736656
2A	Mobile Home	None	1980-99	0.047955	0.000000	0.215389	0.736656
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	1980-99	0.966721	0.000000	0.020607	0.012673
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1980-99	0.722156	0.000000	0.184750	0.093094
2A	Multi-Family with 2 - 4 Units	None	1980-99	0.722156	0.000000	0.184750	0.093094
2A	Multi-Family with 5+ Units	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	1980-99	0.966721	0.000000	0.020607	0.012673
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0.722156	0.000000	0.184750	0.093094
2A	Multi-Family with 5+ Units	None	1980-99	0.722156	0.000000	0.184750	0.093094
2A	Single-Family Attached	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heating	1980-99	0.966617	0.000000	0.010114	0.023269
2A	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Non-Ducted Heating	1980-99	0.569054	0.000000	0.112543	0.318403
2A	Single-Family Attached	None	1980-99	0.569054	0.000000	0.112543	0.318403
2A	Single-Family Detached	Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Ducted Heating	1980-99	0.966617	0.000000	0.010114	0.023269
2A	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Non-Ducted Heating	1980-99	0.569054	0.000000	0.112543	0.318403
2A	Single-Family Detached	None	1980-99	0.569054	0.000000	0.112543	0.318403
2A	Mobile Home	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	2000-09	1.000000	0.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	2000-09	0.726896	0.000000	0.136552	0.136552
2A	Mobile Home	None	2000-09	0.726896	0.000000	0.136552	0.136552
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	0.978900	0.000000	0.021100	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	None	2000-09	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	2000-09	0.978900	0.000000	0.021100	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	None	2000-09	1.000000	0.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heating	2000-09	0.985765	0.000000	0.005381	0.008854
2A	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Non-Ducted Heating	2000-09	0.578514	0.000000	0.100669	0.320817
2A	Single-Family Attached	None	2000-09	0.578514	0.000000	0.100669	0.320817
2A	Single-Family Detached	Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Ducted Heating	2000-09	0.985765	0.000000	0.005381	0.008854
2A	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Non-Ducted Heating	2000-09	0.578514	0.000000	0.100669	0.320817
2A	Single-Family Detached	None	2000-09	0.578514	0.000000	0.100669	0.320817
2A	Mobile Home	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	2010s	1.000000	0.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	2010s	0.726896	0.000000	0.136552	0.136552
2A	Mobile Home	None	2010s	0.726896	0.000000	0.136552	0.136552
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	0.978900	0.000000	0.021100	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	None	2010s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	2010s	0.978900	0.000000	0.021100	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	2010s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	None	2010s	1.000000	0.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heating	2010s	0.985765	0.000000	0.005381	0.008854
2A	Single-Family Attached	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Attached	Non-Ducted Heating	2010s	0.578514	0.000000	0.100669	0.320817
2A	Single-Family Attached	None	2010s	0.578514	0.000000	0.100669	0.320817
2A	Single-Family Detached	Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Ducted Heating	2010s	0.985765	0.000000	0.005381	0.008854
2A	Single-Family Detached	Non-Ducted Heat Pump	2010s	0.000000	1.000000	0.000000	0.000000
2A	Single-Family Detached	Non-Ducted Heating	2010s	0.578514	0.000000	0.100669	0.320817
2A	Single-Family Detached	None	2010s	0.578514	0.000000	0.100669	0.320817
2A	Mobile Home	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	<1940	0.333333	0.000000	0.333333	0.333333
2A	Mobile Home	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	<1940	0.333333	0.000000	0.333333	0.333333
2A	Mobile Home	None	<1940	0.333333	0.000000	0.333333	0.333333
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	<1940	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	<1940	0.000000	0.000000	0.273746	0.726254
2A	Multi-Family with 2 - 4 Units	None	<1940	0.000000	0.000000	0.273746	0.726254
2A	Multi-Family with 5+ Units	Ducted Heat Pump	<1940	0.000000	1.000000	0.000000	0.000000
