,,,Unfinished Basement,Unfinished Basement,Unfinished Basement,Unfinished Basement,Unfinished Basement,Unfinished Basement,,
CR04,New England,1960s,0,0,0,1,0,0,1,Engineering judgment
CR05,Great Lakes,1960s,0,0,0,1,0,0,1,Engineering judgment
CR06,Pacific Northwest,1960s,0,0,0,1,0,0,1,Engineering judgment
CR07,Mid Atlantic,1960s,0,0,0,1,0,0,1,Engineering judgment
CR08,Zone 4A,1960s,0,0,0,1,0,0,1,Engineering judgment
CR09,Southeast,1960s,0,0,0,1,0,0,1,Engineering judgment
CR10,Southwest,1960s,0,0,0,1,0,0,1,Engineering judgment
CR11,California,1960s,0,0,0,1,0,0,1,Engineering judgment
CR12,Hawaii,1960s,0,0,0,1,0,0,1,Engineering judgment
CR01,Alaska,1970s,0,0,0,1,0,0,1,Engineering judgment
CR02,Upper Midwest,1970s,0,0,0,1,0,0,1,Engineering judgment
CR03,Mountain North,1970s,0,0,0,1,0,0,1,Engineering judgment
CR04,New England,1970s,0,0,0,1,0,0,1,Engineering judgment
CR05,Great Lakes,1970s,0,0,0,1,0,0,1,Engineering judgment
CR06,Pacific Northwest,1970s,0,0,0,1,0,0,1,Engineering judgment
CR07,Mid Atlantic,1970s,0,0,0,1,0,0,1,Engineering judgment
CR08,Zone 4A,1970s,0,0,0,1,0,0,1,Engineering judgment
CR09,Southeast,1970s,0,0,0,1,0,0,1,Engineering judgment
CR10,Southwest,1970s,0,0,0,1,0,0,1,Engineering judgment
CR11,California,1970s,0,0,0,1,0,0,1,Engineering judgment
CR12,Hawaii,1970s,0,0,0,1,0,0,1,Engineering judgment
CR01,Alaska,1980s,0,0,0,0.449658771419529,0.204521787546634,0.345819441033837,1,1988 NAHB survey
CR02,Upper Midwest,1980s,0,0,0,0.449658771419529,0.204521787546634,0.345819441033837,1,1988 NAHB survey
CR03,Mountain North,1980s,0,0,0,0.62596225545113,0.102016188585858,0.272021555963012,1,1988 NAHB survey
CR04,New England,1980s,0,0,0,0.259580307723839,0.328522433230521,0.41189725904564,1,1988 NAHB survey
CR05,Great Lakes,1980s,0,0,0,0.387912610473018,0.274603972300352,0.337483417226631,1,1988 NAHB survey
CR06,Pacific Northwest,1980s,0,0,0,0.131026105806066,0.194192065479416,0.674781828714518,1,1988 NAHB survey
CR07,Mid Atlantic,1980s,0,0,0,0.306813770270842,0.25945011678516,0.433736112943998,1,1988 NAHB survey
CR08,Zone 4A,1980s,0,0,0,0.25601033539512,0.147414106274615,0.596575558330266,1,1988 NAHB survey
CR09,Southeast,1980s,0,0,0,1,0,0,1,1988 NAHB survey
CR10,Southwest,1980s,0,0,0,1,0,0,1,1988 NAHB survey
CR11,California,1980s,0,0,0,0.131026105806066,0.194192065479416,0.674781828714518,1,1988 NAHB survey
CR12,Hawaii,1980s,0,0,0,1,0,0,1,1988 NAHB survey
CR01,Alaska,1990s,0,0,0,0.128205954501296,0.46273771826981,0.409056327228893,1,1999 HIRL
CR02,Upper Midwest,1990s,0,0,0,0.128205954501296,0.46273771826981,0.409056327228893,1,1999 HIRL
CR03,Mountain North,1990s,0,0,0,1.56793341245575E-02,0.202857278500712,0.781463387374731,1,1999 HIRL
CR04,New England,1990s,0,0,0,1.56602471206539E-02,0.280003796983701,0.704335955895645,1,1999 HIRL
CR05,Great Lakes,1990s,0,0,0,7.25829353639775E-02,0.809397623689322,0.1180194409467,1,1999 HIRL
CR06,Pacific Northwest,1990s,0,0,0,5.16228037258183E-03,8.95000511730431E-02,0.905337668454375,1,1999 HIRL
CR07,Mid Atlantic,1990s,0,0,0,3.43058539057486E-02,0.491349429686153,0.474344716408099,1,1999 HIRL
CR08,Zone 4A,1990s,0,0,0,7.25888161082739E-02,0.377286392445834,0.550124791445892,1,1999 HIRL
CR09,Southeast,1990s,0,0,0,5.23609708615816E-02,0.646909113174519,0.300729915963899,1,1999 HIRL
CR10,Southwest,1990s,0,0,0,8.63057565027384E-02,0.397551534571488,0.516142708925774,1,1999 HIRL
CR11,California,1990s,0,0,0,0.108009118936889,0.130191762272019,0.761799118791092,1,1999 HIRL
CR12,Hawaii,1990s,0,0,0,1,0,0,1,1999 HIRL
CR01,Alaska,2000s,0,0,0,1.73215055466664E-02,0.345765306775072,0.636913187678261,1,2007 HIRL
CR02,Upper Midwest,2000s,0,0,0,1.73215055466664E-02,0.345765306775072,0.636913187678261,1,2007 HIRL
CR03,Mountain North,2000s,0,0,0,2.12830912401303E-02,0.146393544081664,0.832323364678206,1,2007 HIRL
CR04,New England,2000s,0,0,0,4.24732037821036E-02,0.22647265876752,0.731054137450377,1,2007 HIRL
CR05,Great Lakes,2000s,0,0,0,0.32148507910143,0.366925986687727,0.311588934210843,1,2007 HIRL
CR06,Pacific Northwest,2000s,0,0,0,3.41835390057659E-02,0.140524388019919,0.825292072974315,1,2007 HIRL
CR07,Mid Atlantic,2000s,0,0,0,6.93994771722747E-02,6.78954457481361E-02,0.862705077079589,1,2007 HIRL
CR08,Zone 4A,2000s,0,0,0,0.113473410637219,0.244707247266418,0.641819342096363,1,2007 HIRL
CR09,Southeast,2000s,0,0,0,0.262550595138029,0.166686008794208,0.570763396067763,1,2007 HIRL
CR10,Southwest,2000s,0,0,0,0,0.8480150956144,0.1519849043856,1,2007 HIRL
CR11,California,2000s,0,0,0,0.44698451390991,0.413505077234335,0.139510408855754,1,2007 HIRL
CR12,Hawaii,2000s,0,0,0,1,0,0,1,2007 HIRL
