Dependency=State	Option=East North Central	Option=East South Central	Option=Middle Atlantic	Option=Mountain	Option=New England	Option=Pacific	Option=South Atlantic	Option=West North Central	Option=West South Central	sample_count	sample_weight
OR	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	834.000000	1545745.000000
PA	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3218.000000	4961929.000000
RI	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	244.000000	410240.000000
SC	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1103.000000	1839041.000000
SD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	222.000000	333536.000000
TN	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1497.000000	2522204.000000
TX	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	5265.000000	9289554.000000
UT	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	588.000000	918367.000000
VA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1906.000000	3087544.000000
VT	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	184.000000	257107.000000
WA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1458.000000	2696606.000000
WI	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1409.000000	2310246.000000
WV	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	484.000000	739397.000000
WY	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.000000	226985.000000
# Created by: sources\spatial\tsv_maker.py
# Source: Spatial definitions are from U.S. Census 2010.
