Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Option=No	Option=Yes	Count	Weight
CR08	1960s	Electricity	0.458809	0.541191	54.000000	452894.394800
CR09	1960s	Electricity	0.732649	0.267351	176.000000	1582376.842000
CR10	1960s	Electricity	0.740061	0.259939	12.000000	120509.686100
CR11	1960s	Electricity	0.920435	0.079565	46.000000	325395.968000
CR02	1970s	Electricity	0.899329	0.100671	29.000000	186514.226900
CR03	1970s	Electricity	1.000000	0.000000	10.000000	57850.763980
CR04	1970s	Electricity	0.862234	0.137766	38.000000	638112.327400
CR05	1970s	Electricity	1.000000	0.000000	21.000000	148986.928500
CR06	1970s	Electricity	0.799493	0.200507	36.000000	384664.631600
CR07	1970s	Electricity	0.734682	0.265318	23.000000	316128.075300
CR08	1970s	Electricity	0.710302	0.289698	138.000000	996767.072400
CR09	1970s	Electricity	0.674771	0.325229	314.000000	2991782.743000
CR10	1970s	Electricity	0.593322	0.406678	34.000000	301127.803500
CR11	1970s	Electricity	0.949295	0.050705	79.000000	578186.900100
CR02	1980s	Electricity	0.945859	0.054141	18.000000	111085.009500
CR03	1980s	Electricity	0.957139	0.042861	17.000000	92342.786060
CR04	1980s	Electricity	0.731395	0.268605	25.000000	479833.518100
CR05	1980s	Electricity	1.000000	0.000000	13.000000	195190.020500
CR06	1980s	Electricity	0.860342	0.139658	39.000000	418829.265800
CR07	1980s	Electricity	0.706131	0.293869	19.000000	241995.997400
CR08	1980s	Electricity	0.460370	0.539630	137.000000	1296953.933000
CR09	1980s	Electricity	0.728851	0.271149	401.000000	3771936.933000
CR10	1980s	Electricity	0.667595	0.332405	40.000000	449993.860700
CR11	1980s	Electricity	0.856903	0.143097	58.000000	438842.708800
CR02	1990s	Electricity	0.940837	0.059163	12.000000	74184.560180
CR03	1990s	Electricity	1.000000	0.000000	6.000000	25737.050350
CR04	1990s	Electricity	0.908049	0.091951	12.000000	217740.343200
CR05	1990s	Electricity	1.000000	0.000000	7.000000	54328.487260
CR06	1990s	Electricity	0.761825	0.238175	44.000000	458423.781000
CR07	1990s	Electricity	0.755758	0.244242	13.000000	163422.987900
CR08	1990s	Electricity	0.513945	0.486055	134.000000	1149231.019000
CR09	1990s	Electricity	0.633848	0.366152	395.000000	4172483.026000
CR10	1990s	Electricity	0.425517	0.574483	29.000000	289690.141800
CR11	1990s	Electricity	0.938941	0.061059	46.000000	358768.754100
CR02	2000s	Electricity	0.570692	0.429308	18.000000	101706.148800
CR03	2000s	Electricity	1.000000	0.000000	3.000000	15791.826410
CR04	2000s	Electricity	0.503968	0.496032	10.000000	204605.473400
CR05	2000s	Electricity	0.682371	0.317629	9.000000	117311.386400
CR06	2000s	Electricity	0.732295	0.267705	29.000000	288771.184100
CR07	2000s	Electricity	0.204312	0.795688	12.000000	154947.908500
CR08	2000s	Electricity	0.598527	0.401473	136.000000	1018642.693000
CR09	2000s	Electricity	0.671309	0.328691	439.000000	4140481.924000
CR10	2000s	Electricity	0.549067	0.450933	35.000000	356007.426200
CR11	2000s	Electricity	0.834651	0.165349	29.000000	207740.281000
CR02	2010s	Electricity	0.570692	0.429308	18.000000	101706.148800
CR03	2010s	Electricity	1.000000	0.000000	3.000000	15791.826410
CR04	2010s	Electricity	0.503968	0.496032	10.000000	204605.473400
CR05	2010s	Electricity	0.682371	0.317629	9.000000	117311.386400
CR06	2010s	Electricity	0.732295	0.267705	29.000000	288771.184100
CR07	2010s	Electricity	0.204312	0.795688	12.000000	154947.908500
CR08	2010s	Electricity	0.598527	0.401473	136.000000	1018642.693000
CR09	2010s	Electricity	0.671309	0.328691	439.000000	4140481.924000
CR10	2010s	Electricity	0.549067	0.450933	35.000000	356007.426200
CR11	2010s	Electricity	0.834651	0.165349	29.000000	207740.281000
CR02	<1940	Fuel Oil	1.000000	0.000000	14.000000	89823.426020
CR03	<1940	Fuel Oil	1.000000	0.000000	125.000000	706130.671000
CR04	<1940	Fuel Oil	1.000000	0.000000	4.000000	57881.809250
CR05	<1940	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	<1940	Fuel Oil	1.000000	0.000000	3.000000	27197.777780
CR07	<1940	Fuel Oil	0.985127	0.014873	73.000000	847548.615800
CR08	<1940	Fuel Oil	0.951865	0.048135	21.000000	287549.141900
CR09	<1940	Fuel Oil	1.000000	0.000000	1.000000	15899.780530
CR10	<1940	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	<1940	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR02	1940s	Fuel Oil	1.000000	0.000000	14.000000	89823.426020
CR03	1940s	Fuel Oil	1.000000	0.000000	125.000000	706130.671000
CR04	1940s	Fuel Oil	1.000000	0.000000	4.000000	57881.809250
CR05	1940s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	1940s	Fuel Oil	1.000000	0.000000	3.000000	27197.777780
CR07	1940s	Fuel Oil	0.985127	0.014873	73.000000	847548.615800
CR08	1940s	Fuel Oil	0.951865	0.048135	21.000000	287549.141900
CR09	1940s	Fuel Oil	1.000000	0.000000	1.000000	15899.780530
CR10	1940s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	1940s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR02	1950s	Fuel Oil	1.000000	0.000000	9.000000	71551.220550
CR03	1950s	Fuel Oil	1.000000	0.000000	65.000000	377981.340100
CR04	1950s	Fuel Oil	1.000000	0.000000	5.000000	100655.952100
CR05	1950s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	1950s	Fuel Oil	1.000000	0.000000	3.000000	28294.976090
CR07	1950s	Fuel Oil	1.000000	0.000000	47.000000	507902.919500
CR08	1950s	Fuel Oil	1.000000	0.000000	4.000000	56728.048440
CR09	1950s	Fuel Oil	0.557005	0.442995	2.000000	27838.340020
CR10	1950s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	1950s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR02	1960s	Fuel Oil	1.000000	0.000000	4.000000	33089.929100
CR03	1960s	Fuel Oil	0.967888	0.032112	30.000000	175296.155200
CR04	1960s	Fuel Oil	1.000000	0.000000	1.000000	12581.558850
CR05	1960s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	1960s	Fuel Oil	0.529343	0.470657	2.000000	16482.686150
CR07	1960s	Fuel Oil	0.948188	0.051812	29.000000	301538.869700
CR08	1960s	Fuel Oil	0.834170	0.165830	6.000000	74349.544150
CR09	1960s	Fuel Oil	1.000000	0.000000	1.000000	19013.572580
CR10	1960s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	1960s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR02	1970s	Fuel Oil	1.000000	0.000000	4.000000	23089.461570
CR03	1970s	Fuel Oil	1.000000	0.000000	31.000000	191261.718700
CR04	1970s	Fuel Oil	0.675148	0.324852	3.000000	41245.167420
CR05	1970s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	1970s	Fuel Oil	1.000000	0.000000	1.000000	14891.604750
CR07	1970s	Fuel Oil	0.942085	0.057915	21.000000	243057.821600
CR08	1970s	Fuel Oil	1.000000	0.000000	5.000000	54088.284560
CR09	1970s	Fuel Oil	1.000000	0.000000	1.000000	8367.331580
CR10	1970s	Fuel Oil	1.000000	0.000000	3.000000	26365.443900
CR11	1970s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR02	1980s	Fuel Oil	1.000000	0.000000	3.000000	23959.937200
CR03	1980s	Fuel Oil	1.000000	0.000000	32.000000	200283.163400
CR04	1980s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR05	1980s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	1980s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR07	1980s	Fuel Oil	0.816941	0.183059	8.000000	94735.805260
CR08	1980s	Fuel Oil	1.000000	0.000000	1.000000	12755.825360
CR09	1980s	Fuel Oil	1.000000	0.000000	1.000000	19110.599310
CR10	1980s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	1980s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR02	1990s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR03	1990s	Fuel Oil	1.000000	0.000000	24.000000	142999.894100
CR04	1990s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR05	1990s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	1990s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR07	1990s	Fuel Oil	0.882520	0.117480	10.000000	104402.338900
CR08	1990s	Fuel Oil	1.000000	0.000000	1.000000	12755.828550
CR09	1990s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR10	1990s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	1990s	Fuel Oil	1.000000	0.000000	1.000000	7206.602538
CR02	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR03	2000s	Fuel Oil	1.000000	0.000000	33.000000	187434.026700
CR04	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR05	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR07	2000s	Fuel Oil	1.000000	0.000000	3.000000	35286.823900
CR08	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR10	2000s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	2000s	Fuel Oil	0.000000	1.000000	1.000000	8016.830852
CR02	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR03	2010s	Fuel Oil	1.000000	0.000000	33.000000	187434.026700
CR04	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR05	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR06	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR07	2010s	Fuel Oil	1.000000	0.000000	3.000000	35286.823900
CR08	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR09	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR10	2010s	Fuel Oil	1.000000	0.000000	0.000000	0.000000
CR11	2010s	Fuel Oil	0.000000	1.000000	1.000000	8016.830852
CR02	<1940	Natural Gas	0.981357	0.018643	115.000000	728641.072500
CR03	<1940	Natural Gas	1.000000	0.000000	132.000000	746518.537400
CR04	<1940	Natural Gas	0.989385	0.010615	175.000000	2766093.821000
CR05	<1940	Natural Gas	1.000000	0.000000	33.000000	390805.631200
CR06	<1940	Natural Gas	1.000000	0.000000	21.000000	222464.710500
CR07	<1940	Natural Gas	0.986519	0.013481	158.000000	1666696.897000
CR08	<1940	Natural Gas	0.931793	0.068207	146.000000	845200.136100
CR09	<1940	Natural Gas	0.943781	0.056219	111.000000	1244143.345000
CR10	<1940	Natural Gas	1.000000	0.000000	3.000000	35918.420820
CR11	<1940	Natural Gas	0.978004	0.021996	129.000000	1012451.253000
CR02	1940s	Natural Gas	0.981357	0.018643	115.000000	728641.072500
CR03	1940s	Natural Gas	1.000000	0.000000	132.000000	746518.537400
CR04	1940s	Natural Gas	0.989385	0.010615	175.000000	2766093.821000
CR05	1940s	Natural Gas	1.000000	0.000000	33.000000	390805.631200
CR06	1940s	Natural Gas	1.000000	0.000000	21.000000	222464.710500
CR07	1940s	Natural Gas	0.986519	0.013481	158.000000	1666696.897000
CR08	1940s	Natural Gas	0.931793	0.068207	146.000000	845200.136100
CR09	1940s	Natural Gas	0.943781	0.056219	111.000000	1244143.345000
CR10	1940s	Natural Gas	1.000000	0.000000	3.000000	35918.420820
CR11	1940s	Natural Gas	0.978004	0.021996	129.000000	1012451.253000
CR02	1950s	Natural Gas	0.981375	0.018625	81.000000	510274.735700
CR03	1950s	Natural Gas	1.000000	0.000000	35.000000	191384.582800
CR04	1950s	Natural Gas	1.000000	0.000000	113.000000	1852186.105000
CR05	1950s	Natural Gas	0.974534	0.025466	25.000000	237583.284600
CR06	1950s	Natural Gas	0.893211	0.106789	11.000000	109140.954300
CR07	1950s	Natural Gas	1.000000	0.000000	125.000000	1440608.394000
CR08	1950s	Natural Gas	0.981845	0.018155	112.000000	568969.567700
CR09	1950s	Natural Gas	0.976783	0.023217	119.000000	1276027.947000
CR10	1950s	Natural Gas	0.896401	0.103599	17.000000	204179.568800
CR11	1950s	Natural Gas	0.981988	0.018012	167.000000	1284335.386000
CR02	1960s	Natural Gas	1.000000	0.000000	62.000000	405601.651000
CR03	1960s	Natural Gas	1.000000	0.000000	31.000000	163235.744200
CR04	1960s	Natural Gas	0.955393	0.044607	83.000000	1386303.840000
CR05	1960s	Natural Gas	1.000000	0.000000	19.000000	170461.864500
CR06	1960s	Natural Gas	0.899430	0.100570	21.000000	220135.034800
CR07	1960s	Natural Gas	1.000000	0.000000	67.000000	695527.290800
CR08	1960s	Natural Gas	0.970239	0.029761	113.000000	623593.251100
CR09	1960s	Natural Gas	0.968749	0.031251	118.000000	1350934.472000
CR10	1960s	Natural Gas	1.000000	0.000000	5.000000	53259.549390
CR11	1960s	Natural Gas	0.993997	0.006003	152.000000	1194274.019000
CR02	1970s	Natural Gas	0.957591	0.042409	96.000000	610178.013700
CR03	1970s	Natural Gas	1.000000	0.000000	19.000000	107123.431600
CR04	1970s	Natural Gas	0.990399	0.009601	69.000000	1129581.497000
CR05	1970s	Natural Gas	0.988035	0.011965	79.000000	572910.851300
CR06	1970s	Natural Gas	1.000000	0.000000	15.000000	143962.423500
CR07	1970s	Natural Gas	1.000000	0.000000	57.000000	751317.230700
CR08	1970s	Natural Gas	0.935303	0.064697	122.000000	750751.208100
CR09	1970s	Natural Gas	0.983010	0.016990	147.000000	1506209.476000
CR10	1970s	Natural Gas	0.902234	0.097766	37.000000	409190.228700
CR11	1970s	Natural Gas	0.969665	0.030335	163.000000	1275521.637000
CR02	1980s	Natural Gas	0.989949	0.010051	68.000000	417268.292500
CR03	1980s	Natural Gas	0.972524	0.027476	47.000000	244185.194800
CR04	1980s	Natural Gas	0.981967	0.018033	54.000000	897588.701900
CR05	1980s	Natural Gas	1.000000	0.000000	67.000000	527059.069500
CR06	1980s	Natural Gas	1.000000	0.000000	26.000000	231538.294000
CR07	1980s	Natural Gas	1.000000	0.000000	56.000000	689883.009700
CR08	1980s	Natural Gas	0.896628	0.103372	77.000000	504616.960300
CR09	1980s	Natural Gas	0.960298	0.039702	134.000000	1311606.561000
CR10	1980s	Natural Gas	0.927965	0.072035	25.000000	292938.147200
CR11	1980s	Natural Gas	0.989707	0.010293	121.000000	945940.035000
CR02	1990s	Natural Gas	0.990003	0.009997	72.000000	411848.800500
CR03	1990s	Natural Gas	1.000000	0.000000	21.000000	104632.180900
CR04	1990s	Natural Gas	0.973545	0.026455	77.000000	1305003.801000
CR05	1990s	Natural Gas	1.000000	0.000000	61.000000	489208.087700
CR06	1990s	Natural Gas	1.000000	0.000000	20.000000	224768.734700
CR07	1990s	Natural Gas	1.000000	0.000000	44.000000	540423.485600
CR08	1990s	Natural Gas	0.725559	0.274441	121.000000	958729.985200
CR09	1990s	Natural Gas	0.950617	0.049383	143.000000	1436725.286000
CR10	1990s	Natural Gas	0.937610	0.062390	45.000000	501177.209300
CR11	1990s	Natural Gas	0.988454	0.011546	105.000000	754316.028500
CR02	2000s	Natural Gas	0.976553	0.023447	68.000000	397559.969600
CR03	2000s	Natural Gas	0.951420	0.048580	16.000000	79774.356980
CR04	2000s	Natural Gas	1.000000	0.000000	52.000000	855303.666200
CR05	2000s	Natural Gas	0.986782	0.013218	48.000000	371641.818500
CR06	2000s	Natural Gas	0.941005	0.058995	29.000000	309571.052500
CR07	2000s	Natural Gas	0.961790	0.038210	50.000000	603098.273000
CR08	2000s	Natural Gas	0.744324	0.255676	117.000000	798241.139600
CR09	2000s	Natural Gas	0.892679	0.107321	194.000000	2029350.344000
CR10	2000s	Natural Gas	0.947555	0.052445	40.000000	465835.103900
CR11	2000s	Natural Gas	0.974253	0.025747	80.000000	595528.904800
CR02	2010s	Natural Gas	0.976553	0.023447	68.000000	397559.969600
CR03	2010s	Natural Gas	0.951420	0.048580	16.000000	79774.356980
CR04	2010s	Natural Gas	1.000000	0.000000	52.000000	855303.666200
CR05	2010s	Natural Gas	0.986782	0.013218	48.000000	371641.818500
CR06	2010s	Natural Gas	0.941005	0.058995	29.000000	309571.052500
CR07	2010s	Natural Gas	0.961790	0.038210	50.000000	603098.273000
CR08	2010s	Natural Gas	0.744324	0.255676	117.000000	798241.139600
CR09	2010s	Natural Gas	0.892679	0.107321	194.000000	2029350.344000
CR10	2010s	Natural Gas	0.947555	0.052445	40.000000	465835.103900
CR11	2010s	Natural Gas	0.974253	0.025747	80.000000	595528.904800
CR02	<1940	None	1.000000	0.000000	0.000000	0.000000
CR03	<1940	None	1.000000	0.000000	0.000000	0.000000
CR04	<1940	None	1.000000	0.000000	2.000000	34488.784350
CR05	<1940	None	1.000000	0.000000	1.000000	16134.271760
CR06	<1940	None	1.000000	0.000000	6.000000	52475.715510
CR07	<1940	None	1.000000	0.000000	0.000000	0.000000
CR08	<1940	None	1.000000	0.000000	0.000000	0.000000
CR09	<1940	None	0.942699	0.057301	15.000000	105192.781400
CR10	<1940	None	1.000000	0.000000	0.000000	0.000000
CR11	<1940	None	0.955104	0.044896	31.000000	233688.612200
CR02	1940s	None	1.000000	0.000000	0.000000	0.000000
CR03	1940s	None	1.000000	0.000000	0.000000	0.000000
CR04	1940s	None	1.000000	0.000000	2.000000	34488.784350
CR05	1940s	None	1.000000	0.000000	1.000000	16134.271760
CR06	1940s	None	1.000000	0.000000	6.000000	52475.715510
CR07	1940s	None	1.000000	0.000000	0.000000	0.000000
CR08	1940s	None	1.000000	0.000000	0.000000	0.000000
CR09	1940s	None	0.942699	0.057301	15.000000	105192.781400
CR10	1940s	None	1.000000	0.000000	0.000000	0.000000
CR11	1940s	None	0.955104	0.044896	31.000000	233688.612200
CR02	1950s	None	1.000000	0.000000	0.000000	0.000000
CR03	1950s	None	1.000000	0.000000	0.000000	0.000000
CR04	1950s	None	1.000000	0.000000	0.000000	0.000000
CR05	1950s	None	1.000000	0.000000	0.000000	0.000000
CR06	1950s	None	1.000000	0.000000	7.000000	55563.801560
CR07	1950s	None	1.000000	0.000000	0.000000	0.000000
CR08	1950s	None	1.000000	0.000000	0.000000	0.000000
CR09	1950s	None	1.000000	0.000000	15.000000	100041.541200
CR10	1950s	None	1.000000	0.000000	1.000000	8040.368344
CR11	1950s	None	1.000000	0.000000	42.000000	312615.331200
CR02	1960s	None	1.000000	0.000000	1.000000	5675.987321
CR03	1960s	None	1.000000	0.000000	1.000000	5795.557167
CR04	1960s	None	1.000000	0.000000	0.000000	0.000000
CR05	1960s	None	1.000000	0.000000	0.000000	0.000000
CR06	1960s	None	1.000000	0.000000	9.000000	83963.609260
CR07	1960s	None	1.000000	0.000000	0.000000	0.000000
CR08	1960s	None	1.000000	0.000000	0.000000	0.000000
CR09	1960s	None	1.000000	0.000000	16.000000	131129.534500
CR10	1960s	None	1.000000	0.000000	1.000000	12280.589500
CR11	1960s	None	1.000000	0.000000	46.000000	333572.085100
CR02	1970s	None	1.000000	0.000000	0.000000	0.000000
CR03	1970s	None	1.000000	0.000000	0.000000	0.000000
CR04	1970s	None	1.000000	0.000000	0.000000	0.000000
CR05	1970s	None	1.000000	0.000000	0.000000	0.000000
CR06	1970s	None	1.000000	0.000000	16.000000	136162.870000
CR07	1970s	None	1.000000	0.000000	0.000000	0.000000
CR08	1970s	None	1.000000	0.000000	0.000000	0.000000
CR09	1970s	None	0.954496	0.045504	21.000000	165224.955700
CR10	1970s	None	1.000000	0.000000	3.000000	22906.193080
CR11	1970s	None	0.975901	0.024099	55.000000	435363.639300
CR02	1980s	None	1.000000	0.000000	0.000000	0.000000
CR03	1980s	None	1.000000	0.000000	0.000000	0.000000
CR04	1980s	None	1.000000	0.000000	0.000000	0.000000
CR05	1980s	None	1.000000	0.000000	0.000000	0.000000
CR06	1980s	None	1.000000	0.000000	7.000000	61761.463350
CR07	1980s	None	1.000000	0.000000	0.000000	0.000000
CR08	1980s	None	1.000000	0.000000	0.000000	0.000000
CR09	1980s	None	0.943672	0.056328	25.000000	205809.794200
CR10	1980s	None	1.000000	0.000000	0.000000	0.000000
CR11	1980s	None	0.934507	0.065493	33.000000	244214.936600
CR02	1990s	None	1.000000	0.000000	0.000000	0.000000
CR03	1990s	None	1.000000	0.000000	0.000000	0.000000
CR04	1990s	None	1.000000	0.000000	0.000000	0.000000
CR05	1990s	None	1.000000	0.000000	0.000000	0.000000
CR06	1990s	None	1.000000	0.000000	8.000000	65973.795930
CR07	1990s	None	1.000000	0.000000	0.000000	0.000000
CR08	1990s	None	1.000000	0.000000	0.000000	0.000000
CR09	1990s	None	1.000000	0.000000	15.000000	104543.041800
CR10	1990s	None	0.609740	0.390260	6.000000	61924.250500
CR11	1990s	None	1.000000	0.000000	11.000000	96233.545880
CR02	2000s	None	1.000000	0.000000	0.000000	0.000000
CR03	2000s	None	1.000000	0.000000	0.000000	0.000000
CR04	2000s	None	1.000000	0.000000	1.000000	19500.089070
CR05	2000s	None	1.000000	0.000000	0.000000	0.000000
CR06	2000s	None	1.000000	0.000000	5.000000	41298.836630
CR07	2000s	None	1.000000	0.000000	0.000000	0.000000
CR08	2000s	None	1.000000	0.000000	0.000000	0.000000
CR09	2000s	None	0.947061	0.052939	22.000000	175245.673500
CR10	2000s	None	1.000000	0.000000	3.000000	30979.044960
CR11	2000s	None	1.000000	0.000000	9.000000	63484.640520
CR02	2010s	None	1.000000	0.000000	0.000000	0.000000
CR03	2010s	None	1.000000	0.000000	0.000000	0.000000
CR04	2010s	None	1.000000	0.000000	1.000000	19500.089070
CR05	2010s	None	1.000000	0.000000	0.000000	0.000000
CR06	2010s	None	1.000000	0.000000	5.000000	41298.836630
CR07	2010s	None	1.000000	0.000000	0.000000	0.000000
CR08	2010s	None	1.000000	0.000000	0.000000	0.000000
CR09	2010s	None	0.947061	0.052939	22.000000	175245.673500
CR10	2010s	None	1.000000	0.000000	3.000000	30979.044960
CR11	2010s	None	1.000000	0.000000	9.000000	63484.640520
CR02	<1940	Other Fuel	1.000000	0.000000	16.000000	127416.261900
CR03	<1940	Other Fuel	1.000000	0.000000	8.000000	48126.238460
CR04	<1940	Other Fuel	1.000000	0.000000	7.000000	123333.776200
CR05	<1940	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR06	<1940	Other Fuel	1.000000	0.000000	7.000000	64858.080090
CR07	<1940	Other Fuel	1.000000	0.000000	10.000000	133777.469800
CR08	<1940	Other Fuel	0.979417	0.020583	15.000000	145426.890800
CR09	<1940	Other Fuel	1.000000	0.000000	6.000000	69239.444380
CR10	<1940	Other Fuel	1.000000	0.000000	1.000000	23308.432110
CR11	<1940	Other Fuel	1.000000	0.000000	8.000000	58175.160940
CR02	1940s	Other Fuel	1.000000	0.000000	16.000000	127416.261900
CR03	1940s	Other Fuel	1.000000	0.000000	8.000000	48126.238460
CR04	1940s	Other Fuel	1.000000	0.000000	7.000000	123333.776200
CR05	1940s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR06	1940s	Other Fuel	1.000000	0.000000	7.000000	64858.080090
CR07	1940s	Other Fuel	1.000000	0.000000	10.000000	133777.469800
CR08	1940s	Other Fuel	0.979417	0.020583	15.000000	145426.890800
CR09	1940s	Other Fuel	1.000000	0.000000	6.000000	69239.444380
CR10	1940s	Other Fuel	1.000000	0.000000	1.000000	23308.432110
CR11	1940s	Other Fuel	1.000000	0.000000	8.000000	58175.160940
CR02	1950s	Other Fuel	1.000000	0.000000	1.000000	10505.268490
CR03	1950s	Other Fuel	1.000000	0.000000	6.000000	43014.255900
CR04	1950s	Other Fuel	1.000000	0.000000	3.000000	57792.680880
CR05	1950s	Other Fuel	1.000000	0.000000	1.000000	33453.175170
CR06	1950s	Other Fuel	1.000000	0.000000	2.000000	20433.000720
CR07	1950s	Other Fuel	1.000000	0.000000	2.000000	26222.267220
CR08	1950s	Other Fuel	1.000000	0.000000	6.000000	38997.010970
CR09	1950s	Other Fuel	1.000000	0.000000	6.000000	87145.318430
CR10	1950s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR11	1950s	Other Fuel	0.851592	0.148408	6.000000	41820.547200
CR02	1960s	Other Fuel	1.000000	0.000000	3.000000	23909.619160
CR03	1960s	Other Fuel	1.000000	0.000000	6.000000	31397.481500
CR04	1960s	Other Fuel	1.000000	0.000000	1.000000	13948.802080
CR05	1960s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR06	1960s	Other Fuel	1.000000	0.000000	2.000000	16482.687920
CR07	1960s	Other Fuel	1.000000	0.000000	10.000000	114366.592800
CR08	1960s	Other Fuel	0.774760	0.225240	5.000000	48211.826960
CR09	1960s	Other Fuel	0.901413	0.098587	6.000000	77450.653980
CR10	1960s	Other Fuel	1.000000	0.000000	0.000000	0.000000
CR11	1960s	Other Fuel	1.000000	0.000000	6.000000	37928.187420
CR02	1970s	Other Fuel	1.000000	0.000000	4.000000	34181.637580
CR03	1970s	Other Fuel	1.000000	0.000000	15.000000	101853.276400
