Dependency=Location	Dependency=Geometry Building Type RECS	Option=Pier and Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
CO_Pueblo.Mem.AP.724640	Single-Family Detached	0.000000	0.190000	0.610000	0.190000	0.010000
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	0.000000	0.600000	0.360000	0.020000	0.020000
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	0.000000	0.600000	0.360000	0.020000	0.020000
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	0.000000	0.120000	0.190000	0.410000	0.290000
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Key.West.Intl.AP.722010	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Miami.Intl.AP.722020	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Orlando.Intl.AP.722050	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	0.000000	0.000000	0.000000	0.050000	0.950000
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	0.000000	0.230000	0.160000	0.230000	0.380000
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	0.000000	0.230000	0.160000	0.230000	0.380000
GA_Augusta-Bush-Field.722180	Single-Family Detached	0.000000	0.230000	0.160000	0.230000	0.380000
GA_Columbus.Metro.AP.722255	Single-Family Detached	0.000000	0.230000	0.160000	0.230000	0.380000
GA_Macon-Middle.Georgia.Rgnl.AP.722170	Single-Family Detached	0.000000	0.230000	0.160000	0.230000	0.380000
GA_Savannah.Intl.AP.722070	Single-Family Detached	0.000000	0.230000	0.160000	0.230000	0.380000
IA_Des.Moines.Intl.AP.725460	Single-Family Detached	0.000000	0.210000	0.720000	0.050000	0.020000
IA_Mason.City.Muni.AP.725485	Single-Family Detached	0.000000	0.210000	0.720000	0.050000	0.020000
IA_Sioux.City-Sioux.Gateway.AP.725570	Single-Family Detached	0.000000	0.210000	0.720000	0.050000	0.020000
IA_Waterloo.Muni.AP.725480	Single-Family Detached	0.000000	0.210000	0.720000	0.050000	0.020000
ID_Boise.Air.Terminal.726810	Single-Family Detached	0.000000	0.140000	0.440000	0.400000	0.020000
ID_Pocatello.Muni.AP.725780	Single-Family Detached	0.000000	0.140000	0.440000	0.400000	0.020000
IL_Chicago-OHare.Intl.AP.725300	Single-Family Detached	0.000000	0.200000	0.590000	0.080000	0.130000
IL_Moline-Quad.City.Intl.AP.725440	Single-Family Detached	0.000000	0.200000	0.590000	0.080000	0.130000
IL_Peoria-Greater.Peoria.AP.725320	Single-Family Detached	0.000000	0.200000	0.590000	0.080000	0.130000
IL_Rockford-Greater.Rockford.AP.725430	Single-Family Detached	0.000000	0.200000	0.590000	0.080000	0.130000
IL_Springfield-Capital.AP.724390	Single-Family Detached	0.000000	0.200000	0.590000	0.080000	0.130000
IN_Evansville.Rgnl.AP.724320	Single-Family Detached	0.000000	0.310000	0.480000	0.080000	0.130000
IN_Fort.Wayne.Intl.AP.725330	Single-Family Detached	0.000000	0.310000	0.480000	0.080000	0.130000
IN_Indianapolis.Intl.AP.724380	Single-Family Detached	0.000000	0.310000	0.480000	0.080000	0.130000
IN_South.Bend-Michiana.Rgnl.AP.725350	Single-Family Detached	0.000000	0.310000	0.480000	0.080000	0.130000
KS_Dodge.City.Rgnl.AP.724510	Single-Family Detached	0.000000	0.300000	0.660000	0.030000	0.010000
KS_Goodland-Renner.Field.724650	Single-Family Detached	0.000000	0.300000	0.660000	0.030000	0.010000
KS_Topeka-Phillip.Billard.Muni.AP.724560	Single-Family Detached	0.000000	0.300000	0.660000	0.030000	0.010000
KS_Wichita-Mid.Continent.AP.724500	Single-Family Detached	0.000000	0.300000	0.660000	0.030000	0.010000
KY_Cincinnati-Northern.Kentucky.AP.724210	Single-Family Detached	0.000000	0.390000	0.320000	0.190000	0.100000
KY_Lexington-Bluegrass.AP.724220	Single-Family Detached	0.000000	0.390000	0.320000	0.190000	0.100000
KY_Louisville-Standiford.Field.724230	Single-Family Detached	0.000000	0.390000	0.320000	0.190000	0.100000
LA_Baton.Rouge-Ryan.AP.722317	Single-Family Detached	0.000000	0.030000	0.010000	0.010000	0.950000
LA_Lake.Charles.Rgnl.AP.722400	Single-Family Detached	0.000000	0.030000	0.010000	0.010000	0.950000
LA_New.Orleans.Intl.AP.722310	Single-Family Detached	0.000000	0.030000	0.010000	0.010000	0.950000
LA_Shreveport.Rgnl.AP.722480	Single-Family Detached	0.000000	0.030000	0.010000	0.010000	0.950000
MA_Boston-Logan.Intl.AP.725090	Single-Family Detached	0.000000	0.610000	0.330000	0.020000	0.040000
MA_Worcester.Rgnl.AP.725095	Single-Family Detached	0.000000	0.610000	0.330000	0.020000	0.040000
MD_Baltimore-Washington.Intl.AP.724060	Single-Family Detached	0.000000	0.340000	0.570000	0.030000	0.060000
ME_Caribou.Muni.AP.727120	Single-Family Detached	0.000000	0.580000	0.350000	0.020000	0.050000
ME_Portland.Intl.Jetport.726060	Single-Family Detached	0.000000	0.580000	0.350000	0.020000	0.050000
MI_Alpena.County.Rgnl.AP.726390	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Detroit.Metro.AP.725370	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Flint-Bishop.Intl.AP.726370	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Grand.Rapids-Kent.County.Intl.AP.726350	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Houghton-Lake.Roscommon.County.AP.726380	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Lansing-Capital.City.AP.725390	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Muskegon.County.AP.726360	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Sault.Ste.Marie-Sanderson.Field.727340	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MI_Traverse.City-Cherry.Capital.AP.726387	Single-Family Detached	0.000000	0.400000	0.560000	0.030000	0.010000
MN_Duluth.Intl.AP.727450	Single-Family Detached	0.000000	0.220000	0.760000	0.010000	0.010000
MN_International.Falls.Intl.AP.727470	Single-Family Detached	0.000000	0.220000	0.760000	0.010000	0.010000
MN_Minneapolis-St.Paul.Intl.AP.726580	Single-Family Detached	0.000000	0.220000	0.760000	0.010000	0.010000
MN_Rochester.Intl.AP.726440	Single-Family Detached	0.000000	0.220000	0.760000	0.010000	0.010000
MN_St.Cloud.Muni.AP.726550	Single-Family Detached	0.000000	0.220000	0.760000	0.010000	0.010000
MO_Columbia.Rgnl.AP.724450	Single-Family Detached	0.000000	0.330000	0.600000	0.020000	0.050000
MO_Kansas.City.Intl.AP.724460	Single-Family Detached	0.000000	0.330000	0.600000	0.020000	0.050000
MO_Springfield.Rgnl.AP.724400	Single-Family Detached	0.000000	0.330000	0.600000	0.020000	0.050000
MO_St.Louis-Lambert.Intl.AP.724340	Single-Family Detached	0.000000	0.330000	0.600000	0.020000	0.050000
MS_Jackson.Intl.AP.722350	Single-Family Detached	0.000000	0.010000	0.010000	0.050000	0.930000
MS_Meridian-Key.Field.722340	Single-Family Detached	0.000000	0.010000	0.010000	0.050000	0.930000
MT_Billings-Logan.Intl.AP.726770	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Cut.Bank.Muni.AP.727796	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Glasgow.Intl.AP.727680	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Great.Falls.Intl.AP.727750	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Helena.Rgnl.AP.727720	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Kalispell-Glacier.Park.Intl.AP.727790	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Lewistown.Muni.AP.726776	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Miles.City.Muni.AP.742300	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
MT_Missoula.Intl.AP.727730	Single-Family Detached	0.000000	0.240000	0.740000	0.020000	0.000000
NC_Asheville.Rgnl.AP.723150	Single-Family Detached	0.000000	0.110000	0.060000	0.550000	0.280000
NC_Cape.Hatteras.723040	Single-Family Detached	0.000000	0.110000	0.060000	0.550000	0.280000
NC_Charlotte-Douglas.Intl.AP.723140	Single-Family Detached	0.000000	0.110000	0.060000	0.550000	0.280000
NC_Greensboro-Piedmont.Triad.Intl.AP.723170	Single-Family Detached	0.000000	0.110000	0.060000	0.550000	0.280000
NC_Raleigh-Durham.Intl.AP.723060	Single-Family Detached	0.000000	0.110000	0.060000	0.550000	0.280000
NC_Wilmington.Intl.AP.723013	Single-Family Detached	0.000000	0.110000	0.060000	0.550000	0.280000
ND_Bismarck.Muni.AP.727640	Single-Family Detached	0.000000	0.210000	0.730000	0.030000	0.030000
ND_Fargo-Hector.Intl.AP.727530	Single-Family Detached	0.000000	0.210000	0.730000	0.030000	0.030000
ND_Minot.Intl.AP.727676	Single-Family Detached	0.000000	0.210000	0.730000	0.030000	0.030000
NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	Single-Family Detached	0.000000	0.290000	0.650000	0.030000	0.020000
NE_Norfolk-Karl.Stefan.Mem.AP.725560	Single-Family Detached	0.000000	0.290000	0.650000	0.030000	0.020000
NE_North.Platte.Rgnl.AP.725620	Single-Family Detached	0.000000	0.290000	0.650000	0.030000	0.020000
NE_Omaha-Eppley.Airfield.725500	Single-Family Detached	0.000000	0.290000	0.650000	0.030000	0.020000
NE_Scottsbluff-W.B.Heilig.Field.725660	Single-Family Detached	0.000000	0.290000	0.650000	0.030000	0.020000
NH_Concord.Muni.AP.726050	Single-Family Detached	0.000000	0.500000	0.300000	0.160000	0.030000
NJ_Atlantic.City.Intl.AP.724070	Single-Family Detached	0.000000	0.250000	0.150000	0.510000	0.090000
NJ_Newark.Intl.AP.725020	Single-Family Detached	0.000000	0.250000	0.150000	0.510000	0.090000
NM_Albuquerque.Intl.AP.723650	Single-Family Detached	0.000000	0.000000	0.020000	0.030000	0.950000
NM_Tucumcari.AP.723676	Single-Family Detached	0.000000	0.000000	0.020000	0.030000	0.950000
NV_Elko.Muni.AP.725825	Single-Family Detached	0.000000	0.000000	0.010000	0.460000	0.530000
NV_Ely-Yelland.Field.724860	Single-Family Detached	0.000000	0.000000	0.010000	0.460000	0.530000
NV_Las.Vegas-McCarran.Intl.AP.723860	Single-Family Detached	0.000000	0.000000	0.010000	0.460000	0.530000
NV_Reno-Tahoe.Intl.AP.724880	Single-Family Detached	0.000000	0.000000	0.010000	0.460000	0.530000
NV_Tonopah.AP.724855	Single-Family Detached	0.000000	0.000000	0.010000	0.460000	0.530000
NV_Winnemucca.Muni.AP.725830	Single-Family Detached	0.000000	0.000000	0.010000	0.460000	0.530000
NY_Albany.County.AP.725180	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
NY_Binghamton-Edwin.A.Link.Field.725150	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
NY_Buffalo-Greater.Buffalo.Intl.AP.725280	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
NY_Massena.AP.726223	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
NY_New.York-J.F.Kennedy.Intl.AP.744860	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
NY_Rochester-Greater.Rochester.Intl.AP.725290	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
NY_Syracuse-Hancock.Intl.AP.725190	Single-Family Detached	0.000000	0.480000	0.330000	0.040000	0.150000
OH_Akron.Canton.Rgnl.AP.725210	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OH_Cleveland-Hopkins.Intl.AP.725240	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OH_Columbus-Port.Columbus.Intl.AP.724280	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OH_Dayton.Intl.AP.724290	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OH_Mansfield-Lahm.Muni.AP.725246	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OH_Toledo.Express.AP.725360	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OH_Youngstown.Rgnl.AP.725250	Single-Family Detached	0.000000	0.300000	0.460000	0.110000	0.140000
OK_Oklahoma.City-Will.Rogers.World.AP.723530	Single-Family Detached	0.000000	0.020000	0.010000	0.010000	0.960000
OK_Tulsa.Intl.AP.723560	Single-Family Detached	0.000000	0.020000	0.010000	0.010000	0.960000
OR_Astoria.Rgnl.AP.727910	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Burns.Muni.AP.726830	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Eugene-Mahlon.Sweet.AP.726930	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Medford-Rogue.Valley.Intl.AP.725970	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_North.Bend.Muni.AP.726917	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Portland.Intl.AP.726980	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Redmond-Roberts.Field.726835	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
OR_Salem-McNary.Field.726940	Single-Family Detached	0.000000	0.060000	0.170000	0.720000	0.050000
PA_Allentown-Lehigh.Valley.Intl.AP.725170	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Bradford.Rgnl.AP.725266	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Erie.Intl.AP.725260	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Harrisburg-Capital.City.AP.725118	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Philadelphia.Intl.AP.724080	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Pittsburgh.Intl.AP.725200	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Wilkes-Barre-Scranton.Intl.AP.725130	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
PA_Williamsport.Rgnl.AP.725140	Single-Family Detached	0.000000	0.440000	0.480000	0.040000	0.040000
RI_Providence-T.F.Green.State.AP.725070	Single-Family Detached	0.000000	0.610000	0.360000	0.010000	0.020000
SC_Charleston.Intl.AP.722080	Single-Family Detached	0.000000	0.060000	0.030000	0.620000	0.290000
SC_Columbia.Metro.AP.723100	Single-Family Detached	0.000000	0.060000	0.030000	0.620000	0.290000
SC_Greer.Greenville-Spartanburg.AP.723120	Single-Family Detached	0.000000	0.060000	0.030000	0.620000	0.290000
SD_Huron.Rgnl.AP.726540	Single-Family Detached	0.000000	0.200000	0.690000	0.040000	0.070000
SD_Pierre.Muni.AP.726686	Single-Family Detached	0.000000	0.200000	0.690000	0.040000	0.070000
SD_Rapid.City.Rgnl.AP.726620	Single-Family Detached	0.000000	0.200000	0.690000	0.040000	0.070000
SD_Sioux.Falls-Foss.Field.726510	Single-Family Detached	0.000000	0.200000	0.690000	0.040000	0.070000
TN_Bristol-TriCities.Rgnl.AP.723183	Single-Family Detached	0.000000	0.150000	0.130000	0.440000	0.280000
TN_Chattanooga-Lovell.Field.AP.723240	Single-Family Detached	0.000000	0.150000	0.130000	0.440000	0.280000
TN_Knoxville-McGhee.Tyson.AP.723260	Single-Family Detached	0.000000	0.150000	0.130000	0.440000	0.280000
TN_Memphis.Intl.AP.723340	Single-Family Detached	0.000000	0.150000	0.130000	0.440000	0.280000
TN_Nashville.Intl.AP.723270	Single-Family Detached	0.000000	0.150000	0.130000	0.440000	0.280000
TX_Abilene.Rgnl.AP.722660	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Amarillo.Intl.AP.723630	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Austin-Mueller.Muni.AP.722540	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Brownsville-South.Padre.Island.AP.722500	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Corpus.Christi.Intl.AP.722510	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Dallas-Fort.Worth.Intl.AP.722590	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_El.Paso.Intl.AP.722700	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Houston-Bush.Intercontinental.AP.722430	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Lubbock.Intl.AP.722670	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Lufkin-Angelina.Co.AP.722446	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Midland.Intl.AP.722650	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Port.Arthur-Jefferson.Co.AP.722410	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_San.Angelo-Mathis.AP.722630	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_San.Antonio.Intl.AP.722530	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Victoria.Rgnl.AP.722550	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Waco.Rgnl.AP.722560	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
TX_Wichita.Falls.Muni.AP.723510	Single-Family Detached	0.000000	0.010000	0.010000	0.000000	0.980000
UT_Cedar.City.Muni.AP.724755	Single-Family Detached	0.000000	0.240000	0.710000	0.030000	0.020000
UT_Salt.Lake.City.Intl.AP.725720	Single-Family Detached	0.000000	0.240000	0.710000	0.030000	0.020000
VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100	Single-Family Detached	0.000000	0.150000	0.320000	0.250000	0.280000
VA_Norfolk.Intl.AP.723080	Single-Family Detached	0.000000	0.150000	0.320000	0.250000	0.280000
VA_Richmond.Intl.AP.724010	Single-Family Detached	0.000000	0.150000	0.320000	0.250000	0.280000
VA_Roanoke.Rgnl.AP-Woodrum.Field.724110	Single-Family Detached	0.000000	0.150000	0.320000	0.250000	0.280000
VA_Sterling-Washington.Dulles.Intl.AP.724030	Single-Family Detached	0.000000	0.150000	0.320000	0.250000	0.280000
VT_Burlington.Intl.AP.726170	Single-Family Detached	0.000000	0.540000	0.320000	0.060000	0.080000
WA_Olympia.AP.727920	Single-Family Detached	0.000000	0.160000	0.460000	0.350000	0.030000
WA_Quillayute.State.AP.727970	Single-Family Detached	0.000000	0.160000	0.460000	0.350000	0.030000
WA_Seattle-Tacoma.Intl.AP.727930	Single-Family Detached	0.000000	0.160000	0.460000	0.350000	0.030000
WA_Spokane.Intl.AP.727850	Single-Family Detached	0.000000	0.160000	0.460000	0.350000	0.030000
WA_Yakima.Air.Terminal-McAllister.Field.727810	Single-Family Detached	0.000000	0.160000	0.460000	0.350000	0.030000
WI_Eau.Claire.County.AP.726435	Single-Family Detached	0.000000	0.310000	0.590000	0.010000	0.090000
WI_Green.Bay-Austin.Straubel.Intl.AP.726450	Single-Family Detached	0.000000	0.310000	0.590000	0.010000	0.090000
WI_La.Crosse.Muni.AP.726430	Single-Family Detached	0.000000	0.310000	0.590000	0.010000	0.090000
WI_Madison-Dane.County.Rgnl.AP.726410	Single-Family Detached	0.000000	0.310000	0.590000	0.010000	0.090000
WI_Milwaukee-Mitchell.Intl.AP.726400	Single-Family Detached	0.000000	0.310000	0.590000	0.010000	0.090000
WV_Charleston-Yeager.AP.724140	Single-Family Detached	0.000000	0.200000	0.330000	0.330000	0.140000
WV_Elkins-Randolph.County.AP.724170	Single-Family Detached	0.000000	0.200000	0.330000	0.330000	0.140000
WV_Huntington-Tri.State.Walker.Long.Field.724250	Single-Family Detached	0.000000	0.200000	0.330000	0.330000	0.140000
WY_Casper-Natrona.County.Intl.AP.725690	Single-Family Detached	0.000000	0.220000	0.680000	0.090000	0.010000
WY_Cheyenne.Muni.AP.725640	Single-Family Detached	0.000000	0.220000	0.680000	0.090000	0.010000
WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744	Single-Family Detached	0.000000	0.220000	0.680000	0.090000	0.010000
WY_Lander-Hunt.Field.725760	Single-Family Detached	0.000000	0.220000	0.680000	0.090000	0.010000
WY_Sheridan.County.AP.726660	Single-Family Detached	0.000000	0.220000	0.680000	0.090000	0.010000
AL_Birmingham.Muni.AP.722280	Single-Family Attached	0.000000	0.060000	0.050000	0.310000	0.580000
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Attached	0.000000	0.060000	0.050000	0.310000	0.580000
AL_Mobile-Rgnl.AP.722230	Single-Family Attached	0.000000	0.060000	0.050000	0.310000	0.580000
AL_Montgomery-Dannelly.Field.722260	Single-Family Attached	0.000000	0.060000	0.050000	0.310000	0.580000
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Attached	0.000000	0.070000	0.030000	0.410000	0.500000
AR_Little.Rock-Adams.Field.723403	Single-Family Attached	0.000000	0.070000	0.030000	0.410000	0.500000
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Attached	0.000000	0.010000	0.010000	0.030000	0.950000
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Attached	0.000000	0.010000	0.010000	0.030000	0.950000
AZ_Prescott-Love.Field.723723	Single-Family Attached	0.000000	0.010000	0.010000	0.030000	0.950000
AZ_Tucson.Intl.AP.722740	Single-Family Attached	0.000000	0.010000	0.010000	0.030000	0.950000
CA_Arcata.AP.725945	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Bakersfield-Meadows.Field.723840	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Fresno.Air.Terminal.723890	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Long.Beach-Daugherty.Field.722970	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Los.Angeles.Intl.AP.722950	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Sacramento.Exec.AP.724830	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_San.Diego-Lindbergh.Field.722900	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_San.Francisco.Intl.AP.724940	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CA_Santa.Maria.Public.AP.723940	Single-Family Attached	0.000000	0.090000	0.030000	0.200000	0.680000
CO_Alamosa.Muni.AP.724620	Single-Family Attached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Attached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Attached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Eagle.County.Rgnl.AP.724675	Single-Family Attached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Grand.Junction-Walker.Field.724760	Single-Family Attached	0.000000	0.190000	0.610000	0.190000	0.010000
CO_Pueblo.Mem.AP.724640	Single-Family Attached	0.000000	0.190000	0.610000	0.190000	0.010000
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Attached	0.000000	0.600000	0.360000	0.020000	0.020000
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Attached	0.000000	0.600000	0.360000	0.020000	0.020000
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Attached	0.000000	0.120000	0.190000	0.410000	0.290000
FL_Daytona.Beach.Intl.AP.722056	Single-Family Attached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Jacksonville.Intl.AP.722060	Single-Family Attached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Key.West.Intl.AP.722010	Single-Family Attached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Miami.Intl.AP.722020	Single-Family Attached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Orlando.Intl.AP.722050	Single-Family Attached	0.000000	0.000000	0.000000	0.050000	0.950000
FL_Tallahassee.Rgnl.AP.722140	Single-Family Attached	0.000000	0.000000	0.000000	0.050000	0.950000
