Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Electric range with cooktop efficiency of 0.74 and oven efficiency of 0.11,1000.77318,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
High efficiency heat pump ducted with SEER 24 and 14 HSPF ratings,17289.67955,Fixed,178.4942234,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
High efficiency ductless heat pump with SEER 29.3 and 14 HSFP ratings,3244.598675,Fixed,422.4183071,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ventless heat pump dryer,2261.517324,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric induction range with cooktop efficiency of 0.84 and oven efficiency of 0.11,1720.869744,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electricity,11.366,c/kWh,13.9875,$/month,Local cost,Local cost
Natural gas,1.153470984,$/therm,21.1608,$/month,Local cost,Local cost
Propane,2.537,$/gal,15,$/month,Local cost,Local cost
Fuel oil,3.637,$/gal,15,$/month,Local cost,Local cost
Local multiplier,0.87,Local multiplier to use with default costs,NA,NA,NA,NA
Inflation multiplier,1.3222,Inflation multiplier to use with default costs,NA,NA,NA,NA
