Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Minisplt heat pump with wall furnace heating back up,3171.193568,Fixed,410.9495443,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Upgrade existing minisplit heat pump,3171.193568,Fixed,410.9495443,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ducted and dual fuel backup gas furnace with 60% AFUE,5010.873163,Fixed,199.0108008,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Shared air source heat pump with fossil fuel back up,5010.873163,Fixed,199.0108008,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
50 gallon water heater,2875.441228,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon water heater,3960.464992,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon water heater,4909.540152,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
50 gallon heat pump water heater,2875.441228,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
66 gallon heat pump water heater,3960.464992,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon heat pump water heater,4909.540152,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric dryer with CEF of 2.7,1253.035718,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric range with cooktop efficiency of 0.74 and oven efficiency of 0.11,1115.80458,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
High efficiency heat pump ducted with SEER 24 and 14 HSPF ratings,19276.99903,Fixed,199.0108008,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
High efficiency ductless heat pump with SEER 29.3 and 14 HSFP ratings,3617.541051,Fixed,470.9721355,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ventless heat pump dryer,2521.461844,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric induction range with cooktop efficiency of 0.84 and oven efficiency of 0.11,1918.670864,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electricity,13.15,c/kWh,9.5,$/month,Local cost,Local cost
Natural gas,1.41284,$/therm,10.9,$/month,Local cost,Local cost
Propane,3.292,$/gal,0,$/month,Local cost,NA
Fuel oil,3.95,$/gal,0,$/month,Local cost,NA
Local multiplier,0.97,Local multiplier to use with default costs,NA,NA,NA,NA
Inflation multiplier,1.3222,Inflation multiplier to use with default costs,NA,NA,NA,NA
