Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
Multi-Family with 5+ Units	2050s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR11	Crawl	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR11	Slab	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Single-Family Attached	2050s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Multi-Family with 5+ Units	2050s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Mobile Home	2050s	CR02	Unheated Basement	0.000000	0.000000	1.010000	0.000000
Single-Family Detached	2050s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2050s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2050s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2050s	CR03	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2050s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2050s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2050s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2050s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2050s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2050s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2050s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2050s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2050s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2050s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2050s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2050s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2050s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2050s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2050s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2050s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2050s	CR08	Unheated Basement	0.000000	0.350000	0.640000	0.000000
Single-Family Attached	2050s	CR08	Unheated Basement	0.000000	0.350000	0.640000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Unheated Basement	0.000000	0.350000	0.640000	0.000000
Multi-Family with 5+ Units	2050s	CR08	Unheated Basement	0.000000	0.350000	0.640000	0.000000
Mobile Home	2050s	CR08	Unheated Basement	0.000000	0.350000	0.640000	0.000000
Single-Family Detached	2050s	CR09	Unheated Basement	0.000000	0.430000	0.570000	0.000000
Single-Family Attached	2050s	CR09	Unheated Basement	0.000000	0.430000	0.570000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Unheated Basement	0.000000	0.430000	0.570000	0.000000
Multi-Family with 5+ Units	2050s	CR09	Unheated Basement	0.000000	0.430000	0.570000	0.000000
Mobile Home	2050s	CR09	Unheated Basement	0.000000	0.430000	0.570000	0.000000
Single-Family Detached	2050s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Single-Family Attached	2050s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Multi-Family with 5+ Units	2050s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Mobile Home	2050s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Single-Family Detached	2050s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Single-Family Attached	2050s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Multi-Family with 5+ Units	2050s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Mobile Home	2050s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
