Dependency=Income	Dependency=Occupants	Option=0-100%	Option=100-150%	Option=150-200%	Option=200-300%	Option=300-400%	Option=400%+	Option=Not Available	source_count	source_weight
15000-19999	6	1	0	0	0	0	0	0	2601	63478
15000-19999	7	1	0	0	0	0	0	0	939	22803
15000-19999	8	1	0	0	0	0	0	0	337	7650
15000-19999	9	1	0	0	0	0	0	0	140	3239
160000-179999	0	0	0	0	0	0	0	1	0	0
160000-179999	1	0	0	0	0	0	1	0	12552	244923
160000-179999	10+	0	0	0.0106548	0.381465	0.60788	0	0	480	9010
160000-179999	2	0	0	0	0	0	1	0	68644	1.2303e+06
160000-179999	3	0	0	0	0	0	1	0	38034	724832
160000-179999	4	0	0	0	0	0	1	0	36782	723040
160000-179999	5	0	0	0	0	0	1	0	15207	303540
160000-179999	6	0	0	0	0	0	1	0	5605	113528
160000-179999	7	0	0	0	0	0	1	0	2132	42785
160000-179999	8	0	0	0	0	0.730794	0.269206	0	958	19825
160000-179999	9	0	0	0	0	1	0	0	431	9102
180000-199999	0	0	0	0	0	0	0	1	0	0
180000-199999	1	0	0	0	0	0	1	0	7672	146016
180000-199999	10+	0	0	0.00295818	0.201694	0.795348	0	0	393	7437
180000-199999	2	0	0	0	0	0	1	0	49231	875512
180000-199999	3	0	0	0	0	0	1	0	27236	516095
180000-199999	4	0	0	0	0	0	1	0	27213	534917
180000-199999	5	0	0	0	0	0	1	0	11216	222382
180000-199999	6	0	0	0	0	0	1	0	4051	83221
180000-199999	7	0	0	0	0	0	1	0	1581	32404
180000-199999	8	0	0	0	0	0	1	0	687	13955
180000-199999	9	0	0	0	0	0.537858	0.462142	0	354	6247
20000-24999	0	0	0	0	0	0	0	1	0	0
20000-24999	1	0	0	0.998059	0.00194076	0	0	0	141265	2.70152e+06
20000-24999	10+	1	0	0	0	0	0	0	166	3492
20000-24999	2	0	1	0	0	0	0	0	79471	1.51396e+06
20000-24999	3	0.283205	0.716795	0	0	0	0	0	25645	581744
20000-24999	4	1	0	0	0	0	0	0	16189	381610
20000-24999	5	1	0	0	0	0	0	0	8137	198972
20000-24999	6	1	0	0	0	0	0	0	3174	77883
20000-24999	7	1	0	0	0	0	0	0	1147	28616
20000-24999	8	1	0	0	0	0	0	0	451	10926
20000-24999	9	1	0	0	0	0	0	0	153	3369
200000+	0	0	0	0	0	0	0	1	0	0
200000+	1	0	0	0	0	0	1	0	38842	726309
200000+	10+	0	0	0	0.0142577	0.215953	0.769789	0	1758	31141
200000+	2	0	0	0	0	0	1	0	202923	3.49206e+06
200000+	3	0	0	0	0	0	1	0	103347	1.89997e+06
200000+	4	0	0	0	0	0	1	0	109683	2.07062e+06
200000+	5	0	0	0	0	0	1	0	45168	861965
200000+	6	0	0	0	0	0	1	0	16005	308620
200000+	7	0	0	0	0	0	1	0	5814	110432
200000+	8	0	0	0	0	0	1	0	2587	49065
200000+	9	0	0	0	0	0	1	0	1285	23596
25000-29999	0	0	0	0	0	0	0	1	0	0
25000-29999	1	0	0	0	1	0	0	0	119373	2.28823e+06
25000-29999	10+	1	0	0	0	0	0	0	166	3611
25000-29999	2	0	0.0826605	0.91734	0	0	0	0	86876	1.603e+06
25000-29999	3	0	1	0	0	0	0	0	27332	608585
25000-29999	4	0.127424	0.872576	0	0	0	0	0	17561	407617
25000-29999	5	1	0	0	0	0	0	0	8986	218101
25000-29999	6	1	0	0	0	0	0	0	3612	85425
25000-29999	7	1	0	0	0	0	0	0	1271	29850
25000-29999	8	1	0	0	0	0	0	0	479	11479
25000-29999	9	1	0	0	0	0	0	0	179	3779
30000-34999	0	0	0	0	0	0	0	1	0	0
30000-34999	1	0	0	0	1	0	0	0	112521	2.18714e+06
30000-34999	10+	1	0	0	0	0	0	0	180	3559
30000-34999	2	0	0	0.782619	0.217381	0	0	0	96578	1.77235e+06
30000-34999	3	0	0.419722	0.580278	0	0	0	0	30637	671001
30000-34999	4	0	1	0	0	0	0	0	20118	464666
30000-34999	5	0.0400598	0.95994	0	0	0	0	0	10446	250301
30000-34999	6	0.94782	0.0521799	0	0	0	0	0	4242	103124
30000-34999	7	1	0	0	0	0	0	0	1440	32845
30000-34999	8	1	0	0	0	0	0	0	555	13329
30000-34999	9	1	0	0	0	0	0	0	204	4283
35000-39999	0	0	0	0	0	0	0	1	0	0
35000-39999	1	0	0	0	0.518107	0.481893	0	0	94819	1.83995e+06
35000-39999	10+	1	0	0	0	0	0	0	196	3980
35000-39999	2	0	0	0	1	0	0	0	97443	1.76092e+06
35000-39999	3	0	0	1	0	0	0	0	30504	649859
35000-39999	4	0	0.730816	0.269184	0	0	0	0	19728	447553
35000-39999	5	0	1	0	0	0	0	0	10276	237847
35000-39999	6	0	1	0	0	0	0	0	4164	97481
35000-39999	7	0.801777	0.198223	0	0	0	0	0	1529	35117
35000-39999	8	1	0	0	0	0	0	0	552	12653
35000-39999	9	1	0	0	0	0	0	0	230	4889
40000-44999	0	0	0	0	0	0	0	1	0	0
40000-44999	1	0	0	0	0	1	0	0	88928	1.74714e+06
40000-44999	10+	1	0	0	0	0	0	0	178	3610
40000-44999	2	0	0	0	1	0	0	0	100447	1.8084e+06
40000-44999	3	0	0	0.549109	0.450891	0	0	0	31621	670321
40000-44999	4	0	0	1	0	0	0	0	21328	474174
40000-44999	5	0	1	0	0	0	0	0	11162	259019
40000-44999	6	0	1	0	0	0	0	0	4646	106919
40000-44999	7	0	1	0	0	0	0	0	1705	37654
40000-44999	8	0.761866	0.238134	0	0	0	0	0	628	13379
40000-44999	9	1	0	0	0	0	0	0	247	5107
45000-49999	0	0	0	0	0	0	0	1	0	0
45000-49999	1	0	0	0	0	0.997958	0.00204204	0	71946	1.39958e+06
45000-49999	10+	1	0	0	0	0	0	0	213	4278
45000-49999	2	0	0	0	1	0	0	0	98372	1.7579e+06
45000-49999	3	0	0	0	1	0	0	0	31419	655688
45000-49999	4	0	0	1	0	0	0	0	21228	465876
45000-49999	5	0	0.0450874	0.954913	0	0	0	0	10773	242285
45000-49999	6	0	1	0	0	0	0	0	4375	99928
45000-49999	7	0	1	0	0	0	0	0	1634	36464
45000-49999	8	0	1	0	0	0	0	0	674	15222
45000-49999	9	0.536178	0.463822	0	0	0	0	0	252	5390
50000-59999	0	0	0	0	0	0	0	1	0	0
50000-59999	1	0	0	0	0	0	1	0	129380	2.53862e+06
50000-59999	10+	0.513553	0.486447	0	0	0	0	0	498	9703
50000-59999	2	0	0	0	0.0828925	0.917107	0	0	193094	3.42679e+06
50000-59999	3	0	0	0	1	0	0	0	64409	1.32572e+06
50000-59999	4	0	0	0.136808	0.863192	0	0	0	44398	953247
50000-59999	5	0	0	1	0	0	0	0	22227	487983
50000-59999	6	0	0.204313	0.795687	0	0	0	0	9037	199664
50000-59999	7	0	0.871158	0.128842	0	0	0	0	3374	74207
50000-59999	8	0	1	0	0	0	0	0	1365	30476
50000-59999	9	0	1	0	0	0	0	0	502	10833
60000-69999	0	0	0	0	0	0	0	1	0	0
60000-69999	1	0	0	0	0	0	1	0	94984	1.86973e+06
60000-69999	10+	0.0832513	0.916749	0	0	0	0	0	491	10162
60000-69999	2	0	0	0	0	0.784289	0.215711	0	178838	3.17346e+06
60000-69999	3	0	0	0	0.409038	0.590962	0	0	64011	1.28553e+06
60000-69999	4	0	0	0	1	0	0	0	45235	953665
60000-69999	5	0	0	0.0336059	0.966394	0	0	0	22318	479082
60000-69999	6	0	0	0.926983	0.0730171	0	0	0	8874	196817
60000-69999	7	0	0	1	0	0	0	0	3355	74213
60000-69999	8	0	0.526054	0.473946	0	0	0	0	1293	27693
60000-69999	9	0	1	0	0	0	0	0	520	10334
70000-79999	0	0	0	0	0	0	0	1	0	0
70000-79999	1	0	0	0	0	0	1	0	69486	1.37323e+06
70000-79999	10+	0.0138216	0.925425	0.060753	0	0	0	0	463	9695
70000-79999	2	0	0	0	0	0	1	0	160438	2.84566e+06
70000-79999	3	0	0	0	0	1	0	0	61826	1.22427e+06
70000-79999	4	0	0	0	0.721647	0.278353	0	0	44732	929770
70000-79999	5	0	0	0	1	0	0	0	21528	461475
70000-79999	6	0	0	0	1	0	0	0	8618	187131
70000-79999	7	0	0	0.811968	0.188032	0	0	0	3084	67813
70000-79999	8	0	0	1	0	0	0	0	1271	27411
70000-79999	9	0	0.201504	0.798496	0	0	0	0	521	10635
80000-99999	0	0	0	0	0	0	0	1	0	0
80000-99999	1	0	0	0	0	0	1	0	90277	1.78222e+06
80000-99999	10+	0.00256367	0.178677	0.818759	0	0	0	0	915	17943
80000-99999	2	0	0	0	0	0	1	0	262157	4.6585e+06
80000-99999	3	0	0	0	0	0.28028	0.71972	0	111638	2.19212e+06
80000-99999	4	0	0	0	0	1	0	0	86724	1.75167e+06
80000-99999	5	0	0	0	0.550538	0.449462	0	0	39716	832268
80000-99999	6	0	0	0	1	0	0	0	15139	325729
80000-99999	7	0	0	0	1	0	0	0	5675	120601
80000-99999	8	0	0	0.350456	0.649544	0	0	0	2371	50654
80000-99999	9	0	0	0.816093	0.183907	0	0	0	998	20804
<10000	0	0	0	0	0	0	0	1	0	0
<10000	1	1	0	0	0	0	0	0	221881	4.51936e+06
<10000	10+	1	0	0	0	0	0	0	123	2492
<10000	2	1	0	0	0	0	0	0	71819	1.47708e+06
<10000	3	1	0	0	0	0	0	0	28168	659615
<10000	4	1	0	0	0	0	0	0	16886	401483
<10000	5	1	0	0	0	0	0	0	7627	182680
<10000	6	1	0	0	0	0	0	0	2805	68855
<10000	7	1	0	0	0	0	0	0	1004	24957
<10000	8	1	0	0	0	0	0	0	372	9230
<10000	9	1	0	0	0	0	0	0	156	3546
Not Available	0	0	0	0	0	0	0	1	624317	1.6673e+07
Not Available	1	0	0	0	0	0	0	1	0	0
Not Available	10+	0	0	0	0	0	0	1	0	0
Not Available	2	0	0	0	0	0	0	1	0	0
Not Available	3	0	0	0	0	0	0	1	0	0
Not Available	4	0	0	0	0	0	0	1	0	0
Not Available	5	0	0	0	0	0	0	1	0	0
Not Available	6	0	0	0	0	0	0	1	0	0
Not Available	7	0	0	0	0	0	0	1	0	0
Not Available	8	0	0	0	0	0	0	1	0	0
Not Available	9	0	0	0	0	0	0	1	0	0
# Created by: sources\pums\pums2019_5yrs\tsv_maker.py
# Description: Federal poverty level of the household occupying the dwelling unit.
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: % Federal Poverty Level is calculated using annual household income in 2019USD (continuous, not binned) from 2019-5yrs PUMS data and 2019 Federal Poverty Lines for contiguous US, where the FPL threshold for 1-occupant household is $12490 and $4420 for every additional person in the household.
