Dependency=Duct Location	Dependency=Vintage	Option=0% Leakage to Outside, Uninsulated	Option=10% Leakage to Outside, R-4	Option=10% Leakage to Outside, R-6	Option=10% Leakage to Outside, R-8	Option=10% Leakage to Outside, Uninsulated	Option=20% Leakage to Outside, R-4	Option=20% Leakage to Outside, R-6	Option=20% Leakage to Outside, R-8	Option=20% Leakage to Outside, Uninsulated	Option=30% Leakage to Outside, R-4	Option=30% Leakage to Outside, R-6	Option=30% Leakage to Outside, R-8	Option=30% Leakage to Outside, Uninsulated	Option=None
Unheated Basement	1940s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Unheated Basement	1950s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Unheated Basement	1960s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Unheated Basement	1970s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Unheated Basement	1980s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Unheated Basement	1990s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Unheated Basement	2000s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0
Unheated Basement	2010s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0
Attic	<1940	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	1940s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	1950s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	1960s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	1970s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	1980s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	1990s	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0	0
Attic	2000s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Attic	2010s	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0
Crawlspace	<1940	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	1940s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	1950s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	1960s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	1970s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	1980s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	1990s	0	0	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0
Crawlspace	2000s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0
Crawlspace	2010s	0	0	0.26	0	0	0	0.47	0	0	0	0.27	0	0	0
# Created by: sources\other\tsv_maker.py
# Description: Duct insulation and leakage to outside from the portion of ducts in unconditioned spaces
# Source: Duct insulation as a function of location: IECC 2009
# Source: Leakage distribution: Lucas and Cole, 'Impacts of the 2009 IECC for Residential Buildings at State Level', 2009
# Assumption: Ducts entirely in conditioned spaces will not have any leakage to outside. Ducts with R-4/R-8 insulation were previously assigned to Geometry Foundation Type = Ambient or Slab. They now correspond to those with Duct Location = Garage, Unvented Attic, or Vented Attic. 
