Dependency=County and PUMA	Option=No	Option=Yes
G0500950, G05000700	1	0
G0500970, G05001600	1	0
G0500990, G05002000	1	0
G0501010, G05000300	1	0
G0501030, G05001900	1	0
G0501050, G05001300	1	0
G0501070, G05000700	1	0
G0501090, G05002000	1	0
G0501110, G05000700	1	0
G0501130, G05001500	1	0
G0501150, G05001300	1	0
G0501170, G05000800	1	0
G0501190, G05000900	1	0
G0501190, G05001000	1	0
G0501210, G05000500	1	0
G0501230, G05000700	1	0
G0501250, G05001200	1	0
G0501270, G05001500	1	0
G0501290, G05000300	1	0
G0501310, G05001400	1	0
G0501330, G05001500	1	0
G0501350, G05000400	1	0
G0501370, G05000400	1	0
G0501390, G05001900	1	0
G0501410, G05000400	1	0
G0501430, G05000200	1	0
G0501450, G05000800	1	0
G0501470, G05000800	1	0
G0501490, G05001300	1	0
G0600010, G06000101	1	0
G0600010, G06000102	1	0
G0600010, G06000103	1	0
G0600010, G06000104	1	0
G0600010, G06000105	1	0
G0600010, G06000106	1	0
G0600010, G06000107	1	0
G0600010, G06000108	1	0
G0600010, G06000109	1	0
G0600010, G06000110	1	0
G0600030, G06000300	0.963068	0.0369318
G0600050, G06000300	0.999747	0.000253246
G0600070, G06000701	0.974823	0.025177
G0600070, G06000702	0.997847	0.00215339
G0600090, G06000300	1	0
G0600110, G06001100	0.995982	0.00401821
G0600130, G06001301	1	0
G0600130, G06001302	1	0
G0600130, G06001303	1	0
G0600130, G06001304	1	0
G0600130, G06001305	1	0
G0600130, G06001306	1	0
G0600130, G06001307	1	0
G0600130, G06001308	1	0
G0600130, G06001309	1	0
G0600150, G06001500	0.96129	0.0387098
G0600170, G06001700	0.999599	0.000400685
G0600190, G06001901	1	0
G0600190, G06001902	1	0
G0600190, G06001903	1	0
G0600190, G06001904	1	0
G0600190, G06001905	1	0
G0600190, G06001906	1	0
G0600190, G06001907	0.997546	0.00245386
G0600210, G06001100	0.995284	0.00471554
G0600230, G06002300	0.97197	0.0280297
G0600250, G06002500	0.985551	0.0144495
G0600270, G06000300	0.896025	0.103975
G0600290, G06002901	1	0
G0600290, G06002902	1	0
G0600290, G06002903	1	0
G0600290, G06002904	1	0
G0600290, G06002905	1	0
G0600310, G06003100	0.995186	0.00481352
G0600330, G06003300	0.994587	0.005413
G0600350, G06001500	0.983089	0.0169111
G0600370, G06003701	1	0
G0600370, G06003702	1	0
G0600370, G06003703	1	0
G0600370, G06003704	1	0
G0600370, G06003705	1	0
G0600370, G06003706	1	0
G0600370, G06003707	1	0
G0600370, G06003708	1	0
G0600370, G06003709	1	0
G0600370, G06003710	1	0
G0600370, G06003711	1	0
G0600370, G06003712	1	0
G0600370, G06003713	1	0
G0600370, G06003714	1	0
G0600370, G06003715	1	0
G0600370, G06003716	1	0
G0600370, G06003717	1	0
G0600370, G06003718	1	0
G0600370, G06003719	1	0
G0600370, G06003720	1	0
G0600370, G06003721	1	0
G0600370, G06003722	1	0
G0600370, G06003723	1	0
G0600370, G06003724	1	0
G0600370, G06003725	1	0
G0600370, G06003726	1	0
G0600370, G06003727	1	0
G0600370, G06003728	1	0
G0600370, G06003729	1	0
G0600370, G06003730	1	0
G0600370, G06003731	1	0
G0600370, G06003732	1	0
G0600370, G06003733	1	0
G0600370, G06003734	1	0
G0600370, G06003735	1	0
G0600370, G06003736	1	0
G0600370, G06003737	1	0
G0600370, G06003738	1	0
G0600370, G06003739	1	0
G0600370, G06003740	1	0
G0600370, G06003741	1	0
G0600370, G06003742	1	0
G0600370, G06003743	1	0
G0600370, G06003744	1	0
G0600370, G06003745	1	0
G0600370, G06003746	1	0
G0600370, G06003747	1	0
G0600370, G06003748	1	0
G0600370, G06003749	1	0
G0600370, G06003750	1	0
G0600370, G06003751	1	0
G0600370, G06003752	1	0
G0600370, G06003753	1	0
G0600370, G06003754	1	0
G0600370, G06003755	1	0
G0600370, G06003756	1	0
G0600370, G06003757	1	0
G0600370, G06003758	1	0
G0600370, G06003759	1	0
G0600370, G06003760	1	0
G0600370, G06003761	1	0
G0600370, G06003762	1	0
G0600370, G06003763	1	0
G0600370, G06003764	1	0
G0600370, G06003765	1	0
G0600370, G06003766	1	0
G0600370, G06003767	1	0
G0600370, G06003768	1	0
G0600370, G06003769	1	0
G0600390, G06003900	0.998921	0.0010785
G0600410, G06004101	1	0
G0600410, G06004102	1	0
G0600430, G06000300	1	0
G0600450, G06003300	0.986725	0.0132746
G0600470, G06004701	1	0
G0600470, G06004702	1	0
G0600490, G06001500	0.983026	0.0169744
G0600510, G06000300	0.996239	0.00376118
G0600530, G06005301	1	0
G0600530, G06005302	1	0
G0600530, G06005303	1	0
G0600550, G06005500	1	0
G0600570, G06005700	1	0
G0600590, G06005901	1	0
G0600590, G06005902	1	0
G0600590, G06005903	1	0
G0600590, G06005904	1	0
G0600590, G06005905	1	0
G0600590, G06005906	1	0
G0600590, G06005907	1	0
G0600590, G06005908	1	0
G0600590, G06005909	1	0
G0600590, G06005910	1	0
G0600590, G06005911	1	0
G0600590, G06005912	1	0
G0600590, G06005913	1	0
G0600590, G06005914	1	0
G0600590, G06005915	1	0
G0600590, G06005916	1	0
G0600590, G06005917	1	0
G0600590, G06005918	1	0
G0600610, G06006101	1	0
G0600610, G06006102	1	0
G0600610, G06006103	1	0
G0600630, G06001500	0.998935	0.00106529
G0600650, G06006501	0.958163	0.0418367
G0600650, G06006502	0.724259	0.275741
G0600650, G06006503	0.995456	0.00454449
G0600650, G06006504	1	0
G0600650, G06006505	1	0
G0600650, G06006506	1	0
G0600650, G06006507	0.989163	0.0108368
G0600650, G06006508	1	0
G0600650, G06006509	1	0
G0600650, G06006510	1	0
G0600650, G06006511	1	0
G0600650, G06006512	1	0
G0600650, G06006513	1	0
G0600650, G06006514	1	0
G0600650, G06006515	0.999195	0.000805181
G0600670, G06006701	1	0
G0600670, G06006702	1	0
G0600670, G06006703	1	0
G0600670, G06006704	1	0
G0600670, G06006705	1	0
G0600670, G06006706	1	0
G0600670, G06006707	1	0
G0600670, G06006708	1	0
G0600670, G06006709	1	0
G0600670, G06006710	1	0
G0600670, G06006711	1	0
G0600670, G06006712	1	0
G0600690, G06005303	1	0
G0600710, G06007101	0.964348	0.0356522
G0600710, G06007102	1	0
G0600710, G06007103	1	0
G0600710, G06007104	0.999422	0.000577976
G0600710, G06007105	1	0
G0600710, G06007106	1	0
G0600710, G06007107	1	0
G0600710, G06007108	1	0
G0600710, G06007109	1	0
G0600710, G06007110	1	0
G0600710, G06007111	1	0
G0600710, G06007112	1	0
G0600710, G06007113	1	0
G0600710, G06007114	1	0
G0600710, G06007115	1	0
G0600730, G06007301	1	0
G0600730, G06007302	0.960767	0.0392328
G0600730, G06007303	1	0
G0600730, G06007304	1	0
G0600730, G06007305	1	0
G0600730, G06007306	1	0
G0600730, G06007307	0.992083	0.00791713
G0600730, G06007308	1	0
G0600730, G06007309	1	0
G0600730, G06007310	1	0
G0600730, G06007311	1	0
G0600730, G06007312	1	0
G0600730, G06007313	1	0
G0600730, G06007314	1	0
G0600730, G06007315	1	0
G0600730, G06007316	1	0
G0600730, G06007317	1	0
G0600730, G06007318	1	0
G0600730, G06007319	1	0
G0600730, G06007320	1	0
G0600730, G06007321	1	0
G0600730, G06007322	1	0
G0600750, G06007501	1	0
G0600750, G06007502	1	0
G0600750, G06007503	1	0
G0600750, G06007504	1	0
G0600750, G06007505	1	0
G0600750, G06007506	1	0
G0600750, G06007507	1	0
G0600770, G06007701	1	0
G0600770, G06007702	1	0
G0600770, G06007703	1	0
G0600770, G06007704	1	0
G0600790, G06007901	1	0
G0600790, G06007902	1	0
G0600810, G06008101	1	0
G0600810, G06008102	1	0
G0600810, G06008103	1	0
G0600810, G06008104	1	0
G0600810, G06008105	1	0
G0600810, G06008106	1	0
G0600830, G06008301	1	0
G0600830, G06008302	0.997245	0.00275455
G0600830, G06008303	1	0
G0600850, G06008501	1	0
G0600850, G06008502	1	0
G0600850, G06008503	1	0
G0600850, G06008504	1	0
G0600850, G06008505	1	0
G0600850, G06008506	1	0
G0600850, G06008507	1	0
G0600850, G06008508	1	0
G0600850, G06008509	1	0
G0600850, G06008510	1	0
G0600850, G06008511	1	0
G0600850, G06008512	1	0
G0600850, G06008513	1	0
G0600850, G06008514	1	0
G0600870, G06008701	1	0
G0600870, G06008702	1	0
G0600890, G06008900	0.999635	0.000365119
G0600910, G06005700	1	0
G0600930, G06001500	0.990635	0.00936494
G0600950, G06009501	1	0
G0600950, G06009502	1	0
G0600950, G06009503	1	0
G0600970, G06009701	0.999773	0.000226911
G0600970, G06009702	1	0
G0600970, G06009703	1	0
G0600990, G06009901	1	0
G0600990, G06009902	1	0
G0600990, G06009903	1	0
G0600990, G06009904	1	0
G0601010, G06010100	1	0
G0601030, G06001100	1	0
G0601050, G06001100	1	0
G0601070, G06010701	1	0
G0601070, G06010702	1	0
G0601070, G06010703	0.994258	0.00574154
G0601090, G06000300	0.9978	0.00220013
G0601110, G06011101	1	0
G0601110, G06011102	1	0
G0601110, G06011103	1	0
G0601110, G06011104	1	0
G0601110, G06011105	1	0
G0601110, G06011106	1	0
G0601130, G06011300	0.999623	0.000377262
G0601150, G06010100	1	0
G0800010, G08000804	1	0
G0800010, G08000805	1	0
G0800010, G08000806	1	0
G0800010, G08000807	1	0
G0800010, G08000809	1	0
G0800010, G08000810	1	0
G0800010, G08000817	1	0
G0800010, G08000824	1	0
G0800030, G08000800	1	0
G0800050, G08000808	1	0
G0800050, G08000809	1	0
G0800050, G08000810	1	0
G0800050, G08000811	1	0
G0800050, G08000815	1	0
G0800050, G08000820	1	0
G0800050, G08000824	1	0
G0800070, G08000900	0.891801	0.108199
G0800090, G08000800	1	0
G0800110, G08000100	1	0
G0800130, G08000801	1	0
G0800130, G08000802	1	0
G0800130, G08000803	1	0
G0800130, G08000804	1	0
G0800140, G08000804	1	0
G0800140, G08000805	1	0
G0800150, G08000600	1	0
G0800170, G08000100	1	0
G0800190, G08000801	1	0
G0800210, G08000800	1	0
G0800230, G08000800	1	0
G0800250, G08000100	1	0
G0800270, G08000600	1	0
G0800290, G08001002	1	0
G0800310, G08000812	1	0
G0800310, G08000813	1	0
G0800310, G08000814	1	0
G0800310, G08000815	1	0
G0800310, G08000816	1	0
G0800330, G08000900	1	0
G0800350, G08000821	1	0
G0800350, G08000822	1	0
G0800350, G08000823	1	0
G0800370, G08000400	1	0
G0800390, G08000100	1	0
G0800390, G08000823	1	0
G0800410, G08004101	1	0
G0800410, G08004102	1	0
G0800410, G08004103	1	0
G0800410, G08004104	1	0
G0800410, G08004105	1	0
G0800410, G08004106	1	0
G0800430, G08000600	1	0
G0800450, G08000200	1	0
G0800470, G08000801	1	0
G0800490, G08000400	1	0
G0800510, G08000900	1	0
G0800530, G08000900	1	0
G0800550, G08000600	1	0
G0800570, G08000400	1	0
G0800590, G08000801	1	0
G0800590, G08000804	1	0
G0800590, G08000805	1	0
G0800590, G08000817	1	0
G0800590, G08000818	1	0
G0800590, G08000819	1	0
G0800590, G08000820	1	0
G0800590, G08000821	1	0
G0800610, G08000100	1	0
G0800630, G08000100	1	0
G0800650, G08000600	1	0
G0800670, G08000900	0.806472	0.193528
G0800690, G08000102	1	0
G0800690, G08000103	1	0
G0800710, G08000800	1	0
G0800730, G08000100	1	0
G0800750, G08000100	1	0
G0800770, G08001001	1	0
G0800770, G08001002	1	0
G0800790, G08000800	1	0
G0800810, G08000200	1	0
G0800830, G08000900	0.952696	0.0473038
G0800850, G08001002	1	0
G0800870, G08000100	1	0
G0800890, G08000800	1	0
G0800910, G08001002	1	0
G0800930, G08000600	1	0
G0800950, G08000100	1	0
G0800970, G08000400	1	0
G0800990, G08000800	1	0
G0801010, G08000600	1	0
G0801010, G08000700	1	0
G0801010, G08000800	1	0
G0801030, G08000200	1	0
G0801050, G08000800	1	0
G0801070, G08000200	1	0
G0801090, G08000800	1	0
G0801110, G08000900	1	0
G0801130, G08001002	1	0
G0801150, G08000100	1	0
G0801170, G08000400	1	0
G0801190, G08004101	1	0
G0801210, G08000100	1	0
G0801230, G08000100	1	0
G0801230, G08000300	1	0
G0801230, G08000802	1	0
G0801230, G08000824	1	0
G0801250, G08000100	1	0
G0900010, G09000100	1	0
G0900010, G09000101	1	0
G0900010, G09000102	1	0
G0900010, G09000103	1	0
G0900010, G09000104	1	0
G0900010, G09000105	1	0
G0900030, G09000300	1	0
G0900030, G09000301	1	0
G0900030, G09000302	1	0
G0900030, G09000303	1	0
G0900030, G09000304	1	0
G0900030, G09000305	1	0
G0900030, G09000306	1	0
G0900050, G09000500	0.999957	4.2883e-05
G0900070, G09000700	1	0
G0900090, G09000900	1	0
G0900090, G09000901	1	0
G0900090, G09000902	1	0
G0900090, G09000903	1	0
G0900090, G09000904	1	0
G0900090, G09000905	1	0
G0900090, G09000906	1	0
G0900110, G09001100	0.997192	0.00280798
G0900110, G09001101	1	0
G0900130, G09001300	1	0
G0900150, G09001500	1	0
G1000010, G10000200	0.996148	0.0038515
G1000030, G10000101	1	0
G1000030, G10000102	1	0
G1000030, G10000103	1	0
G1000030, G10000104	1	0
G1000050, G10000300	0.968902	0.0310983
G1100010, G11000101	1	0
G1100010, G11000102	1	0
G1100010, G11000103	1	0
G1100010, G11000104	1	0
G1100010, G11000105	1	0
G1200010, G12000101	1	0
G1200010, G12000102	1	0
G1200030, G12008900	1	0
G1200050, G12000500	1	0
G1200070, G12002300	1	0
G1200090, G12000901	1	0
G1200090, G12000902	1	0
G1200090, G12000903	1	0
G1200090, G12000904	1	0
G1200110, G12001101	1	0
G1200110, G12001102	1	0
G1200110, G12001103	1	0
G1200110, G12001104	1	0
G1200110, G12001105	1	0
G1200110, G12001106	1	0
G1200110, G12001107	1	0
G1200110, G12001108	1	0
G1200110, G12001109	0.977711	0.0222891
G1200110, G12001110	1	0
G1200110, G12001111	1	0
G1200110, G12001112	1	0
G1200110, G12001113	1	0
G1200110, G12001114	1	0
G1200130, G12006300	1	0
G1200150, G12001500	1	0
G1200170, G12001701	1	0
G1200190, G12001900	1	0
G1200210, G12002101	1	0
G1200210, G12002102	1	0
G1200210, G12002103	0.999	0.000999773
G1200230, G12002300	1	0
G1200270, G12002700	1	0
G1200290, G12002300	1	0
G1200310, G12003101	1	0
G1200310, G12003102	1	0
G1200310, G12003103	1	0
G1200310, G12003104	1	0
G1200310, G12003105	1	0
G1200310, G12003106	1	0
G1200310, G12003107	1	0
G1200330, G12003301	0.999979	2.0868e-05
G1200330, G12003302	1	0
G1200350, G12003500	1	0
G1200370, G12006300	1	0
G1200390, G12006300	1	0
G1200410, G12002300	1	0
G1200430, G12009300	0.95828	0.0417196
G1200450, G12006300	1	0
G1200470, G12012100	1	0
G1200490, G12002700	1	0
G1200510, G12009300	0.980351	0.0196489
G1200530, G12005301	1	0
G1200550, G12002700	1	0
G1200550, G12009300	1	0
G1200570, G12005701	1	0
G1200570, G12005702	1	0
G1200570, G12005703	1	0
G1200570, G12005704	1	0
G1200570, G12005705	1	0
G1200570, G12005706	1	0
G1200570, G12005707	1	0
G1200570, G12005708	1	0
G1200590, G12000500	1	0
G1200610, G12006100	1	0
G1200630, G12006300	1	0
G1200650, G12006300	1	0
G1200670, G12012100	1	0
G1200690, G12006901	1	0
G1200690, G12006902	1	0
G1200690, G12006903	1	0
G1200710, G12007101	1	0
G1200710, G12007102	1	0
G1200710, G12007103	1	0
G1200710, G12007104	1	0
G1200710, G12007105	1	0
G1200730, G12007300	1	0
G1200730, G12007301	1	0
G1200750, G12002300	1	0
G1200770, G12006300	1	0
G1200790, G12012100	1	0
G1200810, G12008101	1	0
G1200810, G12008102	1	0
G1200810, G12008103	1	0
G1200830, G12008301	1	0
G1200830, G12008302	1	0
G1200830, G12008303	1	0
G1200850, G12008500	1	0
G1200860, G12008601	1	0
G1200860, G12008602	1	0
G1200860, G12008603	1	0
G1200860, G12008604	1	0
G1200860, G12008605	1	0
G1200860, G12008606	1	0
G1200860, G12008607	1	0
G1200860, G12008608	1	0
G1200860, G12008609	1	0
G1200860, G12008610	1	0
G1200860, G12008611	1	0
G1200860, G12008612	1	0
G1200860, G12008613	1	0
G1200860, G12008614	1	0
G1200860, G12008615	1	0
G1200860, G12008616	1	0
G1200860, G12008617	1	0
G1200860, G12008618	1	0
G1200860, G12008619	1	0
G1200860, G12008620	1	0
G1200860, G12008621	1	0
G1200860, G12008622	1	0
G1200860, G12008623	1	0
G1200860, G12008624	1	0
G1200860, G12008700	0.990234	0.00976623
G1200870, G12008700	1	0
G1200890, G12008900	1	0
G1200910, G12009100	1	0
G1200930, G12009300	1	0
G1200950, G12009501	1	0
G1200950, G12009502	1	0
G1200950, G12009503	1	0
G1200950, G12009504	1	0
G1200950, G12009505	1	0
G1200950, G12009506	1	0
G1200950, G12009507	1	0
G1200950, G12009508	1	0
G1200950, G12009509	1	0
G1200950, G12009510	1	0
G1200970, G12009701	1	0
G1200970, G12009702	1	0
G1200990, G12009901	1	0
G1200990, G12009902	1	0
G1200990, G12009903	1	0
G1200990, G12009904	1	0
G1200990, G12009905	1	0
G1200990, G12009906	1	0
G1200990, G12009907	1	0
G1200990, G12009908	1	0
G1200990, G12009909	1	0
G1200990, G12009910	1	0
G1200990, G12009911	1	0
G1201010, G12010101	1	0
G1201010, G12010102	1	0
G1201010, G12010103	1	0
G1201010, G12010104	1	0
G1201030, G12010301	1	0
G1201030, G12010302	1	0
G1201030, G12010303	1	0
G1201030, G12010304	1	0
G1201030, G12010305	1	0
G1201030, G12010306	1	0
G1201030, G12010307	1	0
G1201030, G12010308	1	0
G1201050, G12010501	1	0
G1201050, G12010502	1	0
G1201050, G12010503	1	0
G1201050, G12010504	1	0
G1201070, G12010700	1	0
G1201090, G12010700	1	0
G1201090, G12010900	1	0
G1201110, G12011101	0.999478	0.00052203
G1201110, G12011102	1	0
G1201130, G12011300	1	0
G1201150, G12011501	1	0
G1201150, G12011502	1	0
G1201150, G12011503	1	0
G1201170, G12011701	1	0
G1201170, G12011702	1	0
G1201170, G12011703	1	0
G1201170, G12011704	1	0
G1201190, G12006902	1	0
G1201190, G12006903	1	0
G1201210, G12012100	1	0
G1201230, G12012100	1	0
G1201250, G12002300	1	0
G1201270, G12003500	1	0
G1201270, G12012701	1	0
G1201270, G12012702	1	0
G1201270, G12012703	1	0
G1201270, G12012704	1	0
G1201290, G12006300	1	0
G1201310, G12000500	1	0
G1201330, G12000500	1	0
G1300010, G13001200	1	0
G1300030, G13000500	1	0
G1300050, G13000500	1	0
G1300070, G13001100	1	0
G1300090, G13001600	1	0
G1300110, G13003500	1	0
G1300130, G13003800	1	0
G1300150, G13002900	1	0
G1300170, G13000700	1	0
G1300190, G13000700	1	0
G1300210, G13001400	1	0
G1300230, G13001300	1	0
G1300250, G13000500	1	0
G1300270, G13000700	1	0
G1300290, G13000200	1	0
G1300310, G13000300	1	0
G1300330, G13004200	1	0
G1300350, G13001900	1	0
G1300370, G13001100	1	0
G1300390, G13000100	1	0
G1300430, G13001300	1	0
G1300450, G13002300	1	0
G1300470, G13002600	1	0
G1300490, G13000500	1	0
G1300510, G13000401	1	0
G1300510, G13000402	1	0
G1300530, G13001700	1	0
G1300550, G13002600	1	0
G1300570, G13003101	1	0
G1300570, G13003102	1	0
G1300590, G13003600	1	0
G1300610, G13001800	1	0
G1300630, G13005001	1	0
G1300630, G13005002	1	0
G1300650, G13000500	1	0
G1300670, G13003001	1	0
G1300670, G13003002	1	0
G1300670, G13003003	1	0
G1300670, G13003004	1	0
G1300670, G13003005	1	0
G1300690, G13000500	1	0
G1300710, G13000800	1	0
G1300730, G13004100	1	0
G1300750, G13000700	1	0
G1300770, G13002100	1	0
G1300790, G13001600	1	0
G1300810, G13001800	1	0
G1300830, G13002600	1	0
G1300850, G13003200	1	0
G1300870, G13001100	1	0
G1300890, G13001007	1	0
G1300890, G13001008	1	0
G1300890, G13002001	1	0
G1300890, G13002002	1	0
G1300890, G13002003	1	0
G1300890, G13002004	1	0
G1300910, G13001300	1	0
G1300930, G13001800	1	0
G1300950, G13000900	1	0
G1300970, G13004400	1	0
G1300990, G13001100	1	0
G1301010, G13000500	1	0
G1301030, G13000300	1	0
G1301050, G13003700	1	0
G1301070, G13001300	1	0
G1301090, G13001200	1	0
G1301110, G13002800	1	0
G1301130, G13002400	1	0
G1301150, G13002500	1	0
G1301170, G13003300	1	0
G1301190, G13003500	1	0
G1301210, G13001001	1	0
G1301210, G13001002	1	0
G1301210, G13001003	1	0
G1301210, G13001004	1	0
G1301210, G13001005	1	0
G1301210, G13001006	1	0
G1301210, G13001007	1	0
G1301210, G13004600	1	0
G1301230, G13002800	1	0
G1301250, G13004200	1	0
G1301270, G13000100	1	0
G1301290, G13002800	1	0
G1301310, G13001100	0.999261	0.00073895
G1301330, G13003700	1	0
G1301350, G13004001	1	0
G1301350, G13004002	1	0
G1301350, G13004003	1	0
G1301350, G13004004	1	0
G1301350, G13004005	1	0
