Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AL, 00900	Single-Family Detached	2020s	0.830785	0.000000	0.113430	0.000000	0.000000	0.055785
AL, 01000	Mobile Home	2020s	0.875652	0.000000	0.000000	0.043478	0.000000	0.080870
AL, 01000	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01000	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01000	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01000	Single-Family Detached	2020s	0.788247	0.000000	0.033053	0.000000	0.020986	0.157712
AL, 01100	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 01100	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01100	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01100	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01100	Single-Family Detached	2020s	0.766115	0.000000	0.121988	0.000000	0.021084	0.090814
AL, 01200	Mobile Home	2020s	0.791428	0.000000	0.000000	0.175510	0.000000	0.033062
AL, 01200	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01200	Multi-Family with 5+ Units	2020s	0.877945	0.000000	0.097885	0.024169	0.000000	0.000000
AL, 01200	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01200	Single-Family Detached	2020s	0.567184	0.000000	0.427948	0.000000	0.000000	0.004866
AL, 01301	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 01301	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01301	Multi-Family with 5+ Units	2020s	0.453571	0.000000	0.546429	0.000000	0.000000	0.000000
AL, 01301	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01301	Single-Family Detached	2020s	0.769328	0.000047	0.196544	0.005423	0.007789	0.020870
AL, 01302	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 01302	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01302	Multi-Family with 5+ Units	2020s	0.701674	0.000000	0.298326	0.000000	0.000000	0.000000
AL, 01302	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01302	Single-Family Detached	2020s	0.769328	0.000047	0.196544	0.005423	0.007789	0.020870
AL, 01303	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 01303	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01303	Multi-Family with 5+ Units	2020s	0.901250	0.000000	0.098750	0.000000	0.000000	0.000000
AL, 01303	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01303	Single-Family Detached	2020s	0.353705	0.000000	0.646295	0.000000	0.000000	0.000000
AL, 01304	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 01304	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01304	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01304	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01304	Single-Family Detached	2020s	0.641879	0.000000	0.326165	0.015038	0.000000	0.016917
AL, 01305	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 01305	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01305	Multi-Family with 5+ Units	2020s	0.925169	0.000000	0.074831	0.000000	0.000000	0.000000
AL, 01305	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01305	Single-Family Detached	2020s	0.301344	0.000000	0.686003	0.000000	0.000000	0.012653
AL, 01400	Mobile Home	2020s	0.951669	0.000000	0.000000	0.000000	0.000000	0.048331
AL, 01400	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01400	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01400	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01400	Single-Family Detached	2020s	0.787600	0.000000	0.105600	0.000000	0.000000	0.106800
AL, 01500	Mobile Home	2020s	0.902877	0.000000	0.097123	0.000000	0.000000	0.000000
AL, 01500	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01500	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01500	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01500	Single-Family Detached	2020s	0.633814	0.000000	0.284837	0.000000	0.012034	0.069314
AL, 01600	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 01600	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01600	Multi-Family with 5+ Units	2020s	0.935669	0.000000	0.050955	0.000000	0.000000	0.013376
AL, 01600	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01600	Single-Family Detached	2020s	0.708305	0.000000	0.291695	0.000000	0.000000	0.000000
AL, 01700	Mobile Home	2020s	0.855276	0.000000	0.094975	0.000000	0.000000	0.049748
AL, 01700	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01700	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01700	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01700	Single-Family Detached	2020s	0.932059	0.000000	0.000000	0.000000	0.067941	0.000000
AL, 01800	Mobile Home	2020s	0.992908	0.000000	0.000000	0.007092	0.000000	0.000000
AL, 01800	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 01800	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 01800	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01800	Single-Family Detached	2020s	0.892800	0.000000	0.014400	0.043200	0.006400	0.043200
AL, 01900	Mobile Home	2020s	0.955750	0.000000	0.000000	0.003899	0.000000	0.040351
AL, 01900	Multi-Family with 2 - 4 Units	2020s	0.981391	0.000000	0.018609	0.000000	0.000000	0.000000
AL, 01900	Multi-Family with 5+ Units	2020s	0.968217	0.000000	0.031783	0.000000	0.000000	0.000000
AL, 01900	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 01900	Single-Family Detached	2020s	0.898483	0.000000	0.097133	0.004384	0.000000	0.000000
AL, 02000	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 02000	Multi-Family with 2 - 4 Units	2020s	0.674254	0.000000	0.325746	0.000000	0.000000	0.000000
AL, 02000	Multi-Family with 5+ Units	2020s	0.896721	0.000000	0.071926	0.000000	0.000000	0.031352
AL, 02000	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02000	Single-Family Detached	2020s	0.648202	0.000000	0.351798	0.000000	0.000000	0.000000
AL, 02100	Mobile Home	2020s	0.996092	0.000000	0.000000	0.000000	0.000000	0.003908
AL, 02100	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02100	Multi-Family with 5+ Units	2020s	0.937500	0.000000	0.000000	0.000000	0.062500	0.000000
AL, 02100	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02100	Single-Family Detached	2020s	0.692733	0.000000	0.252725	0.005134	0.000000	0.049407
AL, 02200	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02200	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02200	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 02200	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02200	Single-Family Detached	2020s	0.841977	0.000000	0.042747	0.000000	0.066752	0.048523
AL, 02300	Mobile Home	2020s	0.864103	0.000000	0.000000	0.000000	0.000000	0.135897
AL, 02300	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02300	Multi-Family with 5+ Units	2020s	0.930757	0.000000	0.060540	0.003938	0.002626	0.002138
AL, 02300	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02300	Single-Family Detached	2020s	0.783088	0.000000	0.138971	0.010110	0.000000	0.067831
AL, 02400	Mobile Home	2020s	0.860265	0.000000	0.000000	0.041391	0.000000	0.098345
AL, 02400	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02400	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02400	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02400	Single-Family Detached	2020s	0.875427	0.000000	0.082167	0.000000	0.013225	0.029181
AL, 02500	Mobile Home	2020s	0.922141	0.000000	0.000000	0.000000	0.012165	0.065694
AL, 02500	Multi-Family with 2 - 4 Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02500	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02500	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02500	Single-Family Detached	2020s	0.916316	0.000000	0.082218	0.001466	0.000000	0.000000
AL, 02600	Mobile Home	2020s	0.985336	0.000000	0.000000	0.000000	0.000000	0.014664
AL, 02600	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02600	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02600	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02600	Single-Family Detached	2020s	0.909282	0.000000	0.074201	0.012831	0.000000	0.003685
AL, 02701	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 02701	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02701	Multi-Family with 5+ Units	2020s	0.943204	0.000000	0.056796	0.000000	0.000000	0.000000
AL, 02701	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02701	Single-Family Detached	2020s	0.769328	0.000047	0.196544	0.005423	0.007789	0.020870
AL, 02702	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 02702	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02702	Multi-Family with 5+ Units	2020s	0.936874	0.000000	0.063126	0.000000	0.000000	0.000000
AL, 02702	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02702	Single-Family Detached	2020s	0.820000	0.000000	0.180000	0.000000	0.000000	0.000000
AL, 02703	Mobile Home	2020s	0.928527	0.000102	0.010029	0.014440	0.005458	0.041444
AL, 02703	Multi-Family with 2 - 4 Units	2020s	0.868076	0.000000	0.110507	0.000000	0.000000	0.021417
AL, 02703	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02703	Single-Family Attached	2020s	0.849222	0.000000	0.143439	0.000000	0.000000	0.007339
AL, 02703	Single-Family Detached	2020s	0.859941	0.000000	0.133789	0.000000	0.006271	0.000000
AR, 00100	Mobile Home	2020s	0.898992	0.000000	0.037612	0.000000	0.024440	0.038956
AR, 00100	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 00100	Multi-Family with 5+ Units	2020s	0.935169	0.000000	0.020642	0.015291	0.000000	0.028899
AR, 00100	Single-Family Attached	2020s	0.837164	0.000000	0.162836	0.000000	0.000000	0.000000
AR, 00100	Single-Family Detached	2020s	0.394986	0.000000	0.561998	0.000000	0.019082	0.023935
AR, 00200	Mobile Home	2020s	0.898992	0.000000	0.037612	0.000000	0.024440	0.038956
AR, 00200	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 00200	Multi-Family with 5+ Units	2020s	0.977949	0.003590	0.018462	0.000000	0.000000	0.000000
AR, 00200	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00200	Single-Family Detached	2020s	0.414900	0.000000	0.499642	0.000000	0.051934	0.033524
AR, 00300	Mobile Home	2020s	0.848548	0.000000	0.056017	0.000000	0.095436	0.000000
AR, 00300	Multi-Family with 2 - 4 Units	2020s	0.918182	0.000000	0.081818	0.000000	0.000000	0.000000
AR, 00300	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 00300	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00300	Single-Family Detached	2020s	0.664334	0.000000	0.096750	0.036667	0.050000	0.152250
AR, 00400	Mobile Home	2020s	0.962611	0.000000	0.021365	0.000000	0.000000	0.016024
AR, 00400	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 00400	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 00400	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00400	Single-Family Detached	2020s	0.675540	0.000000	0.166972	0.000000	0.092346	0.065141
AR, 00500	Mobile Home	2020s	0.898992	0.000000	0.037612	0.000000	0.024440	0.038956
AR, 00500	Multi-Family with 2 - 4 Units	2020s	0.922980	0.000000	0.066561	0.000000	0.000000	0.010460
AR, 00500	Multi-Family with 5+ Units	2020s	0.963384	0.000000	0.036617	0.000000	0.000000	0.000000
AR, 00500	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00500	Single-Family Detached	2020s	0.848961	0.000000	0.111388	0.000000	0.006819	0.032833
AR, 00600	Mobile Home	2020s	0.898992	0.000000	0.037612	0.000000	0.024440	0.038956
AR, 00600	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 00600	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 00600	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00600	Single-Family Detached	2020s	0.575450	0.000000	0.259459	0.009009	0.000000	0.156081
AR, 00700	Mobile Home	2020s	0.956364	0.000000	0.043637	0.000000	0.000000	0.000000
AR, 00700	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 00700	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 00700	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00700	Single-Family Detached	2020s	0.695213	0.000000	0.240958	0.000000	0.000000	0.063830
AR, 00800	Mobile Home	2020s	0.914871	0.000000	0.048491	0.000000	0.036638	0.000000
AR, 00800	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 00800	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 00800	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00800	Single-Family Detached	2020s	0.797666	0.000000	0.183310	0.000000	0.005658	0.013366
AR, 00900	Mobile Home	2020s	0.930137	0.000000	0.069863	0.000000	0.000000	0.000000
AR, 00900	Multi-Family with 2 - 4 Units	2020s	0.887792	0.000000	0.112208	0.000000	0.000000	0.000000
AR, 00900	Multi-Family with 5+ Units	2020s	0.972213	0.000000	0.027787	0.000000	0.000000	0.000000
AR, 00900	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 00900	Single-Family Detached	2020s	0.563728	0.000000	0.399427	0.004848	0.006611	0.025385
AR, 01000	Mobile Home	2020s	0.898992	0.000000	0.037612	0.000000	0.024440	0.038956
AR, 01000	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01000	Multi-Family with 5+ Units	2020s	0.963472	0.000000	0.036528	0.000000	0.000000	0.000000
AR, 01000	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01000	Single-Family Detached	2020s	0.438673	0.000000	0.561327	0.000000	0.000000	0.000000
AR, 01100	Mobile Home	2020s	0.912742	0.000000	0.037396	0.000000	0.049861	0.000000
AR, 01100	Multi-Family with 2 - 4 Units	2020s	0.913084	0.000000	0.086916	0.000000	0.000000	0.000000
AR, 01100	Multi-Family with 5+ Units	2020s	0.953902	0.000000	0.046098	0.000000	0.000000	0.000000
AR, 01100	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01100	Single-Family Detached	2020s	0.736416	0.000000	0.240935	0.000000	0.007664	0.014984
AR, 01200	Mobile Home	2020s	0.858268	0.000000	0.088582	0.000000	0.000000	0.053150
AR, 01200	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01200	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 01200	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01200	Single-Family Detached	2020s	0.803217	0.000000	0.164776	0.000000	0.009619	0.022388
AR, 01300	Mobile Home	2020s	0.858127	0.000000	0.000000	0.000000	0.083039	0.058834
AR, 01300	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01300	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 01300	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01300	Single-Family Detached	2020s	0.898324	0.000000	0.054893	0.000000	0.027480	0.019303
AR, 01400	Mobile Home	2020s	0.898992	0.000000	0.037612	0.000000	0.024440	0.038956
AR, 01400	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01400	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01400	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01400	Single-Family Detached	2020s	0.653453	0.000000	0.265658	0.030274	0.020814	0.029802
AR, 01500	Mobile Home	2020s	0.899605	0.000000	0.000000	0.000000	0.007905	0.092490
AR, 01500	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01500	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 01500	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01500	Single-Family Detached	2020s	0.770518	0.000000	0.022666	0.000000	0.148148	0.058667
AR, 01600	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01600	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01600	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01600	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01600	Single-Family Detached	2020s	0.798943	0.000000	0.100244	0.034959	0.014634	0.051220
AR, 01700	Mobile Home	2020s	0.934375	0.000000	0.009375	0.000000	0.000000	0.056250
AR, 01700	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01700	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01700	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01700	Single-Family Detached	2020s	0.625472	0.000000	0.212264	0.000000	0.077358	0.084906
AR, 01800	Mobile Home	2020s	0.909126	0.000000	0.069903	0.000000	0.000000	0.020971
AR, 01800	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01800	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 01800	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
AR, 01800	Single-Family Detached	2020s	0.596552	0.000000	0.339655	0.000000	0.000000	0.063793
AR, 01900	Mobile Home	2020s	0.941810	0.000000	0.058190	0.000000	0.000000	0.000000
AR, 01900	Multi-Family with 2 - 4 Units	2020s	0.900261	0.000000	0.092173	0.003262	0.000000	0.004306
AR, 01900	Multi-Family with 5+ Units	2020s	0.969618	0.000426	0.024799	0.003242	0.000000	0.001914
AR, 01900	Single-Family Attached	2020s	0.742452	0.000000	0.195119	0.036322	0.026107	0.000000
