upgrade,geometry_foundation_type,living_space_delta,building_id
8,Unheated Basement,"[1, 3) degF",766
8,Unheated Basement,"[3, 5) degF",205
8,Unheated Basement,5+ degF,2576
8,Unvented Crawlspace,<-5 degF,33
8,Unvented Crawlspace,"[-5, -3) degF",78
8,Unvented Crawlspace,"[-3, -1) degF",254
8,Unvented Crawlspace,"[-1, 1) degF",9458
8,Unvented Crawlspace,"[1, 3) degF",77
8,Unvented Crawlspace,"[3, 5) degF",27
8,Unvented Crawlspace,5+ degF,255
8,Vented Crawlspace,<-5 degF,1244
8,Vented Crawlspace,"[-5, -3) degF",1586
8,Vented Crawlspace,"[-3, -1) degF",4505
8,Vented Crawlspace,"[-1, 1) degF",109968
8,Vented Crawlspace,"[1, 3) degF",988
8,Vented Crawlspace,"[3, 5) degF",306
8,Vented Crawlspace,5+ degF,2650
9,Ambient,<-5 degF,164
9,Ambient,"[-5, -3) degF",297
9,Ambient,"[-3, -1) degF",913
9,Ambient,"[-1, 1) degF",44158
9,Ambient,"[1, 3) degF",1259
9,Ambient,"[3, 5) degF",244
9,Ambient,5+ degF,1622
9,Heated Basement,<-5 degF,265
9,Heated Basement,"[-5, -3) degF",559
9,Heated Basement,"[-3, -1) degF",1416
9,Heated Basement,"[-1, 1) degF",59476
9,Heated Basement,"[1, 3) degF",2821
9,Heated Basement,"[3, 5) degF",1259
9,Heated Basement,5+ degF,2526
9,Slab,<-5 degF,3661
9,Slab,"[-5, -3) degF",3748
9,Slab,"[-3, -1) degF",7656
9,Slab,"[-1, 1) degF",176706
9,Slab,"[1, 3) degF",16152
9,Slab,"[3, 5) degF",4047
9,Slab,5+ degF,3708
9,Unheated Basement,<-5 degF,292
9,Unheated Basement,"[-5, -3) degF",607
9,Unheated Basement,"[-3, -1) degF",1513
9,Unheated Basement,"[-1, 1) degF",77563
9,Unheated Basement,"[1, 3) degF",1716
9,Unheated Basement,"[3, 5) degF",502
9,Unheated Basement,5+ degF,2635
9,Unvented Crawlspace,<-5 degF,31
9,Unvented Crawlspace,"[-5, -3) degF",66
9,Unvented Crawlspace,"[-3, -1) degF",215
9,Unvented Crawlspace,"[-1, 1) degF",9353
9,Unvented Crawlspace,"[1, 3) degF",226
9,Unvented Crawlspace,"[3, 5) degF",32
9,Unvented Crawlspace,5+ degF,259
9,Vented Crawlspace,<-5 degF,1115
9,Vented Crawlspace,"[-5, -3) degF",1248
9,Vented Crawlspace,"[-3, -1) degF",3226
9,Vented Crawlspace,"[-1, 1) degF",105006
9,Vented Crawlspace,"[1, 3) degF",5970
9,Vented Crawlspace,"[3, 5) degF",1676
9,Vented Crawlspace,5+ degF,3008
10,Ambient,<-5 degF,164
10,Ambient,"[-5, -3) degF",297
10,Ambient,"[-3, -1) degF",912
10,Ambient,"[-1, 1) degF",44159
10,Ambient,"[1, 3) degF",1259
10,Ambient,"[3, 5) degF",244
10,Ambient,5+ degF,1622
10,Heated Basement,<-5 degF,265
10,Heated Basement,"[-5, -3) degF",559
10,Heated Basement,"[-3, -1) degF",1416
10,Heated Basement,"[-1, 1) degF",59465
10,Heated Basement,"[1, 3) degF",2828
10,Heated Basement,"[3, 5) degF",1263
10,Heated Basement,5+ degF,2526
10,Slab,<-5 degF,3645
10,Slab,"[-5, -3) degF",3720
10,Slab,"[-3, -1) degF",7577
10,Slab,"[-1, 1) degF",176401
10,Slab,"[1, 3) degF",16441
10,Slab,"[3, 5) degF",4148
10,Slab,5+ degF,3746
10,Unheated Basement,<-5 degF,292
10,Unheated Basement,"[-5, -3) degF",606
10,Unheated Basement,"[-3, -1) degF",1508
10,Unheated Basement,"[-1, 1) degF",77547
10,Unheated Basement,"[1, 3) degF",1729
10,Unheated Basement,"[3, 5) degF",506
10,Unheated Basement,5+ degF,2640
10,Unvented Crawlspace,<-5 degF,30
10,Unvented Crawlspace,"[-5, -3) degF",70
10,Unvented Crawlspace,"[-3, -1) degF",200
10,Unvented Crawlspace,"[-1, 1) degF",9301
10,Unvented Crawlspace,"[1, 3) degF",281
10,Unvented Crawlspace,"[3, 5) degF",39
10,Unvented Crawlspace,5+ degF,261
10,Vented Crawlspace,<-5 degF,1083
10,Vented Crawlspace,"[-5, -3) degF",1197
10,Vented Crawlspace,"[-3, -1) degF",3063
10,Vented Crawlspace,"[-1, 1) degF",103779
10,Vented Crawlspace,"[1, 3) degF",6477
10,Vented Crawlspace,"[3, 5) degF",2450
10,Vented Crawlspace,5+ degF,3200
