upgrade,heating_fuel,living_space_delta,building_id
2,Electricity,"[3, 5) degF",4278
2,Electricity,5+ degF,1359
2,Fuel Oil,<-5 degF,1
2,Fuel Oil,"[-5, -3) degF",0
2,Fuel Oil,"[-3, -1) degF",4
2,Fuel Oil,"[-1, 1) degF",24419
2,Fuel Oil,"[1, 3) degF",680
2,Fuel Oil,"[3, 5) degF",321
2,Fuel Oil,5+ degF,120
2,Natural Gas,<-5 degF,5
2,Natural Gas,"[-5, -3) degF",5
2,Natural Gas,"[-3, -1) degF",52
2,Natural Gas,"[-1, 1) degF",228920
2,Natural Gas,"[1, 3) degF",18059
2,Natural Gas,"[3, 5) degF",7025
2,Natural Gas,5+ degF,2363
2,None,<-5 degF,0
2,None,"[-5, -3) degF",0
2,None,"[-3, -1) degF",1
2,None,"[-1, 1) degF",837
2,None,"[1, 3) degF",875
2,None,"[3, 5) degF",544
2,None,5+ degF,334
2,Other Fuel,<-5 degF,0
2,Other Fuel,"[-5, -3) degF",0
2,Other Fuel,"[-3, -1) degF",3
2,Other Fuel,"[-1, 1) degF",3117
2,Other Fuel,"[1, 3) degF",3473
2,Other Fuel,"[3, 5) degF",2738
2,Other Fuel,5+ degF,3284
2,Propane,<-5 degF,0
2,Propane,"[-5, -3) degF",0
2,Propane,"[-3, -1) degF",2
2,Propane,"[-1, 1) degF",23004
2,Propane,"[1, 3) degF",1243
2,Propane,"[3, 5) degF",399
2,Propane,5+ degF,153
3,Electricity,<-5 degF,2004
3,Electricity,"[-5, -3) degF",1833
3,Electricity,"[-3, -1) degF",3383
3,Electricity,"[-1, 1) degF",211013
3,Electricity,"[1, 3) degF",1026
3,Electricity,"[3, 5) degF",249
3,Electricity,5+ degF,121
3,Fuel Oil,<-5 degF,238
3,Fuel Oil,"[-5, -3) degF",249
3,Fuel Oil,"[-3, -1) degF",581
3,Fuel Oil,"[-1, 1) degF",24366
3,Fuel Oil,"[1, 3) degF",255
3,Fuel Oil,"[3, 5) degF",28
3,Fuel Oil,5+ degF,9
3,Natural Gas,<-5 degF,2912
3,Natural Gas,"[-5, -3) degF",3616
3,Natural Gas,"[-3, -1) degF",7124
3,Natural Gas,"[-1, 1) degF",245029
3,Natural Gas,"[1, 3) degF",2491
3,Natural Gas,"[3, 5) degF",497
3,Natural Gas,5+ degF,223
3,None,<-5 degF,144
3,None,"[-5, -3) degF",61
3,None,"[-3, -1) degF",129
3,None,"[-1, 1) degF",970
3,None,"[1, 3) degF",304
3,None,"[3, 5) degF",239
3,None,5+ degF,912
3,Other Fuel,<-5 degF,10
3,Other Fuel,"[-5, -3) degF",14
3,Other Fuel,"[-3, -1) degF",75
3,Other Fuel,"[-1, 1) degF",1218
3,Other Fuel,"[1, 3) degF",547
3,Other Fuel,"[3, 5) degF",552
3,Other Fuel,5+ degF,10411
3,Propane,<-5 degF,188
3,Propane,"[-5, -3) degF",216
3,Propane,"[-3, -1) degF",482
3,Propane,"[-1, 1) degF",24207
3,Propane,"[1, 3) degF",262
3,Propane,"[3, 5) degF",47
3,Propane,5+ degF,25
4,Electricity,<-5 degF,1984
4,Electricity,"[-5, -3) degF",1808
4,Electricity,"[-3, -1) degF",3348
4,Electricity,"[-1, 1) degF",211068
4,Electricity,"[1, 3) degF",1031
4,Electricity,"[3, 5) degF",233
4,Electricity,5+ degF,157
4,Fuel Oil,<-5 degF,80
4,Fuel Oil,"[-5, -3) degF",186
4,Fuel Oil,"[-3, -1) degF",484
4,Fuel Oil,"[-1, 1) degF",24738
4,Fuel Oil,"[1, 3) degF",198
4,Fuel Oil,"[3, 5) degF",27
4,Fuel Oil,5+ degF,13
4,Natural Gas,<-5 degF,2737
4,Natural Gas,"[-5, -3) degF",3492
4,Natural Gas,"[-3, -1) degF",6856
4,Natural Gas,"[-1, 1) degF",245689
4,Natural Gas,"[1, 3) degF",2329
4,Natural Gas,"[3, 5) degF",507
4,Natural Gas,5+ degF,282
4,None,<-5 degF,144
4,None,"[-5, -3) degF",61
4,None,"[-3, -1) degF",130
4,None,"[-1, 1) degF",969
4,None,"[1, 3) degF",304
4,None,"[3, 5) degF",240
4,None,5+ degF,911
4,Other Fuel,<-5 degF,10
4,Other Fuel,"[-5, -3) degF",16
4,Other Fuel,"[-3, -1) degF",73
4,Other Fuel,"[-1, 1) degF",1219
4,Other Fuel,"[1, 3) degF",548
4,Other Fuel,"[3, 5) degF",550
4,Other Fuel,5+ degF,10411
4,Propane,<-5 degF,123
4,Propane,"[-5, -3) degF",190
4,Propane,"[-3, -1) degF",422
4,Propane,"[-1, 1) degF",24365
4,Propane,"[1, 3) degF",245
4,Propane,"[3, 5) degF",52
4,Propane,5+ degF,30
5,Electricity,<-5 degF,2078
5,Electricity,"[-5, -3) degF",1889
5,Electricity,"[-3, -1) degF",3494
5,Electricity,"[-1, 1) degF",210344
5,Electricity,"[1, 3) degF",1023
5,Electricity,"[3, 5) degF",245
5,Electricity,5+ degF,123
5,Fuel Oil,<-5 degF,223
5,Fuel Oil,"[-5, -3) degF",250
5,Fuel Oil,"[-3, -1) degF",621
5,Fuel Oil,"[-1, 1) degF",24355
5,Fuel Oil,"[1, 3) degF",242
5,Fuel Oil,"[3, 5) degF",19
5,Fuel Oil,5+ degF,5
5,Natural Gas,<-5 degF,2940
5,Natural Gas,"[-5, -3) degF",3705
5,Natural Gas,"[-3, -1) degF",7631
5,Natural Gas,"[-1, 1) degF",244942
5,Natural Gas,"[1, 3) degF",2132
5,Natural Gas,"[3, 5) degF",332
5,Natural Gas,5+ degF,154
5,None,<-5 degF,0
5,None,"[-5, -3) degF",0
5,None,"[-3, -1) degF",0
5,None,"[-1, 1) degF",0
5,None,"[1, 3) degF",0
5,None,"[3, 5) degF",0
5,None,5+ degF,0
5,Other Fuel,<-5 degF,0
5,Other Fuel,"[-5, -3) degF",0
5,Other Fuel,"[-3, -1) degF",0
5,Other Fuel,"[-1, 1) degF",0
5,Other Fuel,"[1, 3) degF",0
5,Other Fuel,"[3, 5) degF",0
5,Other Fuel,5+ degF,0
5,Propane,<-5 degF,189
5,Propane,"[-5, -3) degF",219
5,Propane,"[-3, -1) degF",528
5,Propane,"[-1, 1) degF",24190
5,Propane,"[1, 3) degF",230
5,Propane,"[3, 5) degF",34
5,Propane,5+ degF,19
6,Electricity,<-5 degF,883
6,Electricity,"[-5, -3) degF",1823
6,Electricity,"[-3, -1) degF",6550
6,Electricity,"[-1, 1) degF",208069
6,Electricity,"[1, 3) degF",265
6,Electricity,"[3, 5) degF",13
6,Electricity,5+ degF,1
6,Fuel Oil,<-5 degF,10
6,Fuel Oil,"[-5, -3) degF",37
6,Fuel Oil,"[-3, -1) degF",197
6,Fuel Oil,"[-1, 1) degF",25312
6,Fuel Oil,"[1, 3) degF",8
6,Fuel Oil,"[3, 5) degF",0
6,Fuel Oil,5+ degF,0
6,Natural Gas,<-5 degF,839
6,Natural Gas,"[-5, -3) degF",1807
6,Natural Gas,"[-3, -1) degF",7416
6,Natural Gas,"[-1, 1) degF",251232
6,Natural Gas,"[1, 3) degF",207
6,Natural Gas,"[3, 5) degF",10
6,Natural Gas,5+ degF,0
6,None,<-5 degF,122
6,None,"[-5, -3) degF",180
6,None,"[-3, -1) degF",469
6,None,"[-1, 1) degF",1862
6,None,"[1, 3) degF",97
6,None,"[3, 5) degF",5
6,None,5+ degF,0
6,Other Fuel,<-5 degF,110
6,Other Fuel,"[-5, -3) degF",314
6,Other Fuel,"[-3, -1) degF",1723
6,Other Fuel,"[-1, 1) degF",10161
6,Other Fuel,"[1, 3) degF",383
6,Other Fuel,"[3, 5) degF",0
6,Other Fuel,5+ degF,0
6,Propane,<-5 degF,25
6,Propane,"[-5, -3) degF",67
6,Propane,"[-3, -1) degF",394
6,Propane,"[-1, 1) degF",24727
6,Propane,"[1, 3) degF",12
6,Propane,"[3, 5) degF",1
6,Propane,5+ degF,0
7,Electricity,<-5 degF,472
7,Electricity,"[-5, -3) degF",701
7,Electricity,"[-3, -1) degF",2081
7,Electricity,"[-1, 1) degF",68440
7,Electricity,"[1, 3) degF",240
7,Electricity,"[3, 5) degF",13
7,Electricity,5+ degF,1
7,Fuel Oil,<-5 degF,214
7,Fuel Oil,"[-5, -3) degF",241
7,Fuel Oil,"[-3, -1) degF",581
7,Fuel Oil,"[-1, 1) degF",24378
7,Fuel Oil,"[1, 3) degF",274
7,Fuel Oil,"[3, 5) degF",31
7,Fuel Oil,5+ degF,7
7,Natural Gas,<-5 degF,3530
7,Natural Gas,"[-5, -3) degF",4570
7,Natural Gas,"[-3, -1) degF",10292
7,Natural Gas,"[-1, 1) degF",240132
7,Natural Gas,"[1, 3) degF",2647
7,Natural Gas,"[3, 5) degF",495
7,Natural Gas,5+ degF,226
7,None,<-5 degF,165
7,None,"[-5, -3) degF",85
7,None,"[-3, -1) degF",205
7,None,"[-1, 1) degF",863
7,None,"[1, 3) degF",294
7,None,"[3, 5) degF",235
7,None,5+ degF,912
7,Other Fuel,<-5 degF,11
7,Other Fuel,"[-5, -3) degF",23
7,Other Fuel,"[-3, -1) degF",93
7,Other Fuel,"[-1, 1) degF",1190
7,Other Fuel,"[1, 3) degF",552
7,Other Fuel,"[3, 5) degF",555
7,Other Fuel,5+ degF,10403
7,Propane,<-5 degF,201
7,Propane,"[-5, -3) degF",233
7,Propane,"[-3, -1) degF",592
7,Propane,"[-1, 1) degF",24037
7,Propane,"[1, 3) degF",289
7,Propane,"[3, 5) degF",48
7,Propane,5+ degF,27
8,Electricity,<-5 degF,2629
8,Electricity,"[-5, -3) degF",2944
8,Electricity,"[-3, -1) degF",7511
8,Electricity,"[-1, 1) degF",205280
8,Electricity,"[1, 3) degF",1412
8,Electricity,"[3, 5) degF",286
8,Electricity,5+ degF,222
8,Fuel Oil,<-5 degF,81
8,Fuel Oil,"[-5, -3) degF",193
8,Fuel Oil,"[-3, -1) degF",513
8,Fuel Oil,"[-1, 1) degF",24663
8,Fuel Oil,"[1, 3) degF",235
8,Fuel Oil,"[3, 5) degF",24
8,Fuel Oil,5+ degF,17
8,Natural Gas,<-5 degF,3385
8,Natural Gas,"[-5, -3) degF",4417
8,Natural Gas,"[-3, -1) degF",10063
8,Natural Gas,"[-1, 1) degF",240384
8,Natural Gas,"[1, 3) degF",2768
8,Natural Gas,"[3, 5) degF",539
8,Natural Gas,5+ degF,335
8,None,<-5 degF,171
8,None,"[-5, -3) degF",100
8,None,"[-3, -1) degF",225
8,None,"[-1, 1) degF",822
8,None,"[1, 3) degF",299
8,None,"[3, 5) degF",234
8,None,5+ degF,908
8,Other Fuel,<-5 degF,13
8,Other Fuel,"[-5, -3) degF",36
8,Other Fuel,"[-3, -1) degF",147
8,Other Fuel,"[-1, 1) degF",1143
8,Other Fuel,"[1, 3) degF",540
8,Other Fuel,"[3, 5) degF",546
8,Other Fuel,5+ degF,10401
8,Propane,<-5 degF,149
8,Propane,"[-5, -3) degF",225
8,Propane,"[-3, -1) degF",589
8,Propane,"[-1, 1) degF",24078
8,Propane,"[1, 3) degF",302
8,Propane,"[3, 5) degF",51
8,Propane,5+ degF,33
9,Electricity,<-5 degF,2280
9,Electricity,"[-5, -3) degF",2458
9,Electricity,"[-3, -1) degF",5645
9,Electricity,"[-1, 1) degF",194405
9,Electricity,"[1, 3) degF",12456
9,Electricity,"[3, 5) degF",2296
9,Electricity,5+ degF,745
9,Fuel Oil,<-5 degF,70
9,Fuel Oil,"[-5, -3) degF",173
9,Fuel Oil,"[-3, -1) degF",439
9,Fuel Oil,"[-1, 1) degF",24098
9,Fuel Oil,"[1, 3) degF",621
9,Fuel Oil,"[3, 5) degF",251
9,Fuel Oil,5+ degF,74
9,Natural Gas,<-5 degF,2892
9,Natural Gas,"[-5, -3) degF",3604
9,Natural Gas,"[-3, -1) degF",8091
9,Natural Gas,"[-1, 1) degF",229261
9,Natural Gas,"[1, 3) degF",12849
9,Natural Gas,"[3, 5) degF",3898
9,Natural Gas,5+ degF,1297
9,None,<-5 degF,153
9,None,"[-5, -3) degF",78
9,None,"[-3, -1) degF",167
9,None,"[-1, 1) degF",635
9,None,"[1, 3) degF",474
9,None,"[3, 5) degF",290
9,None,5+ degF,962
9,Other Fuel,<-5 degF,11
9,Other Fuel,"[-5, -3) degF",26
9,Other Fuel,"[-3, -1) degF",99
9,Other Fuel,"[-1, 1) degF",687
9,Other Fuel,"[1, 3) degF",755
9,Other Fuel,"[3, 5) degF",696
9,Other Fuel,5+ degF,10553
9,Propane,<-5 degF,122
9,Propane,"[-5, -3) degF",186
9,Propane,"[-3, -1) degF",498
9,Propane,"[-1, 1) degF",23176
9,Propane,"[1, 3) degF",989
9,Propane,"[3, 5) degF",329
9,Propane,5+ degF,127
10,Electricity,<-5 degF,2261
10,Electricity,"[-5, -3) degF",2415
10,Electricity,"[-3, -1) degF",5525
10,Electricity,"[-1, 1) degF",193671
10,Electricity,"[1, 3) degF",12965
10,Electricity,"[3, 5) degF",2626
10,Electricity,5+ degF,822
10,Fuel Oil,<-5 degF,70
10,Fuel Oil,"[-5, -3) degF",172
10,Fuel Oil,"[-3, -1) degF",436
10,Fuel Oil,"[-1, 1) degF",24081
10,Fuel Oil,"[1, 3) degF",629
10,Fuel Oil,"[3, 5) degF",261
10,Fuel Oil,5+ degF,77
10,Natural Gas,<-5 degF,2863
10,Natural Gas,"[-5, -3) degF",3569
10,Natural Gas,"[-3, -1) degF",7971
10,Natural Gas,"[-1, 1) degF",228466
10,Natural Gas,"[1, 3) degF",13188
10,Natural Gas,"[3, 5) degF",4405
10,Natural Gas,5+ degF,1430
10,None,<-5 degF,153
10,None,"[-5, -3) degF",80
10,None,"[-3, -1) degF",154
10,None,"[-1, 1) degF",626
10,None,"[1, 3) degF",475
10,None,"[3, 5) degF",306
10,None,5+ degF,965
10,Other Fuel,<-5 degF,11
10,Other Fuel,"[-5, -3) degF",25
10,Other Fuel,"[-3, -1) degF",99
10,Other Fuel,"[-1, 1) degF",666
10,Other Fuel,"[1, 3) degF",750
10,Other Fuel,"[3, 5) degF",711
10,Other Fuel,5+ degF,10565
10,Propane,<-5 degF,121
10,Propane,"[-5, -3) degF",188
10,Propane,"[-3, -1) degF",491
10,Propane,"[-1, 1) degF",23142
10,Propane,"[1, 3) degF",1008
10,Propane,"[3, 5) degF",341
10,Propane,5+ degF,136
