upgrade,hvac_heating_type,living_space_delta,building_id
10,Ducted Heat Pump,"[1, 3) degF",3259
10,Ducted Heat Pump,"[3, 5) degF",523
10,Ducted Heat Pump,5+ degF,145
10,Ducted Heating,<-5 degF,3012
10,Ducted Heating,"[-5, -3) degF",3497
10,Ducted Heating,"[-3, -1) degF",8257
10,Ducted Heating,"[-1, 1) degF",293998
10,Ducted Heating,"[1, 3) degF",17478
10,Ducted Heating,"[3, 5) degF",5056
10,Ducted Heating,5+ degF,8962
10,Non-Ducted Heating,<-5 degF,2248
10,Non-Ducted Heating,"[-5, -3) degF",2639
10,Non-Ducted Heating,"[-3, -1) degF",5399
10,Non-Ducted Heating,"[-1, 1) degF",117525
10,Non-Ducted Heating,"[1, 3) degF",7803
10,Non-Ducted Heating,"[3, 5) degF",2765
10,Non-Ducted Heating,5+ degF,3923
10,None,<-5 degF,153
10,None,"[-5, -3) degF",80
10,None,"[-3, -1) degF",154
10,None,"[-1, 1) degF",626
10,None,"[1, 3) degF",475
10,None,"[3, 5) degF",306
10,None,5+ degF,965
