upgrade,hvac_cooling_type,living_space_delta,building_id
3,Central AC,"[-1, 1) degF",278913
3,Central AC,"[1, 3) degF",1863
3,Central AC,"[3, 5) degF",658
3,Central AC,5+ degF,5694
3,Heat Pump,<-5 degF,0
3,Heat Pump,"[-5, -3) degF",0
3,Heat Pump,"[-3, -1) degF",10
3,Heat Pump,"[-1, 1) degF",62927
3,Heat Pump,"[1, 3) degF",2
3,Heat Pump,"[3, 5) degF",0
3,Heat Pump,5+ degF,0
3,None,<-5 degF,5174
3,None,"[-5, -3) degF",5772
3,None,"[-3, -1) degF",11093
3,None,"[-1, 1) degF",60854
3,None,"[1, 3) degF",1545
3,None,"[3, 5) degF",546
3,None,5+ degF,2748
3,Room AC,<-5 degF,93
3,Room AC,"[-5, -3) degF",47
3,Room AC,"[-3, -1) degF",167
3,Room AC,"[-1, 1) degF",104109
3,Room AC,"[1, 3) degF",1475
3,Room AC,"[3, 5) degF",408
3,Room AC,5+ degF,3259
4,Central AC,<-5 degF,24
4,Central AC,"[-5, -3) degF",33
4,Central AC,"[-3, -1) degF",286
4,Central AC,"[-1, 1) degF",279266
4,Central AC,"[1, 3) degF",1981
4,Central AC,"[3, 5) degF",683
4,Central AC,5+ degF,5758
4,Heat Pump,<-5 degF,0
4,Heat Pump,"[-5, -3) degF",0
4,Heat Pump,"[-3, -1) degF",10
4,Heat Pump,"[-1, 1) degF",62869
4,Heat Pump,"[1, 3) degF",46
4,Heat Pump,"[3, 5) degF",6
4,Heat Pump,5+ degF,8
4,None,<-5 degF,5047
4,None,"[-5, -3) degF",5702
4,None,"[-3, -1) degF",10949
4,None,"[-1, 1) degF",61295
4,None,"[1, 3) degF",1446
4,None,"[3, 5) degF",535
4,None,5+ degF,2758
4,Room AC,<-5 degF,7
4,Room AC,"[-5, -3) degF",18
4,Room AC,"[-3, -1) degF",68
4,Room AC,"[-1, 1) degF",104618
4,Room AC,"[1, 3) degF",1182
4,Room AC,"[3, 5) degF",385
4,Room AC,5+ degF,3280
5,Central AC,<-5 degF,216
5,Central AC,"[-5, -3) degF",219
5,Central AC,"[-3, -1) degF",834
5,Central AC,"[-1, 1) degF",276775
5,Central AC,"[1, 3) degF",1186
5,Central AC,"[3, 5) degF",172
5,Central AC,5+ degF,59
5,Heat Pump,<-5 degF,74
5,Heat Pump,"[-5, -3) degF",56
5,Heat Pump,"[-3, -1) degF",123
5,Heat Pump,"[-1, 1) degF",63329
5,Heat Pump,"[1, 3) degF",12
5,Heat Pump,"[3, 5) degF",0
5,Heat Pump,5+ degF,1
5,None,<-5 degF,5047
5,None,"[-5, -3) degF",5734
5,None,"[-3, -1) degF",11069
5,None,"[-1, 1) degF",60211
5,None,"[1, 3) degF",1209
5,None,"[3, 5) degF",234
5,None,5+ degF,122
5,Room AC,<-5 degF,93
5,Room AC,"[-5, -3) degF",54
5,Room AC,"[-3, -1) degF",248
5,Room AC,"[-1, 1) degF",103516
5,Room AC,"[1, 3) degF",1220
5,Room AC,"[3, 5) degF",224
5,Room AC,5+ degF,119
6,Central AC,<-5 degF,493
6,Central AC,"[-5, -3) degF",1619
6,Central AC,"[-3, -1) degF",7599
6,Central AC,"[-1, 1) degF",275992
6,Central AC,"[1, 3) degF",523
6,Central AC,"[3, 5) degF",15
6,Central AC,5+ degF,1
6,Heat Pump,<-5 degF,93
6,Heat Pump,"[-5, -3) degF",319
6,Heat Pump,"[-3, -1) degF",1334
6,Heat Pump,"[-1, 1) degF",61023
6,Heat Pump,"[1, 3) degF",56
6,Heat Pump,"[3, 5) degF",0
6,Heat Pump,5+ degF,0
6,None,<-5 degF,1218
6,None,"[-5, -3) degF",1761
6,None,"[-3, -1) degF",5380
6,None,"[-1, 1) degF",78757
6,None,"[1, 3) degF",162
6,None,"[3, 5) degF",3
6,None,5+ degF,0
6,Room AC,<-5 degF,185
6,Room AC,"[-5, -3) degF",529
6,Room AC,"[-3, -1) degF",2436
6,Room AC,"[-1, 1) degF",105591
6,Room AC,"[1, 3) degF",231
6,Room AC,"[3, 5) degF",11
6,Room AC,5+ degF,0
7,Central AC,<-5 degF,444
7,Central AC,"[-5, -3) degF",889
7,Central AC,"[-3, -1) degF",3423
7,Central AC,"[-1, 1) degF",206304
7,Central AC,"[1, 3) degF",1831
7,Central AC,"[3, 5) degF",566
7,Central AC,5+ degF,5644
7,Heat Pump,<-5 degF,32
7,Heat Pump,"[-5, -3) degF",76
7,Heat Pump,"[-3, -1) degF",327
7,Heat Pump,"[-1, 1) degF",18010
7,Heat Pump,"[1, 3) degF",49
7,Heat Pump,"[3, 5) degF",0
7,Heat Pump,5+ degF,0
7,None,<-5 degF,3968
7,None,"[-5, -3) degF",4636
7,None,"[-3, -1) degF",9160
7,None,"[-1, 1) degF",52219
7,None,"[1, 3) degF",1129
7,None,"[3, 5) degF",451
7,None,5+ degF,2704
7,Room AC,<-5 degF,149
7,Room AC,"[-5, -3) degF",252
7,Room AC,"[-3, -1) degF",934
7,Room AC,"[-1, 1) degF",82507
7,Room AC,"[1, 3) degF",1287
7,Room AC,"[3, 5) degF",360
7,Room AC,5+ degF,3228
8,Central AC,<-5 degF,348
8,Central AC,"[-5, -3) degF",1106
8,Central AC,"[-3, -1) degF",4832
8,Central AC,"[-1, 1) degF",272509
8,Central AC,"[1, 3) degF",2678
8,Central AC,"[3, 5) degF",743
8,Central AC,5+ degF,5814
8,Heat Pump,<-5 degF,87
8,Heat Pump,"[-5, -3) degF",305
8,Heat Pump,"[-3, -1) degF",1286
8,Heat Pump,"[-1, 1) degF",61668
8,Heat Pump,"[1, 3) degF",190
8,Heat Pump,"[3, 5) degF",26
8,Heat Pump,5+ degF,33
8,None,<-5 degF,5904
8,None,"[-5, -3) degF",6229
8,None,"[-3, -1) degF",11726
8,None,"[-1, 1) degF",59226
8,None,"[1, 3) degF",1353
8,None,"[3, 5) degF",514
8,None,5+ degF,2779
8,Room AC,<-5 degF,89
8,Room AC,"[-5, -3) degF",275
8,Room AC,"[-3, -1) degF",1204
8,Room AC,"[-1, 1) degF",102967
8,Room AC,"[1, 3) degF",1335
8,Room AC,"[3, 5) degF",397
8,Room AC,5+ degF,3290
9,Central AC,<-5 degF,260
9,Central AC,"[-5, -3) degF",756
9,Central AC,"[-3, -1) degF",3183
9,Central AC,"[-1, 1) degF",258249
9,Central AC,"[1, 3) degF",14975
9,Central AC,"[3, 5) degF",3924
9,Central AC,5+ degF,6684
9,Heat Pump,<-5 degF,68
9,Heat Pump,"[-5, -3) degF",240
9,Heat Pump,"[-3, -1) degF",883
9,Heat Pump,"[-1, 1) degF",58690
9,Heat Pump,"[1, 3) degF",3119
9,Heat Pump,"[3, 5) degF",462
9,Heat Pump,5+ degF,133
9,None,<-5 degF,5130
9,None,"[-5, -3) degF",5370
9,None,"[-3, -1) degF",10196
9,None,"[-1, 1) degF",57017
9,None,"[1, 3) degF",5040
9,None,"[3, 5) degF",1710
9,None,5+ degF,3269
9,Room AC,<-5 degF,70
9,Room AC,"[-5, -3) degF",159
9,Room AC,"[-3, -1) degF",677
9,Room AC,"[-1, 1) degF",98306
9,Room AC,"[1, 3) degF",5010
9,Room AC,"[3, 5) degF",1664
9,Room AC,5+ degF,3672
10,Central AC,<-5 degF,247
10,Central AC,"[-5, -3) degF",746
10,Central AC,"[-3, -1) degF",3070
10,Central AC,"[-1, 1) degF",257554
10,Central AC,"[1, 3) degF",15413
10,Central AC,"[3, 5) degF",4218
10,Central AC,5+ degF,6783
10,Heat Pump,<-5 degF,66
10,Heat Pump,"[-5, -3) degF",233
10,Heat Pump,"[-3, -1) degF",866
10,Heat Pump,"[-1, 1) degF",58503
10,Heat Pump,"[1, 3) degF",3259
10,Heat Pump,"[3, 5) degF",523
10,Heat Pump,5+ degF,145
10,None,<-5 degF,5099
10,None,"[-5, -3) degF",5318
10,None,"[-3, -1) degF",10098
10,None,"[-1, 1) degF",56533
10,None,"[1, 3) degF",5237
10,None,"[3, 5) degF",2091
10,None,5+ degF,3356
10,Room AC,<-5 degF,67
10,Room AC,"[-5, -3) degF",152
10,Room AC,"[-3, -1) degF",642
10,Room AC,"[-1, 1) degF",98062
10,Room AC,"[1, 3) degF",5106
10,Room AC,"[3, 5) degF",1818
10,Room AC,5+ degF,3711
