upgrade,hvac_system,living_space_delta,building_id
4,Heating Only,<-5 degF,4903
4,Heating Only,"[-5, -3) degF",5650
4,Heating Only,"[-3, -1) degF",10843
4,Heating Only,"[-1, 1) degF",61045
4,Heating Only,"[1, 3) degF",1305
4,Heating Only,"[3, 5) degF",423
4,Heating Only,5+ degF,2469
4,Heating and Cooling,<-5 degF,31
4,Heating and Cooling,"[-5, -3) degF",42
4,Heating and Cooling,"[-3, -1) degF",340
4,Heating and Cooling,"[-1, 1) degF",446034
4,Heating and Cooling,"[1, 3) degF",3046
4,Heating and Cooling,"[3, 5) degF",946
4,Heating and Cooling,5+ degF,8424
4,None,<-5 degF,144
4,None,"[-5, -3) degF",52
4,None,"[-3, -1) degF",106
4,None,"[-1, 1) degF",250
4,None,"[1, 3) degF",141
4,None,"[3, 5) degF",112
4,None,5+ degF,289
5,Cooling Only,<-5 degF,0
5,Cooling Only,"[-5, -3) degF",0
5,Cooling Only,"[-3, -1) degF",0
5,Cooling Only,"[-1, 1) degF",0
5,Cooling Only,"[1, 3) degF",0
5,Cooling Only,"[3, 5) degF",0
5,Cooling Only,5+ degF,0
5,Heating Only,<-5 degF,5047
5,Heating Only,"[-5, -3) degF",5734
5,Heating Only,"[-3, -1) degF",11069
5,Heating Only,"[-1, 1) degF",60211
5,Heating Only,"[1, 3) degF",1209
5,Heating Only,"[3, 5) degF",234
5,Heating Only,5+ degF,122
5,Heating and Cooling,<-5 degF,383
5,Heating and Cooling,"[-5, -3) degF",329
5,Heating and Cooling,"[-3, -1) degF",1205
5,Heating and Cooling,"[-1, 1) degF",443620
5,Heating and Cooling,"[1, 3) degF",2418
5,Heating and Cooling,"[3, 5) degF",396
5,Heating and Cooling,5+ degF,179
5,None,<-5 degF,0
5,None,"[-5, -3) degF",0
5,None,"[-3, -1) degF",0
5,None,"[-1, 1) degF",0
5,None,"[1, 3) degF",0
5,None,"[3, 5) degF",0
5,None,5+ degF,0
6,Cooling Only,<-5 degF,27
6,Cooling Only,"[-5, -3) degF",82
6,Cooling Only,"[-3, -1) degF",205
6,Cooling Only,"[-1, 1) degF",1258
6,Cooling Only,"[1, 3) degF",78
6,Cooling Only,"[3, 5) degF",4
6,Cooling Only,5+ degF,0
6,Heating Only,<-5 degF,1123
6,Heating Only,"[-5, -3) degF",1663
6,Heating Only,"[-3, -1) degF",5116
6,Heating Only,"[-1, 1) degF",78153
6,Heating Only,"[1, 3) degF",143
6,Heating Only,"[3, 5) degF",2
6,Heating Only,5+ degF,0
6,Heating and Cooling,<-5 degF,744
6,Heating and Cooling,"[-5, -3) degF",2385
6,Heating and Cooling,"[-3, -1) degF",11164
6,Heating and Cooling,"[-1, 1) degF",441348
6,Heating and Cooling,"[1, 3) degF",732
6,Heating and Cooling,"[3, 5) degF",22
6,Heating and Cooling,5+ degF,1
6,None,<-5 degF,95
6,None,"[-5, -3) degF",98
6,None,"[-3, -1) degF",264
6,None,"[-1, 1) degF",604
6,None,"[1, 3) degF",19
6,None,"[3, 5) degF",1
6,None,5+ degF,0
7,Cooling Only,<-5 degF,6
7,Cooling Only,"[-5, -3) degF",23
7,Cooling Only,"[-3, -1) degF",73
7,Cooling Only,"[-1, 1) degF",649
7,Cooling Only,"[1, 3) degF",164
7,Cooling Only,"[3, 5) degF",126
7,Cooling Only,5+ degF,624
7,Heating Only,<-5 degF,3809
7,Heating Only,"[-5, -3) degF",4574
7,Heating Only,"[-3, -1) degF",9028
7,Heating Only,"[-1, 1) degF",52005
7,Heating Only,"[1, 3) degF",999
7,Heating Only,"[3, 5) degF",342
7,Heating Only,5+ degF,2416
7,Heating and Cooling,<-5 degF,619
7,Heating and Cooling,"[-5, -3) degF",1194
7,Heating and Cooling,"[-3, -1) degF",4611
7,Heating and Cooling,"[-1, 1) degF",306172
7,Heating and Cooling,"[1, 3) degF",3003
7,Heating and Cooling,"[3, 5) degF",800
7,Heating and Cooling,5+ degF,8248
7,None,<-5 degF,159
7,None,"[-5, -3) degF",62
7,None,"[-3, -1) degF",132
7,None,"[-1, 1) degF",214
7,None,"[1, 3) degF",130
7,None,"[3, 5) degF",109
7,None,5+ degF,288
8,Cooling Only,<-5 degF,9
8,Cooling Only,"[-5, -3) degF",25
8,Cooling Only,"[-3, -1) degF",92
8,Cooling Only,"[-1, 1) degF",621
8,Cooling Only,"[1, 3) degF",168
8,Cooling Only,"[3, 5) degF",128
8,Cooling Only,5+ degF,622
8,Heating Only,<-5 degF,5742
8,Heating Only,"[-5, -3) degF",6154
8,Heating Only,"[-3, -1) degF",11593
8,Heating Only,"[-1, 1) degF",59025
8,Heating Only,"[1, 3) degF",1222
8,Heating Only,"[3, 5) degF",408
8,Heating Only,5+ degF,2493
8,Heating and Cooling,<-5 degF,515
8,Heating and Cooling,"[-5, -3) degF",1661
8,Heating and Cooling,"[-3, -1) degF",7230
8,Heating and Cooling,"[-1, 1) degF",436523
8,Heating and Cooling,"[1, 3) degF",4035
8,Heating and Cooling,"[3, 5) degF",1038
8,Heating and Cooling,5+ degF,8515
8,None,<-5 degF,162
8,None,"[-5, -3) degF",75
8,None,"[-3, -1) degF",133
8,None,"[-1, 1) degF",201
8,None,"[1, 3) degF",131
8,None,"[3, 5) degF",106
8,None,5+ degF,286
9,Cooling Only,<-5 degF,5
9,Cooling Only,"[-5, -3) degF",17
9,Cooling Only,"[-3, -1) degF",71
9,Cooling Only,"[-1, 1) degF",476
9,Cooling Only,"[1, 3) degF",302
9,Cooling Only,"[3, 5) degF",163
9,Cooling Only,5+ degF,631
9,Heating Only,<-5 degF,4982
9,Heating Only,"[-5, -3) degF",5309
9,Heating Only,"[-3, -1) degF",10100
9,Heating Only,"[-1, 1) degF",56858
9,Heating Only,"[1, 3) degF",4868
9,Heating Only,"[3, 5) degF",1583
9,Heating Only,5+ degF,2938
9,Heating and Cooling,<-5 degF,393
9,Heating and Cooling,"[-5, -3) degF",1138
9,Heating and Cooling,"[-3, -1) degF",4672
9,Heating and Cooling,"[-1, 1) degF",414769
9,Heating and Cooling,"[1, 3) degF",22802
9,Heating and Cooling,"[3, 5) degF",5887
9,Heating and Cooling,5+ degF,9858
9,None,<-5 degF,148
9,None,"[-5, -3) degF",61
9,None,"[-3, -1) degF",96
9,None,"[-1, 1) degF",159
9,None,"[1, 3) degF",172
9,None,"[3, 5) degF",127
9,None,5+ degF,331
10,Cooling Only,<-5 degF,5
10,Cooling Only,"[-5, -3) degF",19
10,Cooling Only,"[-3, -1) degF",66
10,Cooling Only,"[-1, 1) degF",473
10,Cooling Only,"[1, 3) degF",295
10,Cooling Only,"[3, 5) degF",174
10,Cooling Only,5+ degF,633
10,Heating Only,<-5 degF,4951
10,Heating Only,"[-5, -3) degF",5257
10,Heating Only,"[-3, -1) degF",10010
10,Heating Only,"[-1, 1) degF",56380
10,Heating Only,"[1, 3) degF",5057
10,Heating Only,"[3, 5) degF",1959
10,Heating Only,5+ degF,3024
10,Heating and Cooling,<-5 degF,375
10,Heating and Cooling,"[-5, -3) degF",1112
10,Heating and Cooling,"[-3, -1) degF",4512
10,Heating and Cooling,"[-1, 1) degF",413646
10,Heating and Cooling,"[1, 3) degF",23483
10,Heating and Cooling,"[3, 5) degF",6385
10,Heating and Cooling,5+ degF,10006
10,None,<-5 degF,148
10,None,"[-5, -3) degF",61
10,None,"[-3, -1) degF",88
10,None,"[-1, 1) degF",153
10,None,"[1, 3) degF",180
10,None,"[3, 5) degF",132
10,None,5+ degF,332
