Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single Family Attached	Option=Single Family Detached	sample_count	sample_weight
AZ, 00206	0.034392	0.019775	0.000000	0.035252	0.000000	0.151325	0.209340	0.000000	0.549916	0.000000	0.000000
AZ, 00207	0.021205	0.019334	0.050519	0.044906	0.031808	0.072972	0.209340	0.053390	0.496526	0.000000	0.000000
AZ, 00208	0.000000	0.008025	0.000000	0.000000	0.000000	0.232719	0.209340	0.103514	0.446402	0.000000	0.000000
AZ, 00209	0.078864	0.070563	0.091317	0.000000	0.000000	0.000000	0.209340	0.239363	0.310553	0.000000	0.000000
AZ, 00300	0.000000	0.019131	0.000000	0.002639	0.016492	0.014513	0.533404	0.029518	0.384303	0.000000	0.000000
AZ, 00400	0.063581	0.011612	0.013325	0.001523	0.057109	0.020178	0.357683	0.074402	0.400586	0.000000	0.000000
AZ, 00500	0.009302	0.017830	0.025969	0.052326	0.015116	0.027520	0.454261	0.032216	0.365461	0.000000	0.000000
AZ, 00600	0.000000	0.008314	0.000000	0.026673	0.041222	0.009006	0.566190	0.026910	0.321686	0.000000	0.000000
AZ, 00700	0.037694	0.000000	0.000000	0.020970	0.050170	0.000000	0.563436	0.007715	0.320015	0.000000	0.000000
AZ, 00800	0.000000	0.001589	0.000000	0.030093	0.010914	0.002013	0.539478	0.017804	0.398108	0.000000	0.000000
AZ, 00803	0.000000	0.000000	0.000000	0.049308	0.000000	0.000000	0.485708	0.013523	0.451461	0.000000	0.000000
AZ, 00805	0.008218	0.008218	0.008218	0.008218	0.008218	0.008218	0.485708	0.007596	0.457387	0.000000	0.000000
AZ, 00807	0.000000	0.000000	0.000000	0.005535	0.000000	0.043774	0.485708	0.026934	0.438049	0.000000	0.000000
AZ, 00900	0.010664	0.000000	0.006332	0.010331	0.045321	0.008998	0.612764	0.017616	0.287975	0.000000	0.000000
CA, 00101	0.025646	0.046328	0.071974	0.035573	0.000000	0.214268	0.015968	0.089657	0.500586	0.000000	0.000000
CA, 00102	0.021064	0.005355	0.053195	0.027490	0.006069	0.280615	0.015968	0.451362	0.138881	0.000000	0.000000
CA, 00103	0.163653	0.000000	0.000000	0.000000	0.000000	0.230136	0.015968	0.209990	0.380252	0.000000	0.000000
CA, 00104	0.047844	0.019628	0.088327	0.041710	0.092007	0.104274	0.015968	0.034217	0.556026	0.000000	0.000000
CA, 00105	0.169915	0.018369	0.010333	0.033294	0.044775	0.117103	0.015968	0.161413	0.428829	0.000000	0.000000
CA, 00106	0.000000	0.000000	0.000000	0.000000	0.393789	0.000000	0.015968	0.062792	0.527451	0.000000	0.000000
CA, 00107	0.000000	0.000000	0.024857	0.015699	0.312676	0.040556	0.015968	0.299212	0.291031	0.000000	0.000000
CA, 00108	0.006527	0.000000	0.015955	0.023207	0.007977	0.340124	0.015968	0.300933	0.289309	0.000000	0.000000
CA, 00109	0.008343	0.000000	0.039212	0.030869	0.022526	0.292839	0.015968	0.253835	0.336408	0.000000	0.000000
CA, 00110	0.007839	0.009683	0.037350	0.000000	0.020289	0.318628	0.015968	0.129664	0.460578	0.000000	0.000000
CA, 00300	0.000000	0.000000	0.048975	0.034415	0.000000	0.000000	0.325650	0.000000	0.590960	0.000000	0.000000
CA, 00701	0.067025	0.013799	0.000000	0.055690	0.088217	0.057661	0.288646	0.016977	0.411984	0.000000	0.000000
CA, 00702	0.000000	0.000000	0.024268	0.035299	0.044124	0.178701	0.288646	0.000000	0.428961	0.000000	0.000000
CA, 01100	0.000000	0.017356	0.002992	0.013466	0.047280	0.006583	0.212308	0.112968	0.587046	0.000000	0.000000
CA, 01301	0.115339	0.000000	0.000000	0.000000	0.049980	0.084582	0.031571	0.321666	0.396861	0.000000	0.000000
CA, 01302	0.000000	0.057449	0.094790	0.000000	0.000000	0.097663	0.031571	0.130641	0.587886	0.000000	0.000000
CA, 01303	0.000000	0.191785	0.000000	0.000000	0.058117	0.000000	0.031571	0.078030	0.640497	0.000000	0.000000
CA, 01304	0.000000	0.034835	0.046951	0.017165	0.024738	0.126213	0.031571	0.175842	0.542685	0.000000	0.000000
CA, 01305	0.050530	0.007219	0.032999	0.022343	0.013406	0.123404	0.031571	0.082649	0.635878	0.000000	0.000000
CA, 01306	0.000000	0.000000	0.000000	0.039200	0.000000	0.210701	0.031571	0.086074	0.632454	0.000000	0.000000
CA, 01307	0.043252	0.043252	0.085303	0.000000	0.000000	0.078094	0.031571	0.039050	0.679477	0.000000	0.000000
CA, 01308	0.000000	0.000000	0.000000	0.000000	0.000000	0.249902	0.031571	0.023441	0.695086	0.000000	0.000000
CA, 01309	0.042181	0.070832	0.066057	0.000000	0.052527	0.018305	0.031571	0.008533	0.709995	0.000000	0.000000
CA, 01500	0.023909	0.023449	0.011035	0.000000	0.000000	0.016093	0.507164	0.000000	0.418350	0.000000	0.000000
CA, 01700	0.000000	0.000000	0.000000	0.000000	0.156682	0.000000	0.046089	0.018196	0.779033	0.000000	0.000000
CA, 01901	0.055981	0.000000	0.000000	0.092098	0.112865	0.009029	0.078840	0.029034	0.622154	0.000000	0.000000
CA, 01902	0.004368	0.000000	0.020746	0.108098	0.064422	0.072338	0.078840	0.008031	0.643156	0.000000	0.000000
CA, 01903	0.116797	0.000000	0.029678	0.061270	0.033507	0.028720	0.078840	0.000000	0.651188	0.000000	0.000000
CA, 01904	0.053537	0.040267	0.018990	0.087627	0.044385	0.025167	0.078840	0.064688	0.586500	0.000000	0.000000
CA, 01905	0.064559	0.010061	0.000000	0.059528	0.114864	0.020961	0.078840	0.026379	0.624809	0.000000	0.000000
CA, 01906	0.010434	0.000000	0.024128	0.074340	0.078253	0.082818	0.078840	0.013170	0.638018	0.000000	0.000000
CA, 01907	0.032681	0.035523	0.000000	0.059678	0.142091	0.000000	0.078840	0.000000	0.651188	0.000000	0.000000
CA, 02300	0.005985	0.008230	0.020948	0.076686	0.085664	0.000000	0.271082	0.104771	0.426634	0.000000	0.000000
CA, 02500	0.022637	0.000000	0.000000	0.046890	0.119651	0.043657	0.274761	0.038544	0.453860	0.000000	0.000000
CA, 02901	0.000000	0.029905	0.011418	0.058179	0.011962	0.078841	0.135333	0.000000	0.674362	0.000000	0.000000
CA, 02902	0.004405	0.041849	0.021145	0.046255	0.010572	0.066078	0.135333	0.027307	0.647054	0.000000	0.000000
CA, 02903	0.002607	0.087071	0.034411	0.025026	0.014077	0.027112	0.135333	0.021828	0.652534	0.000000	0.000000
CA, 02904	0.000000	0.000000	0.000000	0.072185	0.118120	0.000000	0.135333	0.000000	0.674362	0.000000	0.000000
CA, 02905	0.037693	0.049645	0.013790	0.005056	0.047346	0.036774	0.135333	0.012744	0.661618	0.000000	0.000000
CA, 03100	0.021862	0.000000	0.034195	0.052133	0.098660	0.039240	0.207264	0.004822	0.541825	0.000000	0.000000
CA, 03300	0.030450	0.005583	0.000000	0.038063	0.000000	0.011673	0.411335	0.013087	0.489810	0.000000	0.000000
CA, 03701	0.000000	0.000000	0.231551	0.000000	0.000000	0.231551	0.031430	0.042122	0.463345	0.000000	0.000000
CA, 03702	0.000000	0.000000	0.102101	0.082046	0.056520	0.222435	0.031430	0.047313	0.458155	0.000000	0.000000
CA, 03703	0.032613	0.000000	0.258728	0.000000	0.000000	0.171761	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03704	0.000000	0.000000	0.068363	0.000000	0.099236	0.295503	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03705	0.000000	0.000000	0.116887	0.006353	0.005082	0.334780	0.031430	0.140408	0.365060	0.000000	0.000000
CA, 03706	0.171207	0.000000	0.047714	0.000000	0.050520	0.193661	0.031430	0.071480	0.433987	0.000000	0.000000
CA, 03707	0.034800	0.000000	0.149906	0.101722	0.000000	0.176675	0.031430	0.031053	0.474415	0.000000	0.000000
CA, 03708	0.072038	0.000000	0.284722	0.000000	0.000000	0.106342	0.031430	0.109075	0.396393	0.000000	0.000000
CA, 03709	0.000000	0.000000	0.000000	0.000000	0.000000	0.463102	0.031430	0.042122	0.463345	0.000000	0.000000
CA, 03710	0.000000	0.000000	0.358029	0.000000	0.000000	0.105074	0.031430	0.144879	0.360588	0.000000	0.000000
CA, 03711	0.094190	0.000000	0.086341	0.062794	0.044479	0.175299	0.031430	0.231436	0.274031	0.000000	0.000000
CA, 03712	0.073728	0.000000	0.108288	0.000000	0.000000	0.281087	0.031430	0.092791	0.412676	0.000000	0.000000
CA, 03713	0.000000	0.000000	0.000000	0.000000	0.000000	0.463102	0.031430	0.165793	0.339674	0.000000	0.000000
CA, 03714	0.000000	0.000000	0.000000	0.000000	0.000000	0.463102	0.031430	0.465430	0.040037	0.000000	0.000000
CA, 03715	0.000000	0.040430	0.088210	0.000000	0.000000	0.334463	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03716	0.000000	0.000000	0.000000	0.000000	0.000000	0.463102	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03717	0.197590	0.000000	0.092620	0.000000	0.172891	0.000000	0.031430	0.052993	0.452475	0.000000	0.000000
CA, 03718	0.007708	0.020554	0.124607	0.006423	0.033400	0.270411	0.031430	0.209080	0.296388	0.000000	0.000000
CA, 03719	0.005019	0.014144	0.024638	0.067070	0.030569	0.321662	0.031430	0.280376	0.225091	0.000000	0.000000
CA, 03720	0.194503	0.000000	0.034402	0.000000	0.000000	0.234197	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03721	0.029011	0.000000	0.081661	0.000000	0.026325	0.326106	0.031430	0.043575	0.461893	0.000000	0.000000
CA, 03722	0.092620	0.000000	0.157029	0.006920	0.026083	0.180450	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03723	0.062293	0.000000	0.207371	0.000000	0.011475	0.181962	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03724	0.012073	0.000000	0.079340	0.031908	0.031046	0.308735	0.031430	0.072567	0.432900	0.000000	0.000000
CA, 03725	0.016124	0.005287	0.017710	0.001850	0.000000	0.422131	0.031430	0.154564	0.350903	0.000000	0.000000
CA, 03726	0.330787	0.053556	0.000000	0.000000	0.000000	0.078759	0.031430	0.016145	0.489322	0.000000	0.000000
CA, 03727	0.181546	0.000000	0.114661	0.000000	0.039494	0.127401	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03728	0.000000	0.009361	0.174402	0.020199	0.081289	0.177851	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03729	0.110382	0.000000	0.093323	0.006021	0.042146	0.211231	0.031430	0.027079	0.478389	0.000000	0.000000
CA, 03730	0.077697	0.010001	0.093082	0.000000	0.045387	0.236936	0.031430	0.098101	0.407367	0.000000	0.000000
CA, 03731	0.030731	0.000000	0.137930	0.000000	0.088618	0.205823	0.031430	0.149233	0.356234	0.000000	0.000000
CA, 03732	0.041993	0.010350	0.061510	0.024545	0.017743	0.306960	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03733	0.019349	0.012619	0.103052	0.000000	0.037435	0.290648	0.031430	0.403008	0.102460	0.000000	0.000000
CA, 03734	0.024301	0.012380	0.106376	0.004585	0.014673	0.300787	0.031430	0.320932	0.184536	0.000000	0.000000
CA, 03735	0.019242	0.057727	0.197556	0.000000	0.000000	0.188576	0.031430	0.057975	0.447493	0.000000	0.000000
CA, 03736	0.090515	0.000000	0.126301	0.025260	0.069465	0.151561	0.031430	0.103928	0.401540	0.000000	0.000000
CA, 03737	0.077184	0.101882	0.135843	0.046310	0.000000	0.101882	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03738	0.068758	0.040446	0.093025	0.000000	0.000000	0.260874	0.031430	0.238209	0.267259	0.000000	0.000000
CA, 03739	0.000000	0.161547	0.301555	0.000000	0.000000	0.000000	0.031430	0.322166	0.183301	0.000000	0.000000
CA, 03740	0.000000	0.000000	0.000000	0.000000	0.000000	0.463102	0.031430	0.128198	0.377269	0.000000	0.000000
CA, 03741	0.000000	0.123494	0.012349	0.000000	0.246988	0.080271	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03742	0.135288	0.187322	0.085856	0.000000	0.054636	0.000000	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03743	0.000000	0.202607	0.000000	0.260495	0.000000	0.000000	0.031430	0.242624	0.262843	0.000000	0.000000
CA, 03744	0.013275	0.007225	0.020836	0.004033	0.000000	0.417733	0.031430	0.302118	0.203349	0.000000	0.000000
CA, 03745	0.061237	0.085476	0.100785	0.054858	0.065064	0.095682	0.031430	0.337734	0.167734	0.000000	0.000000
CA, 03746	0.030322	0.000000	0.110262	0.048240	0.020674	0.253604	0.031430	0.291027	0.214441	0.000000	0.000000
CA, 03747	0.000000	0.000000	0.000000	0.463102	0.000000	0.000000	0.031430	0.105907	0.399560	0.000000	0.000000
CA, 03748	0.019994	0.000000	0.028073	0.014743	0.009896	0.390395	0.031430	0.082948	0.422519	0.000000	0.000000
CA, 03749	0.073880	0.000000	0.036039	0.126137	0.000000	0.227046	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03750	0.075360	0.000000	0.121549	0.000000	0.049835	0.216357	0.031430	0.206421	0.299046	0.000000	0.000000
CA, 03751	0.000000	0.057155	0.020517	0.240344	0.000000	0.145086	0.031430	0.289127	0.216340	0.000000	0.000000
CA, 03752	0.000000	0.000000	0.057149	0.104444	0.096562	0.204947	0.031430	0.369854	0.135613	0.000000	0.000000
CA, 03753	0.000000	0.000000	0.076155	0.000000	0.082329	0.304618	0.031430	0.062474	0.442994	0.000000	0.000000
CA, 03754	0.076603	0.104459	0.000000	0.000000	0.170617	0.111423	0.031430	0.247750	0.257717	0.000000	0.000000
CA, 03755	0.000000	0.000000	0.000000	0.223567	0.000000	0.239536	0.031430	0.085834	0.419633	0.000000	0.000000
CA, 03756	0.000000	0.000000	0.463102	0.000000	0.000000	0.000000	0.031430	0.299354	0.206113	0.000000	0.000000
CA, 03757	0.045010	0.000000	0.023005	0.137030	0.041009	0.217048	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03758	0.070221	0.008889	0.186663	0.022222	0.016889	0.158219	0.031430	0.161442	0.344025	0.000000	0.000000
CA, 03759	0.213498	0.000000	0.020408	0.000000	0.147565	0.081632	0.031430	0.343543	0.161925	0.000000	0.000000
CA, 03760	0.000000	0.000000	0.254706	0.208396	0.000000	0.000000	0.031430	0.062351	0.443116	0.000000	0.000000
CA, 03761	0.000000	0.000000	0.463102	0.000000	0.000000	0.000000	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03762	0.051924	0.000000	0.162787	0.000000	0.060344	0.188048	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03763	0.113591	0.000000	0.200969	0.000000	0.000000	0.148542	0.031430	0.000000	0.505467	0.000000	0.000000
CA, 03764	0.186735	0.000000	0.000000	0.000000	0.000000	0.276367	0.031430	0.264769	0.240699	0.000000	0.000000
CA, 03765	0.000000	0.000000	0.000000	0.463102	0.000000	0.000000	0.031430	0.079117	0.426351	0.000000	0.000000
CA, 03766	0.046405	0.021308	0.034567	0.025097	0.029832	0.305894	0.031430	0.257625	0.247842	0.000000	0.000000
CA, 03767	0.083021	0.018161	0.136207	0.071346	0.029836	0.124532	0.031430	0.074577	0.430890	0.000000	0.000000
CA, 03768	0.000000	0.000000	0.223746	0.000000	0.000000	0.239356	0.031430	0.117551	0.387917	0.000000	0.000000
CA, 03769	0.077184	0.077184	0.077184	0.077184	0.077184	0.077184	0.031430	0.117839	0.387628	0.000000	0.000000
CA, 03900	0.022072	0.022072	0.022072	0.022072	0.022072	0.022072	0.203476	0.000000	0.664092	0.000000	0.000000
CA, 04101	0.000000	0.000000	0.000000	0.072903	0.000000	0.247871	0.027617	0.000000	0.651608	0.000000	0.000000
