ParameterName=Clothes Dryer
Dependency=Heating Fuel	Dependency=Location Region	Dependency=Usage Level	"Gas, 80% Usage"	"Gas, 100% Usage"	"Gas, 120% Usage"	"Propane, 80% Usage"	"Propane, 100% Usage"	"Propane, 120% Usage"	"Electric, 80% Usage"	"Electric, 100% Usage"	"Electric, 120% Usage"	None
None	CR05	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
None	CR06	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
None	CR07	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
None	CR08	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
None	CR09	High	0.00	0.00	0.06	0.00	0.00	0.02	0.00	0.00	0.66	0.26
None	CR10	High	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.78	0.00
None	CR11	High	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.25	0.19
None	CR12	High	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.70	0.27
Other Fuel	CR01	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
Other Fuel	CR02	High	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.80	0.13
Other Fuel	CR03	High	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.77	0.00
Other Fuel	CR04	High	0.00	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.92	0.05
Other Fuel	CR05	High	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.84	0.09
Other Fuel	CR06	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.05
Other Fuel	CR07	High	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.82	0.12
Other Fuel	CR08	High	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.90	0.08
Other Fuel	CR09	High	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.69	0.30
Other Fuel	CR10	High	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.65	0.25
Other Fuel	CR11	High	0.00	0.00	0.31	0.00	0.00	0.06	0.00	0.00	0.58	0.06
Other Fuel	CR12	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Propane/LPG	CR01	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Propane/LPG	CR02	High	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.77	0.02
Propane/LPG	CR03	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
Propane/LPG	CR04	High	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.91	0.00
Propane/LPG	CR05	High	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.84	0.00
Propane/LPG	CR06	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
Propane/LPG	CR07	High	0.00	0.00	0.02	0.00	0.00	0.25	0.00	0.00	0.69	0.04
Propane/LPG	CR08	High	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.94	0.02
Propane/LPG	CR09	High	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.86	0.06
Propane/LPG	CR10	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
Propane/LPG	CR11	High	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.74	0.04
Propane/LPG	CR12	High	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
