Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
Mobile Home	2030s	CR04	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2030s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2030s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2030s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2030s	CR05	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2030s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2030s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2030s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2030s	CR06	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2030s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2030s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2030s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Mobile Home	2030s	CR07	Unheated Basement	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2030s	CR08	Unheated Basement	0.110000	0.240000	0.640000	0.000000
Single-Family Attached	2030s	CR08	Unheated Basement	0.110000	0.240000	0.640000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR08	Unheated Basement	0.110000	0.240000	0.640000	0.000000
Multi-Family with 5+ Units	2030s	CR08	Unheated Basement	0.110000	0.240000	0.640000	0.000000
Mobile Home	2030s	CR08	Unheated Basement	0.110000	0.240000	0.640000	0.000000
Single-Family Detached	2030s	CR09	Unheated Basement	0.260000	0.170000	0.570000	0.000000
Single-Family Attached	2030s	CR09	Unheated Basement	0.260000	0.170000	0.570000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR09	Unheated Basement	0.260000	0.170000	0.570000	0.000000
Multi-Family with 5+ Units	2030s	CR09	Unheated Basement	0.260000	0.170000	0.570000	0.000000
Mobile Home	2030s	CR09	Unheated Basement	0.260000	0.170000	0.570000	0.000000
Single-Family Detached	2030s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Single-Family Attached	2030s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Multi-Family with 5+ Units	2030s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Mobile Home	2030s	CR10	Unheated Basement	0.000000	0.850000	0.150000	0.000000
Single-Family Detached	2030s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Single-Family Attached	2030s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Multi-Family with 2 - 4 Units	2030s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Multi-Family with 5+ Units	2030s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
Mobile Home	2030s	CR11	Unheated Basement	0.000000	0.860000	0.140000	0.000000
