Dependency=PUMA	Dependency=Geometry Building Type RECS	Option=Occupied	Option=Vacant
AL, 02000	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02000	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02000	Single-Family Attached	1.000000	0.000000
AL, 02000	Single-Family Detached	1.000000	0.000000
AL, 02100	Mobile Home	1.000000	0.000000
AL, 02100	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02100	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02100	Single-Family Attached	1.000000	0.000000
AL, 02100	Single-Family Detached	1.000000	0.000000
AL, 02200	Mobile Home	1.000000	0.000000
AL, 02200	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02200	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02200	Single-Family Attached	1.000000	0.000000
AL, 02200	Single-Family Detached	1.000000	0.000000
AL, 02300	Mobile Home	1.000000	0.000000
AL, 02300	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02300	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02300	Single-Family Attached	1.000000	0.000000
AL, 02300	Single-Family Detached	1.000000	0.000000
AL, 02400	Mobile Home	1.000000	0.000000
AL, 02400	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02400	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02400	Single-Family Attached	1.000000	0.000000
AL, 02400	Single-Family Detached	1.000000	0.000000
AL, 02500	Mobile Home	1.000000	0.000000
AL, 02500	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02500	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02500	Single-Family Attached	1.000000	0.000000
AL, 02500	Single-Family Detached	1.000000	0.000000
AL, 02600	Mobile Home	1.000000	0.000000
AL, 02600	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02600	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02600	Single-Family Attached	1.000000	0.000000
AL, 02600	Single-Family Detached	1.000000	0.000000
AL, 02701	Mobile Home	1.000000	0.000000
AL, 02701	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02701	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02701	Single-Family Attached	1.000000	0.000000
AL, 02701	Single-Family Detached	1.000000	0.000000
AL, 02702	Mobile Home	1.000000	0.000000
AL, 02702	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02702	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02702	Single-Family Attached	1.000000	0.000000
AL, 02702	Single-Family Detached	1.000000	0.000000
AL, 02703	Mobile Home	1.000000	0.000000
AL, 02703	Multi-Family with 2 - 4 Units	1.000000	0.000000
AL, 02703	Multi-Family with 5+ Units	1.000000	0.000000
AL, 02703	Single-Family Attached	1.000000	0.000000
AL, 02703	Single-Family Detached	1.000000	0.000000
AR, 00100	Mobile Home	1.000000	0.000000
AR, 00100	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00100	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00100	Single-Family Attached	1.000000	0.000000
AR, 00100	Single-Family Detached	1.000000	0.000000
AR, 00200	Mobile Home	1.000000	0.000000
AR, 00200	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00200	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00200	Single-Family Attached	1.000000	0.000000
AR, 00200	Single-Family Detached	1.000000	0.000000
AR, 00300	Mobile Home	1.000000	0.000000
AR, 00300	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00300	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00300	Single-Family Attached	1.000000	0.000000
AR, 00300	Single-Family Detached	1.000000	0.000000
AR, 00400	Mobile Home	1.000000	0.000000
AR, 00400	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00400	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00400	Single-Family Attached	1.000000	0.000000
AR, 00400	Single-Family Detached	1.000000	0.000000
AR, 00500	Mobile Home	1.000000	0.000000
AR, 00500	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00500	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00500	Single-Family Attached	1.000000	0.000000
AR, 00500	Single-Family Detached	1.000000	0.000000
AR, 00600	Mobile Home	1.000000	0.000000
AR, 00600	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00600	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00600	Single-Family Attached	1.000000	0.000000
AR, 00600	Single-Family Detached	1.000000	0.000000
AR, 00700	Mobile Home	1.000000	0.000000
AR, 00700	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00700	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00700	Single-Family Attached	1.000000	0.000000
AR, 00700	Single-Family Detached	1.000000	0.000000
AR, 00800	Mobile Home	1.000000	0.000000
AR, 00800	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00800	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00800	Single-Family Attached	1.000000	0.000000
AR, 00800	Single-Family Detached	1.000000	0.000000
AR, 00900	Mobile Home	1.000000	0.000000
AR, 00900	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 00900	Multi-Family with 5+ Units	1.000000	0.000000
AR, 00900	Single-Family Attached	1.000000	0.000000
AR, 00900	Single-Family Detached	1.000000	0.000000
AR, 01000	Mobile Home	1.000000	0.000000
AR, 01000	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01000	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01000	Single-Family Attached	1.000000	0.000000
AR, 01000	Single-Family Detached	1.000000	0.000000
AR, 01100	Mobile Home	1.000000	0.000000
AR, 01100	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01100	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01100	Single-Family Attached	1.000000	0.000000
AR, 01100	Single-Family Detached	1.000000	0.000000
AR, 01200	Mobile Home	1.000000	0.000000
AR, 01200	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01200	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01200	Single-Family Attached	1.000000	0.000000
AR, 01200	Single-Family Detached	1.000000	0.000000
AR, 01300	Mobile Home	1.000000	0.000000
AR, 01300	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01300	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01300	Single-Family Attached	1.000000	0.000000
AR, 01300	Single-Family Detached	1.000000	0.000000
AR, 01400	Mobile Home	1.000000	0.000000
AR, 01400	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01400	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01400	Single-Family Attached	1.000000	0.000000
AR, 01400	Single-Family Detached	1.000000	0.000000
AR, 01500	Mobile Home	1.000000	0.000000
AR, 01500	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01500	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01500	Single-Family Attached	1.000000	0.000000
AR, 01500	Single-Family Detached	1.000000	0.000000
AR, 01600	Mobile Home	1.000000	0.000000
AR, 01600	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01600	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01600	Single-Family Attached	1.000000	0.000000
AR, 01600	Single-Family Detached	1.000000	0.000000
AR, 01700	Mobile Home	1.000000	0.000000
AR, 01700	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01700	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01700	Single-Family Attached	1.000000	0.000000
AR, 01700	Single-Family Detached	1.000000	0.000000
AR, 01800	Mobile Home	1.000000	0.000000
AR, 01800	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01800	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01800	Single-Family Attached	1.000000	0.000000
AR, 01800	Single-Family Detached	1.000000	0.000000
AR, 01900	Mobile Home	1.000000	0.000000
AR, 01900	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 01900	Multi-Family with 5+ Units	1.000000	0.000000
AR, 01900	Single-Family Attached	1.000000	0.000000
AR, 01900	Single-Family Detached	1.000000	0.000000
AR, 02000	Mobile Home	1.000000	0.000000
AR, 02000	Multi-Family with 2 - 4 Units	1.000000	0.000000
AR, 02000	Multi-Family with 5+ Units	1.000000	0.000000
AR, 02000	Single-Family Attached	1.000000	0.000000
AR, 02000	Single-Family Detached	1.000000	0.000000
AZ, 00100	Mobile Home	1.000000	0.000000
AZ, 00100	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00100	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00100	Single-Family Attached	1.000000	0.000000
AZ, 00100	Single-Family Detached	1.000000	0.000000
AZ, 00101	Mobile Home	1.000000	0.000000
AZ, 00101	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00101	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00101	Single-Family Attached	1.000000	0.000000
AZ, 00101	Single-Family Detached	1.000000	0.000000
AZ, 00102	Mobile Home	1.000000	0.000000
AZ, 00102	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00102	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00102	Single-Family Attached	1.000000	0.000000
AZ, 00102	Single-Family Detached	1.000000	0.000000
AZ, 00103	Mobile Home	1.000000	0.000000
AZ, 00103	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00103	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00103	Single-Family Attached	1.000000	0.000000
AZ, 00103	Single-Family Detached	1.000000	0.000000
AZ, 00104	Mobile Home	1.000000	0.000000
AZ, 00104	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00104	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00104	Single-Family Attached	1.000000	0.000000
AZ, 00104	Single-Family Detached	1.000000	0.000000
AZ, 00105	Mobile Home	1.000000	0.000000
AZ, 00105	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00105	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00105	Single-Family Attached	1.000000	0.000000
AZ, 00105	Single-Family Detached	1.000000	0.000000
AZ, 00106	Mobile Home	1.000000	0.000000
AZ, 00106	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00106	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00106	Single-Family Attached	1.000000	0.000000
AZ, 00106	Single-Family Detached	1.000000	0.000000
AZ, 00107	Mobile Home	1.000000	0.000000
AZ, 00107	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00107	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00107	Single-Family Attached	1.000000	0.000000
AZ, 00107	Single-Family Detached	1.000000	0.000000
AZ, 00108	Mobile Home	1.000000	0.000000
AZ, 00108	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00108	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00108	Single-Family Attached	1.000000	0.000000
AZ, 00108	Single-Family Detached	1.000000	0.000000
AZ, 00109	Mobile Home	1.000000	0.000000
AZ, 00109	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00109	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00109	Single-Family Attached	1.000000	0.000000
AZ, 00109	Single-Family Detached	1.000000	0.000000
AZ, 00110	Mobile Home	1.000000	0.000000
AZ, 00110	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00110	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00110	Single-Family Attached	1.000000	0.000000
AZ, 00110	Single-Family Detached	1.000000	0.000000
AZ, 00111	Mobile Home	1.000000	0.000000
AZ, 00111	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00111	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00111	Single-Family Attached	1.000000	0.000000
AZ, 00111	Single-Family Detached	1.000000	0.000000
AZ, 00112	Mobile Home	1.000000	0.000000
AZ, 00112	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00112	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00112	Single-Family Attached	1.000000	0.000000
AZ, 00112	Single-Family Detached	1.000000	0.000000
AZ, 00113	Mobile Home	1.000000	0.000000
AZ, 00113	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00113	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00113	Single-Family Attached	1.000000	0.000000
AZ, 00113	Single-Family Detached	1.000000	0.000000
AZ, 00114	Mobile Home	1.000000	0.000000
AZ, 00114	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00114	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00114	Single-Family Attached	1.000000	0.000000
AZ, 00114	Single-Family Detached	1.000000	0.000000
AZ, 00115	Mobile Home	1.000000	0.000000
AZ, 00115	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00115	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00115	Single-Family Attached	1.000000	0.000000
AZ, 00115	Single-Family Detached	1.000000	0.000000
AZ, 00116	Mobile Home	1.000000	0.000000
AZ, 00116	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00116	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00116	Single-Family Attached	1.000000	0.000000
AZ, 00116	Single-Family Detached	1.000000	0.000000
AZ, 00117	Mobile Home	1.000000	0.000000
AZ, 00117	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00117	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00117	Single-Family Attached	1.000000	0.000000
AZ, 00117	Single-Family Detached	1.000000	0.000000
AZ, 00118	Mobile Home	1.000000	0.000000
AZ, 00118	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00118	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00118	Single-Family Attached	1.000000	0.000000
AZ, 00118	Single-Family Detached	1.000000	0.000000
AZ, 00119	Mobile Home	1.000000	0.000000
AZ, 00119	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00119	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00119	Single-Family Attached	1.000000	0.000000
AZ, 00119	Single-Family Detached	1.000000	0.000000
AZ, 00120	Mobile Home	1.000000	0.000000
AZ, 00120	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00120	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00120	Single-Family Attached	1.000000	0.000000
AZ, 00120	Single-Family Detached	1.000000	0.000000
AZ, 00121	Mobile Home	1.000000	0.000000
AZ, 00121	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00121	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00121	Single-Family Attached	1.000000	0.000000
AZ, 00121	Single-Family Detached	1.000000	0.000000
AZ, 00122	Mobile Home	1.000000	0.000000
AZ, 00122	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00122	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00122	Single-Family Attached	1.000000	0.000000
AZ, 00122	Single-Family Detached	1.000000	0.000000
AZ, 00123	Mobile Home	1.000000	0.000000
AZ, 00123	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00123	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00123	Single-Family Attached	1.000000	0.000000
AZ, 00123	Single-Family Detached	1.000000	0.000000
AZ, 00124	Mobile Home	1.000000	0.000000
AZ, 00124	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00124	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00124	Single-Family Attached	1.000000	0.000000
AZ, 00124	Single-Family Detached	1.000000	0.000000
AZ, 00125	Mobile Home	1.000000	0.000000
AZ, 00125	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00125	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00125	Single-Family Attached	1.000000	0.000000
AZ, 00125	Single-Family Detached	1.000000	0.000000
AZ, 00126	Mobile Home	1.000000	0.000000
AZ, 00126	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00126	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00126	Single-Family Attached	1.000000	0.000000
AZ, 00126	Single-Family Detached	1.000000	0.000000
AZ, 00127	Mobile Home	1.000000	0.000000
AZ, 00127	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00127	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00127	Single-Family Attached	1.000000	0.000000
AZ, 00127	Single-Family Detached	1.000000	0.000000
AZ, 00128	Mobile Home	1.000000	0.000000
AZ, 00128	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00128	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00128	Single-Family Attached	1.000000	0.000000
AZ, 00128	Single-Family Detached	1.000000	0.000000
AZ, 00129	Mobile Home	1.000000	0.000000
AZ, 00129	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00129	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00129	Single-Family Attached	1.000000	0.000000
AZ, 00129	Single-Family Detached	1.000000	0.000000
AZ, 00130	Mobile Home	1.000000	0.000000
AZ, 00130	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00130	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00130	Single-Family Attached	1.000000	0.000000
AZ, 00130	Single-Family Detached	1.000000	0.000000
AZ, 00131	Mobile Home	1.000000	0.000000
AZ, 00131	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00131	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00131	Single-Family Attached	1.000000	0.000000
AZ, 00131	Single-Family Detached	1.000000	0.000000
AZ, 00132	Mobile Home	1.000000	0.000000
AZ, 00132	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00132	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00132	Single-Family Attached	1.000000	0.000000
AZ, 00132	Single-Family Detached	1.000000	0.000000
AZ, 00133	Mobile Home	1.000000	0.000000
AZ, 00133	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00133	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00133	Single-Family Attached	1.000000	0.000000
AZ, 00133	Single-Family Detached	1.000000	0.000000
AZ, 00134	Mobile Home	1.000000	0.000000
AZ, 00134	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00134	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00134	Single-Family Attached	1.000000	0.000000
AZ, 00134	Single-Family Detached	1.000000	0.000000
AZ, 00201	Mobile Home	1.000000	0.000000
AZ, 00201	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00201	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00201	Single-Family Attached	1.000000	0.000000
AZ, 00201	Single-Family Detached	1.000000	0.000000
AZ, 00202	Mobile Home	1.000000	0.000000
AZ, 00202	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00202	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00202	Single-Family Attached	1.000000	0.000000
AZ, 00202	Single-Family Detached	1.000000	0.000000
AZ, 00203	Mobile Home	1.000000	0.000000
AZ, 00203	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00203	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00203	Single-Family Attached	1.000000	0.000000
AZ, 00203	Single-Family Detached	1.000000	0.000000
AZ, 00204	Mobile Home	1.000000	0.000000
AZ, 00204	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00204	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00204	Single-Family Attached	1.000000	0.000000
AZ, 00204	Single-Family Detached	1.000000	0.000000
AZ, 00205	Mobile Home	1.000000	0.000000
AZ, 00205	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00205	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00205	Single-Family Attached	1.000000	0.000000
AZ, 00205	Single-Family Detached	1.000000	0.000000
AZ, 00206	Mobile Home	1.000000	0.000000
AZ, 00206	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00206	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00206	Single-Family Attached	1.000000	0.000000
AZ, 00206	Single-Family Detached	1.000000	0.000000
AZ, 00207	Mobile Home	1.000000	0.000000
AZ, 00207	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00207	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00207	Single-Family Attached	1.000000	0.000000
AZ, 00207	Single-Family Detached	1.000000	0.000000
AZ, 00208	Mobile Home	1.000000	0.000000
AZ, 00208	Multi-Family with 2 - 4 Units	1.000000	0.000000
AZ, 00208	Multi-Family with 5+ Units	1.000000	0.000000
AZ, 00208	Single-Family Attached	1.000000	0.000000
AZ, 00208	Single-Family Detached	1.000000	0.000000
