S,h
405052,0.305328
405053,0.305328
410912,0.577530
410913,0.577530
410914,0.577530
410915,0.577530
410916,0.577530
410917,0.577530
410918,0.577530
411764,0.490414
411765,0.490414
411766,0.490414
411767,0.490414
414577,0.535382
414578,0.535382
414579,0.535382
414580,0.535382
414581,0.535382
414582,0.535382
418458,0.787567
418459,0.787567
418460,0.787567
420311,0.763462
420312,0.763462
420313,0.763462
420314,0.763462
420315,0.763462
428133,0.526360
428134,0.526360
428135,0.526360
431696,0.532140
431697,0.532140
431698,0.532140
431699,0.532140
431700,0.532140
431701,0.532140
431702,0.532140
436799,0.819707
436800,0.819707
436801,0.819707
436802,0.819707
436803,0.819707
436804,0.819707
436805,0.819707
439890,0.545109
439891,0.545109
439892,0.545109
439893,0.545109
439894,0.545109
439895,0.545109
439896,0.545109
439897,0.545109
442765,0.635044
442766,0.635044
442767,0.635044
442768,0.635044
442769,0.635044
443285,0.896250
443286,0.896250
443287,0.896250
443288,0.896250
443289,0.896250
443290,0.896250
443291,0.896250
449098,0.826896
449099,0.826896
449100,0.826896
449284,0.601776
449285,0.601776
449286,0.601776
449287,0.601776
449288,0.601776
449289,0.601776
457060,0.130674
457061,0.130674
457062,0.130674
457063,0.130674
457064,0.130674
457065,0.130674
467690,0.475895
467691,0.475895
467692,0.475895
467693,0.475895
467694,0.475895
467770,0.647449
467771,0.647449
467772,0.647449
467773,0.647449
469303,0.649986
469304,0.649986
469305,0.649986
469306,0.649986
469307,0.649986
469308,0.649986
469309,0.649986
469310,0.649986
469311,0.649986
470872,0.923175
470873,0.923175
470874,0.923175
470875,0.923175
470876,0.923175
470877,0.923175
470878,0.923175
470879,0.923175
474942,0.771074
474943,0.771074
474944,0.771074
474945,0.771074
474946,0.771074
488019,0.406400
488020,0.406400
488021,0.406400
488022,0.406400
488023,0.406400
488024,0.406400
488025,0.406400
488026,0.406400
488027,0.406400
492260,0.779532
492261,0.779532
492262,0.779532
492263,0.779532
492264,0.779532
492265,0.779532
492266,0.779532
492267,0.779532
492268,0.779532
492269,0.779532
492468,0.932337
492469,0.932337
492470,0.932337
492471,0.932337
492472,0.932337
492473,0.932337
492474,0.932337
492475,0.932337
492476,0.932337
492978,0.395827
492979,0.395827
492980,0.395827
492981,0.395827
492982,0.395827
492983,0.395827
501614,0.364111
501615,0.364111
501616,0.364111
501617,0.364111
501618,0.364111
501619,0.364111
501620,0.364111
505423,0.757824
505424,0.757824
505425,0.757824
505426,0.757824
505427,0.757824
505428,0.757824
505429,0.757824
505430,0.757824
505810,0.405836
505811,0.405836
