S,h
32790,0.116426
32792,0.014440
32794,0.000602
32796,0.159446
32840,0.018351
32886,0.040012
32888,0.008123
32890,0.166366
32892,0.077617
32893,0.073406
32894,0.321300
32896,0.049940
32933,0.200361
32997,0.241276
32999,0.196149
33001,0.065884
33249,0.032792
33297,0.219916
33299,0.169976
33301,0.265042
33390,0.023767
33409,0.398616
33505,0.306258
33506,0.306258
33562,0.006919
33650,0.059868
33652,0.399218
33743,0.028580
33747,0.163357
33749,0.201865
33751,0.160349
33753,0.152527
33775,0.409446
33857,0.125752
33859,0.194043
33909,0.102286
33911,0.063779
34019,0.298135
34021,0.003911
34023,0.319495
34025,0.094164
34027,0.022864
34134,0.333333
34209,0.221420
34211,0.021360
34408,0.370337
34409,0.155836
34411,0.027377
34418,0.340253
34419,0.340253
34420,0.571300
34495,0.589952
34560,0.024970
34562,0.354693
34888,0.571600
35098,0.023466
35100,0.050241
35102,0.089952
35103,0.089952
35131,0.283093
35203,0.287605
35224,0.058965
35284,0.661853
35285,0.661853
35354,0.175090
35389,0.389591
35391,0.458785
35393,0.361312
35395,0.338748
35397,0.061071
35399,0.321300
35401,0.054753
35403,0.240373
35520,0.070698
35522,0.111913
35524,0.093261
35526,0.000602
35527,0.472323
35540,0.398616
35604,0.024970
35639,0.421480
35640,0.421480
35731,0.004212
35733,0.039410
35735,0.276775
35737,0.004813
35753,0.002708
35769,0.168773
35841,0.113117
35861,0.122443
35863,0.063779
35871,0.070397
36396,0.672082
36707,0.653730
36778,0.026775
36780,0.002708
36781,0.041215
36795,0.079422
36858,0.435319
36859,0.570698
36871,0.481348
36882,0.275572
36883,0.275572
36884,0.013237
36886,0.234055
36888,0.009326
36894,0.450060
36895,0.450060
36896,0.113418
36935,0.373947
36937,0.100782
36939,0.033995
36985,0.326113
36986,0.326113
36987,0.005716
37031,0.040313
37128,0.021059
37164,0.006619
37173,0.058965
37175,0.021059
37244,0.085439
37257,0.165463
37259,0.250301
37351,0.048135
37353,0.018953
37355,0.183514
37480,0.231949
37482,0.006017
37544,0.445548
37545,0.445548
37546,0.158544
37547,0.158544
37548,0.262635
37550,0.136883
37867,0.037605
37869,0.209085
37870,0.209085
37915,0.095367
37917,0.041817
37922,0.012936
37975,0.015042
38007,0.037304
38013,0.100481
38047,0.025271
38049,0.456980
38050,0.456980
38058,0.078219
38101,0.164862
38103,0.190433
38105,0.042720
38137,0.047533
38156,0.013839
38158,0.649819
38229,0.000903
38231,0.038809
38248,0.082732
38459,0.010830
38509,0.012034
38510,0.117629
38512,0.382671
38688,0.015042
38718,0.018051
38749,0.118532
38765,0.018953
38767,0.086041
38781,0.076715
38790,0.025572
38822,0.394103
38824,0.290313
38826,0.004212
38830,0.177798
38927,0.010529
39248,0.007521
39258,0.043321
39263,0.006017
39267,0.032190
39287,0.184416
39335,0.062575
39337,0.049940
39339,0.008424
39341,0.006619
39343,0.028881
39479,0.088748
39481,0.012034
39483,0.714801
39484,0.336943
39684,0.015644
39907,0.023466
39931,0.226835
39933,0.379663
39935,0.212996
39936,0.212996
39943,0.594164
40000,0.002106
40007,0.130265
40028,0.542118
40052,0.342960
40158,0.036101
40167,0.063177
40719,0.046631
40721,0.178400
40736,0.329422
40768,0.136883
40783,0.052046
40808,0.152226
40816,0.237064
40881,0.167569
40897,0.141697
40945,0.003610
40953,0.019254
41048,0.012034
41050,0.014741
41051,0.014741
41052,0.111312
41054,0.063177
41070,0.014440
41315,0.048436
41316,0.565584
41318,0.266546
41356,0.479242
41357,0.479242
41377,0.365523
41378,0.365523
41432,0.257822
41433,0.257822
41434,0.257822
41479,0.125150
41480,0.125150
41481,0.183213
41482,0.183213
41483,0.017750
41515,0.430205
41517,0.391697
41519,0.097473
41577,0.136582
41677,0.334537
41755,0.021059
41761,0.349278
41792,0.151625
42125,0.004212
42136,0.103189
42184,0.210590
42231,0.003008
42332,0.193141
42334,0.409446
42348,0.152828
42349,0.152828
42418,0.515644
42420,0.030987
42422,0.608905
42424,0.115824
42426,0.390794
42437,0.049037
42439,0.084838
42441,0.000903
42466,0.079122
42472,0.872443
42730,0.017148
42732,0.038207
42843,0.053851
42874,0.025872
42902,0.076113
42925,0.087545
42935,0.004513
42974,0.113718
42976,0.170277
42978,0.016245
42980,0.006619
43080,0.003911
43120,0.037605
43153,0.203670
43220,0.012034
43222,0.055656
43643,0.061372
43669,0.462395
43670,0.462395
43671,0.277677
43673,0.093562
43680,0.407040
43681,0.407040
43783,0.011131
43848,0.330024
43940,0.003309
43997,0.003008
44177,0.217509
44244,0.144404
44246,0.245788
44369,0.188026
44415,0.651925
44495,0.068592
44501,0.034898
44729,0.549639
44730,0.549639
44731,0.189832
44733,0.024970
44735,0.021661
44737,0.215704
44739,0.070999
44741,0.128460
44743,0.064982
44746,0.254212
44747,0.254212
44748,0.254212
45064,0.189531
45065,0.189531
45066,0.220818
45068,0.105596
45070,0.082130
45127,0.108303
45130,0.235259
45301,0.197353
45315,0.114922
45317,0.284597
45318,0.284597
45319,0.263538
45321,0.452768
45377,0.015343
45379,0.726534
45381,0.055656
45386,0.060469
45388,0.122744
45417,0.130866
45419,0.312575
45420,0.312575
45580,0.293321
45585,0.111913
45586,0.109206
45588,0.048135
45643,0.078821
45702,0.002407
45704,0.567690
45706,0.137786
45926,0.035199
45957,0.019555
45959,0.309266
46015,0.018051
46035,0.009627
46037,0.096270
46039,0.005114
46056,0.092960
46543,0.313177
46544,0.313177
46546,0.025872
46558,0.139892
46560,0.002708
46593,0.452166
46604,0.289711
46635,0.244284
46637,0.330927
46638,0.330927
46639,0.330927
46695,0.086643
46697,0.374850
46699,0.378159
46701,0.552948
46703,0.313177
46749,0.328821
46773,0.059868
46775,0.089049
46777,0.001203
46779,0.098075
46781,0.363418
46830,0.179603
46896,0.391998
46897,0.391998
46898,0.419976
46959,0.075211
46983,0.036101
46984,0.036101
46985,0.015644
46987,0.002407
47004,0.762034
47067,0.089651
47119,0.224428
47121,0.316486
47123,0.011432
47145,0.011131
47182,0.230445
47184,0.476233
47185,0.476233
47186,0.503911
47188,0.033694
47221,0.376354
47225,0.005415
47227,0.094164
47229,0.087846
47231,0.064982
47232,0.064982
47233,0.078821
47259,0.243983
47356,0.356799
47357,0.356799
47387,0.469916
47388,0.469916
47389,0.469916
47477,0.058664
47963,0.013237
48076,0.274067
48323,0.084838
48325,0.551444
48363,0.014440
48380,0.030385
48382,0.133875
48502,0.303851
48504,0.288207
48506,0.425692
48590,0.289110
48591,0.289110
48606,0.121841
48612,0.161252
48647,0.168171
48648,0.168171
48649,0.116125
48651,0.237365
48655,0.424188
48662,0.034296
48878,0.560469
48879,0.560469
48958,0.424188
48959,0.424188
49185,0.589651
49186,0.589651
49278,0.774368
49288,0.095969
49326,0.425692
49327,0.425692
49328,0.094765
49458,0.507220
49459,0.507220
49467,0.002407
49516,0.104994
49721,0.500301
49723,0.181408
49742,0.367028
49743,0.367028
49744,0.151625
49916,0.023165
49946,0.106498
49948,0.008123
49950,0.052046
49997,0.030686
50030,0.542118
50032,0.025271
50058,0.483454
50059,0.483454
50060,0.483454
50063,0.320999
50099,0.145608
50100,0.145608
50101,0.145608
50102,0.145608
50162,0.052948
50164,0.381468
50166,0.230445
50193,0.234356
50195,0.397714
50202,0.253911
50271,0.275872
50328,0.027677
50329,0.027677
50348,0.001203
50350,0.021961
50352,0.193141
50354,0.294224
50355,0.000903
50771,0.087545
50822,0.006919
50824,0.036101
50826,0.269555
50870,0.172684
50871,0.007521
50873,0.120036
50875,0.370638
50877,0.444344
50884,0.078821
50886,0.051143
50888,0.077918
50889,0.021661
50939,0.016847
50945,0.014741
50989,0.080927
50991,0.003911
50993,0.032190
50995,0.144404
51080,0.005114
51082,0.111613
51083,0.111613
51084,0.012936
51086,0.006919
51088,0.051143
